#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR42330--MA1107.1.KLF9	chr5	88764993	88765005	+	0.000	0.000	Merged-chr5-88764989-68
NR46528--MA0039.3.KLF4	chr6	86584015	86584025	+	0.000	0.000	Merged-chr6-86583911-32
NR23695--MA1107.1.KLF9	chr17	27133988	27134000	+	0.000	0.000	Merged-chr17-27133890-64
NR41430--MA0742.1.Klf12	chr5	33820698	33820712	-	0.000	0.000	Merged-chr5-33820545-93
NR49678--MA0741.1.KLF16	chr7	41633060	41633070	+	0.000	0.000	Merged-chr7-41633323-105
NR11592--MA0741.1.KLF16	chr12	33036352	33036362	+	0.000	0.000	Merged-chr12-33036196-25
NR37410--MA0599.1.KLF5	chr4	41295619	41295628	+	0.000	0.000	Merged-chr4-41295781-15
NR9875--MA0599.1.KLF5	chr11	96916553	96916562	+	0.000	0.000	Merged-chr11-96916500-59
NR11863--MA0741.1.KLF16	chr12	55446852	55446862	-	0.000	0.000	Merged-chr12-55446989-58
NR34906--MA0599.1.KLF5	chr3	90248185	90248194	-	0.000	0.000	Merged-chr3-90248138-59
NR9874--MA0742.1.Klf12	chr11	96916552	96916566	+	0.000	0.000	Merged-chr11-96916500-59
NR42089--MA0493.1.Klf1	chr5	72202164	72202174	+	0.000	0.000	Merged-chr5-72202096-40
NR52819--MA0741.1.KLF16	chr8	22166307	22166317	-	0.000	0.000	Merged-chr8-22166326-62
NR21704--MA0493.1.Klf1	chr16	31275291	31275301	-	0.000	0.000	Merged-chr16-31275130-59
NR46582--MA1107.1.KLF9	chr6	88075209	88075221	+	0.000	0.000	Merged-chr6-88075202-50
NR1841--MA0599.1.KLF5	chr1	128592388	128592397	-	0.000	0.000	Merged-chr1-128592203-155
NR21887--MA0742.1.Klf12	chr16	37385004	37385018	+	0.000	0.000	Merged-chr16-37384954-25
NR41134--MA0599.1.KLF5	chr5	23675569	23675578	+	0.000	0.000	Merged-chr5-23675526-85
NR22781--MA0741.1.KLF16	chr16	93543750	93543760	+	0.000	0.000	Merged-chr16-93543852-28
NR32631--MA1107.1.KLF9	chr2	155050906	155050918	-	0.000	0.000	Merged-chr2-155050840-76
NR5148--MA0493.1.Klf1	chr10	67607753	67607763	-	0.000	0.000	Merged-chr10-67607847-59
NR50849--MA0599.1.KLF5	chr7	99534997	99535006	+	0.000	0.000	Merged-chr7-99535229-9
NR20896--MA0741.1.KLF16	chr15	100747377	100747387	+	0.000	0.000	Merged-chr15-100747446-44
NR13657--MA0599.1.KLF5	chr13	17805220	17805229	+	0.000	0.000	Merged-chr13-17805301-35
NR15680--MA0741.1.KLF16	chr13	104610859	104610869	-	0.000	0.000	Merged-chr13-104610792-59
NR40357--MA0493.1.Klf1	chr4	147102145	147102155	+	0.000	0.000	Merged-chr4-147102129-68
NR20025--MA0741.1.KLF16	chr15	80930419	80930429	-	0.000	0.000	Merged-chr15-80930587-88
NR7242--MA1107.1.KLF9	chr10	127621163	127621175	-	0.000	0.000	Merged-chr10-127621046-1
NR20847--MA0493.1.Klf1	chr15	100443772	100443782	+	0.000	0.000	Merged-chr15-100443625-43
NR56485--MA0657.1.KLF13	chr9	55938199	55938216	+	0.000	0.000	Merged-chr9-55938219-68
