#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR1147--MA0463.1.Bcl6	chr8	34622655	34622668	+	0.000	0.000	Merged-chr8-34622775-45
NR1162--MA0731.1.BCL6B	chr8	84011582	84011598	-	0.000	0.000	Merged-chr8-84011629-75
NR1165--MA0463.1.Bcl6	chr8	84982619	84982632	+	0.000	0.000	Merged-chr8-84982804-9
NR1067--MA0463.1.Bcl6	chr7	37978525	37978538	+	0.000	0.000	Merged-chr7-37978660-9
NR399--MA0463.1.Bcl6	chr15	67398242	67398255	-	0.000	0.000	Merged-chr15-67398131-20
NR708--MA0463.1.Bcl6	chr2	167313926	167313939	+	0.000	0.000	Merged-chr2-167313855-44
NR990--MA0463.1.Bcl6	chr6	53455595	53455608	+	0.000	0.000	Merged-chr6-53455637-20
NR838--MA0463.1.Bcl6	chr4	123288060	123288073	-	0.000	0.000	Merged-chr4-123287942-8
NR623--MA0463.1.Bcl6	chr2	18050907	18050920	-	0.000	0.000	Merged-chr2-18050783-11
NR610--MA0731.1.BCL6B	chr19	53421457	53421473	-	0.000	0.000	Merged-chr19-53421333-52
NR56--MA0731.1.BCL6B	chr1	153549829	153549845	-	0.000	0.000	Merged-chr1-153549743-28
NR431--MA0463.1.Bcl6	chr16	4469718	4469731	-	0.000	0.000	Merged-chr16-4469915-27
NR331--MA0731.1.BCL6B	chr14	25832478	25832494	-	0.000	0.000	Merged-chr14-25832526-44
NR1016--MA0731.1.BCL6B	chr6	120529141	120529157	-	0.000	0.000	Merged-chr6-120529161-48
NR854--MA0731.1.BCL6B	chr4	141618735	141618751	+	0.000	0.000	Merged-chr4-141618821-28
NR91--MA0731.1.BCL6B	chr10	6980387	6980403	-	0.000	0.000	Merged-chr10-6980377-31
NR561--MA0463.1.Bcl6	chr18	61643667	61643680	+	0.000	0.000	Merged-chr18-61643847-38
NR418--MA0463.1.Bcl6	chr15	93715522	93715535	-	0.000	0.000	Merged-chr15-93715568-13
NR1010--MA0463.1.Bcl6	chr6	116264065	116264078	+	0.000	0.000	Merged-chr6-116264225-57
NR454--MA0463.1.Bcl6	chr16	50229194	50229207	+	0.000	0.000	Merged-chr16-50229098-21
NR1140--MA0463.1.Bcl6	chr7	143707007	143707020	-	0.000	0.000	Merged-chr7-143706917-33
