#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR4594--MA0591.1.Bach1::Mafk	chr16	24629406	24629420	+	0.000	0.000	Merged-chr16-24629525-45
NR4027--MA0089.1.MAFG::NFE2L1	chr14	122053310	122053315	+	0.000	0.000	Merged-chr14-122053231-58
NR9075--MA0089.1.MAFG::NFE2L1	chr5	100729046	100729051	-	0.000	0.000	Merged-chr5-100728924-32
NR3301--MA0495.2.MAFF	chr13	96697952	96697972	-	0.000	0.000	Merged-chr13-96698036-39
NR3766--MA0591.1.Bach1::Mafk	chr14	59553428	59553442	+	0.000	0.000	Merged-chr14-59553394-22
NR11466--MA0591.1.Bach1::Mafk	chr8	120332948	120332962	-	0.000	0.000	Merged-chr8-120332869-43
NR1799--MA0117.2.Mafb	chr11	32561585	32561596	+	0.000	0.000	Merged-chr11-32561785-56
NR1633--MA0501.1.MAF::NFE2	chr10	120616717	120616731	+	0.000	0.000	Merged-chr10-120616812-55
NR5910--MA0089.1.MAFG::NFE2L1	chr19	24527539	24527544	-	0.000	0.000	Merged-chr19-24527365-48
NR3764--MA0089.1.MAFG::NFE2L1	chr14	59397160	59397165	-	0.000	0.000	Merged-chr14-59397210-50
NR934--MA0591.1.Bach1::Mafk	chr1	185231315	185231329	-	0.000	0.000	Merged-chr1-185231299-16
NR3413--MA0495.2.MAFF	chr13	111258464	111258484	-	0.000	0.000	Merged-chr13-111258581-86
NR7651--MA0496.2.MAFK	chr3	115731078	115731096	-	0.000	0.000	Merged-chr3-115730795-45
NR10456--MA0501.1.MAF::NFE2	chr7	65714527	65714541	+	0.000	0.000	Merged-chr7-65714407-39
NR10489--MA0591.1.Bach1::Mafk	chr7	75760652	75760666	+	0.000	0.000	Merged-chr7-75760769-39
