#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1911--MA0659.1.MAFG	chr11	95677997	95678017	+	0.000	0.000	Merged-chr11-95678187-12
NR92--MA0089.1.MAFG::NFE2L1	chr1	36797660	36797665	-	0.000	0.000	Merged-chr1-36797700-29
NR6561--MA0496.2.MAFK	chr3	37978668	37978686	-	0.000	0.000	Merged-chr3-37978790-50
NR2428--MA0659.1.MAFG	chr12	79502029	79502049	-	0.000	0.000	Merged-chr12-79502114-6
NR1799--MA0117.2.Mafb	chr11	76210004	76210015	+	0.000	0.000	Merged-chr11-76209894-14
NR5272--MA0591.1.Bach1::Mafk	chr19	4299733	4299747	-	0.000	0.000	Merged-chr19-4299826-2
NR8927--MA0501.1.MAF::NFE2	chr6	140598692	140598706	-	0.000	0.000	Merged-chr6-140598794-45
NR1906--MA0089.1.MAFG::NFE2L1	chr11	94716914	94716919	+	0.000	0.000	Merged-chr11-94716911-29
NR5534--MA0089.1.MAFG::NFE2L1	chr2	3742814	3742819	-	0.000	0.000	Merged-chr2-3742681-34
NR9162--MA0089.1.MAFG::NFE2L1	chr7	44896055	44896060	-	0.000	0.000	Merged-chr7-44895929-62
NR5889--MA0501.1.MAF::NFE2	chr2	91187680	91187694	-	0.000	0.000	Merged-chr2-91187616-14
NR8929--MA0496.2.MAFK	chr6	140598693	140598711	-	0.000	0.000	Merged-chr6-140598794-45
NR3787--MA0501.1.MAF::NFE2	chr15	38697583	38697597	+	0.000	0.000	Merged-chr15-38697617-10
NR4705--MA0089.1.MAFG::NFE2L1	chr17	47272503	47272508	-	0.000	0.000	Merged-chr17-47272458-17
NR10381--MA0117.2.Mafb	chr9	69142079	69142090	-	0.000	0.000	Merged-chr9-69142137-1
NR4895--MA0089.1.MAFG::NFE2L1	chr18	4122495	4122500	+	0.000	0.000	Merged-chr18-4122526-1
