#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR1053--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR2125--MA0463.1.Bcl6	chr6	52958121	52958134	-	0.000	0.000	Merged-chr6-52957951-28
NR1922--MA0731.1.BCL6B	chr5	33658005	33658021	+	0.000	0.000	Merged-chr5-33658141-114
NR394--MA0463.1.Bcl6	chr11	32039801	32039814	-	0.000	0.000	Merged-chr11-32039842-30
NR918--MA0463.1.Bcl6	chr14	103532678	103532691	-	0.000	0.000	Merged-chr14-103532610-9
NR1971--MA0463.1.Bcl6	chr5	76779589	76779602	+	0.000	0.000	Merged-chr5-76779382-27
NR870--MA0731.1.BCL6B	chr14	61971215	61971231	-	0.000	0.000	Merged-chr14-61971047-1
NR936--MA0463.1.Bcl6	chr14	120278328	120278341	+	0.000	0.000	Merged-chr14-120278358-14
NR1935--MA0731.1.BCL6B	chr5	45926350	45926366	+	0.000	0.000	Merged-chr5-45926189-15
NR1045--MA0731.1.BCL6B	chr16	14351039	14351055	+	0.000	0.000	Merged-chr16-14350919-24
NR1568--MA0731.1.BCL6B	chr3	31093878	31093894	+	0.000	0.000	Merged-chr3-31093937-10
NR1855--MA0463.1.Bcl6	chr4	133843311	133843324	+	0.000	0.000	Merged-chr4-133843326-54
NR1640--MA0463.1.Bcl6	chr3	109747809	109747822	+	0.000	0.000	Merged-chr3-109747952-27
NR860--MA0463.1.Bcl6	chr14	54222540	54222553	-	0.000	0.000	Merged-chr14-54222562-63
NR972--MA0463.1.Bcl6	chr15	54919970	54919983	+	0.000	0.000	Merged-chr15-54920011-57
NR2175--MA0463.1.Bcl6	chr6	97806942	97806955	+	0.000	0.000	Merged-chr6-97807026-80
NR1770--MA0463.1.Bcl6	chr4	62552200	62552213	-	0.000	0.000	Merged-chr4-62552113-23
NR862--MA0731.1.BCL6B	chr14	54222539	54222555	-	0.000	0.000	Merged-chr14-54222562-63
NR2520--MA0463.1.Bcl6	chr8	120101431	120101444	-	0.000	0.000	Merged-chr8-120101369-97
NR1314--MA0463.1.Bcl6	chr19	40832130	40832143	+	0.000	0.000	Merged-chr19-40832149-1
NR1343--MA0731.1.BCL6B	chr2	15049399	15049415	+	0.000	0.000	Merged-chr2-15049301-58
NR562--MA0731.1.BCL6B	chr12	71897436	71897452	+	0.000	0.000	Merged-chr12-71897525-19
NR2324--MA0463.1.Bcl6	chr7	58569056	58569069	+	0.000	0.000	Merged-chr7-58568960-29
