#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1085--MA0002.2.RUNX1	chr10	115363299	115363309	-	0.000	0.000	Merged-chr10-115363388-18
NR1356--MA0002.2.RUNX1	chr11	63135708	63135718	-	0.000	0.000	Merged-chr11-63135809-28
NR6049--MA0511.2.RUNX2	chr4	116010303	116010311	+	0.000	0.000	Merged-chr4-116010359-48
NR5639--MA0684.1.RUNX3	chr3	135402594	135402603	+	0.000	0.000	Merged-chr3-135402581-53
NR7918--MA0002.2.RUNX1	chr7	137476758	137476768	+	0.000	0.000	Merged-chr7-137476773-22
NR5696--MA0002.2.RUNX1	chr3	145538007	145538017	-	0.000	0.000	Merged-chr3-145538069-30
NR5967--MA0002.2.RUNX1	chr4	86722117	86722127	-	0.000	0.000	Merged-chr4-86721990-52
NR1071--MA0684.1.RUNX3	chr10	108168050	108168059	-	0.000	0.000	Merged-chr10-108168166-48
NR4842--MA0002.2.RUNX1	chr2	72536129	72536139	+	0.000	0.000	Merged-chr2-72536133-16
NR7899--MA0002.2.RUNX1	chr7	132824524	132824534	-	0.000	0.000	Merged-chr7-132824609-20
NR975--MA0684.1.RUNX3	chr10	85411292	85411301	+	0.000	0.000	Merged-chr10-85411172-67
NR5619--MA0002.2.RUNX1	chr3	132858874	132858884	-	0.000	0.000	Merged-chr3-132859011-26
NR3397--MA0002.2.RUNX1	chr16	29981751	29981761	-	0.000	0.000	Merged-chr16-29981748-10
NR1180--MA0684.1.RUNX3	chr10	128902560	128902569	-	0.000	0.000	Merged-chr10-128902610-18
NR7071--MA0002.2.RUNX1	chr6	86545332	86545342	+	0.000	0.000	Merged-chr6-86545449-8
NR6760--MA0684.1.RUNX3	chr5	124497153	124497162	+	0.000	0.000	Merged-chr5-124497096-41
NR3111--MA0002.2.RUNX1	chr15	67235368	67235378	-	0.000	0.000	Merged-chr15-67235240-23
NR6883--MA0002.2.RUNX1	chr6	15728977	15728987	+	0.000	0.000	Merged-chr6-15729145-52
