#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR15076--MA0740.1.KLF14	chr13	74522714	74522727	+	0.000	0.000	Merged-chr13-74522621-50
NR254--MA1107.1.KLF9	chr1	34479031	34479043	-	0.000	0.000	Merged-chr1-34479093-40
NR19838--MA0599.1.KLF5	chr15	75929912	75929921	-	0.000	0.000	Merged-chr15-75929724-50
NR20985--MA1107.1.KLF9	chr15	100443593	100443605	-	0.000	0.000	Merged-chr15-100443625-43
NR3506--MA0742.1.Klf12	chr1	180829980	180829994	+	0.000	0.000	Merged-chr1-180830009-39
NR13543--MA0741.1.KLF16	chr12	116047653	116047663	-	0.000	0.000	Merged-chr12-116047777-53
NR34700--MA0599.1.KLF5	chr3	88831717	88831726	+	0.000	0.000	Merged-chr3-88831913-99
NR32865--MA0599.1.KLF5	chr2	166713838	166713847	-	0.000	0.000	Merged-chr2-166713802-88
NR13814--MA0741.1.KLF16	chr13	17805165	17805175	-	0.000	0.000	Merged-chr13-17805301-35
NR56916--MA0742.1.Klf12	chr9	21033370	21033384	+	0.000	0.000	Merged-chr9-21033444-26
NR28107--MA0599.1.KLF5	chr19	37207110	37207119	+	0.000	0.000	Merged-chr19-37206939-3
NR14853--MA1107.1.KLF9	chr13	63238184	63238196	-	0.000	0.000	Merged-chr13-63238136-32
NR2720--MA0741.1.KLF16	chr1	156939647	156939657	-	0.000	0.000	Merged-chr1-156939534-147
NR59300--MA1107.1.KLF9	chr9	110896830	110896842	-	0.000	0.000	Merged-chr9-110896831-29
NR46582--MA1107.1.KLF9	chr6	50560914	50560926	+	0.000	0.000	Merged-chr6-50560959-32
NR26733--MA0599.1.KLF5	chr18	70504203	70504212	-	0.000	0.000	Merged-chr18-70504272-31
NR53433--MA0493.1.Klf1	chr7	144915057	144915067	+	0.000	0.000	Merged-chr7-144915039-103
NR14396--MA0039.3.KLF4	chr13	49449522	49449532	-	0.000	0.000	Merged-chr13-49449603-25
NR14888--MA0740.1.KLF14	chr13	64161706	64161719	+	0.000	0.000	Merged-chr13-64161873-63
NR12106--MA0599.1.KLF5	chr12	59012133	59012142	-	0.000	0.000	Merged-chr12-59012056-72
NR53353--MA0599.1.KLF5	chr7	143461036	143461045	+	0.000	0.000	Merged-chr7-143461111-46
NR53974--MA0741.1.KLF16	chr8	27174727	27174737	-	0.000	0.000	Merged-chr8-27174593-51
NR58884--MA0740.1.KLF14	chr9	99479395	99479408	+	0.000	0.000	Merged-chr9-99479335-46
NR58319--MA0599.1.KLF5	chr9	74905278	74905287	+	0.000	0.000	Merged-chr9-74905133-36
NR56365--MA0741.1.KLF16	chr8	120532561	120532571	-	0.000	0.000	Merged-chr8-120532679-9
NR20025--MA0741.1.KLF16	chr15	78803044	78803054	+	0.000	0.000	Merged-chr15-78802818-50
NR27589--MA1107.1.KLF9	chr19	8252182	8252194	+	0.000	0.000	Merged-chr19-8252316-31
NR15951--MA0741.1.KLF16	chr13	109809711	109809721	+	0.000	0.000	Merged-chr13-109809841-14
NR10023--MA0741.1.KLF16	chr11	97404737	97404747	+	0.000	0.000	Merged-chr11-97404596-19
NR38257--MA1107.1.KLF9	chr4	83328219	83328231	+	0.000	0.000	Merged-chr4-83328065-107
NR25499--MA0742.1.Klf12	chr17	88256400	88256414	-	0.000	0.000	Merged-chr17-88256193-58
NR27917--MA0599.1.KLF5	chr19	28010103	28010112	-	0.000	0.000	Merged-chr19-28009997-35
