#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR4923--MA0496.2.MAFK	chr18	10744228	10744246	+	0.000	0.000	Merged-chr18-10744169-16
NR8983--MA0495.2.MAFF	chr6	145981245	145981265	+	0.000	0.000	Merged-chr6-145981176-43
NR565--MA0495.2.MAFF	chr1	153288164	153288184	+	0.000	0.000	Merged-chr1-153288080-22
NR261--MA0501.1.MAF::NFE2	chr1	82429278	82429292	-	0.000	0.000	Merged-chr1-82429225-23
NR1796--MA0501.1.MAF::NFE2	chr11	75913375	75913389	-	0.000	0.000	Merged-chr11-75913481-1
NR8031--MA0089.1.MAFG::NFE2L1	chr5	100798471	100798476	+	0.000	0.000	Merged-chr5-100798615-58
NR8998--MA0591.1.Bach1::Mafk	chr6	146439391	146439405	+	0.000	0.000	Merged-chr6-146439604-15
NR4176--MA0495.2.MAFF	chr16	24831175	24831195	-	0.000	0.000	Merged-chr16-24831230-9
NR2732--MA0501.1.MAF::NFE2	chr13	9767493	9767507	-	0.000	0.000	Merged-chr13-9767570-31
NR10728--MA0501.1.MAF::NFE2	chrX	73976487	73976501	-	0.000	0.000	Merged-chrX-73976480-18
NR10316--MA0591.1.Bach1::Mafk	chr9	53603584	53603598	-	0.000	0.000	Merged-chr9-53603556-33
NR2459--MA0089.1.MAFG::NFE2L1	chr12	86801872	86801877	+	0.000	0.000	Merged-chr12-86801944-91
NR1039--MA0089.1.MAFG::NFE2L1	chr10	39458912	39458917	+	0.000	0.000	Merged-chr10-39458935-16
NR6087--MA0089.1.MAFG::NFE2L1	chr2	125724276	125724281	-	0.000	0.000	Merged-chr2-125724208-99
NR4314--MA0591.1.Bach1::Mafk	chr16	55975111	55975125	+	0.000	0.000	Merged-chr16-55975100-1
NR10041--MA0659.1.MAFG	chr8	121187821	121187841	-	0.000	0.000	Merged-chr8-121187823-40
NR3764--MA0089.1.MAFG::NFE2L1	chr15	31418319	31418324	-	0.000	0.000	Merged-chr15-31418440-29
NR9868--MA0089.1.MAFG::NFE2L1	chr8	84257256	84257261	-	0.000	0.000	Merged-chr8-84257332-3
NR2556--MA0495.2.MAFF	chr12	103341439	103341459	-	0.000	0.000	Merged-chr12-103341437-53
NR3099--MA0089.1.MAFG::NFE2L1	chr13	100124842	100124847	+	0.000	0.000	Merged-chr13-100125011-52
NR1232--MA0591.1.Bach1::Mafk	chr10	81408905	81408919	+	0.000	0.000	Merged-chr10-81409039-20
NR3518--MA0659.1.MAFG	chr14	71035803	71035823	+	0.000	0.000	Merged-chr14-71035782-16
NR4178--MA0659.1.MAFG	chr16	24831175	24831195	+	0.000	0.000	Merged-chr16-24831230-9
NR7783--MA0117.2.Mafb	chr5	21192469	21192480	+	0.000	0.000	Merged-chr5-21192683-24
NR5130--MA0089.1.MAFG::NFE2L1	chr18	65395640	65395645	+	0.000	0.000	Merged-chr18-65395765-31
NR4861--MA0495.2.MAFF	chr17	86206502	86206522	+	0.000	0.000	Merged-chr17-86206449-38
NR947--MA0089.1.MAFG::NFE2L1	chr10	21029361	21029366	-	0.000	0.000	Merged-chr10-21029256-16
NR9464--MA0089.1.MAFG::NFE2L1	chr7	122296926	122296931	+	0.000	0.000	Merged-chr7-122296889-48
NR10179--MA0089.1.MAFG::NFE2L1	chr9	14385868	14385873	-	0.000	0.000	Merged-chr9-14385894-14
NR10555--MA0089.1.MAFG::NFE2L1	chr9	107526735	107526740	-	0.000	0.000	Merged-chr9-107526799-38
NR5778--MA0501.1.MAF::NFE2	chr2	66184982	66184996	-	0.000	0.000	Merged-chr2-66184903-51
NR1309--MA0496.2.MAFK	chr10	93261569	93261587	+	0.000	0.000	Merged-chr10-93261429-32
NR10209--MA0591.1.Bach1::Mafk	chr9	21609997	21610011	-	0.000	0.000	Merged-chr9-21610100-42
NR8640--MA0501.1.MAF::NFE2	chr6	82753792	82753806	-	0.000	0.000	Merged-chr6-82753621-62
NR4283--MA0496.2.MAFK	chr16	52108049	52108067	+	0.000	0.000	Merged-chr16-52108040-37
NR10386--MA0659.1.MAFG	chr9	69440170	69440190	+	0.000	0.000	Merged-chr9-69440174-25
NR7582--MA0659.1.MAFG	chr4	135248704	135248724	+	0.000	0.000	Merged-chr4-135248593-35
NR6272--MA0591.1.Bach1::Mafk	chr2	162931537	162931551	+	0.000	0.000	Merged-chr2-162931607-133
NR8448--MA0501.1.MAF::NFE2	chr6	33004675	33004689	+	0.000	0.000	Merged-chr6-33004502-19
NR1694--MA0496.2.MAFK	chr11	55386650	55386668	+	0.000	0.000	Merged-chr11-55386598-21
NR254--MA0089.1.MAFG::NFE2L1	chr1	80747393	80747398	-	0.000	0.000	Merged-chr1-80747155-18
NR10725--MA0591.1.Bach1::Mafk	chrX	71556618	71556632	-	0.000	0.000	Merged-chrX-71556831-6
NR9441--MA0591.1.Bach1::Mafk	chr7	118104823	118104837	-	0.000	0.000	Merged-chr7-118104738-1,Merged-chr7-118105003-9
NR7987--MA0496.2.MAFK	chr5	90603531	90603549	+	0.000	0.000	Merged-chr5-90603641-23
NR8988--MA0495.2.MAFF	chr6	145993221	145993241	+	0.000	0.000	Merged-chr6-145993129-56
NR3664--MA0495.2.MAFF	chr14	118649839	118649859	+	0.000	0.000	Merged-chr14-118649804-48
NR10012--MA0496.2.MAFK	chr8	115568739	115568757	+	0.000	0.000	Merged-chr8-115568627-19
NR7517--MA0089.1.MAFG::NFE2L1	chr4	118331886	118331891	+	0.000	0.000	Merged-chr4-118331878-7
NR1041--MA0495.2.MAFF	chr10	39459010	39459030	-	0.000	0.000	Merged-chr10-39458935-16
