#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR20439--MA0741.1.KLF16	chr16	11073530	11073540	+	0.000	0.000	Merged-chr16-11073416-33
NR20646--MA0599.1.KLF5	chr16	18289384	18289393	-	0.000	0.000	Merged-chr16-18289278-69
NR51500--MA0599.1.KLF5	chr7	142894918	142894927	+	0.000	0.000	Merged-chr7-142894881-29
NR15618--MA0740.1.KLF14	chr13	111725455	111725468	+	0.000	0.000	Merged-chr13-111725455-80
NR35645--MA0039.3.KLF4	chr3	135324523	135324533	-	0.000	0.000	Merged-chr3-135324604-5
NR14729--MA0599.1.KLF5	chr13	73937742	73937751	+	0.000	0.000	Merged-chr13-73937981-89
NR31357--MA0741.1.KLF16	chr2	130642931	130642941	-	0.000	0.000	Merged-chr2-130642738-65
NR34024--MA0599.1.KLF5	chr3	83987834	83987843	+	0.000	0.000	Merged-chr3-83987942-35
NR9310--MA0740.1.KLF14	chr11	78550823	78550836	+	0.000	0.000	Merged-chr11-78550738-54
NR39010--MA0741.1.KLF16	chr4	134362742	134362752	-	0.000	0.000	Merged-chr4-134362784-33
NR46458--MA0599.1.KLF5	chr6	119388794	119388803	+	0.000	0.000	Merged-chr6-119388745-63
NR3215--MA0599.1.KLF5	chr1	171150641	171150650	-	0.000	0.000	Merged-chr1-171150669-55
NR28446--MA1107.1.KLF9	chr2	9595734	9595746	-	0.000	0.000	Merged-chr2-9595628-42
NR26948--MA0599.1.KLF5	chr19	5771389	5771398	-	0.000	0.000	Merged-chr19-5771303-55
NR47332--MA0741.1.KLF16	chr6	143938540	143938550	+	0.000	0.000	Merged-chr6-143938728-3
NR16801--MA0657.1.KLF13	chr14	54605956	54605973	+	0.000	0.000	Merged-chr14-54606117-28
NR34005--MA1107.1.KLF9	chr3	81783076	81783088	-	0.000	0.000	Merged-chr3-81783133-49
NR57356--MA0742.1.Klf12	chr9	114933885	114933899	+	0.000	0.000	Merged-chr9-114933914-87
NR50294--MA0740.1.KLF14	chr7	110221679	110221692	-	0.000	0.000	Merged-chr7-110221778-96
NR55066--MA1107.1.KLF9	chr9	27044028	27044040	-	0.000	0.000	Merged-chr9-27044000-29
NR14525--MA0741.1.KLF16	chr13	63431379	63431389	+	0.000	0.000	Merged-chr13-63431477-108
NR19435--MA0740.1.KLF14	chr15	83076402	83076415	-	0.000	0.000	Merged-chr15-83076168-47
NR58462--MA0599.1.KLF5	chrX	101429419	101429428	+	0.000	0.000	Merged-chrX-101429503-77
NR55925--MA0741.1.KLF16	chr9	65551207	65551217	+	0.000	0.000	Merged-chr9-65551237-57
NR58045--MA0741.1.KLF16	chrX	48285634	48285644	+	0.000	0.000	Merged-chrX-48285695-3
NR36633--MA0493.1.Klf1	chr4	40757924	40757934	+	0.000	0.000	Merged-chr4-40757747-77
NR9302--MA0599.1.KLF5	chr11	78328389	78328398	+	0.000	0.000	Merged-chr11-78328473-53
NR58316--MA0741.1.KLF16	chrX	85776825	85776835	-	0.000	0.000	Merged-chrX-85776712-109
NR58641--MA0657.1.KLF13	chrX	134807944	134807961	+	0.000	0.000	Merged-chrX-134808077-16
NR43496--MA0741.1.KLF16	chr5	135778391	135778401	-	0.000	0.000	Merged-chr5-135778496-71
NR15155--MA1107.1.KLF9	chr13	96700921	96700933	-	0.000	0.000	Merged-chr13-96700841-9
NR2358--MA0599.1.KLF5	chr1	144004195	144004204	-	0.000	0.000	Merged-chr1-144004210-81
NR38051--MA1107.1.KLF9	chr4	107923618	107923630	+	0.000	0.000	Merged-chr4-107923581-50
NR25946--MA0039.3.KLF4	chr18	64887571	64887581	-	0.000	0.000	Merged-chr18-64887799-124
NR51276--MA0740.1.KLF14	chr7	139389008	139389021	+	0.000	0.000	Merged-chr7-139388959-78
NR39549--MA0493.1.Klf1	chr4	145306002	145306012	-	0.000	0.000	Merged-chr4-145306183-45
NR3589--MA0740.1.KLF14	chr1	181853227	181853240	+	0.000	0.000	Merged-chr1-181853067-80
NR8949--MA0741.1.KLF16	chr11	70239859	70239869	-	0.000	0.000	Merged-chr11-70239985-43
NR48434--MA0657.1.KLF13	chr7	30321673	30321690	-	0.000	0.000	Merged-chr7-30321790-4
NR38822--MA0741.1.KLF16	chr4	132638936	132638946	-	0.000	0.000	Merged-chr4-132639093-52
NR30438--MA1107.1.KLF9	chr2	93454464	93454476	+	0.000	0.000	Merged-chr2-93454506-54
NR18408--MA0599.1.KLF5	chr15	28159096	28159105	+	0.000	0.000	Merged-chr15-28159214-52
NR45171--MA0599.1.KLF5	chr6	53778928	53778937	-	0.000	0.000	Merged-chr6-53778855-8
NR38227--MA0657.1.KLF13	chr4	116807716	116807733	+	0.000	0.000	Merged-chr4-116807606-59
NR56730--MA0599.1.KLF5	chr9	99243292	99243301	+	0.000	0.000	Merged-chr9-99243262-100
NR19824--MA0493.1.Klf1	chr15	94601413	94601423	-	0.000	0.000	Merged-chr15-94601512-25
NR36124--MA0740.1.KLF14	chr3	152210452	152210465	+	0.000	0.000	Merged-chr3-152210438-105
NR51284--MA1107.1.KLF9	chr7	139389026	139389038	+	0.000	0.000	Merged-chr7-139388959-78
NR5735--MA0599.1.KLF5	chr10	80226585	80226594	-	0.000	0.000	Merged-chr10-80226667-64
NR28371--MA0599.1.KLF5	chr2	3475122	3475131	-	0.000	0.000	Merged-chr2-3474992-83
NR44446--MA0740.1.KLF14	chr6	6955994	6956007	+	0.000	0.000	Merged-chr6-6956020-66
NR7882--MA0740.1.KLF14	chr11	29515043	29515056	-	0.000	0.000	Merged-chr11-29515062-56
NR47584--MA0741.1.KLF16	chr7	4964460	4964470	+	0.000	0.000	Merged-chr7-4964465-28
NR50454--MA0741.1.KLF16	chr7	115217063	115217073	-	0.000	0.000	Merged-chr7-115217038-43
NR44344--MA0742.1.Klf12	chr5	150232870	150232884	+	0.000	0.000	Merged-chr5-150232910-1
NR57247--MA0599.1.KLF5	chr9	112186621	112186630	+	0.000	0.000	Merged-chr9-112186441-37
NR14420--MA0599.1.KLF5	chr13	58274208	58274217	-	0.000	0.000	Merged-chr13-58274156-88
NR19049--MA1107.1.KLF9	chr15	73627497	73627509	-	0.000	0.000	Merged-chr15-73627530-51
NR15295--MA0599.1.KLF5	chr13	101510229	101510238	-	0.000	0.000	Merged-chr13-101510173-22
NR5158--MA0741.1.KLF16	chr10	61715237	61715247	-	0.000	0.000	Merged-chr10-61715305-29
NR47770--MA0039.3.KLF4	chr7	16310235	16310245	+	0.000	0.000	Merged-chr7-16310124-145
NR30960--MA0741.1.KLF16	chr2	118728631	118728641	+	0.000	0.000	Merged-chr2-118728493-40
NR58297--MA0741.1.KLF16	chrX	77796085	77796095	+	0.000	0.000	Merged-chrX-77795992-119
NR50088--MA0599.1.KLF5	chr7	101466458	101466467	-	0.000	0.000	Merged-chr7-101466620-78
NR31201--MA1107.1.KLF9	chr2	125724215	125724227	-	0.000	0.000	Merged-chr2-125724208-99
NR30755--MA0741.1.KLF16	chr2	112240503	112240513	+	0.000	0.000	Merged-chr2-112240570-1
NR513--MA0741.1.KLF16	chr1	39702701	39702711	-	0.000	0.000	Merged-chr1-39702774-23
NR27241--MA0742.1.Klf12	chr19	16872798	16872812	+	0.000	0.000	Merged-chr19-16872995-45
NR12227--MA0599.1.KLF5	chr12	76710658	76710667	+	0.000	0.000	Merged-chr12-76710800-1
NR7453--MA0493.1.Klf1	chr11	3895201	3895211	-	0.000	0.000	Merged-chr11-3895194-47
NR40710--MA1107.1.KLF9	chr5	31154327	31154339	-	0.000	0.000	Merged-chr5-31154214-47
NR24516--MA0039.3.KLF4	chr17	78835592	78835602	-	0.000	0.000	Merged-chr17-78835526-79
NR48534--MA0740.1.KLF14	chr7	34630504	34630517	-	0.000	0.000	Merged-chr7-34630517-24
NR45577--MA0039.3.KLF4	chr6	85037786	85037796	-	0.000	0.000	Merged-chr6-85037843-26
NR13643--MA0493.1.Klf1	chr13	20140002	20140012	+	0.000	0.000	Merged-chr13-20140166-30
NR51946--MA0741.1.KLF16	chr8	22060486	22060496	-	0.000	0.000	Merged-chr8-22060379-109
NR20819--MA0741.1.KLF16	chr16	29814104	29814114	+	0.000	0.000	Merged-chr16-29814134-35
NR1052--MA1107.1.KLF9	chr1	73940863	73940875	+	0.000	0.000	Merged-chr1-73940938-50
NR35668--MA1107.1.KLF9	chr3	135579479	135579491	-	0.000	0.000	Merged-chr3-135579457-44
NR28867--MA0741.1.KLF16	chr2	25500757	25500767	-	0.000	0.000	Merged-chr2-25500833-51
NR32743--MA1107.1.KLF9	chr2	173038316	173038328	-	0.000	0.000	Merged-chr2-173038301-38
NR56040--MA0493.1.Klf1	chr9	69068529	69068539	-	0.000	0.000	Merged-chr9-69068633-33
NR49121--MA0741.1.KLF16	chr7	57591070	57591080	+	0.000	0.000	Merged-chr7-57591036-32
NR46649--MA0740.1.KLF14	chr6	124779765	124779778	-	0.000	0.000	Merged-chr6-124779719-51
NR3680--MA0493.1.Klf1	chr1	184016529	184016539	+	0.000	0.000	Merged-chr1-184016575-13
NR47548--MA0599.1.KLF5	chr7	3693583	3693592	-	0.000	0.000	Merged-chr7-3693587-203
NR53250--MA0599.1.KLF5	chr8	84664140	84664149	-	0.000	0.000	Merged-chr8-84664181-39
NR9517--MA0741.1.KLF16	chr11	83941988	83941998	+	0.000	0.000	Merged-chr11-83942163-42
NR25782--MA0599.1.KLF5	chr18	56562410	56562419	+	0.000	0.000	Merged-chr18-56562419-49
NR39482--MA0740.1.KLF14	chr4	141559546	141559559	+	0.000	0.000	Merged-chr4-141559533-121
NR41012--MA1107.1.KLF9	chr5	43841788	43841800	-	0.000	0.000	Merged-chr5-43841618-50
NR2353--MA0741.1.KLF16	chr1	143919039	143919049	+	0.000	0.000	Merged-chr1-143919214-54
NR2624--MA0741.1.KLF16	chr1	156473413	156473423	-	0.000	0.000	Merged-chr1-156473479-2
NR40389--MA0599.1.KLF5	chr5	20250017	20250026	+	0.000	0.000	Merged-chr5-20250018-19
NR39160--MA0599.1.KLF5	chr4	135963696	135963705	-	0.000	0.000	Merged-chr4-135963723-59
NR23669--MA0493.1.Klf1	chr17	46383665	46383675	-	0.000	0.000	Merged-chr17-46383696-57
NR16780--MA0742.1.Klf12	chr14	54464158	54464172	+	0.000	0.000	Merged-chr14-54464203-140
NR5583--MA0740.1.KLF14	chr10	78169835	78169848	-	0.000	0.000	Merged-chr10-78169866-58
NR27352--MA0657.1.KLF13	chr19	25055852	25055869	+	0.000	0.000	Merged-chr19-25056081-49
NR19856--MA0599.1.KLF5	chr15	97252758	97252767	+	0.000	0.000	Merged-chr15-97252790-15
NR55183--MA0493.1.Klf1	chr9	32747881	32747891	-	0.000	0.000	Merged-chr9-32747725-37
NR48189--MA1107.1.KLF9	chr7	27166306	27166318	+	0.000	0.000	Merged-chr7-27166337-3
NR37992--MA0599.1.KLF5	chr4	106870785	106870794	-	0.000	0.000	Merged-chr4-106870736-26
NR50074--MA0493.1.Klf1	chr7	100950760	100950770	+	0.000	0.000	Merged-chr7-100950799-22
NR37766--MA0742.1.Klf12	chr4	99377688	99377702	-	0.000	0.000	Merged-chr4-99377843-1
NR8960--MA0740.1.KLF14	chr11	70510119	70510132	-	0.000	0.000	Merged-chr11-70510129-40
NR38660--MA0741.1.KLF16	chr4	129621213	129621223	+	0.000	0.000	Merged-chr4-129621333-30
NR14532--MA0599.1.KLF5	chr13	63552685	63552694	+	0.000	0.000	Merged-chr13-63552773-18
NR12213--MA0493.1.Klf1	chr12	76596421	76596431	-	0.000	0.000	Merged-chr12-76596548-12
