#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1356--MA0002.2.RUNX1	chr11	51760387	51760397	-	0.000	0.000	Merged-chr11-51760433-27
NR4733--MA0002.2.RUNX1	chr2	72536063	72536073	+	0.000	0.000	Merged-chr2-72536133-16
NR5715--MA0002.2.RUNX1	chr4	55443653	55443663	-	0.000	0.000	Merged-chr4-55443732-37
NR8550--MA0002.2.RUNX1	chrX	85839395	85839405	-	0.000	0.000	Merged-chrX-85839388-40
NR7746--MA0511.2.RUNX2	chr8	81611575	81611583	-	0.000	0.000	Merged-chr8-81611611-36
NR5795--MA0511.2.RUNX2	chr4	101069370	101069378	+	0.000	0.000	Merged-chr4-101069276-67
NR1879--MA0002.2.RUNX1	chr12	76932828	76932838	+	0.000	0.000	Merged-chr12-76932922-30
NR7524--MA0684.1.RUNX3	chr7	126272811	126272820	+	0.000	0.000	Merged-chr7-126272963-1
NR7647--MA0002.2.RUNX1	chr8	22706637	22706647	-	0.000	0.000	Merged-chr8-22706462-69
NR1613--MA0684.1.RUNX3	chr11	104582881	104582890	-	0.000	0.000	Merged-chr11-104582835-39
NR1194--MA0002.2.RUNX1	chr11	3371444	3371454	+	0.000	0.000	Merged-chr11-3371528-30
NR1408--MA0684.1.RUNX3	chr11	62005368	62005377	-	0.000	0.000	Merged-chr11-62005432-28
NR4842--MA0002.2.RUNX1	chr2	113903187	113903197	-	0.000	0.000	Merged-chr2-113903314-24
NR2891--MA0002.2.RUNX1	chr14	121348863	121348873	-	0.000	0.000	Merged-chr14-121348977-3
NR5553--MA0002.2.RUNX1	chr3	145538122	145538132	-	0.000	0.000	Merged-chr3-145538069-30
NR7633--MA0684.1.RUNX3	chr8	14090513	14090522	-	0.000	0.000	Merged-chr8-14090395-62
NR5477--MA0684.1.RUNX3	chr3	127759449	127759458	-	0.000	0.000	Merged-chr3-127759429-25
NR7756--MA0002.2.RUNX1	chr8	81855157	81855167	+	0.000	0.000	Merged-chr8-81854929-80
NR5748--MA0684.1.RUNX3	chr4	70410407	70410416	+	0.000	0.000	Merged-chr4-70410445-57
NR6459--MA0684.1.RUNX3	chr5	122372498	122372507	-	0.000	0.000	Merged-chr5-122372347-92
NR684--MA0002.2.RUNX1	chr10	18064646	18064656	+	0.000	0.000	Merged-chr10-18064784-37
NR7712--MA0511.2.RUNX2	chr8	69749745	69749753	+	0.000	0.000	Merged-chr8-69749904-57
NR3049--MA0002.2.RUNX1	chr15	51843860	51843870	-	0.000	0.000	Merged-chr15-51844000-32
NR5285--MA0511.2.RUNX2	chr3	75714111	75714119	+	0.000	0.000	Merged-chr3-75714014-36
NR1098--MA0002.2.RUNX1	chr10	117432639	117432649	-	0.000	0.000	Merged-chr10-117432736-19
NR1369--MA0002.2.RUNX1	chr11	54151277	54151287	-	0.000	0.000	Merged-chr11-54151267-37
NR7014--MA0684.1.RUNX3	chr6	130419387	130419396	-	0.000	0.000	Merged-chr6-130419325-26
NR8218--MA0511.2.RUNX2	chr9	73240486	73240494	+	0.000	0.000	Merged-chr9-73240337-9
NR7071--MA0002.2.RUNX1	chr6	143751326	143751336	+	0.000	0.000	Merged-chr6-143751233-79
NR1530--MA0511.2.RUNX2	chr11	90029666	90029674	+	0.000	0.000	Merged-chr11-90029715-22
NR5457--MA0002.2.RUNX1	chr3	123192278	123192288	+	0.000	0.000	Merged-chr3-123192207-28
NR541--MA0002.2.RUNX1	chr1	180531602	180531612	+	0.000	0.000	Merged-chr1-180531418-30
NR3777--MA0002.2.RUNX1	chr17	35508085	35508095	+	0.000	0.000	Merged-chr17-35508038-19
NR3257--MA0511.2.RUNX2	chr15	97964225	97964233	-	0.000	0.000	Merged-chr15-97964061-82
NR4603--MA0002.2.RUNX1	chr2	27515075	27515085	-	0.000	0.000	Merged-chr2-27515177-76
NR5857--MA0684.1.RUNX3	chr4	121231419	121231428	+	0.000	0.000	Merged-chr4-121231330-50
NR2923--MA0002.2.RUNX1	chr15	3270984	3270994	+	0.000	0.000	Merged-chr15-3270817-58
NR7345--MA0511.2.RUNX2	chr7	92087616	92087624	-	0.000	0.000	Merged-chr7-92087702-17
NR5665--MA0511.2.RUNX2	chr4	34687425	34687433	+	0.000	0.000	Merged-chr4-34687322-58
NR1478--MA0002.2.RUNX1	chr11	79696700	79696710	+	0.000	0.000	Merged-chr11-79696665-15
NR2781--MA0684.1.RUNX3	chr14	69979174	69979183	-	0.000	0.000	Merged-chr14-69979172-46
NR7180--MA0002.2.RUNX1	chr7	28820844	28820854	+	0.000	0.000	Merged-chr7-28820769-1
NR1705--MA0511.2.RUNX2	chr11	118609363	118609371	-	0.000	0.000	Merged-chr11-118609481-11
NR5295--MA0002.2.RUNX1	chr3	79484558	79484568	-	0.000	0.000	Merged-chr3-79484566-7
NR5509--MA0684.1.RUNX3	chr3	135402594	135402603	+	0.000	0.000	Merged-chr3-135402581-53
NR1957--MA0511.2.RUNX2	chr12	99633811	99633819	-	0.000	0.000	Merged-chr12-99633921-16
NR1587--MA0002.2.RUNX1	chr11	101665569	101665579	+	0.000	0.000	Merged-chr11-101665520-54
NR5552--MA0684.1.RUNX3	chr3	145538099	145538108	+	0.000	0.000	Merged-chr3-145538069-30
NR7084--MA0002.2.RUNX1	chr6	146107633	146107643	+	0.000	0.000	Merged-chr6-146107626-18
NR1609--MA0511.2.RUNX2	chr11	104582882	104582890	-	0.000	0.000	Merged-chr11-104582835-39
NR554--MA0002.2.RUNX1	chr1	181866671	181866681	+	0.000	0.000	Merged-chr1-181866572-42
NR1239--MA0002.2.RUNX1	chr11	11808839	11808849	-	0.000	0.000	Merged-chr11-11809003-59
NR2870--MA0002.2.RUNX1	chr14	101879179	101879189	-	0.000	0.000	Merged-chr14-101879110-69
NR3376--MA0002.2.RUNX1	chr16	26041497	26041507	-	0.000	0.000	Merged-chr16-26041610-31
NR3918--MA0002.2.RUNX1	chr17	79584565	79584575	-	0.000	0.000	Merged-chr17-79584659-24
NR7629--MA0511.2.RUNX2	chr8	14090514	14090522	-	0.000	0.000	Merged-chr8-14090395-62
NR5185--MA0684.1.RUNX3	chr3	21996141	21996150	-	0.000	0.000	Merged-chr3-21996009-51
NR7259--MA0002.2.RUNX1	chr7	63930256	63930266	-	0.000	0.000	Merged-chr7-63930287-48
NR6610--MA0002.2.RUNX1	chr6	15728977	15728987	+	0.000	0.000	Merged-chr6-15729145-52
NR6961--MA0511.2.RUNX2	chr6	127723249	127723257	+	0.000	0.000	Merged-chr6-127723234-26
NR5436--MA0002.2.RUNX1	chr3	115716233	115716243	-	0.000	0.000	Merged-chr3-115716103-17
NR5787--MA0511.2.RUNX2	chr4	89524893	89524901	-	0.000	0.000	Merged-chr4-89524865-47
NR1285--MA0511.2.RUNX2	chr11	31999989	31999997	+	0.000	0.000	Merged-chr11-32000120-91
NR6--MA0511.2.RUNX2	chr1	7095995	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR5545--MA0002.2.RUNX1	chr3	144411165	144411175	+	0.000	0.000	Merged-chr3-144411311-32
NR900--MA0002.2.RUNX1	chr10	71226071	71226081	+	0.000	0.000	Merged-chr10-71226142-30
NR6971--MA0002.2.RUNX1	chr6	129273874	129273884	-	0.000	0.000	Merged-chr6-129273817-44
NR980--MA0511.2.RUNX2	chr10	84585138	84585146	+	0.000	0.000	Merged-chr10-84585074-38
NR4420--MA0002.2.RUNX1	chr19	43852012	43852022	-	0.000	0.000	Merged-chr19-43852186-34
NR6007--MA0511.2.RUNX2	chr4	148682970	148682978	-	0.000	0.000	Merged-chr4-148683115-2
NR5469--MA0684.1.RUNX3	chr3	126691154	126691163	+	0.000	0.000	Merged-chr3-126690917-48
NR1714--MA0684.1.RUNX3	chr11	119385129	119385138	+	0.000	0.000	Merged-chr11-119385060-32
NR7704--MA0511.2.RUNX2	chr8	66860268	66860276	-	0.000	0.000	Merged-chr8-66860248-21
NR6352--MA0002.2.RUNX1	chr5	103975957	103975967	+	0.000	0.000	Merged-chr5-103975926-24
NR7211--MA0684.1.RUNX3	chr7	43430965	43430974	-	0.000	0.000	Merged-chr7-43430848-7
NR4943--MA0002.2.RUNX1	chr2	140042685	140042695	-	0.000	0.000	Merged-chr2-140042676-83
NR5531--MA0684.1.RUNX3	chr3	138877038	138877047	+	0.000	0.000	Merged-chr3-138877299-79
NR7063--MA0002.2.RUNX1	chr6	142950587	142950597	+	0.000	0.000	Merged-chr6-142950474-44
NR1522--MA0511.2.RUNX2	chr11	86925383	86925391	+	0.000	0.000	Merged-chr11-86925412-36
NR5055--MA0684.1.RUNX3	chr2	163103425	163103434	-	0.000	0.000	Merged-chr2-163103402-48
NR7129--MA0002.2.RUNX1	chr7	10495507	10495517	+	0.000	0.000	Merged-chr7-10495600-2
NR1966--MA0684.1.RUNX3	chr12	100988529	100988538	+	0.000	0.000	Merged-chr12-100988724-71
NR3898--MA0684.1.RUNX3	chr17	71195712	71195721	+	0.000	0.000	Merged-chr17-71195912-39
NR1347--MA0684.1.RUNX3	chr11	49972547	49972556	+	0.000	0.000	Merged-chr11-49972508-11
NR5386--MA0511.2.RUNX2	chr3	101800520	101800528	+	0.000	0.000	Merged-chr3-101800601-48
NR5928--MA0511.2.RUNX2	chr4	135570404	135570412	+	0.000	0.000	Merged-chr4-135570618-46
NR7986--MA0684.1.RUNX3	chr9	11513964	11513973	-	0.000	0.000	Merged-chr9-11513974-36
NR8319--MA0511.2.RUNX2	chr9	101249836	101249844	-	0.000	0.000	Merged-chr9-101249791-43
NR7172--MA0002.2.RUNX1	chr7	28384307	28384317	+	0.000	0.000	Merged-chr7-28384283-3
NR1204--MA0684.1.RUNX3	chr11	4418482	4418491	-	0.000	0.000	Merged-chr11-4418419-5
NR3358--MA0511.2.RUNX2	chr16	23844809	23844817	+	0.000	0.000	Merged-chr16-23844946-41
NR3070--MA0684.1.RUNX3	chr15	59010818	59010827	+	0.000	0.000	Merged-chr15-59010782-34
NR1949--MA0511.2.RUNX2	chr12	99544780	99544788	+	0.000	0.000	Merged-chr12-99544732-47
NR5415--MA0002.2.RUNX1	chr3	107233505	107233515	+	0.000	0.000	Merged-chr3-107233528-55
NR8250--MA0002.2.RUNX1	chr9	86624851	86624861	+	0.000	0.000	Merged-chr9-86625059-9
NR3215--MA0511.2.RUNX2	chr15	85328196	85328204	-	0.000	0.000	Merged-chr15-85328019-32
NR423--MA0684.1.RUNX3	chr1	155099516	155099525	-	0.000	0.000	Merged-chr1-155099585-8
NR5796--MA0684.1.RUNX3	chr4	101069370	101069379	+	0.000	0.000	Merged-chr4-101069276-67
NR3516--MA0684.1.RUNX3	chr16	77358665	77358674	-	0.000	0.000	Merged-chr16-77358770-12
NR7555--MA0511.2.RUNX2	chr7	132824524	132824532	+	0.000	0.000	Merged-chr7-132824609-20
NR7456--MA0002.2.RUNX1	chr7	112400400	112400410	+	0.000	0.000	Merged-chr7-112400264-32
NR5448--MA0684.1.RUNX3	chr3	116380635	116380644	+	0.000	0.000	Merged-chr3-116380638-41
NR2514--MA0002.2.RUNX1	chr13	112509671	112509681	+	0.000	0.000	Merged-chr13-112509641-25
NR1069--MA0002.2.RUNX1	chr10	108168049	108168059	+	0.000	0.000	Merged-chr10-108168166-48
NR4922--MA0002.2.RUNX1	chr2	129675077	129675087	-	0.000	0.000	Merged-chr2-129675156-45
NR4717--MA0002.2.RUNX1	chr2	69861111	69861121	-	0.000	0.000	Merged-chr2-69861077-1
NR2766--MA0002.2.RUNX1	chr14	67887047	67887057	-	0.000	0.000	Merged-chr14-67887091-21
NR5428--MA0002.2.RUNX1	chr3	109341965	109341975	+	0.000	0.000	Merged-chr3-109341971-42
NR7664--MA0511.2.RUNX2	chr8	34397937	34397945	-	0.000	0.000	Merged-chr8-34397971-66
NR7935--MA0511.2.RUNX2	chr8	126867753	126867761	+	0.000	0.000	Merged-chr8-126867742-65
NR1469--MA0684.1.RUNX3	chr11	78345978	78345987	+	0.000	0.000	Merged-chr11-78345997-37
NR7694--MA0684.1.RUNX3	chr8	46852530	46852539	+	0.000	0.000	Merged-chr8-46852602-31
NR1134--MA0511.2.RUNX2	chr10	122544545	122544553	-	0.000	0.000	Merged-chr10-122544406-31
NR2875--MA0002.2.RUNX1	chr14	103532689	103532699	-	0.000	0.000	Merged-chr14-103532610-9
NR5537--MA0002.2.RUNX1	chr3	142437065	142437075	-	0.000	0.000	Merged-chr3-142437047-18
NR5666--MA0684.1.RUNX3	chr4	34687425	34687434	+	0.000	0.000	Merged-chr4-34687322-58
NR7425--MA0511.2.RUNX2	chr7	105554416	105554424	+	0.000	0.000	Merged-chr7-105554530-56
NR1706--MA0684.1.RUNX3	chr11	118609362	118609371	-	0.000	0.000	Merged-chr11-118609481-11
NR3238--MA0002.2.RUNX1	chr15	94478962	94478972	-	0.000	0.000	Merged-chr15-94478905-44
NR7055--MA0002.2.RUNX1	chr6	140533079	140533089	+	0.000	0.000	Merged-chr6-140533090-20
NR525--MA0002.2.RUNX1	chr1	176950177	176950187	-	0.000	0.000	Merged-chr1-176950373-27
NR4521--MA0002.2.RUNX1	chr2	6309690	6309700	-	0.000	0.000	Merged-chr2-6309619-42
NR1100--MA0511.2.RUNX2	chr10	117494059	117494067	+	0.000	0.000	Merged-chr10-117494286-56
NR1766--MA0511.2.RUNX2	chr12	21451579	21451587	+	0.000	0.000	Merged-chr12-21451589-67
NR2636--MA0002.2.RUNX1	chr14	40938924	40938934	-	0.000	0.000	Merged-chr14-40938744-34
NR6182--MA0002.2.RUNX1	chr5	36089621	36089631	-	0.000	0.000	Merged-chr5-36089478-45
NR2888--MA0002.2.RUNX1	chr14	118937865	118937875	+	0.000	0.000	Merged-chr14-118937889-60
NR7359--MA0684.1.RUNX3	chr7	96456531	96456540	+	0.000	0.000	Merged-chr7-96456783-25
NR2701--MA0511.2.RUNX2	chr14	55882490	55882498	-	0.000	0.000	Merged-chr14-55882429-48
NR7438--MA0511.2.RUNX2	chr7	106551481	106551489	+	0.000	0.000	Merged-chr7-106551313-76
NR6291--MA0002.2.RUNX1	chr5	77367866	77367876	+	0.000	0.000	Merged-chr5-77367800-15
