#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR4388--MA0117.2.Mafb	chr16	49793806	49793817	+	0.000	0.000	Merged-chr16-49793742-18
NR4027--MA0089.1.MAFG::NFE2L1	chr15	62809293	62809298	+	0.000	0.000	Merged-chr15-62809402-30
NR6376--MA0089.1.MAFG::NFE2L1	chr2	126322830	126322835	+	0.000	0.000	Merged-chr2-126322901-6
NR430--MA0089.1.MAFG::NFE2L1	chr1	94056132	94056137	-	0.000	0.000	Merged-chr1-94056150-27
NR10824--MA0501.1.MAF::NFE2	chr9	57421458	57421472	-	0.000	0.000	Merged-chr9-57421302-52
NR11144--MA0591.1.Bach1::Mafk	chr9	116319687	116319701	+	0.000	0.000	Merged-chr9-116319642-35
NR7763--MA0591.1.Bach1::Mafk	chr4	86712868	86712882	-	0.000	0.000	Merged-chr4-86712811-38
NR1--MA0089.1.MAFG::NFE2L1	chr1	4785675	4785680	+	0.000	0.000	Merged-chr1-4785759-53
NR2636--MA0501.1.MAF::NFE2	chr12	100903896	100903910	-	0.000	0.000	Merged-chr12-100903895-50
NR10790--MA0591.1.Bach1::Mafk	chr9	44510603	44510617	-	0.000	0.000	Merged-chr9-44510535-66
NR1633--MA0501.1.MAF::NFE2	chr11	3151532	3151546	+	0.000	0.000	Merged-chr11-3151424-21
NR5985--MA0501.1.MAF::NFE2	chr2	50324905	50324919	-	0.000	0.000	Merged-chr2-50324872-17
NR2994--MA0496.2.MAFK	chr13	45623916	45623934	-	0.000	0.000	Merged-chr13-45624002-39
NR5034--MA0501.1.MAF::NFE2	chr17	84243917	84243931	+	0.000	0.000	Merged-chr17-84243747-20
