#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR1147--MA0463.1.Bcl6	chr17	7905022	7905035	+	0.000	0.000	Merged-chr17-7905100-9
NR2483--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR152--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR2237--MA0463.1.Bcl6	chr6	136465167	136465180	+	0.000	0.000	Merged-chr6-136465215-11
NR1832--MA0463.1.Bcl6	chr4	119897624	119897637	+	0.000	0.000	Merged-chr4-119897419-50
NR1956--MA0731.1.BCL6B	chr5	65867462	65867478	-	0.000	0.000	Merged-chr5-65867573-52
NR2040--MA0463.1.Bcl6	chr5	134295811	134295824	-	0.000	0.000	Merged-chr5-134295794-17
NR189--MA0731.1.BCL6B	chr1	173534018	173534034	-	0.000	0.000	Merged-chr1-173534011-13
NR2157--MA0731.1.BCL6B	chr6	85132032	85132048	+	0.000	0.000	Merged-chr6-85131905-22
NR2385--MA0463.1.Bcl6	chr7	122410014	122410027	-	0.000	0.000	Merged-chr7-122410202-9
NR2027--MA0463.1.Bcl6	chr5	123572894	123572907	-	0.000	0.000	Merged-chr5-123572986-50
NR2291--MA0463.1.Bcl6	chr7	25780165	25780178	+	0.000	0.000	Merged-chr7-25780138-19
NR2045--MA0463.1.Bcl6	chr5	138155798	138155811	-	0.000	0.000	Merged-chr5-138155756-50
NR501--MA0731.1.BCL6B	chr11	115128418	115128434	-	0.000	0.000	Merged-chr11-115128624-38
NR1412--MA0463.1.Bcl6	chr2	69862573	69862586	-	0.000	0.000	Merged-chr2-69862499-13
NR1709--MA0731.1.BCL6B	chr3	148762902	148762918	-	0.000	0.000	Merged-chr3-148762804-58
NR1024--MA0731.1.BCL6B	chr15	102109295	102109311	+	0.000	0.000	Merged-chr15-102109338-20
NR856--MA0463.1.Bcl6	chr14	53961143	53961156	-	0.000	0.000	Merged-chr14-53961241-39
NR1385--MA0731.1.BCL6B	chr2	53102298	53102314	+	0.000	0.000	Merged-chr2-53102302-39
NR1099--MA0463.1.Bcl6	chr16	57470745	57470758	+	0.000	0.000	Merged-chr16-57470563-3
NR1417--MA0731.1.BCL6B	chr2	70091934	70091950	-	0.000	0.000	Merged-chr2-70091832-100
NR986--MA0463.1.Bcl6	chr15	65810689	65810702	+	0.000	0.000	Merged-chr15-65810890-18
NR628--MA0463.1.Bcl6	chr12	118376797	118376810	+	0.000	0.000	Merged-chr12-118376782-123
NR2681--MA0731.1.BCL6B	chr9	121675081	121675097	-	0.000	0.000	Merged-chr9-121675261-45
NR2619--MA0463.1.Bcl6	chr9	96650993	96651006	-	0.000	0.000	Merged-chr9-96650988-6
NR1690--MA0463.1.Bcl6	chr3	137955595	137955608	+	0.000	0.000	Merged-chr3-137955835-60
NR2310--MA0463.1.Bcl6	chr7	45136082	45136095	+	0.000	0.000	Merged-chr7-45136227-69
NR1659--MA0463.1.Bcl6	chr3	126596843	126596856	+	0.000	0.000	Merged-chr3-126597082-207
