#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1284--MA0731.1.BCL6B	chr8	25535526	25535542	+	0.000	0.000	Merged-chr8-25535520-11
NR269--MA0463.1.Bcl6	chr11	83191706	83191719	-	0.000	0.000	Merged-chr11-83191791-99
NR1412--MA0731.1.BCL6B	chr9	120496881	120496897	-	0.000	0.000	Merged-chr9-120496837-19
NR1045--MA0731.1.BCL6B	chr5	77301630	77301646	-	0.000	0.000	Merged-chr5-77301690-13
NR296--MA0463.1.Bcl6	chr11	105249475	105249488	-	0.000	0.000	Merged-chr11-105249581-14
NR1263--MA0731.1.BCL6B	chr7	137410905	137410921	-	0.000	0.000	Merged-chr7-137410817-94
NR726--MA0463.1.Bcl6	chr19	56770819	56770832	-	0.000	0.000	Merged-chr19-56770772-3
NR762--MA0463.1.Bcl6	chr2	48333073	48333086	+	0.000	0.000	Merged-chr2-48333008-54
NR1308--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR1146--MA0731.1.BCL6B	chr6	125467491	125467507	-	0.000	0.000	Merged-chr6-125467519-12
NR780--MA0463.1.Bcl6	chr2	72283051	72283064	-	0.000	0.000	Merged-chr2-72282934-17
NR628--MA0463.1.Bcl6	chr17	44433034	44433047	-	0.000	0.000	Merged-chr17-44432942-14
NR35--MA0731.1.BCL6B	chr1	74661790	74661806	+	0.000	0.000	Merged-chr1-74661827-58
NR38--MA0463.1.Bcl6	chr1	79701872	79701885	+	0.000	0.000	Merged-chr1-79701854-14
NR570--MA0731.1.BCL6B	chr16	44394992	44395008	-	0.000	0.000	Merged-chr16-44394866-28
NR758--MA0463.1.Bcl6	chr2	36049404	36049417	-	0.000	0.000	Merged-chr2-36049261-79
NR74--MA0463.1.Bcl6	chr1	152090779	152090792	-	0.000	0.000	Merged-chr1-152090804-1
NR692--MA0731.1.BCL6B	chr19	6910118	6910134	-	0.000	0.000	Merged-chr19-6909956-83
NR1319--MA0463.1.Bcl6	chr8	105758600	105758613	-	0.000	0.000	Merged-chr8-105758558-56
NR221--MA0463.1.Bcl6	chr10	122807187	122807200	-	0.000	0.000	Merged-chr10-122807301-39
NR351--MA0463.1.Bcl6	chr12	101083385	101083398	+	0.000	0.000	Merged-chr12-101083518-85
NR481--MA0463.1.Bcl6	chr14	120313531	120313544	+	0.000	0.000	Merged-chr14-120313531-118
NR1098--MA0731.1.BCL6B	chr6	29474015	29474031	-	0.000	0.000	Merged-chr6-29474137-48
NR812--MA0731.1.BCL6B	chr2	132115397	132115413	+	0.000	0.000	Merged-chr2-132115491-16
NR1226--MA0731.1.BCL6B	chr7	90218276	90218292	+	0.000	0.000	Merged-chr7-90218311-11
NR793--MA0731.1.BCL6B	chr2	103485213	103485229	-	0.000	0.000	Merged-chr2-103485172-63
NR356--MA0463.1.Bcl6	chr12	107993658	107993671	+	0.000	0.000	Merged-chr12-107993756-1
NR1257--MA0463.1.Bcl6	chr7	130800943	130800956	+	0.000	0.000	Merged-chr7-130801003-64
NR253--MA0463.1.Bcl6	chr11	59471425	59471438	-	0.000	0.000	Merged-chr11-59471630-3
NR1295--MA0731.1.BCL6B	chr8	66486562	66486578	-	0.000	0.000	Merged-chr8-66486443-62
NR546--MA0731.1.BCL6B	chr16	8728335	8728351	-	0.000	0.000	Merged-chr16-8728485-34
NR294--MA0463.1.Bcl6	chr11	103344789	103344802	+	0.000	0.000	Merged-chr11-103344829-56
NR1195--MA0463.1.Bcl6	chr7	39544308	39544321	+	0.000	0.000	Merged-chr7-39544508-62
NR603--MA0463.1.Bcl6	chr17	5885254	5885267	-	0.000	0.000	Merged-chr17-5885218-3
NR809--MA0463.1.Bcl6	chr2	131423734	131423747	+	0.000	0.000	Merged-chr2-131423775-8
NR1069--MA0731.1.BCL6B	chr5	121185064	121185080	+	0.000	0.000	Merged-chr5-121185063-20
