#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1147--MA0463.1.Bcl6	chr4	83315152	83315165	-	0.000	0.000	Merged-chr4-83315362-155
NR1259--MA0463.1.Bcl6	chr5	34637166	34637179	+	0.000	0.000	Merged-chr5-34637135-1
NR170--MA0463.1.Bcl6	chr10	28816361	28816374	+	0.000	0.000	Merged-chr10-28816240-37
NR376--MA0463.1.Bcl6	chr12	77309292	77309305	-	0.000	0.000	Merged-chr12-77309425-13
NR1707--MA0463.1.Bcl6	chr9	102784597	102784610	-	0.000	0.000	Merged-chr9-102784634-33
NR761--MA0731.1.BCL6B	chr18	12585081	12585097	+	0.000	0.000	Merged-chr18-12585200-22
NR1651--MA0731.1.BCL6B	chr9	43743183	43743199	+	0.000	0.000	Merged-chr9-43743133-2
NR269--MA0463.1.Bcl6	chr11	45791854	45791867	-	0.000	0.000	Merged-chr11-45791953-26
NR1412--MA0731.1.BCL6B	chr6	113661633	113661649	-	0.000	0.000	Merged-chr6-113661383-125
NR1067--MA0463.1.Bcl6	chr3	108085486	108085499	-	0.000	0.000	Merged-chr3-108085471-67
NR1734--MA0463.1.Bcl6	chr9	123749900	123749913	+	0.000	0.000	Merged-chr9-123749851-10
NR1425--MA0731.1.BCL6B	chr6	124902079	124902095	+	0.000	0.000	Merged-chr6-124902062-25
NR708--MA0463.1.Bcl6	chr17	33358764	33358777	+	0.000	0.000	Merged-chr17-33358776-57
NR1752--MA0463.1.Bcl6	chrX	101369227	101369240	-	0.000	0.000	Merged-chrX-101369155-35
NR301--MA0463.1.Bcl6	chr11	83065058	83065071	+	0.000	0.000	Merged-chr11-83065248-62
NR1202--MA0463.1.Bcl6	chr4	133073286	133073299	-	0.000	0.000	Merged-chr4-133073490-32
NR1417--MA0731.1.BCL6B	chr6	116267159	116267175	-	0.000	0.000	Merged-chr6-116266930-40
NR780--MA0463.1.Bcl6	chr18	60375902	60375915	+	0.000	0.000	Merged-chr18-60375896-42
NR413--MA0463.1.Bcl6	chr12	111897083	111897096	+	0.000	0.000	Merged-chr12-111897164-28
NR1547--MA0463.1.Bcl6	chr7	140193006	140193019	-	0.000	0.000	Merged-chr7-140193008-50
NR1659--MA0463.1.Bcl6	chr9	50924708	50924721	-	0.000	0.000	Merged-chr9-50924601-13
NR1473--MA0731.1.BCL6B	chr7	28372749	28372765	-	0.000	0.000	Merged-chr7-28372841-69
NR888--MA0463.1.Bcl6	chr2	54375677	54375690	-	0.000	0.000	Merged-chr2-54375719-2
NR1449--MA0463.1.Bcl6	chr6	144670840	144670853	-	0.000	0.000	Merged-chr6-144670724-72
NR291--MA0731.1.BCL6B	chr11	69921667	69921683	+	0.000	0.000	Merged-chr11-69921533-99
NR1346--MA0463.1.Bcl6	chr5	150840181	150840194	+	0.000	0.000	Merged-chr5-150840006-2
NR351--MA0463.1.Bcl6	chr12	28649539	28649552	-	0.000	0.000	Merged-chr12-28649710-52
NR942--MA0731.1.BCL6B	chr2	122356308	122356324	+	0.000	0.000	Merged-chr2-122356412-11
NR1290--MA0731.1.BCL6B	chr5	100651692	100651708	+	0.000	0.000	Merged-chr5-100651654-38
NR678--MA0463.1.Bcl6	chr16	75920952	75920965	-	0.000	0.000	Merged-chr16-75921068-56
NR1579--MA0463.1.Bcl6	chr8	46943697	46943710	+	0.000	0.000	Merged-chr8-46943576-48
NR1736--MA0731.1.BCL6B	chrX	20364486	20364502	+	0.000	0.000	Merged-chrX-20364570-48
NR584--MA0463.1.Bcl6	chr15	38518287	38518300	-	0.000	0.000	Merged-chr15-38518309-9
NR338--MA0463.1.Bcl6	chr11	118200471	118200484	+	0.000	0.000	Merged-chr11-118200400-19
NR1574--MA0731.1.BCL6B	chr8	34689119	34689135	-	0.000	0.000	Merged-chr8-34689039-1
NR1154--MA0463.1.Bcl6	chr4	88179521	88179534	+	0.000	0.000	Merged-chr4-88179548-21
NR1173--MA0731.1.BCL6B	chr4	102517522	102517538	+	0.000	0.000	Merged-chr4-102517403-41
NR411--MA0731.1.BCL6B	chr12	111182140	111182156	+	0.000	0.000	Merged-chr12-111182112-59
NR271--MA0463.1.Bcl6	chr11	46393592	46393605	+	0.000	0.000	Merged-chr11-46393520-11
NR1205--MA0731.1.BCL6B	chr4	134714153	134714169	-	0.000	0.000	Merged-chr4-134714108-20
NR701--MA0463.1.Bcl6	chr17	24414487	24414500	-	0.000	0.000	Merged-chr17-24414569-93
NR1043--MA0731.1.BCL6B	chr3	89266517	89266533	-	0.000	0.000	Merged-chr3-89266655-39
NR1038--MA0463.1.Bcl6	chr3	86248060	86248073	+	0.000	0.000	Merged-chr3-86247740-69
NR1056--MA0463.1.Bcl6	chr3	96905379	96905392	+	0.000	0.000	Merged-chr3-96905193-62
NR276--MA0463.1.Bcl6	chr11	51638254	51638267	-	0.000	0.000	Merged-chr11-51638186-26
NR751--MA0731.1.BCL6B	chr17	86832839	86832855	-	0.000	0.000	Merged-chr17-86833009-31
NR294--MA0463.1.Bcl6	chr11	76399039	76399052	-	0.000	0.000	Merged-chr11-76399136-77
NR13--MA0463.1.Bcl6	chr1	58956329	58956342	+	0.000	0.000	Merged-chr1-58956255-56
NR31--MA0463.1.Bcl6	chr1	85794352	85794365	-	0.000	0.000	Merged-chr1-85794071-131
NR948--MA0463.1.Bcl6	chr2	125859091	125859104	-	0.000	0.000	Merged-chr2-125858986-61
NR1746--MA0463.1.Bcl6	chrX	77801689	77801702	-	0.000	0.000	Merged-chrX-77801758-16
NR220--MA0731.1.BCL6B	chr10	93985650	93985666	+	0.000	0.000	Merged-chr10-93985650-27
NR472--MA0731.1.BCL6B	chr13	66905343	66905359	-	0.000	0.000	Merged-chr13-66905214-64
NR538--MA0731.1.BCL6B	chr14	55604120	55604136	+	0.000	0.000	Merged-chr14-55604128-61
NR1157--MA0731.1.BCL6B	chr4	88878617	88878633	-	0.000	0.000	Merged-chr4-88878442-11
NR1424--MA0463.1.Bcl6	chr6	124902079	124902092	-	0.000	0.000	Merged-chr6-124902062-25
NR993--MA0463.1.Bcl6	chr2	164878910	164878923	-	0.000	0.000	Merged-chr2-164878801-14
NR342--MA0731.1.BCL6B	chr12	4436420	4436436	+	0.000	0.000	Merged-chr12-4436328-23
NR765--MA0463.1.Bcl6	chr18	32880671	32880684	-	0.000	0.000	Merged-chr18-32880667-46
NR407--MA0463.1.Bcl6	chr12	107992791	107992804	-	0.000	0.000	Merged-chr12-107992676-1
NR313--MA0463.1.Bcl6	chr11	101087270	101087283	+	0.000	0.000	Merged-chr11-101087263-56
NR537--MA0463.1.Bcl6	chr14	55604120	55604133	-	0.000	0.000	Merged-chr14-55604128-61
NR1590--MA0463.1.Bcl6	chr8	81341652	81341665	-	0.000	0.000	Merged-chr8-81341830-13
NR68--MA0463.1.Bcl6	chr1	137900526	137900539	-	0.000	0.000	Merged-chr1-137900756-69
NR461--MA0463.1.Bcl6	chr13	51848928	51848941	-	0.000	0.000	Merged-chr13-51849013-24
NR667--MA0463.1.Bcl6	chr16	59451820	59451833	-	0.000	0.000	Merged-chr16-59451982-14
NR86--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR1116--MA0463.1.Bcl6	chr3	153968834	153968847	-	0.000	0.000	Merged-chr3-153968736-17
NR112--MA0463.1.Bcl6	chr1	173451217	173451230	+	0.000	0.000	Merged-chr1-173451146-1
NR1586--MA0463.1.Bcl6	chr8	71537438	71537451	+	0.000	0.000	Merged-chr8-71537469-55
NR1492--MA0463.1.Bcl6	chr7	80583354	80583367	-	0.000	0.000	Merged-chr7-80583398-64
NR900--MA0463.1.Bcl6	chr2	65668550	65668563	-	0.000	0.000	Merged-chr2-65668697-46
NR345--MA0463.1.Bcl6	chr12	8521518	8521531	+	0.000	0.000	Merged-chr12-8521654-50
NR457--MA0463.1.Bcl6	chr13	48929716	48929729	+	0.000	0.000	Merged-chr13-48929819-47
NR363--MA0463.1.Bcl6	chr12	55499293	55499306	-	0.000	0.000	Merged-chr12-55499248-31
NR117--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR1376--MA0463.1.Bcl6	chr6	65615679	65615692	-	0.000	0.000	Merged-chr6-65615875-23
NR950--MA0463.1.Bcl6	chr2	126676037	126676050	+	0.000	0.000	Merged-chr2-126676063-4
NR1184--MA0463.1.Bcl6	chr4	116651704	116651717	-	0.000	0.000	Merged-chr4-116651530-57
NR414--MA0731.1.BCL6B	chr12	111897080	111897096	+	0.000	0.000	Merged-chr12-111897164-28
NR1296--MA0463.1.Bcl6	chr5	107953079	107953092	-	0.000	0.000	Merged-chr5-107953037-18
NR1081--MA0463.1.Bcl6	chr3	126650649	126650662	+	0.000	0.000	Merged-chr3-126650760-81
NR825--MA0463.1.Bcl6	chr19	23151784	23151797	+	0.000	0.000	Merged-chr19-23151746-23
NR318--MA0731.1.BCL6B	chr11	106762572	106762588	+	0.000	0.000	Merged-chr11-106762485-69
NR709--MA0463.1.Bcl6	chr17	33865564	33865577	-	0.000	0.000	Merged-chr17-33865585-36
NR1086--MA0463.1.Bcl6	chr3	130691304	130691317	+	0.000	0.000	Merged-chr3-130691489-97
NR973--MA0463.1.Bcl6	chr2	147013882	147013895	-	0.000	0.000	Merged-chr2-147013782-1
NR1301--MA0463.1.Bcl6	chr5	113994100	113994113	-	0.000	0.000	Merged-chr5-113994160-2
NR512--MA0463.1.Bcl6	chr14	21751206	21751219	+	0.000	0.000	Merged-chr14-21751004-106
NR624--MA0463.1.Bcl6	chr15	99474090	99474103	-	0.000	0.000	Merged-chr15-99474072-2
NR642--MA0463.1.Bcl6	chr16	21794450	21794463	-	0.000	0.000	Merged-chr16-21794397-74
NR875--MA0463.1.Bcl6	chr2	29346721	29346734	+	0.000	0.000	Merged-chr2-29346860-41
NR1409--MA0463.1.Bcl6	chr6	108296160	108296173	-	0.000	0.000	Merged-chr6-108296153-11
NR320--MA0463.1.Bcl6	chr11	108101668	108101681	-	0.000	0.000	Merged-chr11-108101692-19
NR1732--MA0731.1.BCL6B	chr9	122150686	122150702	-	0.000	0.000	Merged-chr9-122150542-33
NR597--MA0731.1.BCL6B	chr15	75116729	75116745	+	0.000	0.000	Merged-chr15-75116670-38
NR437--MA0463.1.Bcl6	chr13	12507721	12507734	+	0.000	0.000	Merged-chr13-12507577-43
NR1481--MA0463.1.Bcl6	chr7	49272654	49272667	+	0.000	0.000	Merged-chr7-49272707-39
NR1593--MA0463.1.Bcl6	chr8	84127547	84127560	+	0.000	0.000	Merged-chr8-84127420-70
NR1020--MA0463.1.Bcl6	chr3	37747939	37747952	-	0.000	0.000	Merged-chr3-37748093-56
NR1201--MA0731.1.BCL6B	chr4	132775157	132775173	+	0.000	0.000	Merged-chr4-132775105-24
NR119--MA0731.1.BCL6B	chr1	178187462	178187478	+	0.000	0.000	Merged-chr1-178187385-1
NR464--MA0463.1.Bcl6	chr13	59675431	59675444	+	0.000	0.000	Merged-chr13-59675579-56
NR585--MA0463.1.Bcl6	chr15	42479767	42479780	-	0.000	0.000	Merged-chr15-42479661-25
NR1137--MA0463.1.Bcl6	chr4	59438283	59438296	+	0.000	0.000	Merged-chr4-59438300-38
NR175--MA0731.1.BCL6B	chr10	39133922	39133938	+	0.000	0.000	Merged-chr10-39134020-55
NR1710--MA0463.1.Bcl6	chr9	105643038	105643051	+	0.000	0.000	Merged-chr9-105643016-54
NR1267--MA0463.1.Bcl6	chr5	67260764	67260777	-	0.000	0.000	Merged-chr5-67260794-69
NR459--MA0731.1.BCL6B	chr13	49449501	49449517	+	0.000	0.000	Merged-chr13-49449603-25
NR908--MA0463.1.Bcl6	chr2	75055298	75055311	+	0.000	0.000	Merged-chr2-75055098-51
NR1697--MA0731.1.BCL6B	chr9	96583493	96583509	-	0.000	0.000	Merged-chr9-96583315-51
NR1039--MA0463.1.Bcl6	chr3	87266741	87266754	-	0.000	0.000	Merged-chr3-87266700-20
NR1140--MA0731.1.BCL6B	chr4	63668514	63668530	+	0.000	0.000	Merged-chr4-63668506-36
NR1612--MA0463.1.Bcl6	chr8	107056890	107056903	-	0.000	0.000	Merged-chr8-107056733-66
NR156--MA0463.1.Bcl6	chr10	5603692	5603705	-	0.000	0.000	Merged-chr10-5603707-32
NR1630--MA0463.1.Bcl6	chr8	128506209	128506222	+	0.000	0.000	Merged-chr8-128506100-25
NR1153--MA0731.1.BCL6B	chr4	88119075	88119091	+	0.000	0.000	Merged-chr4-88119063-23
NR1751--MA0463.1.Bcl6	chrX	101222330	101222343	-	0.000	0.000	Merged-chrX-101222420-75
NR14--MA0463.1.Bcl6	chr1	60875480	60875493	+	0.000	0.000	Merged-chr1-60875356-55
NR1420--MA0463.1.Bcl6	chr6	120483384	120483397	+	0.000	0.000	Merged-chr6-120483394-54
NR1493--MA0731.1.BCL6B	chr7	80583354	80583370	+	0.000	0.000	Merged-chr7-80583398-64
NR864--MA0463.1.Bcl6	chr2	11170163	11170176	-	0.000	0.000	Merged-chr2-11170102-28
NR1550--MA0463.1.Bcl6	chr7	141539881	141539894	+	0.000	0.000	Merged-chr7-141539808-64
NR1002--MA0731.1.BCL6B	chr2	170347477	170347493	-	0.000	0.000	Merged-chr2-170347506-9
NR1537--MA0463.1.Bcl6	chr7	132805245	132805258	+	0.000	0.000	Merged-chr7-132805097-15
NR46--MA0463.1.Bcl6	chr1	119087772	119087785	+	0.000	0.000	Merged-chr1-119087737-35
NR601--MA0731.1.BCL6B	chr15	80318088	80318104	+	0.000	0.000	Merged-chr15-80318050-7
NR1472--MA0731.1.BCL6B	chr7	28277756	28277772	+	0.000	0.000	Merged-chr7-28277834-40
NR1124--MA0731.1.BCL6B	chr4	41723223	41723239	+	0.000	0.000	Merged-chr4-41723185-51
NR1000--MA0463.1.Bcl6	chr2	168159068	168159081	-	0.000	0.000	Merged-chr2-168159188-34
NR1206--MA0463.1.Bcl6	chr4	135963648	135963661	-	0.000	0.000	Merged-chr4-135963723-59
NR323--MA0463.1.Bcl6	chr11	109758841	109758854	+	0.000	0.000	Merged-chr11-109758787-36
NR1594--MA0731.1.BCL6B	chr8	84127544	84127560	-	0.000	0.000	Merged-chr8-84127420-70
NR444--MA0463.1.Bcl6	chr13	23551448	23551461	-	0.000	0.000	Merged-chr13-23551555-61
NR1103--MA0731.1.BCL6B	chr3	139033354	139033370	-	0.000	0.000	Merged-chr3-139033383-15
NR1242--MA0463.1.Bcl6	chr5	15463477	15463490	-	0.000	0.000	Merged-chr5-15463395-183
NR1050--MA0731.1.BCL6B	chr3	95135853	95135869	-	0.000	0.000	Merged-chr3-95135773-59
NR954--MA0731.1.BCL6B	chr2	128429185	128429201	-	0.000	0.000	Merged-chr2-128428948-146
NR1229--MA0463.1.Bcl6	chr4	150799032	150799045	-	0.000	0.000	Merged-chr4-150799073-80
NR540--MA0731.1.BCL6B	chr14	56262285	56262301	+	0.000	0.000	Merged-chr14-56262328-32
NR1390--MA0463.1.Bcl6	chr6	86570935	86570948	+	0.000	0.000	Merged-chr6-86570900-55
NR458--MA0463.1.Bcl6	chr13	49449501	49449514	-	0.000	0.000	Merged-chr13-49449603-25
NR824--MA0731.1.BCL6B	chr19	21747618	21747634	-	0.000	0.000	Merged-chr19-21747536-25
NR933--MA0731.1.BCL6B	chr2	104574416	104574432	-	0.000	0.000	Merged-chr2-104574319-21
NR588--MA0463.1.Bcl6	chr15	55854765	55854778	+	0.000	0.000	Merged-chr15-55854766-48
NR1469--MA0731.1.BCL6B	chr7	25647999	25648015	-	0.000	0.000	Merged-chr7-25647877-43
NR370--MA0731.1.BCL6B	chr12	73162857	73162873	-	0.000	0.000	Merged-chr12-73162812-38
NR1326--MA0731.1.BCL6B	chr5	140980910	140980926	-	0.000	0.000	Merged-chr5-140980971-7
NR1578--MA0731.1.BCL6B	chr8	41417113	41417129	+	0.000	0.000	Merged-chr8-41416899-78
NR750--MA0731.1.BCL6B	chr17	86301371	86301387	-	0.000	0.000	Merged-chr17-86301226-81
NR1069--MA0463.1.Bcl6	chr3	108718084	108718097	+	0.000	0.000	Merged-chr3-108718262-42
NR981--MA0731.1.BCL6B	chr2	150831251	150831267	+	0.000	0.000	Merged-chr2-150831170-42
NR1642--MA0463.1.Bcl6	chr9	35117633	35117646	+	0.000	0.000	Merged-chr9-35117725-13
NR32--MA0731.1.BCL6B	chr1	85794368	85794384	-	0.000	0.000	Merged-chr1-85794071-131
NR186--MA0463.1.Bcl6	chr10	67623465	67623478	-	0.000	0.000	Merged-chr10-67623487-11
NR742--MA0731.1.BCL6B	chr17	79599513	79599529	-	0.000	0.000	Merged-chr17-79599396-20
NR1508--MA0463.1.Bcl6	chr7	100448546	100448559	-	0.000	0.000	Merged-chr7-100448653-1
NR1311--MA0463.1.Bcl6	chr5	121449392	121449405	-	0.000	0.000	Merged-chr5-121449404-2
NR11--MA0731.1.BCL6B	chr1	40515344	40515360	-	0.000	0.000	Merged-chr1-40515347-62
NR516--MA0731.1.BCL6B	chr14	25832478	25832494	-	0.000	0.000	Merged-chr14-25832526-44
NR876--MA0463.1.Bcl6	chr2	34938980	34938993	+	0.000	0.000	Merged-chr2-34938971-69
NR303--MA0463.1.Bcl6	chr11	86624492	86624505	+	0.000	0.000	Merged-chr11-86624418-56
NR1204--MA0463.1.Bcl6	chr4	133843311	133843324	+	0.000	0.000	Merged-chr4-133843326-54
NR1082--MA0731.1.BCL6B	chr3	126650646	126650662	+	0.000	0.000	Merged-chr3-126650760-81
NR1222--MA0463.1.Bcl6	chr4	147848425	147848438	+	0.000	0.000	Merged-chr4-147848412-69
NR1148--MA0731.1.BCL6B	chr4	83315152	83315168	+	0.000	0.000	Merged-chr4-83315362-155
NR58--MA0463.1.Bcl6	chr1	131089895	131089908	+	0.000	0.000	Merged-chr1-131089879-35
NR1446--MA0463.1.Bcl6	chr6	143115346	143115359	-	0.000	0.000	Merged-chr6-143115192-122,Merged-chr6-143115547-2
NR700--MA0731.1.BCL6B	chr17	23592880	23592896	-	0.000	0.000	Merged-chr17-23592787-37
NR681--MA0731.1.BCL6B	chr16	91374132	91374148	-	0.000	0.000	Merged-chr16-91374174-40
NR1352--MA0463.1.Bcl6	chr6	29271104	29271117	+	0.000	0.000	Merged-chr6-29271103-44
NR317--MA0463.1.Bcl6	chr11	106536328	106536341	+	0.000	0.000	Merged-chr11-106536245-61
NR581--MA0463.1.Bcl6	chr15	36688500	36688513	+	0.000	0.000	Merged-chr15-36688481-45
NR694--MA0731.1.BCL6B	chr17	12880435	12880451	-	0.000	0.000	Merged-chr17-12880284-23
NR280--MA0731.1.BCL6B	chr11	57673382	57673398	-	0.000	0.000	Merged-chr11-57673266-26
NR551--MA0731.1.BCL6B	chr14	70076773	70076789	+	0.000	0.000	Merged-chr14-70076912-39
NR1021--MA0463.1.Bcl6	chr3	37753353	37753366	-	0.000	0.000	Merged-chr3-37753406-27
NR184--MA0731.1.BCL6B	chr10	60760468	60760484	+	0.000	0.000	Merged-chr10-60760629-44
NR568--MA0463.1.Bcl6	chr14	120278328	120278341	+	0.000	0.000	Merged-chr14-120278358-14
NR978--MA0731.1.BCL6B	chr2	148655090	148655106	+	0.000	0.000	Merged-chr2-148655162-38
NR353--MA0463.1.Bcl6	chr12	33235889	33235902	+	0.000	0.000	Merged-chr12-33235849-22
NR107--MA0463.1.Bcl6	chr1	170632632	170632645	+	0.000	0.000	Merged-chr1-170632592-34
NR371--MA0463.1.Bcl6	chr12	73705267	73705280	-	0.000	0.000	Merged-chr12-73705441-25
NR219--MA0463.1.Bcl6	chr10	93985595	93985608	-	0.000	0.000	Merged-chr10-93985650-27
NR1119--MA0731.1.BCL6B	chr4	8691054	8691070	-	0.000	0.000	Merged-chr4-8690646-122
NR810--MA0463.1.Bcl6	chr18	89197733	89197746	-	0.000	0.000	Merged-chr18-89197638-86
