#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR1018--MA0482.1.Gata4	chr12	16474652	16474662	-	0.000	0.000	Merged-chr12-16474710-17
NR779--MA0036.3.GATA2	chr11	64899064	64899074	+	0.000	0.000	Merged-chr11-64899021-36
NR4961--MA0482.1.Gata4	chr9	94614101	94614111	+	0.000	0.000	Merged-chr9-94614117-31
NR2614--MA0766.1.GATA5	chr19	14286604	14286611	+	0.000	0.000	Merged-chr19-14286604-14
NR2020--MA0035.3.Gata1	chr16	32645537	32645547	+	0.000	0.000	Merged-chr16-32645495-50
NR4297--MA0037.3.GATA3	chr7	47015782	47015789	-	0.000	0.000	Merged-chr7-47015889-36
NR4265--MA0036.3.GATA2	chr7	30280500	30280510	-	0.000	0.000	Merged-chr7-30280528-94
NR2585--MA0036.3.GATA2	chr19	8019877	8019887	+	0.000	0.000	Merged-chr19-8019847-106
NR5154--MA0140.2.GATA1::TAL1	chrX	166185426	166185443	+	0.000	0.000	Merged-chrX-166185579-37
NR4241--MA0140.2.GATA1::TAL1	chr7	25238363	25238380	-	0.000	0.000	Merged-chr7-25238227-126
NR2518--MA0766.1.GATA5	chr18	66502128	66502135	+	0.000	0.000	Merged-chr18-66502099-22
NR4926--MA0766.1.GATA5	chr9	77918310	77918317	+	0.000	0.000	Merged-chr9-77918382-16
NR1253--MA1104.1.GATA6	chr13	36886172	36886184	+	0.000	0.000	Merged-chr13-36886287-43
NR1840--MA0036.3.GATA2	chr15	66313844	66313854	+	0.000	0.000	Merged-chr15-66313802-12
NR4231--MA0036.3.GATA2	chr7	19332940	19332950	+	0.000	0.000	Merged-chr7-19332998-44
NR2561--MA0766.1.GATA5	chr18	89206490	89206497	+	0.000	0.000	Merged-chr18-89206335-76
NR564--MA0482.1.Gata4	chr10	96201431	96201441	-	0.000	0.000	Merged-chr10-96201472-66
NR2670--MA0766.1.GATA5	chr19	34299574	34299581	-	0.000	0.000	Merged-chr19-34299504-34
NR2194--MA0766.1.GATA5	chr17	13654911	13654918	+	0.000	0.000	Merged-chr17-13654932-70
NR2465--MA0766.1.GATA5	chr18	46448741	46448748	+	0.000	0.000	Merged-chr18-46448750-18
NR4964--MA0035.3.Gata1	chr9	94614100	94614110	+	0.000	0.000	Merged-chr9-94614117-31
NR201--MA0036.3.GATA2	chr1	130838473	130838483	-	0.000	0.000	Merged-chr1-130838519-27
NR4592--MA0036.3.GATA2	chr8	34164659	34164669	+	0.000	0.000	Merged-chr8-34164566-26
NR2322--MA0766.1.GATA5	chr17	62784084	62784091	-	0.000	0.000	Merged-chr17-62784192-42
NR1808--MA1104.1.GATA6	chr15	52900012	52900024	+	0.000	0.000	Merged-chr15-52899831-78
NR463--MA0766.1.GATA5	chr10	59431035	59431042	+	0.000	0.000	Merged-chr10-59431050-41
NR724--MA0036.3.GATA2	chr11	36001078	36001088	+	0.000	0.000	Merged-chr11-36000971-2
NR5083--MA1104.1.GATA6	chrX	12007352	12007364	+	0.000	0.000	Merged-chrX-12007363-15
NR1419--MA0766.1.GATA5	chr13	102875202	102875209	+	0.000	0.000	Merged-chr13-102875123-19
NR4515--MA0036.3.GATA2	chr7	127288040	127288050	-	0.000	0.000	Merged-chr7-127288112-51
NR4321--MA0482.1.Gata4	chr7	65705269	65705279	-	0.000	0.000	Merged-chr7-65705151-59
NR2912--MA0482.1.Gata4	chr2	115855978	115855988	+	0.000	0.000	Merged-chr2-115856078-28
NR3147--MA0482.1.Gata4	chr3	68240093	68240103	-	0.000	0.000	Merged-chr3-68240034-18
NR4972--MA0036.3.GATA2	chr9	95279896	95279906	+	0.000	0.000	Merged-chr9-95279790-94
NR4496--MA0036.3.GATA2	chr7	125472389	125472399	-	0.000	0.000	Merged-chr7-125472313-74
NR291--MA0036.3.GATA2	chr1	161436711	161436721	+	0.000	0.000	Merged-chr1-161436721-21
NR4183--MA0035.3.Gata1	chr6	136944657	136944667	-	0.000	0.000	Merged-chr6-136944749-25
NR412--MA0140.2.GATA1::TAL1	chr10	26358952	26358969	-	0.000	0.000	Merged-chr10-26358949-44
NR567--MA0035.3.Gata1	chr10	96201432	96201442	-	0.000	0.000	Merged-chr10-96201472-66
NR2374--MA0140.2.GATA1::TAL1	chr17	79394120	79394137	+	0.000	0.000	Merged-chr17-79394145-31
NR4733--MA0036.3.GATA2	chr8	117801964	117801974	-	0.000	0.000	Merged-chr8-117802067-74
