#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR5444--MA0002.2.RUNX1	chr4	34881095	34881105	-	0.000	0.000	Merged-chr4-34881201-30
NR5715--MA0002.2.RUNX1	chr4	127095481	127095491	-	0.000	0.000	Merged-chr4-127095353-15
NR5381--MA0511.2.RUNX2	chr3	157572239	157572247	+	0.000	0.000	Merged-chr3-157572162-49
NR5718--MA0511.2.RUNX2	chr4	128811607	128811615	+	0.000	0.000	Merged-chr4-128811652-46
NR3767--MA0511.2.RUNX2	chr18	14717391	14717399	+	0.000	0.000	Merged-chr18-14717418-17
NR7504--MA0002.2.RUNX1	chr8	4588368	4588378	-	0.000	0.000	Merged-chr8-4588532-21
NR1216--MA0511.2.RUNX2	chr11	34048974	34048982	+	0.000	0.000	Merged-chr11-34049016-54
NR3545--MA0684.1.RUNX3	chr17	51906664	51906673	-	0.000	0.000	Merged-chr17-51906510-37
NR161--MA0002.2.RUNX1	chr1	62829800	62829810	+	0.000	0.000	Merged-chr1-62829921-36
NR5304--MA0511.2.RUNX2	chr3	142674815	142674823	-	0.000	0.000	Merged-chr3-142674758-15
NR3131--MA0684.1.RUNX3	chr16	26041497	26041506	+	0.000	0.000	Merged-chr16-26041610-31
NR6459--MA0684.1.RUNX3	chr6	30671900	30671909	+	0.000	0.000	Merged-chr6-30671721-27
NR2179--MA0511.2.RUNX2	chr13	91484404	91484412	-	0.000	0.000	Merged-chr13-91484361-55
NR3525--MA0002.2.RUNX1	chr17	46870519	46870529	-	0.000	0.000	Merged-chr17-46870796-80
NR3049--MA0002.2.RUNX1	chr16	3988644	3988654	-	0.000	0.000	Merged-chr16-3988637-25
NR2943--MA0684.1.RUNX3	chr15	84388982	84388991	-	0.000	0.000	Merged-chr15-84388969-27
NR3383--MA0684.1.RUNX3	chr17	12779675	12779684	+	0.000	0.000	Merged-chr17-12779645-43
NR270--MA0002.2.RUNX1	chr1	88720729	88720739	-	0.000	0.000	Merged-chr1-88720923-30
NR3111--MA0002.2.RUNX1	chr16	22526576	22526586	+	0.000	0.000	Merged-chr16-22526487-34
NR541--MA0002.2.RUNX1	chr1	172312074	172312084	-	0.000	0.000	Merged-chr1-172312178-79
NR1498--MA0684.1.RUNX3	chr11	109445751	109445760	-	0.000	0.000	Merged-chr11-109445792-26
NR7759--MA0511.2.RUNX2	chr8	94826991	94826999	+	0.000	0.000	Merged-chr8-94826813-30
NR1226--MA0002.2.RUNX1	chr11	43358959	43358969	+	0.000	0.000	Merged-chr11-43358857-56
NR4603--MA0002.2.RUNX1	chr2	126920546	126920556	+	0.000	0.000	Merged-chr2-126920604-39
NR5043--MA0002.2.RUNX1	chr3	84749373	84749383	-	0.000	0.000	Merged-chr3-84749364-32
NR8420--MA0002.2.RUNX1	chrX	48137041	48137051	+	0.000	0.000	Merged-chrX-48136995-26
NR1626--MA0684.1.RUNX3	chr12	34562746	34562755	-	0.000	0.000	Merged-chr12-34562596-10
NR1478--MA0002.2.RUNX1	chr11	104609515	104609525	+	0.000	0.000	Merged-chr11-104609685-47
NR3763--MA0684.1.RUNX3	chr18	12643081	12643090	+	0.000	0.000	Merged-chr18-12643158-2
NR650--MA0002.2.RUNX1	chr1	192770816	192770826	-	0.000	0.000	Merged-chr1-192770762-94
NR1212--MA0684.1.RUNX3	chr11	32715224	32715233	-	0.000	0.000	Merged-chr11-32715413-66
NR445--MA0002.2.RUNX1	chr1	153238161	153238171	+	0.000	0.000	Merged-chr1-153238219-13
NR5251--MA0511.2.RUNX2	chr3	133328656	133328664	-	0.000	0.000	Merged-chr3-133328719-18
NR3144--MA0684.1.RUNX3	chr16	29579519	29579528	-	0.000	0.000	Merged-chr16-29579520-66
NR52--MA0511.2.RUNX2	chr1	37310095	37310103	-	0.000	0.000	Merged-chr1-37310125-13
NR4964--MA0002.2.RUNX1	chr3	59203993	59204003	+	0.000	0.000	Merged-chr3-59204061-45
