#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR1586--MA0140.2.GATA1::TAL1	chr13	8457042	8457059	+	0.000	0.000	Merged-chr13-8457184-81
NR621--MA1104.1.GATA6	chr10	26229620	26229632	-	0.000	0.000	Merged-chr10-26229708-29
NR3559--MA0035.3.Gata1	chr2	92243920	92243930	+	0.000	0.000	Merged-chr2-92243919-9
NR2134--MA0140.2.GATA1::TAL1	chr15	9600202	9600219	+	0.000	0.000	Merged-chr15-9600289-13
NR3172--MA1104.1.GATA6	chr19	32148903	32148915	+	0.000	0.000	Merged-chr19-32148978-30
NR965--MA0482.1.Gata4	chr11	20193486	20193496	-	0.000	0.000	Merged-chr11-20193486-15
NR4894--MA0766.1.GATA5	chr5	72634876	72634883	-	0.000	0.000	Merged-chr5-72634907-42
NR6370--MA0482.1.Gata4	chr9	14276154	14276164	-	0.000	0.000	Merged-chr9-14276046-105
NR3238--MA1104.1.GATA6	chr19	55688657	55688669	-	0.000	0.000	Merged-chr19-55688769-29
NR3145--MA0035.3.Gata1	chr19	25360813	25360823	+	0.000	0.000	Merged-chr19-25360847-26
NR6251--MA0035.3.Gata1	chr8	120563936	120563946	-	0.000	0.000	Merged-chr8-120564046-29
NR3044--MA0036.3.GATA2	chr18	80738515	80738525	+	0.000	0.000	Merged-chr18-80738458-39
NR1240--MA0037.3.GATA3	chr11	108911013	108911020	-	0.000	0.000	Merged-chr11-108910906-74
NR5375--MA1104.1.GATA6	chr6	108704934	108704946	-	0.000	0.000	Merged-chr6-108704873-18
NR6421--MA0036.3.GATA2	chr9	45945096	45945106	-	0.000	0.000	Merged-chr9-45945206-63
NR1169--MA0766.1.GATA5	chr11	96075702	96075709	-	0.000	0.000	Merged-chr11-96075825-57
NR3371--MA0140.2.GATA1::TAL1	chr2	29753050	29753067	-	0.000	0.000	Merged-chr2-29753036-13
NR4470--MA0036.3.GATA2	chr4	88300835	88300845	-	0.000	0.000	Merged-chr4-88300823-32
NR2866--MA0766.1.GATA5	chr18	6411270	6411277	-	0.000	0.000	Merged-chr18-6411189-24
NR5257--MA0766.1.GATA5	chr6	61225494	61225501	-	0.000	0.000	Merged-chr6-61225621-10
NR2933--MA0482.1.Gata4	chr18	50024204	50024214	+	0.000	0.000	Merged-chr18-50024197-35
NR997--MA0036.3.GATA2	chr11	30166378	30166388	-	0.000	0.000	Merged-chr11-30166468-16
NR602--MA0036.3.GATA2	chr10	21975619	21975629	+	0.000	0.000	Merged-chr10-21975536-24
NR5232--MA1104.1.GATA6	chr6	50372845	50372857	+	0.000	0.000	Merged-chr6-50372929-50
NR4425--MA0037.3.GATA3	chr4	59281127	59281134	-	0.000	0.000	Merged-chr4-59281104-23
NR3347--MA1104.1.GATA6	chr2	20969346	20969358	+	0.000	0.000	Merged-chr2-20969092-180
NR4788--MA0036.3.GATA2	chr5	24505728	24505738	+	0.000	0.000	Merged-chr5-24505685-17
NR1396--MA1104.1.GATA6	chr12	73842213	73842225	-	0.000	0.000	Merged-chr12-73842345-69
NR593--MA0766.1.GATA5	chr10	17550177	17550184	+	0.000	0.000	Merged-chr10-17550297-37
NR864--MA0766.1.GATA5	chr10	117861197	117861204	-	0.000	0.000	Merged-chr10-117861044-50
NR4475--MA0035.3.Gata1	chr4	89400518	89400528	-	0.000	0.000	Merged-chr4-89400416-12
NR4850--MA0036.3.GATA2	chr5	53994579	53994589	+	0.000	0.000	Merged-chr5-53994753-10
NR336--MA0035.3.Gata1	chr1	155784599	155784609	-	0.000	0.000	Merged-chr1-155784753-78
NR2771--MA0482.1.Gata4	chr17	52484085	52484095	-	0.000	0.000	Merged-chr17-52484066-25
NR3281--MA0037.3.GATA3	chr19	60838027	60838034	+	0.000	0.000	Merged-chr19-60837918-27
NR3185--MA1104.1.GATA6	chr19	33053335	33053347	-	0.000	0.000	Merged-chr19-33053321-32
NR6740--MA0035.3.Gata1	chrX	109114148	109114158	-	0.000	0.000	Merged-chrX-109113990-42
NR5484--MA0037.3.GATA3	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR768--MA0766.1.GATA5	chr10	93356446	93356453	-	0.000	0.000	Merged-chr10-93356301-45
NR3134--MA0482.1.Gata4	chr19	21865572	21865582	+	0.000	0.000	Merged-chr19-21865390-5
NR4170--MA0035.3.Gata1	chr3	126693182	126693192	+	0.000	0.000	Merged-chr3-126693084-1
NR150--MA0482.1.Gata4	chr1	91347219	91347229	-	0.000	0.000	Merged-chr1-91347121-29
NR517--MA0140.2.GATA1::TAL1	chr1	189608697	189608714	-	0.000	0.000	Merged-chr1-189608778-45
NR4219--MA0140.2.GATA1::TAL1	chr3	135675088	135675105	+	0.000	0.000	Merged-chr3-135675196-37
NR211--MA0766.1.GATA5	chr1	105803095	105803102	+	0.000	0.000	Merged-chr1-105803155-19
NR1052--MA0140.2.GATA1::TAL1	chr11	53656983	53657000	+	0.000	0.000	Merged-chr11-53657053-47
NR3217--MA1104.1.GATA6	chr19	44363757	44363769	+	0.000	0.000	Merged-chr19-44363666-19
NR801--MA0482.1.Gata4	chr10	96633497	96633507	-	0.000	0.000	Merged-chr10-96633546-4
NR6205--MA0766.1.GATA5	chr8	111573669	111573676	-	0.000	0.000	Merged-chr8-111573910-73
NR140--MA0035.3.Gata1	chr1	85986058	85986068	+	0.000	0.000	Merged-chr1-85986038-7
NR3469--MA1104.1.GATA6	chr2	65188955	65188967	+	0.000	0.000	Merged-chr2-65189232-92
NR2481--MA0140.2.GATA1::TAL1	chr16	55754440	55754457	-	0.000	0.000	Merged-chr16-55754578-52
NR206--MA0035.3.Gata1	chr1	105543278	105543288	-	0.000	0.000	Merged-chr1-105543373-21
NR6482--MA0035.3.Gata1	chr9	69034580	69034590	+	0.000	0.000	Merged-chr9-69034461-64
NR3907--MA0140.2.GATA1::TAL1	chr3	9655194	9655211	-	0.000	0.000	Merged-chr3-9655169-12
NR5032--MA0482.1.Gata4	chr5	123132812	123132822	+	0.000	0.000	Merged-chr5-123132654-50
NR115--MA0766.1.GATA5	chr1	80725285	80725292	+	0.000	0.000	Merged-chr1-80725165-13
NR5211--MA1104.1.GATA6	chr6	41141087	41141099	-	0.000	0.000	Merged-chr6-41141136-19
NR5006--MA1104.1.GATA6	chr5	107265162	107265174	-	0.000	0.000	Merged-chr5-107265096-67
NR6610--MA0035.3.Gata1	chr9	108832553	108832563	-	0.000	0.000	Merged-chr9-108832464-53
NR5488--MA0766.1.GATA5	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR638--MA0766.1.GATA5	chr10	34172906	34172913	+	0.000	0.000	Merged-chr10-34172961-40
NR3849--MA1104.1.GATA6	chr2	167081042	167081054	+	0.000	0.000	Merged-chr2-167081117-10
NR3179--MA0036.3.GATA2	chr19	32275769	32275779	+	0.000	0.000	Merged-chr19-32275869-3
NR5115--MA1104.1.GATA6	chr5	148596593	148596605	-	0.000	0.000	Merged-chr5-148596681-29
NR957--MA0482.1.Gata4	chr11	11719982	11719992	-	0.000	0.000	Merged-chr11-11719997-29
NR4886--MA0766.1.GATA5	chr5	65795514	65795521	-	0.000	0.000	Merged-chr5-65795420-10
NR6270--MA1104.1.GATA6	chr8	121907708	121907720	-	0.000	0.000	Merged-chr8-121907786-62
NR5188--MA0482.1.Gata4	chr6	33051808	33051818	-	0.000	0.000	Merged-chr6-33051908-11
NR272--MA0482.1.Gata4	chr1	138175144	138175154	+	0.000	0.000	Merged-chr1-138175302-90
NR4472--MA0766.1.GATA5	chr4	89044206	89044213	-	0.000	0.000	Merged-chr4-89044155-38
NR451--MA1104.1.GATA6	chr1	175631872	175631884	+	0.000	0.000	Merged-chr1-175631822-65
NR5543--MA0140.2.GATA1::TAL1	chr6	136415695	136415712	+	0.000	0.000	Merged-chr6-136415785-62
NR4995--MA0766.1.GATA5	chr5	105244866	105244873	+	0.000	0.000	Merged-chr5-105244982-37
NR2434--MA0036.3.GATA2	chr16	36057523	36057533	-	0.000	0.000	Merged-chr16-36057640-19
NR6261--MA0766.1.GATA5	chr8	121603049	121603056	-	0.000	0.000	Merged-chr8-121603020-18
NR2121--MA0035.3.Gata1	chr14	123015951	123015961	+	0.000	0.000	Merged-chr14-123015903-11
NR6078--MA0037.3.GATA3	chr8	35650808	35650815	+	0.000	0.000	Merged-chr8-35650941-17
NR5839--MA0482.1.Gata4	chr7	110265934	110265944	-	0.000	0.000	Merged-chr7-110265938-33
NR6317--MA0036.3.GATA2	chr8	127963048	127963058	-	0.000	0.000	Merged-chr8-127963000-27
NR5035--MA0035.3.Gata1	chr5	123132811	123132821	+	0.000	0.000	Merged-chr5-123132654-50
NR6732--MA0035.3.Gata1	chrX	101128633	101128643	-	0.000	0.000	Merged-chrX-101128722-47
NR4874--MA1104.1.GATA6	chr5	64568010	64568022	+	0.000	0.000	Merged-chr5-64568007-12
NR2620--MA0482.1.Gata4	chr17	12037262	12037272	-	0.000	0.000	Merged-chr17-12037293-8
NR5677--MA0482.1.Gata4	chr7	45526451	45526461	+	0.000	0.000	Merged-chr7-45526317-62
NR556--MA0482.1.Gata4	chr1	192693231	192693241	-	0.000	0.000	Merged-chr1-192693207-29
NR2205--MA0766.1.GATA5	chr15	66818767	66818774	+	0.000	0.000	Merged-chr15-66818844-13
NR4998--MA0036.3.GATA2	chr5	105738877	105738887	+	0.000	0.000	Merged-chr5-105738785-9
NR6484--MA0482.1.Gata4	chr9	69156195	69156205	+	0.000	0.000	Merged-chr9-69156335-38
NR5585--MA0037.3.GATA3	chr6	146516136	146516143	-	0.000	0.000	Merged-chr6-146516138-30
NR2253--MA0482.1.Gata4	chr15	85390171	85390181	-	0.000	0.000	Merged-chr15-85390141-30
NR3168--MA0766.1.GATA5	chr19	31210684	31210691	-	0.000	0.000	Merged-chr19-31210653-54
NR5167--MA0482.1.Gata4	chr6	17737770	17737780	-	0.000	0.000	Merged-chr6-17737637-51
NR1211--MA0037.3.GATA3	chr11	105946775	105946782	-	0.000	0.000	Merged-chr11-105946795-5
NR4441--MA0036.3.GATA2	chr4	71291541	71291551	+	0.000	0.000	Merged-chr4-71291736-94
NR3097--MA0035.3.Gata1	chr19	4119834	4119844	-	0.000	0.000	Merged-chr19-4119891-46
NR798--MA0035.3.Gata1	chr10	96467082	96467092	+	0.000	0.000	Merged-chr10-96466990-21
NR2633--MA0482.1.Gata4	chr17	12513655	12513665	+	0.000	0.000	Merged-chr17-12513699-7
NR3414--MA0037.3.GATA3	chr2	52948593	52948600	-	0.000	0.000	Merged-chr2-52948658-1
NR6654--MA0766.1.GATA5	chr9	118059237	118059244	-	0.000	0.000	Merged-chr9-118059304-13
NR4770--MA0482.1.Gata4	chr5	22511439	22511449	-	0.000	0.000	Merged-chr5-22511594-21
NR6060--MA0035.3.Gata1	chr8	25654135	25654145	+	0.000	0.000	Merged-chr8-25654088-45
