#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR3179--MA0035.3.Gata1	chr2	121457052	121457062	+	0.000	0.000	Merged-chr2-121457132-54
NR2919--MA0766.1.GATA5	chr2	3727762	3727769	-	0.000	0.000	Merged-chr2-3727720-19
NR35--MA0036.3.GATA2	chr1	52066908	52066918	+	0.000	0.000	Merged-chr1-52066714-41
NR4642--MA0766.1.GATA5	chr6	86148689	86148696	+	0.000	0.000	Merged-chr6-86148822-10
NR3791--MA0037.3.GATA3	chr4	32615369	32615376	-	0.000	0.000	Merged-chr4-32615355-52
NR3857--MA0037.3.GATA3	chr4	63948284	63948291	-	0.000	0.000	Merged-chr4-63948222-34
NR551--MA0482.1.Gata4	chr10	53374211	53374221	+	0.000	0.000	Merged-chr10-53374413-9
NR3371--MA0140.2.GATA1::TAL1	chr2	181659711	181659728	+	0.000	0.000	Merged-chr2-181659700-65
NR2866--MA0766.1.GATA5	chr19	34662097	34662104	-	0.000	0.000	Merged-chr19-34662258-37
NR5518--MA0036.3.GATA2	chr8	116923770	116923780	-	0.000	0.000	Merged-chr8-116923775-40
NR2543--MA0035.3.Gata1	chr17	71491183	71491193	+	0.000	0.000	Merged-chr17-71491103-50
NR3972--MA0140.2.GATA1::TAL1	chr4	119232759	119232776	-	0.000	0.000	Merged-chr4-119232903-70
NR3277--MA0482.1.Gata4	chr2	156179664	156179674	+	0.000	0.000	Merged-chr2-156179620-5
NR3158--MA0035.3.Gata1	chr2	117399743	117399753	-	0.000	0.000	Merged-chr2-117399695-40
NR903--MA0140.2.GATA1::TAL1	chr11	75573446	75573463	+	0.000	0.000	Merged-chr11-75573432-34
NR5593--MA1104.1.GATA6	chr9	5311520	5311532	-	0.000	0.000	Merged-chr9-5311572-34
NR293--MA0482.1.Gata4	chr1	161670986	161670996	-	0.000	0.000	Merged-chr1-161671075-50
NR5659--MA1104.1.GATA6	chr9	41118249	41118261	+	0.000	0.000	Merged-chr9-41118206-38
NR615--MA0036.3.GATA2	chr10	80475610	80475620	+	0.000	0.000	Merged-chr10-80475576-51
NR2630--MA0140.2.GATA1::TAL1	chr18	7405030	7405047	+	0.000	0.000	Merged-chr18-7404957-54
NR19--MA0035.3.Gata1	chr1	35653568	35653578	-	0.000	0.000	Merged-chr1-35653441-55
NR4002--MA0766.1.GATA5	chr4	132779084	132779091	+	0.000	0.000	Merged-chr4-132778945-22
NR2139--MA0037.3.GATA3	chr15	100755066	100755073	+	0.000	0.000	Merged-chr15-100755115-72
