#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR9566--MA0089.1.MAFG::NFE2L1	chr8	111527429	111527434	-	0.000	0.000	Merged-chr8-111527388-53
NR2748--MA0089.1.MAFG::NFE2L1	chr13	33001642	33001647	-	0.000	0.000	Merged-chr13-33001523-50
NR5366--MA0117.2.Mafb	chr2	9946999	9947010	-	0.000	0.000	Merged-chr2-9946908-17
NR8031--MA0089.1.MAFG::NFE2L1	chr6	39725692	39725697	-	0.000	0.000	Merged-chr6-39725742-2
NR1039--MA0089.1.MAFG::NFE2L1	chr10	59861934	59861939	+	0.000	0.000	Merged-chr10-59861851-9
NR1578--MA0495.2.MAFF	chr11	51264658	51264678	-	0.000	0.000	Merged-chr11-51264498-29
NR3963--MA0496.2.MAFK	chr15	97213230	97213248	-	0.000	0.000	Merged-chr15-97213099-28
NR24--MA0591.1.Bach1::Mafk	chr1	14484707	14484721	-	0.000	0.000	Merged-chr1-14484636-21
NR3746--MA0117.2.Mafb	chr15	59726087	59726098	+	0.000	0.000	Merged-chr15-59726056-17
NR9377--MA0089.1.MAFG::NFE2L1	chr8	68206907	68206912	-	0.000	0.000	Merged-chr8-68206925-32
NR7307--MA0495.2.MAFF	chr4	151073636	151073656	-	0.000	0.000	Merged-chr4-151073484-22
NR150--MA0501.1.MAF::NFE2	chr1	59923458	59923472	+	0.000	0.000	Merged-chr1-59923331-34
NR6550--MA0089.1.MAFG::NFE2L1	chr3	126831607	126831612	-	0.000	0.000	Merged-chr3-126831628-17
NR4780--MA0089.1.MAFG::NFE2L1	chr18	21300401	21300406	+	0.000	0.000	Merged-chr18-21300237-62
NR3015--MA0591.1.Bach1::Mafk	chr13	96697955	96697969	-	0.000	0.000	Merged-chr13-96698036-39
NR10017--MA0495.2.MAFF	chr9	78074138	78074158	-	0.000	0.000	Merged-chr9-78074095-46
NR6353--MA0117.2.Mafb	chr3	87408417	87408428	+	0.000	0.000	Merged-chr3-87408314-25
NR8420--MA0089.1.MAFG::NFE2L1	chr6	127617460	127617465	+	0.000	0.000	Merged-chr6-127617353-34
NR543--MA0089.1.MAFG::NFE2L1	chr1	138955193	138955198	+	0.000	0.000	Merged-chr1-138955036-38
NR5432--MA0089.1.MAFG::NFE2L1	chr2	29095933	29095938	-	0.000	0.000	Merged-chr2-29095839-33
NR2038--MA0591.1.Bach1::Mafk	chr11	118266755	118266769	+	0.000	0.000	Merged-chr11-118266893-1
NR1040--MA0591.1.Bach1::Mafk	chr10	59861932	59861946	+	0.000	0.000	Merged-chr10-59861851-9
NR6253--MA0495.2.MAFF	chr3	58470213	58470233	+	0.000	0.000	Merged-chr3-58470222-35
NR5109--MA0496.2.MAFK	chr19	8713106	8713124	-	0.000	0.000	Merged-chr19-8713274-127
NR10019--MA0659.1.MAFG	chr9	78074138	78074158	+	0.000	0.000	Merged-chr9-78074095-46
NR9822--MA0496.2.MAFK	chr9	31271516	31271534	-	0.000	0.000	Merged-chr9-31271372-36
NR469--MA0089.1.MAFG::NFE2L1	chr1	131003553	131003558	+	0.000	0.000	Merged-chr1-131003466-39
