#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR6223--MA0117.2.Mafb	chr19	44078358	44078369	-	0.000	0.000	Merged-chr19-44078434-18
NR7796--MA0089.1.MAFG::NFE2L1	chr3	101494136	101494141	-	0.000	0.000	Merged-chr3-101494196-55
NR7546--MA0659.1.MAFG	chr3	58470213	58470233	-	0.000	0.000	Merged-chr3-58470222-35
NR4738--MA0501.1.MAF::NFE2	chr16	23609945	23609959	-	0.000	0.000	Merged-chr16-23609976-53
NR542--MA0496.2.MAFK	chr1	106268518	106268536	+	0.000	0.000	Merged-chr1-106268464-31
NR3173--MA0089.1.MAFG::NFE2L1	chr13	52874098	52874103	-	0.000	0.000	Merged-chr13-52874286-33
NR6767--MA0496.2.MAFK	chr2	105038172	105038190	-	0.000	0.000	Merged-chr2-105038317-16
NR269--MA0089.1.MAFG::NFE2L1	chr1	69683215	69683220	-	0.000	0.000	Merged-chr1-69683222-14
NR1906--MA0089.1.MAFG::NFE2L1	chr11	43388470	43388475	-	0.000	0.000	Merged-chr11-43388426-63
NR11788--MA0089.1.MAFG::NFE2L1	chr8	106007352	106007357	+	0.000	0.000	Merged-chr8-106007407-44
NR6921--MA0501.1.MAF::NFE2	chr2	128111947	128111961	-	0.000	0.000	Merged-chr2-128111932-19
NR10475--MA0117.2.Mafb	chr6	137747670	137747681	-	0.000	0.000	Merged-chr6-137747725-33
NR7671--MA0117.2.Mafb	chr3	87408417	87408428	+	0.000	0.000	Merged-chr3-87408314-25
NR5131--MA0496.2.MAFK	chr17	5303510	5303528	-	0.000	0.000	Merged-chr17-5303448-46
NR9377--MA0089.1.MAFG::NFE2L1	chr5	75791987	75791992	+	0.000	0.000	Merged-chr5-75792010-32
NR11791--MA0496.2.MAFK	chr8	106795005	106795023	+	0.000	0.000	Merged-chr8-106794988-23
NR9915--MA0501.1.MAF::NFE2	chr6	28385242	28385256	+	0.000	0.000	Merged-chr6-28385371-21
NR1509--MA0591.1.Bach1::Mafk	chr10	81105982	81105996	-	0.000	0.000	Merged-chr10-81106055-81
NR9311--MA0591.1.Bach1::Mafk	chr5	65950997	65951011	+	0.000	0.000	Merged-chr5-65951105-46
NR5873--MA0591.1.Bach1::Mafk	chr18	62494920	62494934	-	0.000	0.000	Merged-chr18-62494919-16
NR6389--MA0089.1.MAFG::NFE2L1	chr2	25620559	25620564	-	0.000	0.000	Merged-chr2-25620603-21
NR1426--MA0501.1.MAF::NFE2	chr10	68249765	68249779	+	0.000	0.000	Merged-chr10-68249681-39
NR5062--MA0659.1.MAFG	chr16	92944067	92944087	-	0.000	0.000	Merged-chr16-92944045-14
NR10768--MA0591.1.Bach1::Mafk	chr7	49762880	49762894	+	0.000	0.000	Merged-chr7-49762758-15
NR7215--MA0089.1.MAFG::NFE2L1	chr2	164868596	164868601	+	0.000	0.000	Merged-chr2-164868622-33
NR10266--MA0089.1.MAFG::NFE2L1	chr6	108895319	108895324	-	0.000	0.000	Merged-chr6-108895381-27
NR12514--MA0496.2.MAFK	chrX	11807717	11807735	-	0.000	0.000	Merged-chrX-11807540-17
NR8801--MA0501.1.MAF::NFE2	chr4	127060909	127060923	-	0.000	0.000	Merged-chr4-127061069-56
NR10725--MA0591.1.Bach1::Mafk	chr7	43481422	43481436	-	0.000	0.000	Merged-chr7-43481332-27
NR4793--MA0089.1.MAFG::NFE2L1	chr16	33769967	33769972	-	0.000	0.000	Merged-chr16-33769896-51
NR7987--MA0496.2.MAFK	chr3	129379285	129379303	+	0.000	0.000	Merged-chr3-129379277-30
NR7227--MA0591.1.Bach1::Mafk	chr2	166607154	166607168	+	0.000	0.000	Merged-chr2-166607083-27
NR9436--MA0501.1.MAF::NFE2	chr5	92245625	92245639	-	0.000	0.000	Merged-chr5-92245649-42
NR2876--MA0591.1.Bach1::Mafk	chr12	110381508	110381522	-	0.000	0.000	Merged-chr12-110381552-59
NR10453--MA0089.1.MAFG::NFE2L1	chr6	134883908	134883913	+	0.000	0.000	Merged-chr6-134883955-22
NR11109--MA0659.1.MAFG	chr7	112238917	112238937	-	0.000	0.000	Merged-chr7-112238810-51
NR1726--MA0591.1.Bach1::Mafk	chr10	118628164	118628178	+	0.000	0.000	Merged-chr10-118628235-24
NR4529--MA0089.1.MAFG::NFE2L1	chr15	79039199	79039204	+	0.000	0.000	Merged-chr15-79039071-35
NR3299--MA0089.1.MAFG::NFE2L1	chr13	75227752	75227757	-	0.000	0.000	Merged-chr13-75227796-31
NR8533--MA0089.1.MAFG::NFE2L1	chr4	86886282	86886287	-	0.000	0.000	Merged-chr4-86886222-78
NR1702--MA0089.1.MAFG::NFE2L1	chr10	116853299	116853304	-	0.000	0.000	Merged-chr10-116853312-9
NR3894--MA0117.2.Mafb	chr14	52004441	52004452	+	0.000	0.000	Merged-chr14-52004381-49
NR12510--MA0591.1.Bach1::Mafk	chrX	11807719	11807733	-	0.000	0.000	Merged-chrX-11807540-17
NR2168--MA0591.1.Bach1::Mafk	chr11	97123496	97123510	+	0.000	0.000	Merged-chr11-97123645-15
NR11960--MA0089.1.MAFG::NFE2L1	chr9	13536892	13536897	+	0.000	0.000	Merged-chr9-13536890-20
NR8983--MA0496.2.MAFK	chr4	149543207	149543225	+	0.000	0.000	Merged-chr4-149543277-27
NR9419--MA0591.1.Bach1::Mafk	chr5	90742148	90742162	+	0.000	0.000	Merged-chr5-90742238-22
NR5121--MA0501.1.MAF::NFE2	chr16	97309072	97309086	-	0.000	0.000	Merged-chr16-97309181-12
NR2220--MA0496.2.MAFK	chr11	104622754	104622772	-	0.000	0.000	Merged-chr11-104622687-63
NR7251--MA0659.1.MAFG	chr2	169398491	169398511	-	0.000	0.000	Merged-chr2-169398588-9
NR10620--MA0591.1.Bach1::Mafk	chr7	16057373	16057387	-	0.000	0.000	Merged-chr7-16057177-61
NR11771--MA0089.1.MAFG::NFE2L1	chr8	95915099	95915104	-	0.000	0.000	Merged-chr8-95915075-27
NR9986--MA0659.1.MAFG	chr6	49128468	49128488	+	0.000	0.000	Merged-chr6-49128471-29
NR10062--MA0089.1.MAFG::NFE2L1	chr6	65538420	65538425	+	0.000	0.000	Merged-chr6-65538516-95
NR2148--MA0501.1.MAF::NFE2	chr11	94392710	94392724	+	0.000	0.000	Merged-chr11-94392804-33
NR13--MA0089.1.MAFG::NFE2L1	chr1	13155453	13155458	-	0.000	0.000	Merged-chr1-13155528-52
NR1182--MA0659.1.MAFG	chr10	12823922	12823942	+	0.000	0.000	Merged-chr10-12823956-45
NR12576--MA0591.1.Bach1::Mafk	chrX	73008158	73008172	+	0.000	0.000	Merged-chrX-73008066-74
NR12638--MA0089.1.MAFG::NFE2L1	chrX	134566714	134566719	+	0.000	0.000	Merged-chrX-134566845-16
NR8357--MA0089.1.MAFG::NFE2L1	chr4	32363827	32363832	-	0.000	0.000	Merged-chr4-32363760-31
NR6950--MA0089.1.MAFG::NFE2L1	chr2	130563776	130563781	-	0.000	0.000	Merged-chr2-130563703-55
NR4168--MA0591.1.Bach1::Mafk	chr14	115015514	115015528	+	0.000	0.000	Merged-chr14-115015527-11
NR6083--MA0089.1.MAFG::NFE2L1	chr19	8880884	8880889	+	0.000	0.000	Merged-chr19-8880870-57
NR3566--MA0495.2.MAFF	chr13	113322203	113322223	-	0.000	0.000	Merged-chr13-113322180-25
NR1889--MA0501.1.MAF::NFE2	chr11	34784149	34784163	+	0.000	0.000	Merged-chr11-34783977-2
NR8487--MA0591.1.Bach1::Mafk	chr4	62681474	62681488	-	0.000	0.000	Merged-chr4-62681558-48
NR8102--MA0495.2.MAFF	chr3	141819100	141819120	+	0.000	0.000	Merged-chr3-141819227-9
NR5058--MA0117.2.Mafb	chr16	92944076	92944087	-	0.000	0.000	Merged-chr16-92944045-14
NR2342--MA0591.1.Bach1::Mafk	chr11	117194576	117194590	-	0.000	0.000	Merged-chr11-117194632-5
NR2542--MA0089.1.MAFG::NFE2L1	chr12	35712888	35712893	+	0.000	0.000	Merged-chr12-35712933-26
NR11170--MA0495.2.MAFF	chr7	120796680	120796700	-	0.000	0.000	Merged-chr7-120796607-11
NR4891--MA0089.1.MAFG::NFE2L1	chr16	57398740	57398745	-	0.000	0.000	Merged-chr16-57398780-28
NR10167--MA0117.2.Mafb	chr6	91440968	91440979	-	0.000	0.000	Merged-chr6-91441090-75
NR5511--MA0591.1.Bach1::Mafk	chr17	80139920	80139934	-	0.000	0.000	Merged-chr17-80140059-47
NR12449--MA0089.1.MAFG::NFE2L1	chr9	116249915	116249920	-	0.000	0.000	Merged-chr9-116250022-24
NR3212--MA0591.1.Bach1::Mafk	chr13	58475687	58475701	+	0.000	0.000	Merged-chr13-58475654-27
NR8686--MA0659.1.MAFG	chr4	106869719	106869739	-	0.000	0.000	Merged-chr4-106869679-64
NR9084--MA0089.1.MAFG::NFE2L1	chr5	8911667	8911672	-	0.000	0.000	Merged-chr5-8911732-25
NR7584--MA0501.1.MAF::NFE2	chr3	65858259	65858273	+	0.000	0.000	Merged-chr3-65858192-18
NR12546--MA0496.2.MAFK	chrX	53670508	53670526	+	0.000	0.000	Merged-chrX-53670342-87
NR7853--MA0591.1.Bach1::Mafk	chr3	108124261	108124275	+	0.000	0.000	Merged-chr3-108124378-33
NR12571--MA0501.1.MAF::NFE2	chrX	71468813	71468827	-	0.000	0.000	Merged-chrX-71468864-48
NR7549--MA0496.2.MAFK	chr3	58470214	58470232	-	0.000	0.000	Merged-chr3-58470222-35
NR6600--MA0117.2.Mafb	chr2	71274641	71274652	-	0.000	0.000	Merged-chr2-71274822-52
NR10321--MA0591.1.Bach1::Mafk	chr6	118167154	118167168	+	0.000	0.000	Merged-chr6-118167184-65
NR1358--MA0501.1.MAF::NFE2	chr10	57448082	57448096	-	0.000	0.000	Merged-chr10-57448269-42
NR11116--MA0089.1.MAFG::NFE2L1	chr7	113250936	113250941	-	0.000	0.000	Merged-chr7-113250807-31
NR3207--MA0089.1.MAFG::NFE2L1	chr13	58157684	58157689	-	0.000	0.000	Merged-chr13-58157645-3
NR3767--MA0496.2.MAFK	chr14	30185734	30185752	-	0.000	0.000	Merged-chr14-30185655-2
NR3397--MA0089.1.MAFG::NFE2L1	chr13	95685828	95685833	+	0.000	0.000	Merged-chr13-95685937-61
NR7892--MA0089.1.MAFG::NFE2L1	chr3	115974374	115974379	+	0.000	0.000	Merged-chr3-115974428-45
NR4338--MA0089.1.MAFG::NFE2L1	chr15	44748013	44748018	+	0.000	0.000	Merged-chr15-44748003-1
NR4714--MA0089.1.MAFG::NFE2L1	chr16	17012860	17012865	+	0.000	0.000	Merged-chr16-17012808-34
NR11712--MA0495.2.MAFF	chr8	84825732	84825752	+	0.000	0.000	Merged-chr8-84825845-44
NR5267--MA0089.1.MAFG::NFE2L1	chr17	29494346	29494351	-	0.000	0.000	Merged-chr17-29494430-50
NR1881--MA0591.1.Bach1::Mafk	chr11	32580671	32580685	+	0.000	0.000	Merged-chr11-32580688-47
NR3484--MA0089.1.MAFG::NFE2L1	chr13	106998833	106998838	+	0.000	0.000	Merged-chr13-106998870-40
NR1966--MA0591.1.Bach1::Mafk	chr11	54208680	54208694	+	0.000	0.000	Merged-chr11-54208778-20
NR6374--MA0501.1.MAF::NFE2	chr2	19634144	19634158	+	0.000	0.000	Merged-chr2-19634112-21
NR6208--MA0089.1.MAFG::NFE2L1	chr19	41981111	41981116	+	0.000	0.000	Merged-chr19-41981286-107
NR956--MA0089.1.MAFG::NFE2L1	chr1	177676835	177676840	+	0.000	0.000	Merged-chr1-177676690-44
NR4272--MA0501.1.MAF::NFE2	chr15	27596945	27596959	+	0.000	0.000	Merged-chr15-27596992-56
NR5492--MA0591.1.Bach1::Mafk	chr17	73806531	73806545	-	0.000	0.000	Merged-chr17-73806429-20
NR2331--MA0501.1.MAF::NFE2	chr11	116071647	116071661	+	0.000	0.000	Merged-chr11-116071674-31
NR9197--MA0089.1.MAFG::NFE2L1	chr5	34466839	34466844	+	0.000	0.000	Merged-chr5-34466876-6
NR962--MA0591.1.Bach1::Mafk	chr1	178463954	178463968	-	0.000	0.000	Merged-chr1-178463862-33
NR5065--MA0496.2.MAFK	chr16	92944068	92944086	-	0.000	0.000	Merged-chr16-92944045-14
NR2062--MA0659.1.MAFG	chr11	72941083	72941103	-	0.000	0.000	Merged-chr11-72940930-27
NR3706--MA0591.1.Bach1::Mafk	chr14	21848683	21848697	-	0.000	0.000	Merged-chr14-21848741-27
NR7439--MA0089.1.MAFG::NFE2L1	chr3	22089993	22089998	-	0.000	0.000	Merged-chr3-22089881-43
NR2139--MA0501.1.MAF::NFE2	chr11	94275926	94275940	+	0.000	0.000	Merged-chr11-94275707-70
NR491--MA0591.1.Bach1::Mafk	chr1	94025531	94025545	+	0.000	0.000	Merged-chr1-94025615-17
NR5867--MA0495.2.MAFF	chr18	62188917	62188937	+	0.000	0.000	Merged-chr18-62189000-72
NR6961--MA0089.1.MAFG::NFE2L1	chr2	131821127	131821132	+	0.000	0.000	Merged-chr2-131821184-19
NR5509--MA0495.2.MAFF	chr17	80139917	80139937	+	0.000	0.000	Merged-chr17-80140059-47
NR7820--MA0117.2.Mafb	chr3	103927761	103927772	-	0.000	0.000	Merged-chr3-103927636-31
NR4827--MA0089.1.MAFG::NFE2L1	chr16	38902507	38902512	+	0.000	0.000	Merged-chr16-38902351-60
NR1178--MA0117.2.Mafb	chr10	12821572	12821583	-	0.000	0.000	Merged-chr10-12821526-15
NR533--MA0591.1.Bach1::Mafk	chr1	106187589	106187603	-	0.000	0.000	Merged-chr1-106187715-26
NR5607--MA0496.2.MAFK	chr18	6281373	6281391	-	0.000	0.000	Merged-chr18-6281338-48
NR9586--MA0089.1.MAFG::NFE2L1	chr5	111357348	111357353	-	0.000	0.000	Merged-chr5-111357188-22
NR4050--MA0501.1.MAF::NFE2	chr14	78436223	78436237	+	0.000	0.000	Merged-chr14-78436014-44
NR10677--MA0089.1.MAFG::NFE2L1	chr7	28168936	28168941	+	0.000	0.000	Merged-chr7-28168923-37
NR12046--MA0501.1.MAF::NFE2	chr9	32652416	32652430	+	0.000	0.000	Merged-chr9-32652377-47
NR7245--MA0496.2.MAFK	chr2	168540123	168540141	+	0.000	0.000	Merged-chr2-168539977-33
NR4461--MA0117.2.Mafb	chr15	66825456	66825467	+	0.000	0.000	Merged-chr15-66825502-98
NR5871--MA0496.2.MAFK	chr18	62188918	62188936	+	0.000	0.000	Merged-chr18-62189000-72
NR7158--MA0659.1.MAFG	chr2	157566599	157566619	-	0.000	0.000	Merged-chr2-157566753-103
NR5105--MA0591.1.Bach1::Mafk	chr16	95893659	95893673	+	0.000	0.000	Merged-chr16-95893684-47
NR6598--MA0089.1.MAFG::NFE2L1	chr2	70844981	70844986	+	0.000	0.000	Merged-chr2-70845075-67
NR469--MA0591.1.Bach1::Mafk	chr1	91413305	91413319	+	0.000	0.000	Merged-chr1-91413387-81
NR3031--MA0117.2.Mafb	chr13	21579924	21579935	-	0.000	0.000	Merged-chr13-21579773-26
