#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR170--MA0508.2.PRDM1	chr1	162740472	162740481	+	0.000	0.000	Merged-chr1-162740242-97
NR441--MA0508.2.PRDM1	chr11	78301612	78301621	-	0.000	0.000	Merged-chr11-78301552-46
NR1997--MA0508.2.PRDM1	chr5	141241561	141241570	+	0.000	0.000	Merged-chr5-141241462-54
NR1649--MA0508.2.PRDM1	chr3	133320093	133320102	+	0.000	0.000	Merged-chr3-133320044-21
NR550--MA0508.2.PRDM1	chr12	69102090	69102099	-	0.000	0.000	Merged-chr12-69102156-32
NR1758--MA0508.2.PRDM1	chr4	83525549	83525558	-	0.000	0.000	Merged-chr4-83525430-94
NR454--MA0508.2.PRDM1	chr11	86088622	86088631	-	0.000	0.000	Merged-chr11-86088575-8
NR725--MA0508.2.PRDM1	chr13	92354948	92354957	+	0.000	0.000	Merged-chr13-92354723-122
NR1073--MA0508.2.PRDM1	chr17	18558898	18558907	+	0.000	0.000	Merged-chr17-18558777-104
NR1453--MA0508.2.PRDM1	chr2	130068355	130068364	+	0.000	0.000	Merged-chr2-130068381-27
NR1105--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR672--MA0508.2.PRDM1	chr13	48513373	48513382	+	0.000	0.000	Merged-chr13-48513320-57
NR324--MA0508.2.PRDM1	chr10	107948235	107948244	+	0.000	0.000	Merged-chr10-107948089-22
NR847--MA0508.2.PRDM1	chr14	74928987	74928996	-	0.000	0.000	Merged-chr14-74929148-19
