#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1809--MA0501.1.MAF::NFE2	chr12	40253441	40253455	+	0.000	0.000	Merged-chr12-40253438-36
NR5837--MA0501.1.MAF::NFE2	chr4	109149449	109149463	-	0.000	0.000	Merged-chr4-109149578-7
NR8146--MA0089.1.MAFG::NFE2L1	chr9	61385988	61385993	-	0.000	0.000	Merged-chr9-61385921-10
NR4679--MA0591.1.Bach1::Mafk	chr2	72170816	72170830	+	0.000	0.000	Merged-chr2-72170854-84
NR7102--MA0089.1.MAFG::NFE2L1	chr6	146734402	146734407	-	0.000	0.000	Merged-chr6-146734350-25
NR585--MA0501.1.MAF::NFE2	chr1	192753211	192753225	-	0.000	0.000	Merged-chr1-192753229-57
NR1911--MA0659.1.MAFG	chr12	81845168	81845188	-	0.000	0.000	Merged-chr12-81845150-28
NR67--MA0591.1.Bach1::Mafk	chr1	43168784	43168798	+	0.000	0.000	Merged-chr1-43168933-57
NR4738--MA0501.1.MAF::NFE2	chr2	101616049	101616063	+	0.000	0.000	Merged-chr2-101616143-32
NR7553--MA0495.2.MAFF	chr7	141072584	141072604	+	0.000	0.000	Merged-chr7-141072410-71
NR5985--MA0501.1.MAF::NFE2	chr4	145209530	145209544	+	0.000	0.000	Merged-chr4-145209474-14
NR7317--MA0089.1.MAFG::NFE2L1	chr7	72306444	72306449	+	0.000	0.000	Merged-chr7-72306656-56
NR3406--MA0659.1.MAFG	chr16	55731345	55731365	-	0.000	0.000	Merged-chr16-55731232-18
NR5534--MA0089.1.MAFG::NFE2L1	chr3	133160001	133160006	-	0.000	0.000	Merged-chr3-133159832-24
NR3771--MA0495.2.MAFF	chr17	56997299	56997319	+	0.000	0.000	Merged-chr17-56997354-48
NR4886--MA0501.1.MAF::NFE2	chr2	122681868	122681882	+	0.000	0.000	Merged-chr2-122681917-47
NR8188--MA0117.2.Mafb	chr9	73089443	73089454	-	0.000	0.000	Merged-chr9-73089587-62
NR4288--MA0495.2.MAFF	chr19	32320554	32320574	-	0.000	0.000	Merged-chr19-32320426-40
NR2784--MA0501.1.MAF::NFE2	chr14	73170124	73170138	+	0.000	0.000	Merged-chr14-73170198-47
NR5726--MA0501.1.MAF::NFE2	chr4	59204836	59204850	-	0.000	0.000	Merged-chr4-59204829-36
NR5749--MA0089.1.MAFG::NFE2L1	chr4	66827788	66827793	-	0.000	0.000	Merged-chr4-66827734-19
NR7970--MA0089.1.MAFG::NFE2L1	chr8	128646934	128646939	-	0.000	0.000	Merged-chr8-128646767-27
NR225--MA0495.2.MAFF	chr1	92119341	92119361	+	0.000	0.000	Merged-chr1-92119439-48
NR1011--MA0089.1.MAFG::NFE2L1	chr10	116746877	116746882	+	0.000	0.000	Merged-chr10-116746686-40
NR2446--MA0659.1.MAFG	chr13	96697952	96697972	+	0.000	0.000	Merged-chr13-96698036-39
NR1676--MA0496.2.MAFK	chr11	119187503	119187521	+	0.000	0.000	Merged-chr11-119187536-16
NR6389--MA0089.1.MAFG::NFE2L1	chr5	105849562	105849567	-	0.000	0.000	Merged-chr5-105849504-21
NR1083--MA0591.1.Bach1::Mafk	chr10	127744986	127745000	+	0.000	0.000	Merged-chr10-127744856-26
NR4301--MA0089.1.MAFG::NFE2L1	chr19	32935826	32935831	-	0.000	0.000	Merged-chr19-32935830-20
NR2424--MA0591.1.Bach1::Mafk	chr13	92241623	92241637	+	0.000	0.000	Merged-chr13-92241716-35
NR6801--MA0659.1.MAFG	chr6	70709472	70709492	+	0.000	0.000	Merged-chr6-70709572-48
NR5165--MA0591.1.Bach1::Mafk	chr2	177897153	177897167	+	0.000	0.000	Merged-chr2-177897114-64
NR4608--MA0659.1.MAFG	chr2	52938453	52938473	+	0.000	0.000	Merged-chr2-52938398-15
NR3188--MA0591.1.Bach1::Mafk	chr15	100687228	100687242	+	0.000	0.000	Merged-chr15-100687236-65
NR18--MA0501.1.MAF::NFE2	chr1	13752557	13752571	-	0.000	0.000	Merged-chr1-13752649-29
NR4529--MA0591.1.Bach1::Mafk	chr2	28540198	28540212	+	0.000	0.000	Merged-chr2-28540150-39
NR200--MA0501.1.MAF::NFE2	chr1	86064878	86064892	+	0.000	0.000	Merged-chr1-86064630-69
NR6594--MA0591.1.Bach1::Mafk	chr5	149160702	149160716	-	0.000	0.000	Merged-chr5-149160687-30
NR4505--MA0659.1.MAFG	chr2	19628289	19628309	-	0.000	0.000	Merged-chr2-19628399-27
NR6586--MA0117.2.Mafb	chr5	148554828	148554839	-	0.000	0.000	Merged-chr5-148554881-35
NR1811--MA0495.2.MAFF	chr12	41044928	41044948	-	0.000	0.000	Merged-chr12-41044922-24
NR4603--MA0089.1.MAFG::NFE2L1	chr2	52938351	52938356	-	0.000	0.000	Merged-chr2-52938398-15
NR5156--MA0089.1.MAFG::NFE2L1	chr2	174614085	174614090	-	0.000	0.000	Merged-chr2-174613856-91
NR3664--MA0495.2.MAFF	chr17	32891342	32891362	-	0.000	0.000	Merged-chr17-32891413-48
NR7517--MA0089.1.MAFG::NFE2L1	chr7	130886494	130886499	-	0.000	0.000	Merged-chr7-130886495-31
NR6287--MA0089.1.MAFG::NFE2L1	chr5	86086968	86086973	-	0.000	0.000	Merged-chr5-86086914-50
NR6264--MA0659.1.MAFG	chr5	73199786	73199806	-	0.000	0.000	Merged-chr5-73199876-43
NR3776--MA0495.2.MAFF	chr17	57209637	57209657	-	0.000	0.000	Merged-chr17-57209545-27
NR1813--MA0659.1.MAFG	chr12	41044928	41044948	+	0.000	0.000	Merged-chr12-41044922-24
NR227--MA0117.2.Mafb	chr1	92119350	92119361	-	0.000	0.000	Merged-chr1-92119439-48
NR1917--MA0089.1.MAFG::NFE2L1	chr12	82251510	82251515	-	0.000	0.000	Merged-chr12-82251542-24
NR1920--MA0591.1.Bach1::Mafk	chr12	84218907	84218921	+	0.000	0.000	Merged-chr12-84218783-53
NR152--MA0089.1.MAFG::NFE2L1	chr1	69703674	69703679	-	0.000	0.000	Merged-chr1-69703794-17
NR1251--MA0496.2.MAFK	chr11	52261028	52261046	+	0.000	0.000	Merged-chr11-52261104-14
NR3778--MA0659.1.MAFG	chr17	57209637	57209657	-	0.000	0.000	Merged-chr17-57209545-27
NR5256--MA0089.1.MAFG::NFE2L1	chr3	31145855	31145860	-	0.000	0.000	Merged-chr3-31145985-42
NR3977--MA0089.1.MAFG::NFE2L1	chr18	23754575	23754580	+	0.000	0.000	Merged-chr18-23754514-42
NR1534--MA0591.1.Bach1::Mafk	chr11	101009388	101009402	+	0.000	0.000	Merged-chr11-101009406-46
NR3486--MA0089.1.MAFG::NFE2L1	chr16	90331121	90331126	-	0.000	0.000	Merged-chr16-90331129-56
NR1171--MA0495.2.MAFF	chr11	31824815	31824835	-	0.000	0.000	Merged-chr11-31824780-24
NR5141--MA0089.1.MAFG::NFE2L1	chr2	173264810	173264815	+	0.000	0.000	Merged-chr2-173264964-41
NR6329--MA0496.2.MAFK	chr5	92353779	92353797	-	0.000	0.000	Merged-chr5-92353751-46
NR5190--MA0591.1.Bach1::Mafk	chr2	181319654	181319668	+	0.000	0.000	Merged-chr2-181319811-50
NR2254--MA0659.1.MAFG	chr13	45624075	45624095	-	0.000	0.000	Merged-chr13-45624002-39
NR8115--MA0501.1.MAF::NFE2	chr9	52349363	52349377	+	0.000	0.000	Merged-chr9-52349266-37
NR1484--MA0496.2.MAFK	chr11	87724907	87724925	+	0.000	0.000	Merged-chr11-87724985-4
NR5558--MA0089.1.MAFG::NFE2L1	chr3	139406020	139406025	-	0.000	0.000	Merged-chr3-139405941-1
NR2859--MA0089.1.MAFG::NFE2L1	chr14	120572338	120572343	-	0.000	0.000	Merged-chr14-120572441-59
NR4861--MA0496.2.MAFK	chr2	118901634	118901652	-	0.000	0.000	Merged-chr2-118901682-69
NR6013--MA0501.1.MAF::NFE2	chr4	147425458	147425472	+	0.000	0.000	Merged-chr4-147425340-1
NR615--MA0591.1.Bach1::Mafk	chr10	13424664	13424678	+	0.000	0.000	Merged-chr10-13424690-40
NR7428--MA0089.1.MAFG::NFE2L1	chr7	105752211	105752216	-	0.000	0.000	Merged-chr7-105752191-52
