#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR1542--MA0731.1.BCL6B	chr6	148436696	148436712	-	0.000	0.000	Merged-chr6-148436541-68
NR1295--MA0463.1.Bcl6	chr4	126114002	126114015	+	0.000	0.000	Merged-chr4-126114161-6
NR1622--MA0463.1.Bcl6	chr7	101896592	101896605	+	0.000	0.000	Merged-chr7-101896554-69
NR1773--MA0731.1.BCL6B	chr8	124617270	124617286	+	0.000	0.000	Merged-chr8-124617386-28
NR1855--MA0463.1.Bcl6	chr9	107644684	107644697	+	0.000	0.000	Merged-chr9-107644761-45
NR1882--MA0731.1.BCL6B	chrX	20364486	20364502	+	0.000	0.000	Merged-chrX-20364570-48
NR1752--MA0463.1.Bcl6	chr8	109853619	109853632	-	0.000	0.000	Merged-chr8-109853670-31
NR972--MA0463.1.Bcl6	chr2	79005096	79005109	+	0.000	0.000	Merged-chr2-79004997-23
NR1197--MA0463.1.Bcl6	chr3	154779036	154779049	+	0.000	0.000	Merged-chr3-154778992-62
NR1805--MA0731.1.BCL6B	chr9	46067768	46067784	+	0.000	0.000	Merged-chr9-46067902-17
NR1300--MA0463.1.Bcl6	chr4	133339397	133339410	+	0.000	0.000	Merged-chr4-133339340-75
NR726--MA0463.1.Bcl6	chr16	93687086	93687099	-	0.000	0.000	Merged-chr16-93687116-36
NR623--MA0463.1.Bcl6	chr15	38129610	38129623	+	0.000	0.000	Merged-chr15-38129582-31
NR1547--MA0731.1.BCL6B	chr7	12477996	12478012	+	0.000	0.000	Merged-chr7-12478160-1
NR1656--MA0731.1.BCL6B	chr7	127895917	127895933	+	0.000	0.000	Merged-chr7-127895657-49
NR874--MA0463.1.Bcl6	chr19	31199619	31199632	+	0.000	0.000	Merged-chr19-31199719-19
NR628--MA0463.1.Bcl6	chr15	54919970	54919983	+	0.000	0.000	Merged-chr15-54920011-57
NR570--MA0731.1.BCL6B	chr14	69979212	69979228	-	0.000	0.000	Merged-chr14-69979172-46
NR1778--MA0731.1.BCL6B	chr8	126824746	126824762	+	0.000	0.000	Merged-chr8-126824669-18
NR950--MA0731.1.BCL6B	chr2	65342171	65342187	+	0.000	0.000	Merged-chr2-65342235-52
NR1659--MA0463.1.Bcl6	chr7	130812771	130812784	-	0.000	0.000	Merged-chr7-130812664-20
NR561--MA0463.1.Bcl6	chr14	57680133	57680146	+	0.000	0.000	Merged-chr14-57680165-28
NR1486--MA0731.1.BCL6B	chr6	94555061	94555077	+	0.000	0.000	Merged-chr6-94555106-40
NR562--MA0731.1.BCL6B	chr14	57680130	57680146	-	0.000	0.000	Merged-chr14-57680165-28
NR472--MA0463.1.Bcl6	chr13	67844440	67844453	-	0.000	0.000	Merged-chr13-67844387-42
NR703--MA0731.1.BCL6B	chr16	49791228	49791244	+	0.000	0.000	Merged-chr16-49791413-4
NR1322--MA0731.1.BCL6B	chr4	150240222	150240238	-	0.000	0.000	Merged-chr4-150240051-83
NR696--MA0463.1.Bcl6	chr16	38017094	38017107	+	0.000	0.000	Merged-chr16-38017190-20
NR123--MA0463.1.Bcl6	chr1	170632632	170632645	+	0.000	0.000	Merged-chr1-170632592-34
NR1597--MA0463.1.Bcl6	chr7	80647583	80647596	+	0.000	0.000	Merged-chr7-80647614-48
NR1136--MA0463.1.Bcl6	chr3	104864536	104864549	-	0.000	0.000	Merged-chr3-104864640-175
NR19--MA0731.1.BCL6B	chr1	38723918	38723934	-	0.000	0.000	Merged-chr1-38723833-22
NR486--MA0463.1.Bcl6	chr13	81685149	81685162	+	0.000	0.000	Merged-chr13-81685096-36
NR271--MA0463.1.Bcl6	chr11	5061893	5061906	-	0.000	0.000	Merged-chr11-5061919-43
NR663--MA0731.1.BCL6B	chr15	97355992	97356008	-	0.000	0.000	Merged-chr15-97356067-61
NR1172--MA0463.1.Bcl6	chr3	137955595	137955608	+	0.000	0.000	Merged-chr3-137955835-60
NR701--MA0463.1.Bcl6	chr16	45756938	45756951	+	0.000	0.000	Merged-chr16-45757061-23
NR1159--MA0463.1.Bcl6	chr3	123386117	123386130	+	0.000	0.000	Merged-chr3-123385920-64
NR1611--MA0463.1.Bcl6	chr7	97696750	97696763	+	0.000	0.000	Merged-chr7-97696718-62
NR1056--MA0463.1.Bcl6	chr2	158794586	158794599	+	0.000	0.000	Merged-chr2-158794730-73
NR943--MA0463.1.Bcl6	chr2	56114705	56114718	-	0.000	0.000	Merged-chr2-56114596-15
NR173--MA0463.1.Bcl6	chr10	28816361	28816374	+	0.000	0.000	Merged-chr10-28816240-37
NR1165--MA0731.1.BCL6B	chr3	132791402	132791418	-	0.000	0.000	Merged-chr3-132791387-40
NR798--MA0731.1.BCL6B	chr17	86832839	86832855	-	0.000	0.000	Merged-chr17-86833009-31
NR13--MA0463.1.Bcl6	chr1	30792973	30792986	+	0.000	0.000	Merged-chr1-30793129-16
NR715--MA0463.1.Bcl6	chr16	75617789	75617802	+	0.000	0.000	Merged-chr16-75617911-31
NR1401--MA0463.1.Bcl6	chr5	105614851	105614864	+	0.000	0.000	Merged-chr5-105614954-45
NR621--MA0463.1.Bcl6	chr15	36708581	36708594	+	0.000	0.000	Merged-chr15-36708582-23
NR493--MA0731.1.BCL6B	chr13	92671666	92671682	+	0.000	0.000	Merged-chr13-92671922-24
NR31--MA0463.1.Bcl6	chr1	69461264	69461277	+	0.000	0.000	Merged-chr1-69461360-14
NR1287--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR1531--MA0463.1.Bcl6	chr6	140514824	140514837	+	0.000	0.000	Merged-chr6-140514739-89
NR863--MA0463.1.Bcl6	chr19	8984436	8984449	-	0.000	0.000	Merged-chr19-8984601-50
NR1097--MA0463.1.Bcl6	chr3	52047196	52047209	+	0.000	0.000	Merged-chr3-52047175-54
NR1157--MA0731.1.BCL6B	chr3	122924274	122924290	-	0.000	0.000	Merged-chr3-122924364-79
NR1303--MA0463.1.Bcl6	chr4	136031602	136031615	+	0.000	0.000	Merged-chr4-136031447-41
NR729--MA0463.1.Bcl6	chr16	95929983	95929996	+	0.000	0.000	Merged-chr16-95929936-27
NR1782--MA0463.1.Bcl6	chr8	127968324	127968337	-	0.000	0.000	Merged-chr8-127968270-33
NR1014--MA0731.1.BCL6B	chr2	122243970	122243986	-	0.000	0.000	Merged-chr2-122243973-37
NR376--MA0731.1.BCL6B	chr12	52818765	52818781	+	0.000	0.000	Merged-chr12-52818712-31
NR918--MA0731.1.BCL6B	chr2	30131289	30131305	+	0.000	0.000	Merged-chr2-30131357-10
NR342--MA0731.1.BCL6B	chr11	106716672	106716688	-	0.000	0.000	Merged-chr11-106716812-28
NR1769--MA0463.1.Bcl6	chr8	122556837	122556850	-	0.000	0.000	Merged-chr8-122556749-52
NR1554--MA0463.1.Bcl6	chr7	16827406	16827419	-	0.000	0.000	Merged-chr7-16827547-27
NR765--MA0463.1.Bcl6	chr17	44121573	44121586	-	0.000	0.000	Merged-chr17-44121634-62
NR886--MA0463.1.Bcl6	chr19	40300200	40300213	-	0.000	0.000	Merged-chr19-40300210-18
NR313--MA0463.1.Bcl6	chr11	78766586	78766599	+	0.000	0.000	Merged-chr11-78766561-26
NR783--MA0463.1.Bcl6	chr17	73875427	73875440	-	0.000	0.000	Merged-chr17-73875557-33
NR878--MA0731.1.BCL6B	chr19	32138559	32138575	+	0.000	0.000	Merged-chr19-32138517-38
NR1590--MA0463.1.Bcl6	chr7	68280472	68280485	+	0.000	0.000	Merged-chr7-68280553-5
NR68--MA0463.1.Bcl6	chr1	106037134	106037147	+	0.000	0.000	Merged-chr1-106037167-27
NR639--MA0731.1.BCL6B	chr15	64246561	64246577	-	0.000	0.000	Merged-chr15-64246637-23
NR461--MA0463.1.Bcl6	chr13	52828261	52828274	-	0.000	0.000	Merged-chr13-52828332-16
NR1367--MA0731.1.BCL6B	chr5	65867462	65867478	-	0.000	0.000	Merged-chr5-65867573-52
NR112--MA0463.1.Bcl6	chr1	155050360	155050373	-	0.000	0.000	Merged-chr1-155050378-11
NR457--MA0463.1.Bcl6	chr13	49309079	49309092	-	0.000	0.000	Merged-chr13-49309236-55
NR456--MA0731.1.BCL6B	chr13	48843577	48843593	+	0.000	0.000	Merged-chr13-48843644-14
NR727--MA0731.1.BCL6B	chr16	93687086	93687102	+	0.000	0.000	Merged-chr16-93687116-36
NR217--MA0731.1.BCL6B	chr10	93985650	93985666	+	0.000	0.000	Merged-chr10-93985650-27
NR260--MA0731.1.BCL6B	chr10	127115264	127115280	+	0.000	0.000	Merged-chr10-127115294-7
NR802--MA0463.1.Bcl6	chr17	87636448	87636461	-	0.000	0.000	Merged-chr17-87636407-1
NR1036--MA0463.1.Bcl6	chr2	143903718	143903731	+	0.000	0.000	Merged-chr2-143903810-20
NR820--MA0463.1.Bcl6	chr18	40308077	40308090	+	0.000	0.000	Merged-chr18-40308184-41
NR1054--MA0463.1.Bcl6	chr2	155514880	155514893	+	0.000	0.000	Merged-chr2-155514842-20
NR265--MA0463.1.Bcl6	chr11	3161066	3161079	+	0.000	0.000	Merged-chr11-3161151-10
NR932--MA0463.1.Bcl6	chr2	48333073	48333086	+	0.000	0.000	Merged-chr2-48333008-54
NR1166--MA0463.1.Bcl6	chr3	133544249	133544262	-	0.000	0.000	Merged-chr3-133544434-91
NR1833--MA0463.1.Bcl6	chr9	80082450	80082463	+	0.000	0.000	Merged-chr9-80082362-35
NR377--MA0463.1.Bcl6	chr12	65172677	65172690	-	0.000	0.000	Merged-chr12-65172767-62
NR177--MA0731.1.BCL6B	chr10	44700486	44700502	-	0.000	0.000	Merged-chr10-44700385-25
NR1891--MA0731.1.BCL6B	chrX	74373333	74373349	+	0.000	0.000	Merged-chrX-74373347-51
NR143--MA0731.1.BCL6B	chr1	180778302	180778318	-	0.000	0.000	Merged-chr1-180778261-1
NR167--MA0463.1.Bcl6	chr10	18923347	18923360	-	0.000	0.000	Merged-chr10-18923473-26
NR679--MA0731.1.BCL6B	chr16	11034623	11034639	+	0.000	0.000	Merged-chr16-11034584-21
NR740--MA0463.1.Bcl6	chr17	17845415	17845428	+	0.000	0.000	Merged-chr17-17845619-46
NR606--MA0463.1.Bcl6	chr15	9580832	9580845	-	0.000	0.000	Merged-chr15-9580927-74
NR1507--MA0463.1.Bcl6	chr6	117917776	117917789	+	0.000	0.000	Merged-chr6-117917768-1
NR1771--MA0463.1.Bcl6	chr8	123026250	123026263	-	0.000	0.000	Merged-chr8-123026094-33
NR1628--MA0463.1.Bcl6	chr7	109781533	109781546	+	0.000	0.000	Merged-chr7-109781592-85
NR991--MA0463.1.Bcl6	chr2	93823660	93823673	+	0.000	0.000	Merged-chr2-93823719-41
NR1431--MA0463.1.Bcl6	chr5	134437612	134437625	-	0.000	0.000	Merged-chr5-134437601-35
NR642--MA0463.1.Bcl6	chr15	66998608	66998621	-	0.000	0.000	Merged-chr15-66998486-48
NR767--MA0731.1.BCL6B	chr17	47116178	47116194	-	0.000	0.000	Merged-chr17-47115984-25
NR763--MA0463.1.Bcl6	chr17	44121486	44121499	+	0.000	0.000	Merged-chr17-44121634-62
NR1776--MA0463.1.Bcl6	chr8	126614626	126614639	+	0.000	0.000	Merged-chr8-126614626-35
NR1203--MA0463.1.Bcl6	chr3	158036455	158036468	-	0.000	0.000	Merged-chr3-158036635-54
NR414--MA0463.1.Bcl6	chr12	108894189	108894202	-	0.000	0.000	Merged-chr12-108894024-86
NR647--MA0463.1.Bcl6	chr15	76274228	76274241	+	0.000	0.000	Merged-chr15-76274407-77
NR889--MA0463.1.Bcl6	chr19	44283179	44283192	+	0.000	0.000	Merged-chr19-44283330-35
NR316--MA0463.1.Bcl6	chr11	80666516	80666529	+	0.000	0.000	Merged-chr11-80666360-28
NR1575--MA0463.1.Bcl6	chr7	45053897	45053910	+	0.000	0.000	Merged-chr7-45054001-89
NR437--MA0463.1.Bcl6	chr13	22041128	22041141	-	0.000	0.000	Merged-chr13-22041216-55
NR1593--MA0463.1.Bcl6	chr7	75387910	75387923	+	0.000	0.000	Merged-chr7-75388095-45
NR1235--MA0463.1.Bcl6	chr4	62552200	62552213	-	0.000	0.000	Merged-chr4-62552113-23
NR1020--MA0463.1.Bcl6	chr2	126499986	126499999	+	0.000	0.000	Merged-chr2-126499929-54
NR629--MA0731.1.BCL6B	chr15	54919967	54919983	-	0.000	0.000	Merged-chr15-54920011-57
NR1253--MA0463.1.Bcl6	chr4	89178165	89178178	+	0.000	0.000	Merged-chr4-89178152-23
NR339--MA0463.1.Bcl6	chr11	104630448	104630461	-	0.000	0.000	Merged-chr11-104630373-60
NR1383--MA0463.1.Bcl6	chr5	92392655	92392668	+	0.000	0.000	Merged-chr5-92392769-24
NR1025--MA0463.1.Bcl6	chr2	132725347	132725360	+	0.000	0.000	Merged-chr2-132725506-29
NR1137--MA0463.1.Bcl6	chr3	104968184	104968197	+	0.000	0.000	Merged-chr3-104968115-29
NR175--MA0731.1.BCL6B	chr10	37014498	37014514	+	0.000	0.000	Merged-chr10-37014409-21
NR1710--MA0463.1.Bcl6	chr8	61436815	61436828	+	0.000	0.000	Merged-chr8-61436904-17
NR1840--MA0463.1.Bcl6	chr9	88273655	88273668	-	0.000	0.000	Merged-chr9-88273504-34
NR1650--MA0731.1.BCL6B	chr7	123322504	123322520	-	0.000	0.000	Merged-chr7-123322591-57
NR599--MA0463.1.Bcl6	chr14	122035964	122035977	-	0.000	0.000	Merged-chr14-122036030-34
NR908--MA0463.1.Bcl6	chr2	18609092	18609105	+	0.000	0.000	Merged-chr2-18609153-119
NR290--MA0463.1.Bcl6	chr11	54727501	54727514	-	0.000	0.000	Merged-chr11-54727564-80
NR814--MA0463.1.Bcl6	chr18	32564352	32564365	-	0.000	0.000	Merged-chr18-32564483-46
NR1827--MA0463.1.Bcl6	chr9	77544966	77544979	+	0.000	0.000	Merged-chr9-77544648-151
NR277--MA0463.1.Bcl6	chr11	21102696	21102709	+	0.000	0.000	Merged-chr11-21102815-54
NR850--MA0463.1.Bcl6	chr18	76222497	76222510	-	0.000	0.000	Merged-chr18-76222464-24
NR1881--MA0731.1.BCL6B	chrX	12135166	12135182	+	0.000	0.000	Merged-chrX-12135099-86
NR42--MA0731.1.BCL6B	chr1	80757615	80757631	-	0.000	0.000	Merged-chr1-80757990-114
NR1863--MA0463.1.Bcl6	chr9	115625171	115625184	-	0.000	0.000	Merged-chr9-115625074-18
NR716--MA0463.1.Bcl6	chr16	76310959	76310972	+	0.000	0.000	Merged-chr16-76310830-49
NR1894--MA0731.1.BCL6B	chrX	104587399	104587415	+	0.000	0.000	Merged-chrX-104587558-7
NR1729--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR1403--MA0731.1.BCL6B	chr5	105800269	105800285	+	0.000	0.000	Merged-chr5-105800443-1
NR1655--MA0731.1.BCL6B	chr7	127148439	127148455	+	0.000	0.000	Merged-chr7-127148384-5
NR958--MA0463.1.Bcl6	chr2	70559674	70559687	+	0.000	0.000	Merged-chr2-70559550-15
NR1493--MA0731.1.BCL6B	chr6	100011675	100011691	+	0.000	0.000	Merged-chr6-100011850-11
NR1765--MA0463.1.Bcl6	chr8	116689893	116689906	+	0.000	0.000	Merged-chr8-116689955-52
NR1550--MA0463.1.Bcl6	chr7	12955085	12955098	-	0.000	0.000	Merged-chr7-12955055-4
NR1671--MA0463.1.Bcl6	chr7	140193006	140193019	-	0.000	0.000	Merged-chr7-140193008-50
NR1730--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
