#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR1819--MA0089.1.MAFG::NFE2L1	chr12	41843922	41843927	-	0.000	0.000	Merged-chr12-41844052-32
NR5033--MA0495.2.MAFF	chr2	154603806	154603826	-	0.000	0.000	Merged-chr2-154603925-61
NR4027--MA0089.1.MAFG::NFE2L1	chr18	37813972	37813977	-	0.000	0.000	Merged-chr18-37813954-31
NR4679--MA0591.1.Bach1::Mafk	chr2	72170816	72170830	+	0.000	0.000	Merged-chr2-72170854-84
NR8293--MA0496.2.MAFK	chr9	96740563	96740581	-	0.000	0.000	Merged-chr9-96740764-95
NR7102--MA0089.1.MAFG::NFE2L1	chr6	146734402	146734407	-	0.000	0.000	Merged-chr6-146734350-25
NR7796--MA0089.1.MAFG::NFE2L1	chr8	91545812	91545817	-	0.000	0.000	Merged-chr8-91545805-43
NR585--MA0501.1.MAF::NFE2	chr1	192753211	192753225	-	0.000	0.000	Merged-chr1-192753229-57
NR5366--MA0117.2.Mafb	chr3	95223118	95223129	+	0.000	0.000	Merged-chr3-95223190-16
NR4738--MA0501.1.MAF::NFE2	chr2	101616049	101616063	+	0.000	0.000	Merged-chr2-101616143-32
NR3097--MA0659.1.MAFG	chr15	79224832	79224852	-	0.000	0.000	Merged-chr15-79224869-14
NR1584--MA0117.2.Mafb	chr11	107693436	107693447	-	0.000	0.000	Merged-chr11-107693539-25
NR7317--MA0089.1.MAFG::NFE2L1	chr7	72306444	72306449	+	0.000	0.000	Merged-chr7-72306656-56
NR2994--MA0496.2.MAFK	chr15	58655207	58655225	-	0.000	0.000	Merged-chr15-58655104-54
NR3879--MA0089.1.MAFG::NFE2L1	chr17	83654746	83654751	-	0.000	0.000	Merged-chr17-83654883-58
NR6921--MA0501.1.MAF::NFE2	chr6	114936785	114936799	+	0.000	0.000	Merged-chr6-114936685-54
NR1415--MA0089.1.MAFG::NFE2L1	chr11	78865061	78865066	+	0.000	0.000	Merged-chr11-78864936-24
NR5043--MA0089.1.MAFG::NFE2L1	chr2	156278796	156278801	-	0.000	0.000	Merged-chr2-156278789-33
NR5711--MA0659.1.MAFG	chr4	43427723	43427743	+	0.000	0.000	Merged-chr4-43427780-35
NR225--MA0495.2.MAFF	chr1	92119341	92119361	+	0.000	0.000	Merged-chr1-92119439-48
NR241--MA0089.1.MAFG::NFE2L1	chr1	92473735	92473740	+	0.000	0.000	Merged-chr1-92473909-79
NR8094--MA0117.2.Mafb	chr9	44652136	44652147	-	0.000	0.000	Merged-chr9-44652230-11
NR1011--MA0089.1.MAFG::NFE2L1	chr10	116746877	116746882	+	0.000	0.000	Merged-chr10-116746686-40
NR2446--MA0659.1.MAFG	chr13	96697952	96697972	+	0.000	0.000	Merged-chr13-96698036-39
NR8044--MA0089.1.MAFG::NFE2L1	chr9	32745189	32745194	-	0.000	0.000	Merged-chr9-32745254-38
NR695--MA0495.2.MAFF	chr10	40163693	40163713	-	0.000	0.000	Merged-chr10-40163524-42
NR4301--MA0089.1.MAFG::NFE2L1	chr19	32935826	32935831	-	0.000	0.000	Merged-chr19-32935830-20
NR18--MA0501.1.MAF::NFE2	chr1	13752557	13752571	-	0.000	0.000	Merged-chr1-13752649-29
NR4529--MA0591.1.Bach1::Mafk	chr2	28540198	28540212	+	0.000	0.000	Merged-chr2-28540150-39
NR4400--MA0495.2.MAFF	chr19	56687125	56687145	+	0.000	0.000	Merged-chr19-56687212-16
NR3616--MA0591.1.Bach1::Mafk	chr17	24152467	24152481	+	0.000	0.000	Merged-chr17-24152368-58
NR2597--MA0591.1.Bach1::Mafk	chr14	25161760	25161774	-	0.000	0.000	Merged-chr14-25161984-35
NR6594--MA0591.1.Bach1::Mafk	chr5	149160702	149160716	-	0.000	0.000	Merged-chr5-149160687-30
NR4505--MA0659.1.MAFG	chr2	19628289	19628309	-	0.000	0.000	Merged-chr2-19628399-27
NR1811--MA0495.2.MAFF	chr12	41044928	41044948	-	0.000	0.000	Merged-chr12-41044922-24
NR7492--MA0089.1.MAFG::NFE2L1	chr7	125511602	125511607	-	0.000	0.000	Merged-chr7-125511628-40
NR3664--MA0495.2.MAFF	chr17	32891342	32891362	-	0.000	0.000	Merged-chr17-32891413-48
NR7517--MA0089.1.MAFG::NFE2L1	chr7	130886494	130886499	-	0.000	0.000	Merged-chr7-130886495-31
NR3641--MA0496.2.MAFK	chr17	26572480	26572498	-	0.000	0.000	Merged-chr17-26572396-49
NR2168--MA0089.1.MAFG::NFE2L1	chr13	30548975	30548980	+	0.000	0.000	Merged-chr13-30549048-17
NR944--MA0501.1.MAF::NFE2	chr10	96202055	96202069	+	0.000	0.000	Merged-chr10-96202088-1
NR8527--MA0495.2.MAFF	chrX	142792380	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR8157--MA0089.1.MAFG::NFE2L1	chr9	64914760	64914765	+	0.000	0.000	Merged-chr9-64914839-18
NR8464--MA0591.1.Bach1::Mafk	chrX	73976490	73976504	-	0.000	0.000	Merged-chrX-73976480-18
NR1813--MA0659.1.MAFG	chr12	41044928	41044948	+	0.000	0.000	Merged-chr12-41044922-24
NR659--MA0496.2.MAFK	chr10	21504635	21504653	+	0.000	0.000	Merged-chr10-21504659-28
NR5232--MA0501.1.MAF::NFE2	chr3	18623967	18623981	-	0.000	0.000	Merged-chr3-18624063-31
NR227--MA0117.2.Mafb	chr1	92119350	92119361	-	0.000	0.000	Merged-chr1-92119439-48
NR7506--MA0591.1.Bach1::Mafk	chr7	127181061	127181075	+	0.000	0.000	Merged-chr7-127180997-43
NR3184--MA0089.1.MAFG::NFE2L1	chr15	100060894	100060899	+	0.000	0.000	Merged-chr15-100060928-68
NR3130--MA0501.1.MAF::NFE2	chr15	83474201	83474215	+	0.000	0.000	Merged-chr15-83474258-63
NR2529--MA0496.2.MAFK	chr13	113322204	113322222	-	0.000	0.000	Merged-chr13-113322180-25
NR8551--MA0117.2.Mafb	chrX	164406295	164406306	-	0.000	0.000	Merged-chrX-164406476-50
NR8421--MA0591.1.Bach1::Mafk	chrX	9202146	9202160	-	0.000	0.000	Merged-chrX-9202139-21
NR833--MA0501.1.MAF::NFE2	chr10	80677337	80677351	+	0.000	0.000	Merged-chr10-80677293-45
NR6220--MA0501.1.MAF::NFE2	chr5	54045698	54045712	-	0.000	0.000	Merged-chr5-54045721-49
NR7830--MA0591.1.Bach1::Mafk	chr8	105852065	105852079	-	0.000	0.000	Merged-chr8-105851882-54
NR743--MA0089.1.MAFG::NFE2L1	chr10	59636946	59636951	-	0.000	0.000	Merged-chr10-59636988-40
NR4978--MA0495.2.MAFF	chr2	144343351	144343371	-	0.000	0.000	Merged-chr2-144343268-23
NR6329--MA0496.2.MAFK	chr5	92353779	92353797	-	0.000	0.000	Merged-chr5-92353751-46
NR454--MA0089.1.MAFG::NFE2L1	chr1	170863194	170863199	-	0.000	0.000	Merged-chr1-170863214-38
NR7502--MA0089.1.MAFG::NFE2L1	chr7	126862580	126862585	+	0.000	0.000	Merged-chr7-126862632-1
NR2644--MA0089.1.MAFG::NFE2L1	chr14	47298576	47298581	-	0.000	0.000	Merged-chr14-47298519-76
NR7692--MA0089.1.MAFG::NFE2L1	chr8	69920453	69920458	-	0.000	0.000	Merged-chr8-69920362-48
NR2771--MA0591.1.Bach1::Mafk	chr14	70798822	70798836	-	0.000	0.000	Merged-chr14-70798760-56
NR5190--MA0591.1.Bach1::Mafk	chr2	181319654	181319668	+	0.000	0.000	Merged-chr2-181319811-50
NR2254--MA0659.1.MAFG	chr13	45624075	45624095	-	0.000	0.000	Merged-chr13-45624002-39
NR3883--MA0496.2.MAFK	chr17	83654980	83654998	-	0.000	0.000	Merged-chr17-83654883-58
NR8115--MA0501.1.MAF::NFE2	chr9	52349363	52349377	+	0.000	0.000	Merged-chr9-52349266-37
NR1484--MA0496.2.MAFK	chr11	87724907	87724925	+	0.000	0.000	Merged-chr11-87724985-4
NR6964--MA0501.1.MAF::NFE2	chr6	122758987	122759001	-	0.000	0.000	Merged-chr6-122758915-39
NR8341--MA0659.1.MAFG	chr9	111271627	111271647	+	0.000	0.000	Merged-chr9-111271747-70
NR1049--MA0501.1.MAF::NFE2	chr10	119083893	119083907	-	0.000	0.000	Merged-chr10-119083697-27
NR2261--MA0495.2.MAFF	chr13	45872303	45872323	-	0.000	0.000	Merged-chr13-45872206-76
NR5934--MA0089.1.MAFG::NFE2L1	chr4	136033569	136033574	-	0.000	0.000	Merged-chr4-136033547-7
NR7227--MA0495.2.MAFF	chr7	31034885	31034905	+	0.000	0.000	Merged-chr7-31034893-11
NR626--MA0501.1.MAF::NFE2	chr10	14207915	14207929	-	0.000	0.000	Merged-chr10-14207893-35
NR615--MA0591.1.Bach1::Mafk	chr10	13424664	13424678	+	0.000	0.000	Merged-chr10-13424690-40
NR756--MA0089.1.MAFG::NFE2L1	chr10	67493720	67493725	-	0.000	0.000	Merged-chr10-67493801-11
NR7800--MA0495.2.MAFF	chr8	94186724	94186744	+	0.000	0.000	Merged-chr8-94186753-31
NR229--MA0591.1.Bach1::Mafk	chr1	92119344	92119358	-	0.000	0.000	Merged-chr1-92119439-48
NR3828--MA0501.1.MAF::NFE2	chr17	73806528	73806542	-	0.000	0.000	Merged-chr17-73806429-20
NR4313--MA0659.1.MAFG	chr19	33429569	33429589	-	0.000	0.000	Merged-chr19-33429713-40
NR234--MA0496.2.MAFK	chr1	92119342	92119360	-	0.000	0.000	Merged-chr1-92119439-48
NR6102--MA0591.1.Bach1::Mafk	chr5	8075509	8075523	+	0.000	0.000	Merged-chr5-8075370-38
NR7795--MA0496.2.MAFK	chr8	91545720	91545738	+	0.000	0.000	Merged-chr8-91545805-43
