#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR1235--MA0508.2.PRDM1	chr6	115021351	115021360	-	0.000	0.000	Merged-chr6-115021349-12
NR202--MA0508.2.PRDM1	chr10	121297447	121297456	+	0.000	0.000	Merged-chr10-121297598-43
NR930--MA0508.2.PRDM1	chr3	52458862	52458871	-	0.000	0.000	Merged-chr3-52458640-68
NR454--MA0508.2.PRDM1	chr13	113198243	113198252	-	0.000	0.000	Merged-chr13-113198047-76
NR1073--MA0508.2.PRDM1	chr4	132898346	132898355	+	0.000	0.000	Merged-chr4-132898365-25
NR1139--MA0508.2.PRDM1	chr5	99336741	99336750	-	0.000	0.000	Merged-chr5-99336656-39
NR834--MA0508.2.PRDM1	chr2	76030120	76030129	-	0.000	0.000	Merged-chr2-76030062-28
NR1182--MA0508.2.PRDM1	chr6	31085658	31085667	+	0.000	0.000	Merged-chr6-31085577-29
NR71--MA0508.2.PRDM1	chr1	155040530	155040539	-	0.000	0.000	Merged-chr1-155040391-76
NR672--MA0508.2.PRDM1	chr17	50580594	50580603	-	0.000	0.000	Merged-chr17-50580565-35
NR324--MA0508.2.PRDM1	chr12	36931391	36931400	+	0.000	0.000	Merged-chr12-36931553-8
NR1214--MA0508.2.PRDM1	chr6	97235470	97235479	+	0.000	0.000	Merged-chr6-97235343-20
NR847--MA0508.2.PRDM1	chr2	103634188	103634197	+	0.000	0.000	Merged-chr2-103634168-14
NR1466--MA0508.2.PRDM1	chr9	64831979	64831988	-	0.000	0.000	Merged-chr9-64831906-29
NR162--MA0508.2.PRDM1	chr10	67620233	67620242	+	0.000	0.000	Merged-chr10-67620150-41
NR704--MA0508.2.PRDM1	chr18	41951239	41951248	+	0.000	0.000	Merged-chr18-41951172-76
NR1052--MA0508.2.PRDM1	chr4	89044171	89044180	-	0.000	0.000	Merged-chr4-89044155-38
NR1323--MA0508.2.PRDM1	chr7	80918284	80918293	+	0.000	0.000	Merged-chr7-80918248-31
NR84--MA0508.2.PRDM1	chr1	169919348	169919357	+	0.000	0.000	Merged-chr1-169919458-18
NR890--MA0508.2.PRDM1	chr2	150869559	150869568	+	0.000	0.000	Merged-chr2-150869596-45
NR685--MA0508.2.PRDM1	chr17	80062228	80062237	-	0.000	0.000	Merged-chr17-80062114-120
NR956--MA0508.2.PRDM1	chr3	96764775	96764784	+	0.000	0.000	Merged-chr3-96764776-19
NR542--MA0508.2.PRDM1	chr15	59707894	59707903	+	0.000	0.000	Merged-chr15-59707926-13
NR1479--MA0508.2.PRDM1	chr9	82964121	82964130	+	0.000	0.000	Merged-chr9-82964235-29
NR380--MA0508.2.PRDM1	chr13	5286476	5286485	+	0.000	0.000	Merged-chr13-5286449-11
NR922--MA0508.2.PRDM1	chr3	32417918	32417927	-	0.000	0.000	Merged-chr3-32417870-35
NR1065--MA0508.2.PRDM1	chr4	117835401	117835410	+	0.000	0.000	Merged-chr4-117835233-2
NR303--MA0508.2.PRDM1	chr11	113537105	113537114	+	0.000	0.000	Merged-chr11-113536889-33
NR412--MA0508.2.PRDM1	chr13	55199709	55199718	-	0.000	0.000	Merged-chr13-55199787-10
NR935--MA0508.2.PRDM1	chr3	65416706	65416715	+	0.000	0.000	Merged-chr3-65416822-6
NR1283--MA0508.2.PRDM1	chr7	19562253	19562262	+	0.000	0.000	Merged-chr7-19562179-63
