#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR964--MA0508.2.PRDM1	chr18	10869543	10869552	-	0.000	0.000	Merged-chr18-10869637-25
NR1583--MA0508.2.PRDM1	chr5	74348732	74348741	+	0.000	0.000	Merged-chr5-74348625-55
NR1506--MA0508.2.PRDM1	chr4	139330790	139330799	+	0.000	0.000	Merged-chr4-139330878-48
NR1758--MA0508.2.PRDM1	chr6	129049201	129049210	+	0.000	0.000	Merged-chr6-129049251-27
NR725--MA0508.2.PRDM1	chr14	120277517	120277526	+	0.000	0.000	Merged-chr14-120277544-48
NR1615--MA0508.2.PRDM1	chr5	105495369	105495378	+	0.000	0.000	Merged-chr5-105495544-71
NR1867--MA0508.2.PRDM1	chr7	97041314	97041323	+	0.000	0.000	Merged-chr7-97041400-3
NR1182--MA0508.2.PRDM1	chr2	132264047	132264056	-	0.000	0.000	Merged-chr2-132264143-23
NR420--MA0508.2.PRDM1	chr12	15811827	15811836	-	0.000	0.000	Merged-chr12-15811908-21
NR943--MA0508.2.PRDM1	chr17	70729085	70729094	+	0.000	0.000	Merged-chr17-70729015-28
NR1086--MA0508.2.PRDM1	chr2	31303570	31303579	+	0.000	0.000	Merged-chr2-31303456-10
NR1357--MA0508.2.PRDM1	chr3	142620163	142620172	+	0.000	0.000	Merged-chr3-142620396-203
NR162--MA0508.2.PRDM1	chr1	177338777	177338786	+	0.000	0.000	Merged-chr1-177338915-41
NR956--MA0508.2.PRDM1	chr17	84018935	84018944	-	0.000	0.000	Merged-chr17-84018962-14
NR271--MA0508.2.PRDM1	chr10	95894320	95894329	+	0.000	0.000	Merged-chr10-95894302-1
NR542--MA0508.2.PRDM1	chr13	36366500	36366509	-	0.000	0.000	Merged-chr13-36366469-31
NR813--MA0508.2.PRDM1	chr16	27349410	27349419	-	0.000	0.000	Merged-chr16-27349554-54
NR380--MA0508.2.PRDM1	chr11	94601809	94601818	-	0.000	0.000	Merged-chr11-94601858-52
NR760--MA0508.2.PRDM1	chr15	62482575	62482584	-	0.000	0.000	Merged-chr15-62482463-45
NR412--MA0508.2.PRDM1	chr11	121064228	121064237	-	0.000	0.000	Merged-chr11-121064322-30
NR1349--MA0508.2.PRDM1	chr3	138841354	138841363	+	0.000	0.000	Merged-chr3-138841387-35
NR250--MA0508.2.PRDM1	chr10	79417332	79417341	-	0.000	0.000	Merged-chr10-79417442-89
NR2090--MA0508.2.PRDM1	chr9	82336595	82336604	-	0.000	0.000	Merged-chr9-82336672-1
NR839--MA0508.2.PRDM1	chr16	51650209	51650218	-	0.000	0.000	Merged-chr16-51650319-8
NR630--MA0508.2.PRDM1	chr14	7833637	7833646	-	0.000	0.000	Merged-chr14-7833590-5
NR901--MA0508.2.PRDM1	chr17	26551377	26551386	+	0.000	0.000	Merged-chr17-26551311-33
NR76--MA0508.2.PRDM1	chr1	106647497	106647506	-	0.000	0.000	Merged-chr1-106647524-44
NR1296--MA0508.2.PRDM1	chr3	94954018	94954027	+	0.000	0.000	Merged-chr3-94953960-56
NR1219--MA0508.2.PRDM1	chr2	169779044	169779053	+	0.000	0.000	Merged-chr2-169779005-37
NR120--MA0508.2.PRDM1	chr1	143653899	143653908	+	0.000	0.000	Merged-chr1-143653917-44
NR818--MA0508.2.PRDM1	chr16	31234186	31234195	+	0.000	0.000	Merged-chr16-31234137-43
NR133--MA0508.2.PRDM1	chr1	160006268	160006277	+	0.000	0.000	Merged-chr1-160006258-20
NR799--MA0508.2.PRDM1	chr16	10732708	10732717	+	0.000	0.000	Merged-chr16-10732689-38
NR1023--MA0508.2.PRDM1	chr19	15883278	15883287	+	0.000	0.000	Merged-chr19-15883225-34
NR55--MA0508.2.PRDM1	chr1	86154564	86154573	-	0.000	0.000	Merged-chr1-86154641-52
NR385--MA0508.2.PRDM1	chr11	96996675	96996684	-	0.000	0.000	Merged-chr11-96996617-51
NR927--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR2101--MA0508.2.PRDM1	chr9	95120367	95120376	+	0.000	0.000	Merged-chr9-95120288-34
NR513--MA0508.2.PRDM1	chr12	117152814	117152823	+	0.000	0.000	Merged-chr12-117152870-1
NR1036--MA0508.2.PRDM1	chr19	34607771	34607780	+	0.000	0.000	Merged-chr19-34607589-82
NR874--MA0508.2.PRDM1	chr16	94414372	94414381	+	0.000	0.000	Merged-chr16-94414336-19
NR1288--MA0508.2.PRDM1	chr3	87512679	87512688	+	0.000	0.000	Merged-chr3-87512596-6
NR1559--MA0508.2.PRDM1	chr5	39156040	39156049	-	0.000	0.000	Merged-chr5-39156004-13
NR906--MA0508.2.PRDM1	chr17	31011881	31011890	-	0.000	0.000	Merged-chr17-31011806-34
NR1049--MA0508.2.PRDM1	chr19	53900127	53900136	-	0.000	0.000	Merged-chr19-53900039-75
NR601--MA0508.2.PRDM1	chr13	106691992	106692001	+	0.000	0.000	Merged-chr13-106691961-50
NR125--MA0508.2.PRDM1	chr1	152053499	152053508	-	0.000	0.000	Merged-chr1-152053412-31
NR47--MA0508.2.PRDM1	chr1	80663965	80663974	-	0.000	0.000	Merged-chr1-80663924-12
NR919--MA0508.2.PRDM1	chr17	35517057	35517066	-	0.000	0.000	Merged-chr17-35516869-65
NR691--MA0508.2.PRDM1	chr14	74928987	74928996	-	0.000	0.000	Merged-chr14-74929148-19
NR486--MA0508.2.PRDM1	chr12	98601099	98601108	+	0.000	0.000	Merged-chr12-98601119-23
NR757--MA0508.2.PRDM1	chr15	58171454	58171463	+	0.000	0.000	Merged-chr15-58171434-29
NR614--MA0508.2.PRDM1	chr13	114086408	114086417	+	0.000	0.000	Merged-chr13-114086496-8
NR409--MA0508.2.PRDM1	chr11	117965735	117965744	+	0.000	0.000	Merged-chr11-117965771-41
NR866--MA0508.2.PRDM1	chr16	87507938	87507947	+	0.000	0.000	Merged-chr16-87507775-34
NR452--MA0508.2.PRDM1	chr12	69537945	69537954	-	0.000	0.000	Merged-chr12-69537994-76
NR723--MA0508.2.PRDM1	chr14	118673124	118673133	+	0.000	0.000	Merged-chr14-118673054-3
NR518--MA0508.2.PRDM1	chr12	119157258	119157267	-	0.000	0.000	Merged-chr12-119157162-44
NR1389--MA0508.2.PRDM1	chr4	6844285	6844294	+	0.000	0.000	Merged-chr4-6844197-28
NR356--MA0508.2.PRDM1	chr11	72301608	72301617	+	0.000	0.000	Merged-chr11-72301642-47
NR213--MA0508.2.PRDM1	chr10	28516279	28516288	+	0.000	0.000	Merged-chr10-28516243-39
NR194--MA0508.2.PRDM1	chr10	7474432	7474441	-	0.000	0.000	Merged-chr10-7474458-4
NR322--MA0508.2.PRDM1	chr11	11528911	11528920	+	0.000	0.000	Merged-chr11-11528988-38
NR160--MA0508.2.PRDM1	chr1	176862417	176862426	-	0.000	0.000	Merged-chr1-176862345-25
NR1831--MA0508.2.PRDM1	chr7	58759451	58759460	-	0.000	0.000	Merged-chr7-58759463-23
NR335--MA0508.2.PRDM1	chr11	22692993	22693002	+	0.000	0.000	Merged-chr11-22693176-79
NR587--MA0508.2.PRDM1	chr13	92671879	92671888	-	0.000	0.000	Merged-chr13-92671922-24
NR444--MA0508.2.PRDM1	chr12	52615855	52615864	-	0.000	0.000	Merged-chr12-52615986-19
NR2141--MA0508.2.PRDM1	chrX	36989492	36989501	-	0.000	0.000	Merged-chrX-36989513-70
NR18--MA0508.2.PRDM1	chr1	40847760	40847769	+	0.000	0.000	Merged-chr1-40847809-27
