#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1627--MA0002.2.RUNX1	chr12	69539513	69539523	-	0.000	0.000	Merged-chr12-69539558-45
NR3387--MA0511.2.RUNX2	chr17	35997111	35997119	-	0.000	0.000	Merged-chr17-35997233-37
NR5050--MA0684.1.RUNX3	chr4	84977525	84977534	-	0.000	0.000	Merged-chr4-84977391-25
NR3370--MA0684.1.RUNX3	chr17	34210812	34210821	-	0.000	0.000	Merged-chr17-34210763-36
NR1485--MA0684.1.RUNX3	chr11	117872114	117872123	-	0.000	0.000	Merged-chr11-117872185-83
NR3559--MA0002.2.RUNX1	chr18	4971034	4971044	+	0.000	0.000	Merged-chr18-4971127-12
NR3515--MA0511.2.RUNX2	chr17	83720671	83720679	-	0.000	0.000	Merged-chr17-83720681-1
NR7647--MA0002.2.RUNX1	chrX	57196486	57196496	+	0.000	0.000	Merged-chrX-57196423-53
NR3022--MA0684.1.RUNX3	chr16	31210109	31210118	-	0.000	0.000	Merged-chr16-31210060-37
NR5967--MA0002.2.RUNX1	chr6	51073597	51073607	-	0.000	0.000	Merged-chr6-51073558-17
NR7332--MA0511.2.RUNX2	chr9	66883764	66883772	+	0.000	0.000	Merged-chr9-66883654-39
NR6522--MA0002.2.RUNX1	chr7	80410400	80410410	+	0.000	0.000	Merged-chr7-80410451-25
NR5447--MA0511.2.RUNX2	chr5	38566699	38566707	+	0.000	0.000	Merged-chr5-38566846-14
NR4842--MA0002.2.RUNX1	chr3	142282935	142282945	-	0.000	0.000	Merged-chr3-142282975-41
NR5282--MA0002.2.RUNX1	chr4	136570152	136570162	+	0.000	0.000	Merged-chr4-136570246-39
NR3545--MA0684.1.RUNX3	chr17	84758553	84758562	+	0.000	0.000	Merged-chr17-84758646-47
NR1051--MA0002.2.RUNX1	chr11	23818890	23818900	+	0.000	0.000	Merged-chr11-23819028-15
