#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1938--MA0591.1.Bach1::Mafk	chr11	83541103	83541117	+	0.000	0.000	Merged-chr11-83541106-19
NR9589--MA0591.1.Bach1::Mafk	chr7	15948872	15948886	+	0.000	0.000	Merged-chr7-15948803-65
NR8983--MA0495.2.MAFF	chr6	65765317	65765337	-	0.000	0.000	Merged-chr6-65765316-29
NR2748--MA0089.1.MAFG::NFE2L1	chr12	112699369	112699374	+	0.000	0.000	Merged-chr12-112699364-12
NR10005--MA0117.2.Mafb	chr7	117515950	117515961	-	0.000	0.000	Merged-chr7-117515976-13
NR5010--MA0496.2.MAFK	chr17	79599349	79599367	-	0.000	0.000	Merged-chr17-79599396-20
NR2853--MA0591.1.Bach1::Mafk	chr13	5313496	5313510	-	0.000	0.000	Merged-chr13-5313405-28
NR11107--MA0089.1.MAFG::NFE2L1	chr9	112174593	112174598	+	0.000	0.000	Merged-chr9-112174843-101
NR6954--MA0089.1.MAFG::NFE2L1	chr3	51553028	51553033	+	0.000	0.000	Merged-chr3-51553157-56
NR7886--MA0117.2.Mafb	chr4	109136703	109136714	+	0.000	0.000	Merged-chr4-109136872-28
NR3764--MA0089.1.MAFG::NFE2L1	chr14	101892320	101892325	-	0.000	0.000	Merged-chr14-101892350-14
NR4636--MA0591.1.Bach1::Mafk	chr16	95893617	95893631	+	0.000	0.000	Merged-chr16-95893684-47
NR9868--MA0089.1.MAFG::NFE2L1	chr7	99027423	99027428	+	0.000	0.000	Merged-chr7-99027397-37
NR6241--MA0117.2.Mafb	chr2	106984999	106985010	+	0.000	0.000	Merged-chr2-106985167-21
NR9753--MA0089.1.MAFG::NFE2L1	chr7	67631085	67631090	-	0.000	0.000	Merged-chr7-67631020-23
NR8333--MA0089.1.MAFG::NFE2L1	chr5	65391536	65391541	-	0.000	0.000	Merged-chr5-65391425-67
NR4895--MA0089.1.MAFG::NFE2L1	chr17	52182985	52182990	-	0.000	0.000	Merged-chr17-52182908-22
NR3475--MA0089.1.MAFG::NFE2L1	chr14	27351659	27351664	+	0.000	0.000	Merged-chr14-27351647-44
NR9915--MA0501.1.MAF::NFE2	chr7	104507804	104507818	+	0.000	0.000	Merged-chr7-104507900-57
NR8912--MA0501.1.MAF::NFE2	chr6	49321552	49321566	+	0.000	0.000	Merged-chr6-49321537-14
NR9605--MA0659.1.MAFG	chr7	19332921	19332941	-	0.000	0.000	Merged-chr7-19332998-44
NR4780--MA0089.1.MAFG::NFE2L1	chr17	27131535	27131540	+	0.000	0.000	Merged-chr17-27131518-4
NR3574--MA0591.1.Bach1::Mafk	chr14	59397160	59397174	+	0.000	0.000	Merged-chr14-59397210-50
NR695--MA0495.2.MAFF	chr1	161480011	161480031	+	0.000	0.000	Merged-chr1-161480099-19
NR7656--MA0591.1.Bach1::Mafk	chr4	33073040	33073054	+	0.000	0.000	Merged-chr4-33073054-38
NR98--MA0659.1.MAFG	chr1	36987470	36987490	-	0.000	0.000	Merged-chr1-36987368-5
NR887--MA0496.2.MAFK	chr1	182224054	182224072	-	0.000	0.000	Merged-chr1-182224037-19
NR8947--MA0496.2.MAFK	chr6	54760018	54760036	-	0.000	0.000	Merged-chr6-54760187-57
NR990--MA0501.1.MAF::NFE2	chr1	192540928	192540942	+	0.000	0.000	Merged-chr1-192540861-22
NR9043--MA0496.2.MAFK	chr6	72881453	72881471	+	0.000	0.000	Merged-chr6-72881581-61
NR4207--MA0591.1.Bach1::Mafk	chr16	4469922	4469936	-	0.000	0.000	Merged-chr16-4469915-27
NR10129--MA0495.2.MAFF	chr7	141059195	141059215	+	0.000	0.000	Merged-chr7-141058987-66
NR8300--MA0117.2.Mafb	chr5	52609894	52609905	-	0.000	0.000	Merged-chr5-52609918-24
NR4400--MA0495.2.MAFF	chr16	50737727	50737747	-	0.000	0.000	Merged-chr16-50737708-13
NR9981--MA0659.1.MAFG	chr7	113197597	113197617	-	0.000	0.000	Merged-chr7-113197463-17
NR10249--MA0501.1.MAF::NFE2	chr8	34591186	34591200	+	0.000	0.000	Merged-chr8-34591270-22
NR4718--MA0089.1.MAFG::NFE2L1	chr17	9031704	9031709	+	0.000	0.000	Merged-chr17-9031806-57
NR5156--MA0089.1.MAFG::NFE2L1	chr18	24237401	24237406	+	0.000	0.000	Merged-chr18-24237197-17
NR4568--MA0501.1.MAF::NFE2	chr16	87700098	87700112	-	0.000	0.000	Merged-chr16-87700097-27
NR5504--MA0501.1.MAF::NFE2	chr19	4037979	4037993	+	0.000	0.000	Merged-chr19-4037964-42
NR4880--MA0089.1.MAFG::NFE2L1	chr17	47272503	47272508	-	0.000	0.000	Merged-chr17-47272458-17
NR10697--MA0496.2.MAFK	chr9	14248438	14248456	+	0.000	0.000	Merged-chr9-14248366-20
NR8337--MA0501.1.MAF::NFE2	chr5	65951298	65951312	+	0.000	0.000	Merged-chr5-65951105-46
NR4392--MA0501.1.MAF::NFE2	chr16	50201781	50201795	-	0.000	0.000	Merged-chr16-50201808-40
NR3299--MA0089.1.MAFG::NFE2L1	chr13	108426544	108426549	-	0.000	0.000	Merged-chr13-108426538-45
NR9953--MA0089.1.MAFG::NFE2L1	chr7	110376274	110376279	+	0.000	0.000	Merged-chr7-110376386-11
NR2631--MA0089.1.MAFG::NFE2L1	chr12	100527933	100527938	-	0.000	0.000	Merged-chr12-100527880-14
NR9975--MA0495.2.MAFF	chr7	113197597	113197617	+	0.000	0.000	Merged-chr7-113197463-17
NR9419--MA0591.1.Bach1::Mafk	chr6	136493617	136493631	+	0.000	0.000	Merged-chr6-136493676-34
NR8551--MA0117.2.Mafb	chr5	106982741	106982752	+	0.000	0.000	Merged-chr5-106982609-23
NR6185--MA0089.1.MAFG::NFE2L1	chr2	94397721	94397726	-	0.000	0.000	Merged-chr2-94397657-13
NR462--MA0496.2.MAFK	chr1	106268518	106268536	+	0.000	0.000	Merged-chr1-106268464-31
NR2348--MA0659.1.MAFG	chr12	33380191	33380211	-	0.000	0.000	Merged-chr12-33380156-47
NR1028--MA0495.2.MAFF	chr10	12875019	12875039	+	0.000	0.000	Merged-chr10-12875013-52
NR658--MA0591.1.Bach1::Mafk	chr1	156913286	156913300	+	0.000	0.000	Merged-chr1-156913345-17
NR1146--MA0117.2.Mafb	chr10	38884900	38884911	+	0.000	0.000	Merged-chr10-38884993-65
NR454--MA0089.1.MAFG::NFE2L1	chr1	106043675	106043680	+	0.000	0.000	Merged-chr1-106043665-23
NR4881--MA0117.2.Mafb	chr17	47272520	47272531	-	0.000	0.000	Merged-chr17-47272458-17
NR3197--MA0089.1.MAFG::NFE2L1	chr13	93593449	93593454	+	0.000	0.000	Merged-chr13-93593412-57
NR3573--MA0089.1.MAFG::NFE2L1	chr14	59397160	59397165	-	0.000	0.000	Merged-chr14-59397210-50
NR4138--MA0089.1.MAFG::NFE2L1	chr15	89429598	89429603	+	0.000	0.000	Merged-chr15-89429749-75
NR5077--MA0501.1.MAF::NFE2	chr17	88021303	88021317	-	0.000	0.000	Merged-chr17-88021412-18
NR2021--MA0117.2.Mafb	chr11	97684827	97684838	+	0.000	0.000	Merged-chr11-97684856-2
NR8848--MA0089.1.MAFG::NFE2L1	chr6	31216930	31216935	+	0.000	0.000	Merged-chr6-31216711-63
NR2946--MA0089.1.MAFG::NFE2L1	chr13	34078064	34078069	-	0.000	0.000	Merged-chr13-34078203-66
NR2664--MA0501.1.MAF::NFE2	chr12	103331591	103331605	+	0.000	0.000	Merged-chr12-103331678-52
NR10364--MA0089.1.MAFG::NFE2L1	chr8	77482153	77482158	+	0.000	0.000	Merged-chr8-77482121-16
NR6083--MA0089.1.MAFG::NFE2L1	chr2	70920017	70920022	+	0.000	0.000	Merged-chr2-70920097-22
NR2568--MA0501.1.MAF::NFE2	chr12	86894602	86894616	-	0.000	0.000	Merged-chr12-86894701-134
NR8652--MA0496.2.MAFK	chr5	125107468	125107486	+	0.000	0.000	Merged-chr5-125107407-3
