#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR712--MA0508.2.PRDM1	chr15	66476170	66476179	+	0.000	0.000	Merged-chr15-66476281-69
NR1126--MA0508.2.PRDM1	chr2	157746757	157746766	-	0.000	0.000	Merged-chr2-157746803-36
NR964--MA0508.2.PRDM1	chr19	54015198	54015207	+	0.000	0.000	Merged-chr19-54015154-21
NR1649--MA0508.2.PRDM1	chr7	30321742	30321751	-	0.000	0.000	Merged-chr7-30321790-4
NR1344--MA0508.2.PRDM1	chr4	88641336	88641345	-	0.000	0.000	Merged-chr4-88641244-84
NR1596--MA0508.2.PRDM1	chr6	115853308	115853317	-	0.000	0.000	Merged-chr6-115853380-61
NR292--MA0508.2.PRDM1	chr11	6267807	6267816	+	0.000	0.000	Merged-chr11-6267788-45
NR563--MA0508.2.PRDM1	chr13	107568585	107568594	-	0.000	0.000	Merged-chr13-107568405-110
NR672--MA0508.2.PRDM1	chr14	120277517	120277526	+	0.000	0.000	Merged-chr14-120277544-48
NR1628--MA0508.2.PRDM1	chr6	145285860	145285869	+	0.000	0.000	Merged-chr6-145285757-35
NR324--MA0508.2.PRDM1	chr11	61762056	61762065	-	0.000	0.000	Merged-chr11-61762062-61
NR1195--MA0508.2.PRDM1	chr3	89338091	89338100	+	0.000	0.000	Merged-chr3-89337908-44
NR1466--MA0508.2.PRDM1	chr5	74132500	74132509	-	0.000	0.000	Merged-chr5-74132335-1
NR162--MA0508.2.PRDM1	chr1	191599403	191599412	+	0.000	0.000	Merged-chr1-191599385-45
NR1323--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR84--MA0508.2.PRDM1	chr1	128399218	128399227	-	0.000	0.000	Merged-chr1-128399248-36
NR890--MA0508.2.PRDM1	chr18	13787159	13787168	+	0.000	0.000	Merged-chr18-13787099-71
NR685--MA0508.2.PRDM1	chr15	28159183	28159192	-	0.000	0.000	Merged-chr15-28159214-52
NR956--MA0508.2.PRDM1	chr19	43571342	43571351	+	0.000	0.000	Merged-chr19-43571259-40
NR1575--MA0508.2.PRDM1	chr6	97235470	97235479	+	0.000	0.000	Merged-chr6-97235343-20
NR813--MA0508.2.PRDM1	chr16	93687085	93687094	+	0.000	0.000	Merged-chr16-93687116-36
NR1479--MA0508.2.PRDM1	chr5	96825041	96825050	+	0.000	0.000	Merged-chr5-96825060-50
NR380--MA0508.2.PRDM1	chr12	28834288	28834297	-	0.000	0.000	Merged-chr12-28834463-43
NR1607--MA0508.2.PRDM1	chr6	127219584	127219593	-	0.000	0.000	Merged-chr6-127219541-27
NR969--MA0508.2.PRDM1	chr19	58455557	58455566	+	0.000	0.000	Merged-chr19-58455667-24
NR412--MA0508.2.PRDM1	chr12	72761990	72761999	-	0.000	0.000	Merged-chr12-72761900-3
NR1458--MA0508.2.PRDM1	chr5	67930922	67930931	-	0.000	0.000	Merged-chr5-67930859-12
NR677--MA0508.2.PRDM1	chr15	9574876	9574885	-	0.000	0.000	Merged-chr15-9575046-48
NR1567--MA0508.2.PRDM1	chr6	83718257	83718266	-	0.000	0.000	Merged-chr6-83718285-22
NR1153--MA0508.2.PRDM1	chr3	30952379	30952388	-	0.000	0.000	Merged-chr3-30952502-53
NR1219--MA0508.2.PRDM1	chr3	108124505	108124514	-	0.000	0.000	Merged-chr3-108124378-33
NR120--MA0508.2.PRDM1	chr1	161436662	161436671	+	0.000	0.000	Merged-chr1-161436721-21
NR89--MA0508.2.PRDM1	chr1	131821018	131821027	-	0.000	0.000	Merged-chr1-131821005-30
NR590--MA0508.2.PRDM1	chr14	21032266	21032275	+	0.000	0.000	Merged-chr14-21032326-46
NR385--MA0508.2.PRDM1	chr12	33302933	33302942	-	0.000	0.000	Merged-chr12-33302783-101
NR765--MA0508.2.PRDM1	chr16	26581729	26581738	-	0.000	0.000	Merged-chr16-26581670-77
NR351--MA0508.2.PRDM1	chr11	100555826	100555835	+	0.000	0.000	Merged-chr11-100555804-21
NR417--MA0508.2.PRDM1	chr12	77193547	77193556	-	0.000	0.000	Merged-chr12-77193438-26
NR1036--MA0508.2.PRDM1	chr2	65182903	65182912	+	0.000	0.000	Merged-chr2-65182800-62
NR68--MA0508.2.PRDM1	chr1	106561480	106561489	+	0.000	0.000	Merged-chr1-106561410-50
NR9--MA0508.2.PRDM1	chr1	37496185	37496194	+	0.000	0.000	Merged-chr1-37496227-52
NR34--MA0508.2.PRDM1	chr1	66279478	66279487	+	0.000	0.000	Merged-chr1-66279555-43
NR364--MA0508.2.PRDM1	chr11	120631338	120631347	-	0.000	0.000	Merged-chr11-120631318-28
NR887--MA0508.2.PRDM1	chr18	7702364	7702373	+	0.000	0.000	Merged-chr18-7702213-14
NR996--MA0508.2.PRDM1	chr2	18989001	18989010	+	0.000	0.000	Merged-chr2-18989067-34
NR47--MA0508.2.PRDM1	chr1	85589054	85589063	-	0.000	0.000	Merged-chr1-85588915-19
NR853--MA0508.2.PRDM1	chr17	57096381	57096390	-	0.000	0.000	Merged-chr17-57096588-46
NR505--MA0508.2.PRDM1	chr13	34163153	34163162	+	0.000	0.000	Merged-chr13-34163217-77
NR486--MA0508.2.PRDM1	chr13	14063585	14063594	+	0.000	0.000	Merged-chr13-14063519-130
NR343--MA0508.2.PRDM1	chr11	94404867	94404876	-	0.000	0.000	Merged-chr11-94404879-28
NR614--MA0508.2.PRDM1	chr14	46788247	46788256	-	0.000	0.000	Merged-chr14-46788198-60
NR409--MA0508.2.PRDM1	chr12	69853634	69853643	+	0.000	0.000	Merged-chr12-69853558-20
NR1028--MA0508.2.PRDM1	chr2	57833151	57833160	+	0.000	0.000	Merged-chr2-57833187-31
NR200--MA0508.2.PRDM1	chr10	53596852	53596861	-	0.000	0.000	Merged-chr10-53596886-150
NR181--MA0508.2.PRDM1	chr10	19168055	19168064	-	0.000	0.000	Merged-chr10-19167953-53
NR518--MA0508.2.PRDM1	chr13	51418622	51418631	+	0.000	0.000	Merged-chr13-51418745-22
NR1137--MA0508.2.PRDM1	chr2	174566135	174566144	+	0.000	0.000	Merged-chr2-174566072-46
NR627--MA0508.2.PRDM1	chr14	62837515	62837524	-	0.000	0.000	Merged-chr14-62837590-93
NR1961--MA0508.2.PRDM1	chrX	20961726	20961735	+	0.000	0.000	Merged-chrX-20961894-83
NR879--MA0508.2.PRDM1	chr17	87459656	87459665	+	0.000	0.000	Merged-chr17-87459671-41
NR736--MA0508.2.PRDM1	chr15	96329086	96329095	-	0.000	0.000	Merged-chr15-96329097-10
NR1007--MA0508.2.PRDM1	chr2	33173310	33173319	-	0.000	0.000	Merged-chr2-33173328-14
NR226--MA0508.2.PRDM1	chr10	76238051	76238060	-	0.000	0.000	Merged-chr10-76237890-83
NR1097--MA0508.2.PRDM1	chr2	137225116	137225125	-	0.000	0.000	Merged-chr2-137224983-29
NR1129--MA0508.2.PRDM1	chr2	165982773	165982782	+	0.000	0.000	Merged-chr2-165982856-79
NR696--MA0508.2.PRDM1	chr15	43869972	43869981	-	0.000	0.000	Merged-chr15-43869939-26
NR967--MA0508.2.PRDM1	chr19	56548050	56548059	+	0.000	0.000	Merged-chr19-56547872-1
NR205--MA0508.2.PRDM1	chr10	57448192	57448201	+	0.000	0.000	Merged-chr10-57448269-42
NR186--MA0508.2.PRDM1	chr10	30538226	30538235	+	0.000	0.000	Merged-chr10-30538265-95
NR457--MA0508.2.PRDM1	chr12	110381461	110381470	-	0.000	0.000	Merged-chr12-110381552-59
NR1791--MA0508.2.PRDM1	chr8	36019746	36019755	-	0.000	0.000	Merged-chr8-36019786-19
NR295--MA0508.2.PRDM1	chr11	8798456	8798465	+	0.000	0.000	Merged-chr11-8798656-1
NR1661--MA0508.2.PRDM1	chr7	49601649	49601658	-	0.000	0.000	Merged-chr7-49601650-79
NR274--MA0508.2.PRDM1	chr10	118166243	118166252	+	0.000	0.000	Merged-chr10-118166257-15
NR545--MA0508.2.PRDM1	chr13	83655055	83655064	-	0.000	0.000	Merged-chr13-83655120-33
NR383--MA0508.2.PRDM1	chr12	33158495	33158504	-	0.000	0.000	Merged-chr12-33158359-51
NR144--MA0508.2.PRDM1	chr1	177441889	177441898	+	0.000	0.000	Merged-chr1-177442185-139
NR1924--MA0508.2.PRDM1	chr9	94614117	94614126	-	0.000	0.000	Merged-chr9-94614117-31
NR1491--MA0508.2.PRDM1	chr5	108668996	108669005	+	0.000	0.000	Merged-chr5-108669200-57
NR266--MA0508.2.PRDM1	chr10	108446434	108446443	-	0.000	0.000	Merged-chr10-108446364-45
NR1361--MA0508.2.PRDM1	chr4	106293553	106293562	-	0.000	0.000	Merged-chr4-106293492-52
NR388--MA0508.2.PRDM1	chr12	40017137	40017146	-	0.000	0.000	Merged-chr12-40017136-45
NR1916--MA0508.2.PRDM1	chr9	85011481	85011490	-	0.000	0.000	Merged-chr9-85011578-31
NR497--MA0508.2.PRDM1	chr13	30166640	30166649	-	0.000	0.000	Merged-chr13-30166672-75
NR768--MA0508.2.PRDM1	chr16	31234186	31234195	+	0.000	0.000	Merged-chr16-31234137-43
NR149--MA0508.2.PRDM1	chr1	180766682	180766691	+	0.000	0.000	Merged-chr1-180766596-26
NR1340--MA0508.2.PRDM1	chr4	86725257	86725266	+	0.000	0.000	Merged-chr4-86725378-12
NR367--MA0508.2.PRDM1	chr12	8500050	8500059	+	0.000	0.000	Merged-chr12-8499918-111
NR638--MA0508.2.PRDM1	chr14	78438308	78438317	+	0.000	0.000	Merged-chr14-78438304-11
NR476--MA0508.2.PRDM1	chr13	3611094	3611103	-	0.000	0.000	Merged-chr13-3611189-5
NR1191--MA0508.2.PRDM1	chr3	83988010	83988019	+	0.000	0.000	Merged-chr3-83987942-35
NR1842--MA0508.2.PRDM1	chr8	115064810	115064819	+	0.000	0.000	Merged-chr8-115064848-48
NR1951--MA0508.2.PRDM1	chr9	122399008	122399017	+	0.000	0.000	Merged-chr9-122399009-31
NR1746--MA0508.2.PRDM1	chr7	121871767	121871776	-	0.000	0.000	Merged-chr7-121871877-8
NR1061--MA0508.2.PRDM1	chr2	91078435	91078444	+	0.000	0.000	Merged-chr2-91078502-21
NR1441--MA0508.2.PRDM1	chr5	45790404	45790413	-	0.000	0.000	Merged-chr5-45790409-20
NR1712--MA0508.2.PRDM1	chr7	96914217	96914226	+	0.000	0.000	Merged-chr7-96914274-42
NR216--MA0508.2.PRDM1	chr10	62508046	62508055	+	0.000	0.000	Merged-chr10-62508148-1
NR197--MA0508.2.PRDM1	chr10	44529602	44529611	+	0.000	0.000	Merged-chr10-44529535-56
NR1977--MA0508.2.PRDM1	chrX	101429573	101429582	+	0.000	0.000	Merged-chrX-101429503-77
NR1834--MA0508.2.PRDM1	chr8	108704482	108704491	+	0.000	0.000	Merged-chr8-108704409-59
NR338--MA0508.2.PRDM1	chr11	86544930	86544939	-	0.000	0.000	Merged-chr11-86544801-80
NR1943--MA0508.2.PRDM1	chr9	118453825	118453834	-	0.000	0.000	Merged-chr9-118453688-29
NR1162--MA0508.2.PRDM1	chr3	51553251	51553260	-	0.000	0.000	Merged-chr3-51553157-56
NR1433--MA0508.2.PRDM1	chr5	35884751	35884760	+	0.000	0.000	Merged-chr5-35884735-14
NR1813--MA0508.2.PRDM1	chr8	84601590	84601599	-	0.000	0.000	Merged-chr8-84601669-24
NR189--MA0508.2.PRDM1	chr10	37335315	37335324	+	0.000	0.000	Merged-chr10-37335340-12
NR1446--MA0508.2.PRDM1	chr5	51853657	51853666	-	0.000	0.000	Merged-chr5-51853758-22
NR1717--MA0508.2.PRDM1	chr7	100693296	100693305	+	0.000	0.000	Merged-chr7-100693346-29
NR298--MA0508.2.PRDM1	chr11	11498034	11498043	+	0.000	0.000	Merged-chr11-11498094-24
NR1969--MA0508.2.PRDM1	chrX	77509282	77509291	+	0.000	0.000	Merged-chrX-77509424-59
NR1555--MA0508.2.PRDM1	chr6	66962693	66962702	-	0.000	0.000	Merged-chr6-66962662-45
NR1826--MA0508.2.PRDM1	chr8	94434389	94434398	+	0.000	0.000	Merged-chr8-94434227-54
NR1141--MA0508.2.PRDM1	chr2	180589440	180589449	+	0.000	0.000	Merged-chr2-180589507-64
NR168--MA0508.2.PRDM1	chr1	192763019	192763028	+	0.000	0.000	Merged-chr1-192763108-53
NR1568--MA0508.2.PRDM1	chr6	83718295	83718304	+	0.000	0.000	Merged-chr6-83718285-22
NR740--MA0508.2.PRDM1	chr15	100188985	100188994	-	0.000	0.000	Merged-chr15-100189073-42
NR1630--MA0508.2.PRDM1	chr6	145993207	145993216	-	0.000	0.000	Merged-chr6-145993129-56
NR1120--MA0508.2.PRDM1	chr2	152671076	152671085	-	0.000	0.000	Merged-chr2-152670999-1
NR1765--MA0508.2.PRDM1	chr8	4370209	4370218	+	0.000	0.000	Merged-chr8-4370315-28
NR1351--MA0508.2.PRDM1	chr4	95924212	95924221	+	0.000	0.000	Merged-chr4-95924354-4
