#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR1324--MA0731.1.BCL6B	chr3	146127687	146127703	+	0.000	0.000	Merged-chr3-146127552-12,Merged-chr3-146127848-1
NR2125--MA0463.1.Bcl6	chrX	151521073	151521086	-	0.000	0.000	Merged-chrX-151521261-1
NR1704--MA0731.1.BCL6B	chr6	113645087	113645103	+	0.000	0.000	Merged-chr6-113645003-16
NR208--MA0731.1.BCL6B	chr10	40527686	40527702	+	0.000	0.000	Merged-chr10-40527748-36
NR1295--MA0463.1.Bcl6	chr3	126403102	126403115	-	0.000	0.000	Merged-chr3-126402941-43
NR1971--MA0463.1.Bcl6	chr8	119843552	119843565	-	0.000	0.000	Merged-chr8-119843625-6
NR1049--MA0463.1.Bcl6	chr2	30415789	30415802	-	0.000	0.000	Merged-chr2-30415934-79
NR936--MA0463.1.Bcl6	chr18	61489723	61489736	+	0.000	0.000	Merged-chr18-61489584-71
NR954--MA0463.1.Bcl6	chr18	75740775	75740788	-	0.000	0.000	Merged-chr18-75740758-31
NR184--MA0463.1.Bcl6	chr10	4389125	4389138	+	0.000	0.000	Merged-chr10-4389195-7
NR1609--MA0463.1.Bcl6	chr5	130088207	130088220	+	0.000	0.000	Merged-chr5-130088239-22
NR972--MA0463.1.Bcl6	chr19	4191763	4191776	-	0.000	0.000	Merged-chr19-4191798-90
NR1197--MA0463.1.Bcl6	chr2	173023764	173023777	+	0.000	0.000	Merged-chr2-173023748-35
NR1627--MA0463.1.Bcl6	chr5	147697206	147697219	+	0.000	0.000	Merged-chr5-147697335-17
NR838--MA0463.1.Bcl6	chr17	26243768	26243781	-	0.000	0.000	Merged-chr17-26243681-1
NR1739--MA0463.1.Bcl6	chr6	134189915	134189928	-	0.000	0.000	Merged-chr6-134189868-22
NR1276--MA0731.1.BCL6B	chr3	108504073	108504089	-	0.000	0.000	Merged-chr3-108504114-26
NR189--MA0463.1.Bcl6	chr10	9856248	9856261	-	0.000	0.000	Merged-chr10-9856341-1
NR1799--MA0731.1.BCL6B	chr7	47007890	47007906	-	0.000	0.000	Merged-chr7-47007764-1
NR971--MA0731.1.BCL6B	chr18	89160219	89160235	+	0.000	0.000	Merged-chr18-89160072-9
NR1542--MA0463.1.Bcl6	chr5	67260766	67260779	+	0.000	0.000	Merged-chr5-67260794-69
NR968--MA0463.1.Bcl6	chr18	84026445	84026458	+	0.000	0.000	Merged-chr18-84026622-26
NR516--MA0463.1.Bcl6	chr13	21531118	21531131	-	0.000	0.000	Merged-chr13-21531056-50
NR1099--MA0463.1.Bcl6	chr2	79865555	79865568	-	0.000	0.000	Merged-chr2-79865504-43
NR1775--MA0463.1.Bcl6	chr7	24593650	24593663	+	0.000	0.000	Merged-chr7-24593848-34
NR461--MA0731.1.BCL6B	chr12	80114298	80114314	+	0.000	0.000	Merged-chr12-80114436-28
NR1887--MA0463.1.Bcl6	chr7	136176642	136176655	-	0.000	0.000	Merged-chr7-136176593-10
NR56--MA0463.1.Bcl6	chr1	85894504	85894517	+	0.000	0.000	Merged-chr1-85894541-45
NR1125--MA0731.1.BCL6B	chr2	112676831	112676847	+	0.000	0.000	Merged-chr2-112676754-32
NR418--MA0463.1.Bcl6	chr12	8859314	8859327	+	0.000	0.000	Merged-chr12-8859142-27
NR1648--MA0731.1.BCL6B	chr6	29272518	29272534	+	0.000	0.000	Merged-chr6-29272695-53
NR14--MA0731.1.BCL6B	chr1	39941814	39941830	+	0.000	0.000	Merged-chr1-39941675-40
NR1138--MA0731.1.BCL6B	chr2	126593899	126593915	+	0.000	0.000	Merged-chr2-126594082-30
NR548--MA0463.1.Bcl6	chr13	70600333	70600346	-	0.000	0.000	Merged-chr13-70600282-8
NR1452--MA0731.1.BCL6B	chr4	128884559	128884575	+	0.000	0.000	Merged-chr4-128884596-1
NR942--MA0731.1.BCL6B	chr18	64936183	64936199	+	0.000	0.000	Merged-chr18-64936230-29
NR1213--MA0731.1.BCL6B	chr3	21809898	21809914	-	0.000	0.000	Merged-chr3-21809864-17
NR1364--MA0463.1.Bcl6	chr4	33338154	33338167	+	0.000	0.000	Merged-chr4-33338235-7
NR780--MA0731.1.BCL6B	chr16	38260059	38260075	-	0.000	0.000	Merged-chr16-38260034-8
NR703--MA0731.1.BCL6B	chr15	50652005	50652021	-	0.000	0.000	Merged-chr15-50651925-26
NR1906--MA0463.1.Bcl6	chr8	27192528	27192541	-	0.000	0.000	Merged-chr8-27192491-24
NR1136--MA0463.1.Bcl6	chr2	125859091	125859104	-	0.000	0.000	Merged-chr2-125858986-61
NR96--MA0731.1.BCL6B	chr1	139179803	139179819	+	0.000	0.000	Merged-chr1-139179878-22
NR2011--MA0463.1.Bcl6	chr9	37530269	37530282	+	0.000	0.000	Merged-chr9-37530245-22
NR1587--MA0731.1.BCL6B	chr5	112286794	112286810	+	0.000	0.000	Merged-chr5-112286717-1
NR1369--MA0463.1.Bcl6	chr4	41295729	41295742	+	0.000	0.000	Merged-chr4-41295781-15
NR1967--MA0731.1.BCL6B	chr8	114986155	114986171	+	0.000	0.000	Merged-chr8-114986195-32
NR128--MA0463.1.Bcl6	chr1	164503469	164503482	+	0.000	0.000	Merged-chr1-164503488-46
NR146--MA0463.1.Bcl6	chr1	172312126	172312139	+	0.000	0.000	Merged-chr1-172312178-79
NR1159--MA0463.1.Bcl6	chr2	143903718	143903731	+	0.000	0.000	Merged-chr2-143903810-20
NR1218--MA0731.1.BCL6B	chr3	32409048	32409064	+	0.000	0.000	Merged-chr3-32409159-38
NR41--MA0731.1.BCL6B	chr1	75142361	75142377	+	0.000	0.000	Merged-chr1-75142250-107
NR1750--MA0463.1.Bcl6	chr6	143868291	143868304	+	0.000	0.000	Merged-chr6-143868417-58
NR294--MA0463.1.Bcl6	chr10	121310905	121310918	+	0.000	0.000	Merged-chr10-121310778-72
NR603--MA0463.1.Bcl6	chr14	7791703	7791716	+	0.000	0.000	Merged-chr14-7791631-72
NR500--MA0463.1.Bcl6	chr12	117678925	117678938	+	0.000	0.000	Merged-chr12-117679056-43
NR621--MA0463.1.Bcl6	chr14	34674449	34674462	-	0.000	0.000	Merged-chr14-34674583-4
NR31--MA0463.1.Bcl6	chr1	63953647	63953660	-	0.000	0.000	Merged-chr1-63953679-17
NR1035--MA0731.1.BCL6B	chr2	15049399	15049415	+	0.000	0.000	Merged-chr2-15049301-58
NR178--MA0463.1.Bcl6	chr1	191599406	191599419	-	0.000	0.000	Merged-chr1-191599385-45
NR1746--MA0463.1.Bcl6	chr6	142519243	142519256	+	0.000	0.000	Merged-chr6-142519262-28
NR33--MA0731.1.BCL6B	chr1	64085946	64085962	-	0.000	0.000	Merged-chr1-64086002-50
NR863--MA0463.1.Bcl6	chr17	65740379	65740392	-	0.000	0.000	Merged-chr17-65740416-17
NR1048--MA0731.1.BCL6B	chr2	29110922	29110938	-	0.000	0.000	Merged-chr2-29111159-4
