#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR123--MA0766.1.GATA5	chr1	85981822	85981829	+	0.000	0.000	Merged-chr1-85981995-4
NR1398--MA0036.3.GATA2	chr13	113580115	113580125	-	0.000	0.000	Merged-chr13-113580257-62
NR2234--MA0766.1.GATA5	chr17	71491184	71491191	-	0.000	0.000	Merged-chr17-71491103-50
NR1970--MA0036.3.GATA2	chr16	78265277	78265287	+	0.000	0.000	Merged-chr16-78265078-57
NR2962--MA0766.1.GATA5	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR3458--MA0036.3.GATA2	chr4	135898492	135898502	-	0.000	0.000	Merged-chr4-135898625-32
NR2163--MA0035.3.Gata1	chr17	36845875	36845885	-	0.000	0.000	Merged-chr17-36845803-13
NR1492--MA1104.1.GATA6	chr14	51089606	51089618	+	0.000	0.000	Merged-chr14-51089414-103
NR1169--MA0766.1.GATA5	chr13	5769693	5769700	+	0.000	0.000	Merged-chr13-5769839-23
NR4180--MA0482.1.Gata4	chr6	140598741	140598751	+	0.000	0.000	Merged-chr6-140598794-45
NR1758--MA0140.2.GATA1::TAL1	chr15	89310156	89310173	-	0.000	0.000	Merged-chr15-89310198-75
NR2356--MA0766.1.GATA5	chr18	67671648	67671655	-	0.000	0.000	Merged-chr18-67671688-18
NR2617--MA0036.3.GATA2	chr2	25111312	25111322	+	0.000	0.000	Merged-chr2-25111409-51
NR1524--MA0037.3.GATA3	chr14	57712871	57712878	+	0.000	0.000	Merged-chr14-57713043-44
NR4441--MA0035.3.Gata1	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR96--MA0035.3.Gata1	chr1	66987716	66987726	+	0.000	0.000	Merged-chr1-66987794-41
NR4167--MA0037.3.GATA3	chr6	135198189	135198196	-	0.000	0.000	Merged-chr6-135198234-80
NR4621--MA0766.1.GATA5	chr8	88298195	88298202	-	0.000	0.000	Merged-chr8-88298148-50
NR3538--MA0035.3.Gata1	chr4	154105597	154105607	-	0.000	0.000	Merged-chr4-154105612-38
NR2532--MA0482.1.Gata4	chr19	41366809	41366819	+	0.000	0.000	Merged-chr19-41366765-21
NR724--MA0036.3.GATA2	chr11	51539858	51539868	-	0.000	0.000	Merged-chr11-51539759-36
NR4720--MA0036.3.GATA2	chr8	124520719	124520729	+	0.000	0.000	Merged-chr8-124520851-52
NR3422--MA0037.3.GATA3	chr4	126677483	126677490	+	0.000	0.000	Merged-chr4-126677717-65
NR5006--MA1104.1.GATA6	chr9	121477469	121477481	+	0.000	0.000	Merged-chr9-121477472-25
NR848--MA0482.1.Gata4	chr11	101661873	101661883	-	0.000	0.000	Merged-chr11-101661964-4
NR2150--MA0036.3.GATA2	chr17	32350600	32350610	+	0.000	0.000	Merged-chr17-32350599-47
NR1917--MA1104.1.GATA6	chr16	52468726	52468738	-	0.000	0.000	Merged-chr16-52468577-24
NR1994--MA0037.3.GATA3	chr16	91789852	91789859	+	0.000	0.000	Merged-chr16-91789935-50
NR1920--MA0035.3.Gata1	chr16	52468727	52468737	+	0.000	0.000	Merged-chr16-52468577-24
NR4563--MA0035.3.Gata1	chr8	33898108	33898118	-	0.000	0.000	Merged-chr8-33898095-27
NR2797--MA0482.1.Gata4	chr2	118883447	118883457	+	0.000	0.000	Merged-chr2-118883436-40
NR2012--MA0035.3.Gata1	chr16	93918465	93918475	+	0.000	0.000	Merged-chr16-93918388-61
NR3273--MA1104.1.GATA6	chr4	32615367	32615379	-	0.000	0.000	Merged-chr4-32615355-52
NR4114--MA0036.3.GATA2	chr6	129586992	129587002	+	0.000	0.000	Merged-chr6-129586992-7
NR626--MA1104.1.GATA6	chr10	118530112	118530124	+	0.000	0.000	Merged-chr10-118529914-14
NR98--MA0482.1.Gata4	chr1	71576670	71576680	-	0.000	0.000	Merged-chr1-71576890-29
NR1199--MA0035.3.Gata1	chr13	29979221	29979231	-	0.000	0.000	Merged-chr13-29979339-43
NR4781--MA0035.3.Gata1	chr9	15029163	15029173	-	0.000	0.000	Merged-chr9-15029277-27
NR4847--MA0035.3.Gata1	chr9	61707988	61707998	+	0.000	0.000	Merged-chr9-61708026-57
NR1721--MA0037.3.GATA3	chr15	81522972	81522979	-	0.000	0.000	Merged-chr15-81522874-123
NR3126--MA0482.1.Gata4	chr3	126693183	126693193	+	0.000	0.000	Merged-chr3-126693084-1
NR617--MA0766.1.GATA5	chr10	117861197	117861204	-	0.000	0.000	Merged-chr10-117861044-50
NR4998--MA0036.3.GATA2	chr9	120493244	120493254	+	0.000	0.000	Merged-chr9-120493281-1
NR3828--MA1104.1.GATA6	chr5	137707214	137707226	+	0.000	0.000	Merged-chr5-137707287-72
NR3868--MA0140.2.GATA1::TAL1	chr5	140619627	140619644	-	0.000	0.000	Merged-chr5-140619515-30
NR1463--MA0037.3.GATA3	chr14	34549217	34549224	+	0.000	0.000	Merged-chr14-34549308-78
NR3073--MA0482.1.Gata4	chr3	101800465	101800475	+	0.000	0.000	Merged-chr3-101800601-48
NR3139--MA0482.1.Gata4	chr3	130691403	130691413	+	0.000	0.000	Merged-chr3-130691489-97
NR4565--MA0482.1.Gata4	chr8	34164660	34164670	+	0.000	0.000	Merged-chr8-34164566-26
NR4616--MA0036.3.GATA2	chr8	84357742	84357752	+	0.000	0.000	Merged-chr8-84357932-29
NR4422--MA0482.1.Gata4	chr7	113419584	113419594	-	0.000	0.000	Merged-chr7-113419557-35
NR2471--MA0482.1.Gata4	chr19	29418706	29418716	+	0.000	0.000	Merged-chr19-29418635-70
NR2808--MA0482.1.Gata4	chr2	127189873	127189883	-	0.000	0.000	Merged-chr2-127189787-10
NR883--MA0482.1.Gata4	chr11	108235530	108235540	+	0.000	0.000	Merged-chr11-108235503-22
NR1178--MA0035.3.Gata1	chr13	8457040	8457050	+	0.000	0.000	Merged-chr13-8457184-81
NR458--MA0036.3.GATA2	chr10	60380547	60380557	+	0.000	0.000	Merged-chr10-60380470-27
NR806--MA0482.1.Gata4	chr11	90225057	90225067	+	0.000	0.000	Merged-chr11-90225249-59
NR2055--MA0140.2.GATA1::TAL1	chr17	10425466	10425483	-	0.000	0.000	Merged-chr17-10425505-16
NR1476--MA0037.3.GATA3	chr14	40947679	40947686	+	0.000	0.000	Merged-chr14-40947872-74
NR3741--MA0037.3.GATA3	chr5	107303757	107303764	-	0.000	0.000	Merged-chr5-107303598-32
