#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1504--MA0684.1.RUNX3	chr11	84829171	84829180	+	0.000	0.000	Merged-chr11-84829158-56
NR3863--MA0511.2.RUNX2	chr17	57183081	57183089	-	0.000	0.000	Merged-chr17-57183114-28
NR2782--MA0002.2.RUNX1	chr14	70057125	70057135	-	0.000	0.000	Merged-chr14-70057023-74
NR1312--MA0511.2.RUNX2	chr11	43705348	43705356	-	0.000	0.000	Merged-chr11-43705351-17
NR5444--MA0002.2.RUNX1	chr3	115885015	115885025	+	0.000	0.000	Merged-chr3-115885043-15
NR4369--MA0511.2.RUNX2	chr19	33143355	33143363	-	0.000	0.000	Merged-chr19-33143330-11
NR7680--MA0511.2.RUNX2	chr8	36182455	36182463	+	0.000	0.000	Merged-chr8-36182321-59
NR3493--MA0002.2.RUNX1	chr16	64758703	64758713	+	0.000	0.000	Merged-chr16-64758494-145
NR3707--MA0684.1.RUNX3	chr17	27323199	27323208	-	0.000	0.000	Merged-chr17-27323176-36
NR1485--MA0684.1.RUNX3	chr11	80514103	80514112	-	0.000	0.000	Merged-chr11-80513979-21
NR3288--MA0002.2.RUNX1	chr15	103342591	103342601	+	0.000	0.000	Merged-chr15-103342639-16
NR323--MA0002.2.RUNX1	chr1	131446756	131446766	+	0.000	0.000	Merged-chr1-131446788-25
NR3559--MA0002.2.RUNX1	chr16	91789929	91789939	-	0.000	0.000	Merged-chr16-91789935-50
NR1564--MA0511.2.RUNX2	chr11	98510127	98510135	+	0.000	0.000	Merged-chr11-98510270-21
NR2910--MA0002.2.RUNX1	chr14	122187075	122187085	+	0.000	0.000	Merged-chr14-122187060-26
NR780--MA0002.2.RUNX1	chr10	41477313	41477323	-	0.000	0.000	Merged-chr10-41477275-81
NR5381--MA0511.2.RUNX2	chr3	101274924	101274932	-	0.000	0.000	Merged-chr3-101274930-55
NR5923--MA0511.2.RUNX2	chr4	135286000	135286008	-	0.000	0.000	Merged-chr4-135285942-7
NR1736--MA0002.2.RUNX1	chr12	8660063	8660073	-	0.000	0.000	Merged-chr12-8659979-34
NR6522--MA0002.2.RUNX1	chr5	137692096	137692106	-	0.000	0.000	Merged-chr5-137692077-23
NR4571--MA0002.2.RUNX1	chr2	18663947	18663957	+	0.000	0.000	Merged-chr2-18664083-36
NR6429--MA0511.2.RUNX2	chr5	114041829	114041837	+	0.000	0.000	Merged-chr5-114041714-24
NR7028--MA0002.2.RUNX1	chr6	136413712	136413722	+	0.000	0.000	Merged-chr6-136413715-51
NR5348--MA0002.2.RUNX1	chr3	94916042	94916052	-	0.000	0.000	Merged-chr3-94916123-28
NR5619--MA0002.2.RUNX1	chr4	7341337	7341347	+	0.000	0.000	Merged-chr4-7341351-14
NR3397--MA0002.2.RUNX1	chr16	31210017	31210027	+	0.000	0.000	Merged-chr16-31210060-37
NR3668--MA0002.2.RUNX1	chr17	18957940	18957950	-	0.000	0.000	Merged-chr17-18957901-23
NR5304--MA0511.2.RUNX2	chr3	84679038	84679046	+	0.000	0.000	Merged-chr3-84679070-45
NR7362--MA0684.1.RUNX3	chr7	96946694	96946703	+	0.000	0.000	Merged-chr7-96946684-14
NR1117--MA0002.2.RUNX1	chr10	118470819	118470829	+	0.000	0.000	Merged-chr10-118470709-40
NR7904--MA0684.1.RUNX3	chr8	121643409	121643418	+	0.000	0.000	Merged-chr8-121643486-24
NR3624--MA0511.2.RUNX2	chr17	6008219	6008227	-	0.000	0.000	Merged-chr17-6008372-53
