#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR712--MA0508.2.PRDM1	chr15	12856971	12856980	-	0.000	0.000	Merged-chr15-12856981-25
NR1126--MA0508.2.PRDM1	chr2	106003263	106003272	+	0.000	0.000	Merged-chr2-106003306-49
NR1583--MA0508.2.PRDM1	chr5	149846969	149846978	-	0.000	0.000	Merged-chr5-149846777-12
NR550--MA0508.2.PRDM1	chr13	44376101	44376110	-	0.000	0.000	Merged-chr13-44376077-22
NR1235--MA0508.2.PRDM1	chr3	65435252	65435261	-	0.000	0.000	Merged-chr3-65435198-48
NR202--MA0508.2.PRDM1	chr10	21882449	21882458	-	0.000	0.000	Merged-chr10-21882316-52
NR1073--MA0508.2.PRDM1	chr2	32967211	32967220	+	0.000	0.000	Merged-chr2-32967199-91
NR1182--MA0508.2.PRDM1	chr2	150869559	150869568	+	0.000	0.000	Merged-chr2-150869596-45
NR672--MA0508.2.PRDM1	chr14	75769363	75769372	-	0.000	0.000	Merged-chr14-75769501-48
NR943--MA0508.2.PRDM1	chr18	13787153	13787162	+	0.000	0.000	Merged-chr18-13787099-71
NR800--MA0508.2.PRDM1	chr16	36602819	36602828	+	0.000	0.000	Merged-chr16-36602811-38
NR1214--MA0508.2.PRDM1	chr3	5272106	5272115	-	0.000	0.000	Merged-chr3-5272073-63
NR704--MA0508.2.PRDM1	chr14	121738732	121738741	-	0.000	0.000	Merged-chr14-121738947-111
NR1052--MA0508.2.PRDM1	chr19	59930151	59930160	+	0.000	0.000	Merged-chr19-59930047-24
NR1323--MA0508.2.PRDM1	chr3	146156435	146156444	-	0.000	0.000	Merged-chr3-146156447-31
NR1099--MA0508.2.PRDM1	chr2	65182903	65182912	+	0.000	0.000	Merged-chr2-65182800-62
NR542--MA0508.2.PRDM1	chr13	35808274	35808283	+	0.000	0.000	Merged-chr13-35808207-14
NR813--MA0508.2.PRDM1	chr16	52129718	52129727	+	0.000	0.000	Merged-chr16-52129675-51
NR826--MA0508.2.PRDM1	chr16	59007264	59007273	-	0.000	0.000	Merged-chr16-59007299-38
NR141--MA0508.2.PRDM1	chr1	169919348	169919357	+	0.000	0.000	Merged-chr1-169919458-18
NR1697--MA0508.2.PRDM1	chr6	134883881	134883890	-	0.000	0.000	Merged-chr6-134883955-22
NR1078--MA0508.2.PRDM1	chr2	37765114	37765123	+	0.000	0.000	Merged-chr2-37765232-35
NR1458--MA0508.2.PRDM1	chr4	155962350	155962359	-	0.000	0.000	Merged-chr4-155962384-39
NR1296--MA0508.2.PRDM1	chr3	129422006	129422015	+	0.000	0.000	Merged-chr3-129421994-33
