#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1504--MA0684.1.RUNX3	chr12	25784513	25784522	+	0.000	0.000	Merged-chr12-25784585-45
NR7872--MA0684.1.RUNX3	chrX	41909909	41909918	+	0.000	0.000	Merged-chrX-41909948-8
NR2930--MA0684.1.RUNX3	chr16	24171356	24171365	-	0.000	0.000	Merged-chr16-24171355-10
NR4733--MA0002.2.RUNX1	chr3	83987848	83987858	-	0.000	0.000	Merged-chr3-83987942-35
NR73--MA0511.2.RUNX2	chr1	40465641	40465649	-	0.000	0.000	Merged-chr1-40465740-44
NR3288--MA0002.2.RUNX1	chr17	35764253	35764263	-	0.000	0.000	Merged-chr17-35764114-33
NR3559--MA0002.2.RUNX1	chr18	35959350	35959360	+	0.000	0.000	Merged-chr18-35959264-54
NR4147--MA0684.1.RUNX3	chr2	59716627	59716636	-	0.000	0.000	Merged-chr2-59716624-17
NR3515--MA0511.2.RUNX2	chr18	12643081	12643089	+	0.000	0.000	Merged-chr18-12643158-2
NR5639--MA0684.1.RUNX3	chr5	36538884	36538893	-	0.000	0.000	Merged-chr5-36538864-43
NR780--MA0002.2.RUNX1	chr10	39625755	39625765	-	0.000	0.000	Merged-chr10-39625592-31
NR1137--MA0684.1.RUNX3	chr11	4594761	4594770	+	0.000	0.000	Merged-chr11-4594631-84
NR3416--MA0002.2.RUNX1	chr17	78087125	78087135	-	0.000	0.000	Merged-chr17-78087139-42
NR846--MA0002.2.RUNX1	chr10	60381312	60381322	+	0.000	0.000	Merged-chr10-60381393-83
NR5718--MA0511.2.RUNX2	chr5	74132754	74132762	-	0.000	0.000	Merged-chr5-74132835-25
NR4571--MA0002.2.RUNX1	chr2	180080868	180080878	+	0.000	0.000	Merged-chr2-180080885-21
NR5701--MA0684.1.RUNX3	chr5	66140177	66140186	+	0.000	0.000	Merged-chr5-66140136-28
NR5553--MA0002.2.RUNX1	chr5	8807309	8807319	-	0.000	0.000	Merged-chr5-8807445-55
NR3816--MA0684.1.RUNX3	chr19	10830053	10830062	-	0.000	0.000	Merged-chr19-10829902-50
NR5348--MA0002.2.RUNX1	chr4	117478350	117478360	-	0.000	0.000	Merged-chr4-117478210-39
NR3939--MA0002.2.RUNX1	chr19	55357797	55357807	+	0.000	0.000	Merged-chr19-55357717-16
NR5477--MA0684.1.RUNX3	chr4	145099991	145100000	+	0.000	0.000	Merged-chr4-145100023-41
NR3797--MA0684.1.RUNX3	chr19	5818117	5818126	+	0.000	0.000	Merged-chr19-5818156-38
NR5490--MA0511.2.RUNX2	chr4	148509633	148509641	-	0.000	0.000	Merged-chr4-148509676-49
NR3525--MA0002.2.RUNX1	chr18	14717391	14717401	-	0.000	0.000	Merged-chr18-14717418-17
NR3049--MA0002.2.RUNX1	chr16	58718949	58718959	+	0.000	0.000	Merged-chr16-58718786-22
NR7885--MA0684.1.RUNX3	chrX	50930494	50930503	+	0.000	0.000	Merged-chrX-50930584-22
NR5728--MA0002.2.RUNX1	chr5	77217871	77217881	+	0.000	0.000	Merged-chr5-77217782-61
NR1226--MA0002.2.RUNX1	chr11	52224161	52224171	-	0.000	0.000	Merged-chr11-52224357-50
NR3733--MA0511.2.RUNX2	chr18	79284477	79284485	+	0.000	0.000	Merged-chr18-79284521-10
NR2652--MA0002.2.RUNX1	chr15	51803231	51803241	-	0.000	0.000	Merged-chr15-51803142-36
NR7389--MA0002.2.RUNX1	chr9	14908226	14908236	-	0.000	0.000	Merged-chr9-14908176-52
NR2923--MA0002.2.RUNX1	chr16	22526576	22526586	+	0.000	0.000	Merged-chr16-22526487-34
NR7345--MA0511.2.RUNX2	chr8	125219677	125219685	+	0.000	0.000	Merged-chr8-125219708-10
NR1626--MA0684.1.RUNX3	chr12	85177262	85177271	-	0.000	0.000	Merged-chr12-85177311-38
NR5936--MA0511.2.RUNX2	chr5	125339640	125339648	+	0.000	0.000	Merged-chr5-125339591-35
NR1749--MA0002.2.RUNX1	chr12	110770983	110770993	+	0.000	0.000	Merged-chr12-110770987-31
NR7517--MA0002.2.RUNX1	chr9	64832017	64832027	+	0.000	0.000	Merged-chr9-64831906-29
NR3287--MA0684.1.RUNX3	chr17	35763976	35763985	-	0.000	0.000	Merged-chr17-35764114-33
NR445--MA0002.2.RUNX1	chr1	151894003	151894013	-	0.000	0.000	Merged-chr1-151894159-30
NR716--MA0002.2.RUNX1	chr10	21235655	21235665	-	0.000	0.000	Merged-chr10-21235492-49
NR6992--MA0002.2.RUNX1	chr7	141059124	141059134	+	0.000	0.000	Merged-chr7-141058987-66
NR7917--MA0684.1.RUNX3	chrX	77580136	77580145	-	0.000	0.000	Merged-chrX-77580117-37
NR6028--MA0511.2.RUNX2	chr5	149368335	149368343	-	0.000	0.000	Merged-chr5-149368318-30
NR4077--MA0511.2.RUNX2	chr2	32542099	32542107	-	0.000	0.000	Merged-chr2-32542194-49
NR1587--MA0002.2.RUNX1	chr12	71897512	71897522	-	0.000	0.000	Merged-chr12-71897525-19
NR554--MA0002.2.RUNX1	chr1	177670829	177670839	-	0.000	0.000	Merged-chr1-177670807-27
NR5360--MA0511.2.RUNX2	chr4	121231419	121231427	+	0.000	0.000	Merged-chr4-121231330-50
NR1239--MA0002.2.RUNX1	chr11	54627104	54627114	+	0.000	0.000	Merged-chr11-54627034-23
NR2870--MA0002.2.RUNX1	chr16	10786406	10786416	+	0.000	0.000	Merged-chr16-10786452-22
NR5599--MA0684.1.RUNX3	chr5	21645620	21645629	+	0.000	0.000	Merged-chr5-21645449-2
