#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR9075--MA0089.1.MAFG::NFE2L1	chrX	42343723	42343728	+	0.000	0.000	Merged-chrX-42343636-58
NR2799--MA0501.1.MAF::NFE2	chr14	68044917	68044931	+	0.000	0.000	Merged-chr14-68044800-35
NR4593--MA0089.1.MAFG::NFE2L1	chr19	46511346	46511351	+	0.000	0.000	Merged-chr19-46511275-84
NR1251--MA0495.2.MAFF	chr11	32020157	32020177	-	0.000	0.000	Merged-chr11-32020422-50
NR1006--MA0501.1.MAF::NFE2	chr10	93188598	93188612	-	0.000	0.000	Merged-chr10-93188465-33
NR2835--MA0089.1.MAFG::NFE2L1	chr14	72807429	72807434	-	0.000	0.000	Merged-chr14-72807438-29
NR5043--MA0089.1.MAFG::NFE2L1	chr2	93759409	93759414	-	0.000	0.000	Merged-chr2-93759368-15
NR9191--MA0495.2.MAFF	chrY	1010507	1010527	-	0.000	0.000	Merged-chrY-1010379-42
NR2784--MA0501.1.MAF::NFE2	chr14	66190631	66190645	+	0.000	0.000	Merged-chr14-66190567-42
NR1232--MA0591.1.Bach1::Mafk	chr11	20477618	20477632	+	0.000	0.000	Merged-chr11-20477652-51
NR5836--MA0089.1.MAFG::NFE2L1	chr3	103907901	103907906	+	0.000	0.000	Merged-chr3-103907790-52
NR3717--MA0496.2.MAFK	chr16	96358153	96358171	+	0.000	0.000	Merged-chr16-96358039-35
NR215--MA0501.1.MAF::NFE2	chr1	82429278	82429292	-	0.000	0.000	Merged-chr1-82429225-23
NR1244--MA0117.2.Mafb	chr11	29130581	29130592	+	0.000	0.000	Merged-chr11-29130753-55
NR4301--MA0089.1.MAFG::NFE2L1	chr18	65022162	65022167	+	0.000	0.000	Merged-chr18-65022239-24
NR6980--MA0591.1.Bach1::Mafk	chr5	121711936	121711950	-	0.000	0.000	Merged-chr5-121711769-90
NR550--MA0591.1.Bach1::Mafk	chr1	173673901	173673915	-	0.000	0.000	Merged-chr1-173673787-63
NR3286--MA0089.1.MAFG::NFE2L1	chr15	89128414	89128419	-	0.000	0.000	Merged-chr15-89128599-54
NR3662--MA0089.1.MAFG::NFE2L1	chr16	90279410	90279415	-	0.000	0.000	Merged-chr16-90279320-12
NR4948--MA0117.2.Mafb	chr2	68435697	68435708	+	0.000	0.000	Merged-chr2-68436038-76
NR2275--MA0591.1.Bach1::Mafk	chr13	48516055	48516069	-	0.000	0.000	Merged-chr13-48516187-54
NR1478--MA0501.1.MAF::NFE2	chr11	81613432	81613446	+	0.000	0.000	Merged-chr11-81613412-31
NR7935--MA0591.1.Bach1::Mafk	chr7	79721497	79721511	+	0.000	0.000	Merged-chr7-79721597-45
NR1811--MA0495.2.MAFF	chr12	33380191	33380211	-	0.000	0.000	Merged-chr12-33380156-47
NR2686--MA0495.2.MAFF	chr14	49089797	49089817	+	0.000	0.000	Merged-chr14-49089916-20
NR7492--MA0089.1.MAFG::NFE2L1	chr6	108895319	108895324	-	0.000	0.000	Merged-chr6-108895381-27
NR3373--MA0089.1.MAFG::NFE2L1	chr16	10545275	10545280	-	0.000	0.000	Merged-chr16-10545387-50
NR6219--MA0117.2.Mafb	chr4	59278554	59278565	+	0.000	0.000	Merged-chr4-59278599-46
NR2232--MA0591.1.Bach1::Mafk	chr13	41606294	41606308	-	0.000	0.000	Merged-chr13-41606487-3
NR7227--MA0591.1.Bach1::Mafk	chr6	30227526	30227540	-	0.000	0.000	Merged-chr6-30227395-32
NR7893--MA0496.2.MAFK	chr7	67353743	67353761	-	0.000	0.000	Merged-chr7-67353683-35
NR7535--MA0496.2.MAFK	chr6	120955348	120955366	+	0.000	0.000	Merged-chr6-120955395-24
NR467--MA0495.2.MAFF	chr1	162773892	162773912	-	0.000	0.000	Merged-chr1-162773825-31
NR109--MA0495.2.MAFF	chr1	52066889	52066909	-	0.000	0.000	Merged-chr1-52066714-41
NR8157--MA0089.1.MAFG::NFE2L1	chr7	133159670	133159675	+	0.000	0.000	Merged-chr7-133159703-12
NR1204--MA0501.1.MAF::NFE2	chr11	4661585	4661599	+	0.000	0.000	Merged-chr11-4661528-13
NR6374--MA0089.1.MAFG::NFE2L1	chr4	117887413	117887418	-	0.000	0.000	Merged-chr4-117887306-54
NR6750--MA0089.1.MAFG::NFE2L1	chr5	73223408	73223413	-	0.000	0.000	Merged-chr5-73223278-33
NR5574--MA0591.1.Bach1::Mafk	chr3	9833533	9833547	-	0.000	0.000	Merged-chr3-9833444-80
NR1920--MA0591.1.Bach1::Mafk	chr12	79502046	79502060	-	0.000	0.000	Merged-chr12-79502114-6
NR3083--MA0591.1.Bach1::Mafk	chr15	43477236	43477250	-	0.000	0.000	Merged-chr15-43477381-63
NR2259--MA0501.1.MAF::NFE2	chr13	45624158	45624172	-	0.000	0.000	Merged-chr13-45624002-39
NR2170--MA0591.1.Bach1::Mafk	chr13	19356536	19356550	-	0.000	0.000	Merged-chr13-19356698-68
NR7830--MA0591.1.Bach1::Mafk	chr7	35745360	35745374	+	0.000	0.000	Merged-chr7-35745412-12
NR9185--MA0591.1.Bach1::Mafk	chrX	169036510	169036524	+	0.000	0.000	Merged-chrX-169036684-51
NR3771--MA0496.2.MAFK	chr17	10840175	10840193	-	0.000	0.000	Merged-chr17-10840429-74
