#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR14809--MA0493.1.Klf1	chr13	67060902	67060912	+	0.000	0.000	Merged-chr13-67060949-73
NR20646--MA0599.1.KLF5	chr15	102257681	102257690	+	0.000	0.000	Merged-chr15-102257531-48
NR41835--MA0741.1.KLF16	chr5	107597654	107597664	+	0.000	0.000	Merged-chr5-107597762-77
NR51500--MA0599.1.KLF5	chr8	13200650	13200659	-	0.000	0.000	Merged-chr8-13200567-28
NR56850--MA0742.1.Klf12	chr9	103092407	103092421	-	0.000	0.000	Merged-chr9-103092391-37
NR34578--MA1107.1.KLF9	chr3	96635417	96635429	+	0.000	0.000	Merged-chr3-96635554-60
NR31314--MA0599.1.KLF5	chr2	128092269	128092278	+	0.000	0.000	Merged-chr2-128092262-29
NR25518--MA0742.1.Klf12	chr18	35498901	35498915	-	0.000	0.000	Merged-chr18-35498844-56
NR17778--MA1107.1.KLF9	chr14	102183528	102183540	+	0.000	0.000	Merged-chr14-102183717-3
NR49678--MA0741.1.KLF16	chr7	98120335	98120345	-	0.000	0.000	Merged-chr7-98120517-47
NR49023--MA0039.3.KLF4	chr7	66197282	66197292	-	0.000	0.000	Merged-chr7-66197224-72
NR52450--MA0740.1.KLF14	chr8	70152708	70152721	-	0.000	0.000	Merged-chr8-70152708-31
NR42079--MA0039.3.KLF4	chr5	113828342	113828352	-	0.000	0.000	Merged-chr5-113828538-48
NR19819--MA1107.1.KLF9	chr15	84372974	84372986	-	0.000	0.000	Merged-chr15-84372915-18
NR39130--MA0657.1.KLF13	chr4	140750570	140750587	+	0.000	0.000	Merged-chr4-140750542-28
NR36991--MA0493.1.Klf1	chr4	53012363	53012373	-	0.000	0.000	Merged-chr4-53012213-75
NR50597--MA0741.1.KLF16	chr7	127895646	127895656	+	0.000	0.000	Merged-chr7-127895657-49
NR18775--MA0599.1.KLF5	chr15	43282783	43282792	+	0.000	0.000	Merged-chr15-43282649-75
NR50868--MA0741.1.KLF16	chr7	137437580	137437590	-	0.000	0.000	Merged-chr7-137437784-89
NR51598--MA0493.1.Klf1	chr8	19980006	19980016	-	0.000	0.000	Merged-chr8-19980151-81
NR35174--MA0741.1.KLF16	chr3	121370597	121370607	-	0.000	0.000	Merged-chr3-121370505-2
NR58045--MA0741.1.KLF16	chrX	53370561	53370571	-	0.000	0.000	Merged-chrX-53370330-90
NR56349--MA0493.1.Klf1	chr9	80164634	80164644	+	0.000	0.000	Merged-chr9-80164813-89
NR37498--MA0039.3.KLF4	chr4	88998582	88998592	-	0.000	0.000	Merged-chr4-88998396-38
NR22284--MA0599.1.KLF5	chr16	95991000	95991009	-	0.000	0.000	Merged-chr16-95990846-67
NR47099--MA1107.1.KLF9	chr6	146888438	146888450	+	0.000	0.000	Merged-chr6-146888566-65
NR58104--MA0599.1.KLF5	chrX	59568144	59568153	-	0.000	0.000	Merged-chrX-59568240-6
NR48109--MA0741.1.KLF16	chr7	28809115	28809125	+	0.000	0.000	Merged-chr7-28809284-68
NR3774--MA0493.1.Klf1	chr1	195092337	195092347	-	0.000	0.000	Merged-chr1-195092271-59
NR11123--MA0493.1.Klf1	chr11	121204191	121204201	+	0.000	0.000	Merged-chr11-121204419-68
NR17773--MA0039.3.KLF4	chr14	101943267	101943277	-	0.000	0.000	Merged-chr14-101943110-45
NR4738--MA1107.1.KLF9	chr10	59897164	59897176	+	0.000	0.000	Merged-chr10-59896998-59
NR39334--MA0493.1.Klf1	chr4	145464046	145464056	+	0.000	0.000	Merged-chr4-145464005-62
NR12235--MA0742.1.Klf12	chr12	73382730	73382744	-	0.000	0.000	Merged-chr12-73382539-19
NR47427--MA0599.1.KLF5	chr7	15912283	15912292	+	0.000	0.000	Merged-chr7-15912372-18
NR58649--MA1107.1.KLF9	chrX	139813492	139813504	-	0.000	0.000	Merged-chrX-139813635-78
NR19814--MA0039.3.KLF4	chr15	84372962	84372972	-	0.000	0.000	Merged-chr15-84372915-18
NR26393--MA0741.1.KLF16	chr18	74216956	74216966	-	0.000	0.000	Merged-chr18-74216878-3
NR18137--MA0741.1.KLF16	chr14	122534254	122534264	-	0.000	0.000	Merged-chr14-122534294-63
NR57791--MA0741.1.KLF16	chrX	12091216	12091226	-	0.000	0.000	Merged-chrX-12091143-34
NR14705--MA0039.3.KLF4	chr13	63189528	63189538	-	0.000	0.000	Merged-chr13-63189715-33
NR13423--MA1107.1.KLF9	chr12	114366483	114366495	-	0.000	0.000	Merged-chr12-114366543-36
NR40268--MA0599.1.KLF5	chr5	25498971	25498980	+	0.000	0.000	Merged-chr5-25499095-193
