#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1704--MA0731.1.BCL6B	chr7	127177097	127177113	+	0.000	0.000	Merged-chr7-127177205-14
NR170--MA0463.1.Bcl6	chr10	5603692	5603705	-	0.000	0.000	Merged-chr10-5603707-32
NR208--MA0731.1.BCL6B	chr10	68443232	68443248	+	0.000	0.000	Merged-chr10-68443235-30
NR1295--MA0463.1.Bcl6	chr4	95053371	95053384	-	0.000	0.000	Merged-chr4-95053399-2
NR1032--MA0731.1.BCL6B	chr2	90528282	90528298	+	0.000	0.000	Merged-chr2-90528384-23
NR148--MA0463.1.Bcl6	chr1	180988027	180988040	+	0.000	0.000	Merged-chr1-180987901-35
NR824--MA0463.1.Bcl6	chr17	33358764	33358777	+	0.000	0.000	Merged-chr17-33358776-57
NR1049--MA0463.1.Bcl6	chr2	121511698	121511711	-	0.000	0.000	Merged-chr2-121511602-35
NR721--MA0463.1.Bcl6	chr16	10844226	10844239	-	0.000	0.000	Merged-chr16-10844299-63
NR883--MA0731.1.BCL6B	chr18	21009727	21009743	+	0.000	0.000	Merged-chr18-21009610-34
NR740--MA0731.1.BCL6B	chr16	30181412	30181428	-	0.000	0.000	Merged-chr16-30181350-22
NR399--MA0463.1.Bcl6	chr12	28649539	28649552	-	0.000	0.000	Merged-chr12-28649710-52
NR1609--MA0463.1.Bcl6	chr7	24593650	24593663	+	0.000	0.000	Merged-chr7-24593848-34
NR1739--MA0463.1.Bcl6	chr8	34622655	34622668	+	0.000	0.000	Merged-chr8-34622775-45
NR189--MA0463.1.Bcl6	chr10	42862426	42862439	+	0.000	0.000	Merged-chr10-42862533-53
NR1308--MA0731.1.BCL6B	chr4	108460927	108460943	-	0.000	0.000	Merged-chr4-108460975-1
NR732--MA0731.1.BCL6B	chr16	20804580	20804596	-	0.000	0.000	Merged-chr16-20804779-46
NR1672--MA0463.1.Bcl6	chr7	97371626	97371639	-	0.000	0.000	Merged-chr7-97371683-55
NR56--MA0463.1.Bcl6	chr1	79751408	79751421	-	0.000	0.000	Merged-chr1-79751461-38
NR758--MA0463.1.Bcl6	chr16	51807614	51807627	-	0.000	0.000	Merged-chr16-51807556-50
NR602--MA0731.1.BCL6B	chr14	55604120	55604136	+	0.000	0.000	Merged-chr14-55604128-61
NR1659--MA0463.1.Bcl6	chr7	82691407	82691420	+	0.000	0.000	Merged-chr7-82691396-43
NR203--MA0463.1.Bcl6	chr10	62329220	62329233	-	0.000	0.000	Merged-chr10-62329282-13
NR1010--MA0463.1.Bcl6	chr2	38926702	38926715	-	0.000	0.000	Merged-chr2-38926558-133
NR436--MA0463.1.Bcl6	chr12	84853020	84853033	-	0.000	0.000	Merged-chr12-84853061-8
NR310--MA0731.1.BCL6B	chr11	54151152	54151168	+	0.000	0.000	Merged-chr11-54151267-37
NR562--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR780--MA0731.1.BCL6B	chr16	87709433	87709449	+	0.000	0.000	Merged-chr16-87709397-19
NR696--MA0463.1.Bcl6	chr15	80930506	80930519	-	0.000	0.000	Merged-chr15-80930587-88
NR481--MA0463.1.Bcl6	chr13	21234380	21234393	-	0.000	0.000	Merged-chr13-21234284-39
NR1024--MA0463.1.Bcl6	chr2	75055298	75055311	+	0.000	0.000	Merged-chr2-75055098-51
NR650--MA0731.1.BCL6B	chr14	118691683	118691699	-	0.000	0.000	Merged-chr14-118691606-2
NR968--MA0731.1.BCL6B	chr19	46014671	46014687	+	0.000	0.000	Merged-chr19-46014734-21
NR411--MA0731.1.BCL6B	chr12	59206850	59206866	+	0.000	0.000	Merged-chr12-59206918-90
NR271--MA0463.1.Bcl6	chr11	3931994	3932007	+	0.000	0.000	Merged-chr11-3931934-36
NR392--MA0463.1.Bcl6	chr12	17750787	17750800	+	0.000	0.000	Merged-chr12-17750660-39
NR258--MA0463.1.Bcl6	chr10	121310905	121310918	+	0.000	0.000	Merged-chr10-121310778-72
NR947--MA0731.1.BCL6B	chr19	10830063	10830079	+	0.000	0.000	Merged-chr19-10829902-50
NR1159--MA0463.1.Bcl6	chr3	95296341	95296354	+	0.000	0.000	Merged-chr3-95296275-11
NR1218--MA0731.1.BCL6B	chr3	139064354	139064370	+	0.000	0.000	Merged-chr3-139064319-48
NR1165--MA0731.1.BCL6B	chr3	96269519	96269535	-	0.000	0.000	Merged-chr3-96269426-97
NR403--MA0731.1.BCL6B	chr12	36317452	36317468	-	0.000	0.000	Merged-chr12-36317326-46
NR1862--MA0463.1.Bcl6	chr9	83146225	83146238	+	0.000	0.000	Merged-chr9-83146298-69
NR191--MA0463.1.Bcl6	chr10	42897825	42897838	+	0.000	0.000	Merged-chr10-42897771-65
NR948--MA0463.1.Bcl6	chr19	14871884	14871897	-	0.000	0.000	Merged-chr19-14871681-17
NR416--MA0731.1.BCL6B	chr12	70911012	70911028	+	0.000	0.000	Merged-chr12-70910866-67
NR1035--MA0731.1.BCL6B	chr2	93454578	93454594	+	0.000	0.000	Merged-chr2-93454506-54
