#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR38965--MA0741.1.KLF16	chr4	138464003	138464013	-	0.000	0.000	Merged-chr4-138464044-32
NR20439--MA0741.1.KLF16	chr16	14159326	14159336	+	0.000	0.000	Merged-chr16-14159517-83
NR26136--MA0039.3.KLF4	chr18	76144610	76144620	+	0.000	0.000	Merged-chr18-76144619-35
NR54088--MA1107.1.KLF9	chr8	123041158	123041170	+	0.000	0.000	Merged-chr8-123041052-34
NR8892--MA0742.1.Klf12	chr11	75510738	75510752	-	0.000	0.000	Merged-chr11-75510662-56
NR31868--MA1107.1.KLF9	chr2	155538440	155538452	-	0.000	0.000	Merged-chr2-155538559-34
NR40280--MA1107.1.KLF9	chr5	32863565	32863577	+	0.000	0.000	Merged-chr5-32863681-45
NR25530--MA1107.1.KLF9	chr18	56562311	56562323	+	0.000	0.000	Merged-chr18-56562419-49
NR49883--MA0741.1.KLF16	chr7	101555584	101555594	+	0.000	0.000	Merged-chr7-101555691-65
NR55085--MA0599.1.KLF5	chr9	50528489	50528498	+	0.000	0.000	Merged-chr9-50528435-81
NR49012--MA0741.1.KLF16	chr7	55962513	55962523	+	0.000	0.000	Merged-chr7-55962435-67
NR29738--MA0493.1.Klf1	chr2	69861571	69861581	+	0.000	0.000	Merged-chr2-69861596-109
NR24461--MA0741.1.KLF16	chr17	83646880	83646890	+	0.000	0.000	Merged-chr17-83646891-48
NR21018--MA0039.3.KLF4	chr16	44362193	44362203	+	0.000	0.000	Merged-chr16-44362356-45
NR50938--MA0493.1.Klf1	chr7	136164718	136164728	+	0.000	0.000	Merged-chr7-136164647-23
NR38285--MA0599.1.KLF5	chr4	129619220	129619229	+	0.000	0.000	Merged-chr4-129619163-52
NR33041--MA0493.1.Klf1	chr3	21936143	21936153	-	0.000	0.000	Merged-chr3-21936128-91
NR48838--MA1107.1.KLF9	chr7	45771257	45771269	+	0.000	0.000	Merged-chr7-45771241-24
NR7476--MA0599.1.KLF5	chr11	5444996	5445005	+	0.000	0.000	Merged-chr11-5444767-95
NR15850--MA0599.1.KLF5	chr14	25547514	25547523	+	0.000	0.000	Merged-chr14-25547381-29
NR40292--MA0740.1.KLF14	chr5	33652100	33652113	-	0.000	0.000	Merged-chr5-33652283-110
NR590--MA0741.1.KLF16	chr1	52597912	52597922	-	0.000	0.000	Merged-chr1-52598024-25
NR22499--MA0599.1.KLF5	chr17	23193373	23193382	+	0.000	0.000	Merged-chr17-23193299-96
NR53974--MA0741.1.KLF16	chr8	121898640	121898650	-	0.000	0.000	Merged-chr8-121898554-47
NR12445--MA1107.1.KLF9	chr12	100106590	100106602	+	0.000	0.000	Merged-chr12-100106504-17
NR656--MA0741.1.KLF16	chr1	55363472	55363482	-	0.000	0.000	Merged-chr1-55363638-60
NR41801--MA0599.1.KLF5	chr5	110448596	110448605	+	0.000	0.000	Merged-chr5-110448541-117
NR47099--MA1107.1.KLF9	chr6	142556308	142556320	+	0.000	0.000	Merged-chr6-142556330-1
NR20501--MA0741.1.KLF16	chr16	17070120	17070130	-	0.000	0.000	Merged-chr16-17069994-85
NR2358--MA0599.1.KLF5	chr1	151500871	151500880	-	0.000	0.000	Merged-chr1-151500785-93
NR29424--MA1107.1.KLF9	chr2	52742517	52742529	-	0.000	0.000	Merged-chr2-52742375-90
NR47221--MA0599.1.KLF5	chr6	145049107	145049116	+	0.000	0.000	Merged-chr6-145048990-28
NR28820--MA0741.1.KLF16	chr2	29619596	29619606	-	0.000	0.000	Merged-chr2-29619635-60
NR27711--MA0599.1.KLF5	chr19	46148487	46148496	+	0.000	0.000	Merged-chr19-46148494-21
NR36871--MA0741.1.KLF16	chr4	59003107	59003117	+	0.000	0.000	Merged-chr4-59003265-59
NR41270--MA0657.1.KLF13	chr5	92137815	92137832	-	0.000	0.000	Merged-chr5-92137969-78
NR48229--MA0657.1.KLF13	chr7	28169669	28169686	-	0.000	0.000	Merged-chr7-28169858-100
NR5192--MA1107.1.KLF9	chr10	76468903	76468915	+	0.000	0.000	Merged-chr10-76468895-48
NR10713--MA1107.1.KLF9	chr11	117783314	117783326	-	0.000	0.000	Merged-chr11-117783374-7
NR21007--MA0741.1.KLF16	chr16	44139819	44139829	-	0.000	0.000	Merged-chr16-44139735-217
NR2972--MA0741.1.KLF16	chr1	167339595	167339605	-	0.000	0.000	Merged-chr1-167339598-12
NR11925--MA0599.1.KLF5	chr12	76890001	76890010	+	0.000	0.000	Merged-chr12-76889803-12
