#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1162--MA0731.1.BCL6B	chr8	84011582	84011598	-	0.000	0.000	Merged-chr8-84011629-75
NR1165--MA0463.1.Bcl6	chr8	84982619	84982632	+	0.000	0.000	Merged-chr8-84982804-9
NR51--MA0731.1.BCL6B	chr1	131110832	131110848	-	0.000	0.000	Merged-chr1-131110812-66
NR631--MA0731.1.BCL6B	chr2	32037404	32037420	-	0.000	0.000	Merged-chr2-32037609-52
NR399--MA0463.1.Bcl6	chr15	67398242	67398255	-	0.000	0.000	Merged-chr15-67398131-20
NR184--MA0463.1.Bcl6	chr11	46083685	46083698	+	0.000	0.000	Merged-chr11-46083791-69
NR708--MA0463.1.Bcl6	chr2	167313926	167313939	+	0.000	0.000	Merged-chr2-167313855-44
NR1263--MA0731.1.BCL6B	chr9	124100408	124100424	-	0.000	0.000	Merged-chr9-124100646-41
NR1197--MA0463.1.Bcl6	chr8	128506209	128506222	+	0.000	0.000	Merged-chr8-128506100-25
NR838--MA0463.1.Bcl6	chr4	123288060	123288073	-	0.000	0.000	Merged-chr4-123287942-8
NR42--MA0463.1.Bcl6	chr1	106759042	106759055	+	0.000	0.000	Merged-chr1-106758978-1
NR628--MA0463.1.Bcl6	chr2	26668987	26669000	+	0.000	0.000	Merged-chr2-26668948-49
NR331--MA0731.1.BCL6B	chr14	25832478	25832494	-	0.000	0.000	Merged-chr14-25832526-44
NR664--MA0463.1.Bcl6	chr2	72365411	72365424	-	0.000	0.000	Merged-chr2-72365558-19
NR74--MA0463.1.Bcl6	chr1	176827398	176827411	+	0.000	0.000	Merged-chr1-176827492-35
NR91--MA0731.1.BCL6B	chr10	6980387	6980403	-	0.000	0.000	Merged-chr10-6980377-31
NR963--MA0731.1.BCL6B	chr5	147323704	147323720	-	0.000	0.000	Merged-chr5-147323630-31
NR203--MA0463.1.Bcl6	chr11	69073720	69073733	+	0.000	0.000	Merged-chr11-69073525-67
NR1234--MA0463.1.Bcl6	chr9	78443112	78443125	-	0.000	0.000	Merged-chr9-78443025-84
NR351--MA0463.1.Bcl6	chr14	70781314	70781327	+	0.000	0.000	Merged-chr14-70781292-78
NR105--MA0463.1.Bcl6	chr10	28816361	28816374	+	0.000	0.000	Merged-chr10-28816240-37
NR1006--MA0463.1.Bcl6	chr6	108296160	108296173	-	0.000	0.000	Merged-chr6-108296153-11
NR1118--MA0463.1.Bcl6	chr7	114069447	114069460	+	0.000	0.000	Merged-chr7-114069379-29
NR541--MA0731.1.BCL6B	chr17	87459657	87459673	+	0.000	0.000	Merged-chr17-87459671-41
NR921--MA0731.1.BCL6B	chr5	110653362	110653378	-	0.000	0.000	Merged-chr5-110653386-72
NR1257--MA0463.1.Bcl6	chr9	117896449	117896462	+	0.000	0.000	Merged-chr9-117896590-25
NR716--MA0731.1.BCL6B	chr3	9924595	9924611	+	0.000	0.000	Merged-chr3-9924809-24
NR140--MA0731.1.BCL6B	chr10	91032634	91032650	+	0.000	0.000	Merged-chr10-91032614-23
NR411--MA0731.1.BCL6B	chr15	86051353	86051369	+	0.000	0.000	Merged-chr15-86051383-21
