#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR1689--MA0741.1.KLF16	chr1	120162846	120162856	-	0.000	0.000	Merged-chr1-120162795-5
NR48990--MA1107.1.KLF9	chr7	19819174	19819186	-	0.000	0.000	Merged-chr7-19819165-4
NR48323--MA0742.1.Klf12	chr6	145256892	145256906	+	0.000	0.000	Merged-chr6-145256997-16
NR51500--MA0599.1.KLF5	chr7	119860417	119860426	+	0.000	0.000	Merged-chr7-119860527-21
NR26066--MA0599.1.KLF5	chr18	35942353	35942362	-	0.000	0.000	Merged-chr18-35942527-59
NR33909--MA1107.1.KLF9	chr3	21936139	21936151	-	0.000	0.000	Merged-chr3-21936128-91
NR23141--MA0599.1.KLF5	chr17	6279374	6279383	-	0.000	0.000	Merged-chr17-6279454-6
NR40137--MA1107.1.KLF9	chr4	140948279	140948291	+	0.000	0.000	Merged-chr4-140948211-54
NR52160--MA0599.1.KLF5	chr7	139995029	139995038	+	0.000	0.000	Merged-chr7-139994921-18
NR39329--MA1107.1.KLF9	chr4	128735127	128735139	-	0.000	0.000	Merged-chr4-128735230-68
NR49949--MA0741.1.KLF16	chr7	47132626	47132636	-	0.000	0.000	Merged-chr7-47132680-31
NR30331--MA0493.1.Klf1	chr2	57102709	57102719	+	0.000	0.000	Merged-chr2-57102684-19
NR16773--MA0740.1.KLF14	chr14	32165736	32165749	-	0.000	0.000	Merged-chr14-32165639-52
NR19819--MA1107.1.KLF9	chr15	77071701	77071713	-	0.000	0.000	Merged-chr15-77071598-27
NR23122--MA1107.1.KLF9	chr17	5748068	5748080	-	0.000	0.000	Merged-chr17-5748141-46
NR18560--MA0599.1.KLF5	chr14	122534310	122534319	+	0.000	0.000	Merged-chr14-122534294-63
NR52141--MA1107.1.KLF9	chr7	139914335	139914347	-	0.000	0.000	Merged-chr7-139914511-29
NR37721--MA0657.1.KLF13	chr4	46650223	46650240	+	0.000	0.000	Merged-chr4-46650246-65
NR16466--MA0742.1.Klf12	chr14	20546229	20546243	+	0.000	0.000	Merged-chr14-20546209-85
NR38952--MA0599.1.KLF5	chr4	119195367	119195376	+	0.000	0.000	Merged-chr4-119195443-60
NR30356--MA0740.1.KLF14	chr2	58357846	58357859	+	0.000	0.000	Merged-chr2-58357773-63
NR35341--MA1107.1.KLF9	chr3	101598169	101598181	+	0.000	0.000	Merged-chr3-101598272-22
NR12369--MA0741.1.KLF16	chr12	84408451	84408461	+	0.000	0.000	Merged-chr12-84408533-142
NR455--MA0039.3.KLF4	chr1	39091328	39091338	+	0.000	0.000	Merged-chr1-39091362-9
NR58443--MA1107.1.KLF9	chr9	115165100	115165112	-	0.000	0.000	Merged-chr9-115164979-2
NR41421--MA0741.1.KLF16	chr5	33652102	33652112	-	0.000	0.000	Merged-chr5-33652283-110
NR59510--MA0039.3.KLF4	chrX	98265946	98265956	-	0.000	0.000	Merged-chrX-98266025-47
NR11043--MA0599.1.KLF5	chr11	119041173	119041182	-	0.000	0.000	Merged-chr11-119041092-76
NR39254--MA0599.1.KLF5	chr4	126753431	126753440	+	0.000	0.000	Merged-chr4-126753517-82
NR5735--MA0599.1.KLF5	chr10	80566558	80566567	+	0.000	0.000	Merged-chr10-80566579-19
NR54680--MA0599.1.KLF5	chr8	109694359	109694368	+	0.000	0.000	Merged-chr8-109694210-14
NR20758--MA0599.1.KLF5	chr15	98934474	98934483	-	0.000	0.000	Merged-chr15-98934343-98
NR32095--MA0599.1.KLF5	chr2	132145132	132145141	-	0.000	0.000	Merged-chr2-132145154-79
NR54876--MA1107.1.KLF9	chr8	116689831	116689843	+	0.000	0.000	Merged-chr8-116689955-52
NR24113--MA0741.1.KLF16	chr17	35704744	35704754	+	0.000	0.000	Merged-chr17-35704869-55
NR24779--MA0741.1.KLF16	chr17	64331966	64331976	+	0.000	0.000	Merged-chr17-64332180-104
NR24952--MA0740.1.KLF14	chr17	70751291	70751304	+	0.000	0.000	Merged-chr17-70751409-15
NR57586--MA1107.1.KLF9	chr9	94678328	94678340	+	0.000	0.000	Merged-chr9-94678368-26
NR1286--MA0599.1.KLF5	chr1	86434465	86434474	+	0.000	0.000	Merged-chr1-86434514-65
NR28013--MA0599.1.KLF5	chr19	16998129	16998138	-	0.000	0.000	Merged-chr19-16998164-33
NR32--MA0657.1.KLF13	chr1	7397687	7397704	-	0.000	0.000	Merged-chr1-7397839-113
NR27072--MA0740.1.KLF14	chr18	79064293	79064306	-	0.000	0.000	Merged-chr18-79064378-58
NR5158--MA0741.1.KLF16	chr10	67717768	67717778	-	0.000	0.000	Merged-chr10-67717769-37
NR45699--MA0741.1.KLF16	chr6	42373315	42373325	-	0.000	0.000	Merged-chr6-42373286-40
NR14626--MA0599.1.KLF5	chr13	58359157	58359166	+	0.000	0.000	Merged-chr13-58359164-70
NR47721--MA0742.1.Klf12	chr6	128143599	128143613	-	0.000	0.000	Merged-chr6-128143679-59
NR44990--MA0599.1.KLF5	chr5	148489466	148489475	-	0.000	0.000	Merged-chr5-148489625-52
NR20482--MA0741.1.KLF16	chr15	91644095	91644105	+	0.000	0.000	Merged-chr15-91644070-43
NR42877--MA0493.1.Klf1	chr5	107554525	107554535	-	0.000	0.000	Merged-chr5-107554534-24
NR12692--MA0742.1.Klf12	chr12	99883546	99883560	-	0.000	0.000	Merged-chr12-99883517-13
NR3446--MA0740.1.KLF14	chr1	181144182	181144195	+	0.000	0.000	Merged-chr1-181144225-73
NR58910--MA0742.1.Klf12	chrX	7679870	7679884	+	0.000	0.000	Merged-chrX-7679842-40
NR4663--MA0599.1.KLF5	chr10	41518903	41518912	+	0.000	0.000	Merged-chr10-41518927-1
NR8994--MA0039.3.KLF4	chr11	70595978	70595988	-	0.000	0.000	Merged-chr11-70595762-18
NR20819--MA0741.1.KLF16	chr15	99875588	99875598	-	0.000	0.000	Merged-chr15-99875491-38
NR50755--MA0599.1.KLF5	chr7	97332522	97332531	-	0.000	0.000	Merged-chr7-97332491-89
NR35668--MA1107.1.KLF9	chr3	108459069	108459081	+	0.000	0.000	Merged-chr3-108458860-74
NR53320--MA0039.3.KLF4	chr8	57503828	57503838	-	0.000	0.000	Merged-chr8-57503871-22
NR38039--MA0599.1.KLF5	chr4	63544672	63544681	+	0.000	0.000	Merged-chr4-63544778-69
NR54066--MA0741.1.KLF16	chr8	84903132	84903142	-	0.000	0.000	Merged-chr8-84903237-56
NR41468--MA0741.1.KLF16	chr5	34637180	34637190	+	0.000	0.000	Merged-chr5-34637135-1
NR36735--MA0039.3.KLF4	chr3	148419632	148419642	-	0.000	0.000	Merged-chr3-148419698-33
NR44703--MA0493.1.Klf1	chr5	142723753	142723763	+	0.000	0.000	Merged-chr5-142723777-26
NR44080--MA1107.1.KLF9	chr5	134313743	134313755	+	0.000	0.000	Merged-chr5-134313860-43
NR13923--MA0741.1.KLF16	chr13	32338772	32338782	+	0.000	0.000	Merged-chr13-32338674-80
NR9517--MA0741.1.KLF16	chr11	83224348	83224358	-	0.000	0.000	Merged-chr11-83224215-94
NR47887--MA1107.1.KLF9	chr6	134450906	134450918	-	0.000	0.000	Merged-chr6-134450954-21
NR57591--MA0493.1.Klf1	chr9	95312826	95312836	+	0.000	0.000	Merged-chr9-95312867-2
NR23947--MA0742.1.Klf12	chr17	33817670	33817684	+	0.000	0.000	Merged-chr17-33817699-57
NR27823--MA0599.1.KLF5	chr19	8712147	8712156	+	0.000	0.000	Merged-chr19-8712106-37
NR40930--MA0493.1.Klf1	chr5	5749404	5749414	+	0.000	0.000	Merged-chr5-5749564-48
