#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR48990--MA1107.1.KLF9	chr7	131540366	131540378	+	0.000	0.000	Merged-chr7-131540239-21
NR13517--MA1107.1.KLF9	chr13	49298570	49298582	+	0.000	0.000	Merged-chr13-49298668-48
NR46745--MA0740.1.KLF14	chr7	31156503	31156516	+	0.000	0.000	Merged-chr7-31156463-10
NR49883--MA0741.1.KLF16	chr8	22166304	22166314	-	0.000	0.000	Merged-chr8-22166326-62
NR14729--MA0599.1.KLF5	chr13	107903243	107903252	-	0.000	0.000	Merged-chr13-107903395-95
NR31530--MA0740.1.KLF14	chr2	174127190	174127203	+	0.000	0.000	Merged-chr2-174127192-30
NR3769--MA1107.1.KLF9	chr10	5805603	5805615	+	0.000	0.000	Merged-chr10-5805785-87
NR18453--MA0740.1.KLF14	chr15	78802943	78802956	+	0.000	0.000	Merged-chr15-78802818-50
NR32865--MA0599.1.KLF5	chr3	90615571	90615580	-	0.000	0.000	Merged-chr3-90615498-36
NR46458--MA0599.1.KLF5	chr7	27481763	27481772	-	0.000	0.000	Merged-chr7-27481763-42
NR39676--MA0741.1.KLF16	chr5	74093053	74093063	-	0.000	0.000	Merged-chr5-74093137-75
NR55967--MA0599.1.KLF5	chrX	73880848	73880857	-	0.000	0.000	Merged-chrX-73880699-35
NR29658--MA0599.1.KLF5	chr2	118544309	118544318	+	0.000	0.000	Merged-chr2-118544423-30
NR16671--MA0742.1.Klf12	chr14	75131075	75131089	+	0.000	0.000	Merged-chr14-75131133-67
NR15850--MA0599.1.KLF5	chr14	46832053	46832062	+	0.000	0.000	Merged-chr14-46832058-73
NR50294--MA0740.1.KLF14	chr8	46739695	46739708	-	0.000	0.000	Merged-chr8-46739803-90
NR4551--MA0599.1.KLF5	chr10	60003201	60003210	+	0.000	0.000	Merged-chr10-60003036-80
NR33247--MA0493.1.Klf1	chr3	101588934	101588944	+	0.000	0.000	Merged-chr3-101588946-10
NR50643--MA0599.1.KLF5	chr8	69822552	69822561	-	0.000	0.000	Merged-chr8-69822616-46
NR12106--MA0599.1.KLF5	chr12	99942542	99942551	+	0.000	0.000	Merged-chr12-99942644-16
NR46224--MA1107.1.KLF9	chr7	24369930	24369942	-	0.000	0.000	Merged-chr7-24370030-56
NR27589--MA1107.1.KLF9	chr2	18664165	18664177	+	0.000	0.000	Merged-chr2-18664083-36
NR31793--MA0599.1.KLF5	chr3	10351365	10351374	-	0.000	0.000	Merged-chr3-10351318-69
NR53125--MA0742.1.Klf12	chr9	44037380	44037394	-	0.000	0.000	Merged-chr9-44037294-17
NR28073--MA0741.1.KLF16	chr2	32535274	32535284	+	0.000	0.000	Merged-chr2-32535268-83
NR6998--MA0741.1.KLF16	chr11	4218179	4218189	-	0.000	0.000	Merged-chr11-4218223-50
NR28344--MA0741.1.KLF16	chr2	43737934	43737944	-	0.000	0.000	Merged-chr2-43737811-44
NR41216--MA0741.1.KLF16	chr5	123144997	123145007	+	0.000	0.000	Merged-chr5-123144885-18
NR19814--MA0039.3.KLF4	chr16	11501233	11501243	-	0.000	0.000	Merged-chr16-11501282-30
NR19959--MA0599.1.KLF5	chr16	17405938	17405947	-	0.000	0.000	Merged-chr16-17405859-95
NR48833--MA0039.3.KLF4	chr7	127181012	127181022	+	0.000	0.000	Merged-chr7-127180997-43
