#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR170--MA0508.2.PRDM1	chr10	57755410	57755419	-	0.000	0.000	Merged-chr10-57755498-21
NR441--MA0508.2.PRDM1	chr13	75797742	75797751	-	0.000	0.000	Merged-chr13-75797907-63
NR712--MA0508.2.PRDM1	chr17	22817919	22817928	+	0.000	0.000	Merged-chr17-22817720-41
NR1649--MA0508.2.PRDM1	chr9	90114240	90114249	+	0.000	0.000	Merged-chr9-90114273-148
NR550--MA0508.2.PRDM1	chr14	100459456	100459465	-	0.000	0.000	Merged-chr14-100459597-88
NR821--MA0508.2.PRDM1	chr19	4332933	4332942	+	0.000	0.000	Merged-chr19-4332907-33
NR1235--MA0508.2.PRDM1	chr5	38307966	38307975	-	0.000	0.000	Merged-chr5-38307807-52
NR1506--MA0508.2.PRDM1	chr7	128611242	128611251	-	0.000	0.000	Merged-chr7-128611334-65
NR1487--MA0508.2.PRDM1	chr7	116484473	116484482	-	0.000	0.000	Merged-chr7-116484434-42
NR930--MA0508.2.PRDM1	chr2	91078435	91078444	+	0.000	0.000	Merged-chr2-91078502-21
NR725--MA0508.2.PRDM1	chr17	32551255	32551264	+	0.000	0.000	Merged-chr17-32551219-34
NR1139--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR311--MA0508.2.PRDM1	chr11	118129969	118129978	-	0.000	0.000	Merged-chr11-118130065-25
NR28--MA0508.2.PRDM1	chr1	75533541	75533550	+	0.000	0.000	Merged-chr1-75533497-24
NR1182--MA0508.2.PRDM1	chr4	124766701	124766710	-	0.000	0.000	Merged-chr4-124766881-14
NR1466--MA0508.2.PRDM1	chr7	96914217	96914226	+	0.000	0.000	Merged-chr7-96914274-42
NR162--MA0508.2.PRDM1	chr10	44381545	44381554	-	0.000	0.000	Merged-chr10-44381463-1
NR890--MA0508.2.PRDM1	chr2	31108417	31108426	-	0.000	0.000	Merged-chr2-31108373-37
NR956--MA0508.2.PRDM1	chr2	121511679	121511688	+	0.000	0.000	Merged-chr2-121511602-35
NR271--MA0508.2.PRDM1	chr11	77372330	77372339	+	0.000	0.000	Merged-chr11-77372347-7
NR1227--MA0508.2.PRDM1	chr5	30155984	30155993	-	0.000	0.000	Merged-chr5-30156013-4
NR794--MA0508.2.PRDM1	chr18	70504477	70504486	+	0.000	0.000	Merged-chr18-70504272-31
NR651--MA0508.2.PRDM1	chr16	26581729	26581738	-	0.000	0.000	Merged-chr16-26581670-77
NR717--MA0508.2.PRDM1	chr17	28523141	28523150	-	0.000	0.000	Merged-chr17-28522997-85
NR1065--MA0508.2.PRDM1	chr3	102719850	102719859	+	0.000	0.000	Merged-chr3-102719732-28
NR1588--MA0508.2.PRDM1	chr8	115410307	115410316	-	0.000	0.000	Merged-chr8-115410237-10
NR760--MA0508.2.PRDM1	chr18	6411126	6411135	+	0.000	0.000	Merged-chr18-6411189-24
NR284--MA0508.2.PRDM1	chr11	94210257	94210266	+	0.000	0.000	Merged-chr11-94210319-4
NR826--MA0508.2.PRDM1	chr19	9911610	9911619	+	0.000	0.000	Merged-chr19-9911533-24
NR141--MA0508.2.PRDM1	chr10	18064724	18064733	-	0.000	0.000	Merged-chr10-18064784-37
NR412--MA0508.2.PRDM1	chr13	21579906	21579915	-	0.000	0.000	Merged-chr13-21579773-26
NR1283--MA0508.2.PRDM1	chr5	115133753	115133762	+	0.000	0.000	Merged-chr5-115133709-3
NR4--MA0508.2.PRDM1	chr1	23400492	23400501	-	0.000	0.000	Merged-chr1-23400629-10
NR250--MA0508.2.PRDM1	chr11	32324609	32324618	-	0.000	0.000	Merged-chr11-32324772-27
NR773--MA0508.2.PRDM1	chr18	41861277	41861286	-	0.000	0.000	Merged-chr18-41861355-68
NR1458--MA0508.2.PRDM1	chr7	80576044	80576053	-	0.000	0.000	Merged-chr7-80576009-57
NR425--MA0508.2.PRDM1	chr13	48513373	48513382	+	0.000	0.000	Merged-chr13-48513320-57
NR1296--MA0508.2.PRDM1	chr5	124497027	124497036	+	0.000	0.000	Merged-chr5-124497096-41
NR1567--MA0508.2.PRDM1	chr8	84601590	84601599	-	0.000	0.000	Merged-chr8-84601669-24
NR263--MA0508.2.PRDM1	chr11	69980689	69980698	+	0.000	0.000	Merged-chr11-69980688-100
NR1219--MA0508.2.PRDM1	chr5	20377544	20377553	-	0.000	0.000	Merged-chr5-20377545-32
NR786--MA0508.2.PRDM1	chr18	60625548	60625557	-	0.000	0.000	Merged-chr18-60625535-13
NR372--MA0508.2.PRDM1	chr12	104236087	104236096	-	0.000	0.000	Merged-chr12-104236095-61
NR500--MA0508.2.PRDM1	chr14	33303609	33303618	-	0.000	0.000	Merged-chr14-33303599-44
NR481--MA0508.2.PRDM1	chr13	117211687	117211696	+	0.000	0.000	Merged-chr13-117211586-48
NR547--MA0508.2.PRDM1	chr14	99032847	99032856	+	0.000	0.000	Merged-chr14-99032788-27
NR133--MA0508.2.PRDM1	chr1	194762153	194762162	-	0.000	0.000	Merged-chr1-194762243-1
NR861--MA0508.2.PRDM1	chr19	55688722	55688731	+	0.000	0.000	Merged-chr19-55688769-29
NR1275--MA0508.2.PRDM1	chr5	108669060	108669069	+	0.000	0.000	Merged-chr5-108669200-57
NR1036--MA0508.2.PRDM1	chr3	59260876	59260885	-	0.000	0.000	Merged-chr3-59260932-51
NR68--MA0508.2.PRDM1	chr1	139454804	139454813	+	0.000	0.000	Merged-chr1-139454784-71
NR874--MA0508.2.PRDM1	chr2	9578114	9578123	-	0.000	0.000	Merged-chr2-9578093-49
NR1288--MA0508.2.PRDM1	chr5	120116547	120116556	-	0.000	0.000	Merged-chr5-120116585-62
NR983--MA0508.2.PRDM1	chr2	150558809	150558818	-	0.000	0.000	Merged-chr2-150558773-40
NR112--MA0508.2.PRDM1	chr1	177441889	177441898	+	0.000	0.000	Merged-chr1-177442185-139
NR906--MA0508.2.PRDM1	chr2	59056142	59056151	+	0.000	0.000	Merged-chr2-59055992-29
NR221--MA0508.2.PRDM1	chr10	118714412	118714421	-	0.000	0.000	Merged-chr10-118714396-52
NR887--MA0508.2.PRDM1	chr2	26235387	26235396	+	0.000	0.000	Merged-chr2-26235322-12
NR330--MA0508.2.PRDM1	chr12	32017854	32017863	+	0.000	0.000	Merged-chr12-32017895-23
NR1015--MA0508.2.PRDM1	chr3	9151819	9151828	+	0.000	0.000	Merged-chr3-9151770-9
NR648--MA0508.2.PRDM1	chr16	23269677	23269686	-	0.000	0.000	Merged-chr16-23269515-23
NR505--MA0508.2.PRDM1	chr14	40938697	40938706	-	0.000	0.000	Merged-chr14-40938744-34
NR614--MA0508.2.PRDM1	chr15	86007814	86007823	+	0.000	0.000	Merged-chr15-86007897-35
NR409--MA0508.2.PRDM1	chr13	20306473	20306482	-	0.000	0.000	Merged-chr13-20306536-31
NR1028--MA0508.2.PRDM1	chr3	32438008	32438017	-	0.000	0.000	Merged-chr3-32438051-51
NR595--MA0508.2.PRDM1	chr15	61983452	61983461	+	0.000	0.000	Merged-chr15-61983458-31
NR181--MA0508.2.PRDM1	chr10	76238051	76238060	-	0.000	0.000	Merged-chr10-76237890-83
NR452--MA0508.2.PRDM1	chr13	89428733	89428742	-	0.000	0.000	Merged-chr13-89428642-60
NR723--MA0508.2.PRDM1	chr17	32053949	32053958	-	0.000	0.000	Merged-chr17-32053926-45
NR499--MA0508.2.PRDM1	chr14	31640865	31640874	+	0.000	0.000	Merged-chr14-31640983-59
NR104--MA0508.2.PRDM1	chr1	171995425	171995434	-	0.000	0.000	Merged-chr1-171995343-37
NR290--MA0508.2.PRDM1	chr11	99131606	99131615	+	0.000	0.000	Merged-chr11-99131567-85
NR322--MA0508.2.PRDM1	chr12	16532201	16532210	+	0.000	0.000	Merged-chr12-16532110-1
NR988--MA0508.2.PRDM1	chr2	153632750	153632759	+	0.000	0.000	Merged-chr2-153632630-73
NR574--MA0508.2.PRDM1	chr15	3213809	3213818	-	0.000	0.000	Merged-chr15-3213823-14
NR683--MA0508.2.PRDM1	chr16	81200993	81201002	+	0.000	0.000	Merged-chr16-81200993-1
NR478--MA0508.2.PRDM1	chr13	113198060	113198069	+	0.000	0.000	Merged-chr13-113198047-76
NR335--MA0508.2.PRDM1	chr12	53032943	53032952	-	0.000	0.000	Merged-chr12-53032976-31
NR858--MA0508.2.PRDM1	chr19	55253871	55253880	+	0.000	0.000	Merged-chr19-55253983-137
NR239--MA0508.2.PRDM1	chr11	4289425	4289434	+	0.000	0.000	Merged-chr11-4289401-53
NR1129--MA0508.2.PRDM1	chr4	11077744	11077753	+	0.000	0.000	Merged-chr4-11077783-17
NR696--MA0508.2.PRDM1	chr16	94402423	94402432	+	0.000	0.000	Merged-chr16-94402317-35
NR967--MA0508.2.PRDM1	chr2	131903230	131903239	-	0.000	0.000	Merged-chr2-131903153-34
NR282--MA0508.2.PRDM1	chr11	88993620	88993629	-	0.000	0.000	Merged-chr11-88993773-46
NR728--MA0508.2.PRDM1	chr17	35068708	35068717	+	0.000	0.000	Merged-chr17-35068738-10
NR1089--MA0508.2.PRDM1	chr3	133412032	133412041	-	0.000	0.000	Merged-chr3-133411903-38
NR261--MA0508.2.PRDM1	chr11	69838281	69838290	-	0.000	0.000	Merged-chr11-69838250-77
NR165--MA0508.2.PRDM1	chr10	45001162	45001171	+	0.000	0.000	Merged-chr10-45001177-45
NR707--MA0508.2.PRDM1	chr17	12692069	12692078	+	0.000	0.000	Merged-chr17-12692013-52
NR131--MA0508.2.PRDM1	chr1	193273460	193273469	+	0.000	0.000	Merged-chr1-193273386-37
NR797--MA0508.2.PRDM1	chr18	73613608	73613617	-	0.000	0.000	Merged-chr18-73613587-25
NR178--MA0508.2.PRDM1	chr10	68199556	68199565	-	0.000	0.000	Merged-chr10-68199721-19
NR287--MA0508.2.PRDM1	chr11	96867278	96867287	-	0.000	0.000	Merged-chr11-96867396-4
NR415--MA0508.2.PRDM1	chr13	30933190	30933199	-	0.000	0.000	Merged-chr13-30933157-53
NR667--MA0508.2.PRDM1	chr16	55551064	55551073	-	0.000	0.000	Merged-chr16-55551053-37
