#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1819--MA0089.1.MAFG::NFE2L1	chr12	41843922	41843927	-	0.000	0.000	Merged-chr12-41844052-32
NR5033--MA0495.2.MAFF	chr2	154603806	154603826	-	0.000	0.000	Merged-chr2-154603925-61
NR4027--MA0089.1.MAFG::NFE2L1	chr18	37813972	37813977	-	0.000	0.000	Merged-chr18-37813954-31
NR8293--MA0496.2.MAFK	chr9	96740563	96740581	-	0.000	0.000	Merged-chr9-96740764-95
NR5823--MA0089.1.MAFG::NFE2L1	chr4	106970971	106970976	+	0.000	0.000	Merged-chr4-106970923-40
NR7796--MA0089.1.MAFG::NFE2L1	chr8	91545812	91545817	-	0.000	0.000	Merged-chr8-91545805-43
NR5700--MA0495.2.MAFF	chr4	40773395	40773415	+	0.000	0.000	Merged-chr4-40773188-44
NR5366--MA0117.2.Mafb	chr3	95223118	95223129	+	0.000	0.000	Merged-chr3-95223190-16
NR3097--MA0659.1.MAFG	chr15	79224832	79224852	-	0.000	0.000	Merged-chr15-79224869-14
NR325--MA0117.2.Mafb	chr1	128386846	128386857	+	0.000	0.000	Merged-chr1-128386740-22
NR1584--MA0117.2.Mafb	chr11	107693436	107693447	-	0.000	0.000	Merged-chr11-107693539-25
NR2994--MA0496.2.MAFK	chr15	58655207	58655225	-	0.000	0.000	Merged-chr15-58655104-54
NR1906--MA0089.1.MAFG::NFE2L1	chr12	80211434	80211439	+	0.000	0.000	Merged-chr12-80211304-22
NR3879--MA0089.1.MAFG::NFE2L1	chr17	83654746	83654751	-	0.000	0.000	Merged-chr17-83654883-58
NR6921--MA0501.1.MAF::NFE2	chr6	114936785	114936799	+	0.000	0.000	Merged-chr6-114936685-54
NR1415--MA0089.1.MAFG::NFE2L1	chr11	78865061	78865066	+	0.000	0.000	Merged-chr11-78864936-24
NR5043--MA0089.1.MAFG::NFE2L1	chr2	156278796	156278801	-	0.000	0.000	Merged-chr2-156278789-33
NR2768--MA0117.2.Mafb	chr14	70781334	70781345	+	0.000	0.000	Merged-chr14-70781292-78
NR2344--MA0089.1.MAFG::NFE2L1	chr13	67814191	67814196	-	0.000	0.000	Merged-chr13-67814064-68
NR7392--MA0089.1.MAFG::NFE2L1	chr7	99449154	99449159	-	0.000	0.000	Merged-chr7-99449077-51
NR2334--MA0659.1.MAFG	chr13	63431573	63431593	+	0.000	0.000	Merged-chr13-63431477-108
NR5711--MA0659.1.MAFG	chr4	43427723	43427743	+	0.000	0.000	Merged-chr4-43427780-35
NR2810--MA0591.1.Bach1::Mafk	chr14	79426541	79426555	+	0.000	0.000	Merged-chr14-79426592-49
NR241--MA0089.1.MAFG::NFE2L1	chr1	92473735	92473740	+	0.000	0.000	Merged-chr1-92473909-79
NR3851--MA0089.1.MAFG::NFE2L1	chr17	79599428	79599433	+	0.000	0.000	Merged-chr17-79599396-20
NR8094--MA0117.2.Mafb	chr9	44652136	44652147	-	0.000	0.000	Merged-chr9-44652230-11
NR3360--MA0089.1.MAFG::NFE2L1	chr16	49801607	49801612	+	0.000	0.000	Merged-chr16-49801610-26
NR8044--MA0089.1.MAFG::NFE2L1	chr9	32745189	32745194	-	0.000	0.000	Merged-chr9-32745254-38
NR695--MA0495.2.MAFF	chr10	40163693	40163713	-	0.000	0.000	Merged-chr10-40163524-42
NR3659--MA0591.1.Bach1::Mafk	chr17	31789320	31789334	+	0.000	0.000	Merged-chr17-31789470-34
NR7656--MA0591.1.Bach1::Mafk	chr8	46799373	46799387	-	0.000	0.000	Merged-chr8-46799376-25
NR6980--MA0591.1.Bach1::Mafk	chr6	127302959	127302973	+	0.000	0.000	Merged-chr6-127302896-25
NR314--MA0496.2.MAFK	chr1	128245137	128245155	+	0.000	0.000	Merged-chr1-128245145-5
NR5432--MA0089.1.MAFG::NFE2L1	chr3	108504044	108504049	+	0.000	0.000	Merged-chr3-108504114-26
NR4400--MA0495.2.MAFF	chr19	56687125	56687145	+	0.000	0.000	Merged-chr19-56687212-16
NR3616--MA0591.1.Bach1::Mafk	chr17	24152467	24152481	+	0.000	0.000	Merged-chr17-24152368-58
NR2597--MA0591.1.Bach1::Mafk	chr14	25161760	25161774	-	0.000	0.000	Merged-chr14-25161984-35
NR7492--MA0089.1.MAFG::NFE2L1	chr7	125511602	125511607	-	0.000	0.000	Merged-chr7-125511628-40
NR845--MA0089.1.MAFG::NFE2L1	chr10	81505459	81505464	-	0.000	0.000	Merged-chr10-81505422-22
NR5734--MA0089.1.MAFG::NFE2L1	chr4	62367785	62367790	-	0.000	0.000	Merged-chr4-62367859-6
NR3641--MA0496.2.MAFK	chr17	26572480	26572498	-	0.000	0.000	Merged-chr17-26572396-49
NR2168--MA0089.1.MAFG::NFE2L1	chr13	30548975	30548980	+	0.000	0.000	Merged-chr13-30549048-17
NR921--MA0659.1.MAFG	chr10	95297777	95297797	+	0.000	0.000	Merged-chr10-95297882-9
NR1641--MA0591.1.Bach1::Mafk	chr11	116130748	116130762	-	0.000	0.000	Merged-chr11-116130854-68
NR944--MA0501.1.MAF::NFE2	chr10	96202055	96202069	+	0.000	0.000	Merged-chr10-96202088-1
NR1690--MA0089.1.MAFG::NFE2L1	chr11	120458142	120458147	-	0.000	0.000	Merged-chr11-120458072-48
NR8527--MA0495.2.MAFF	chrX	142792380	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR8157--MA0089.1.MAFG::NFE2L1	chr9	64914760	64914765	+	0.000	0.000	Merged-chr9-64914839-18
NR8464--MA0591.1.Bach1::Mafk	chrX	73976490	73976504	-	0.000	0.000	Merged-chrX-73976480-18
NR659--MA0496.2.MAFK	chr10	21504635	21504653	+	0.000	0.000	Merged-chr10-21504659-28
NR5232--MA0501.1.MAF::NFE2	chr3	18623967	18623981	-	0.000	0.000	Merged-chr3-18624063-31
NR7506--MA0591.1.Bach1::Mafk	chr7	127181061	127181075	+	0.000	0.000	Merged-chr7-127180997-43
NR3184--MA0089.1.MAFG::NFE2L1	chr15	100060894	100060899	+	0.000	0.000	Merged-chr15-100060928-68
NR3130--MA0501.1.MAF::NFE2	chr15	83474201	83474215	+	0.000	0.000	Merged-chr15-83474258-63
NR2918--MA0591.1.Bach1::Mafk	chr15	27627261	27627275	-	0.000	0.000	Merged-chr15-27627368-1
NR6589--MA0089.1.MAFG::NFE2L1	chr5	148715044	148715049	-	0.000	0.000	Merged-chr5-148715169-40
NR2529--MA0496.2.MAFK	chr13	113322204	113322222	-	0.000	0.000	Merged-chr13-113322180-25
NR8551--MA0117.2.Mafb	chrX	164406295	164406306	-	0.000	0.000	Merged-chrX-164406476-50
NR8421--MA0591.1.Bach1::Mafk	chrX	9202146	9202160	-	0.000	0.000	Merged-chrX-9202139-21
NR4651--MA0495.2.MAFF	chr2	65044576	65044596	-	0.000	0.000	Merged-chr2-65044504-13
NR1992--MA0089.1.MAFG::NFE2L1	chr12	102725393	102725398	-	0.000	0.000	Merged-chr12-102725313-9
NR1392--MA0117.2.Mafb	chr11	72952791	72952802	-	0.000	0.000	Merged-chr11-72952889-5
NR7223--MA0501.1.MAF::NFE2	chr7	30593321	30593335	+	0.000	0.000	Merged-chr7-30593155-28
NR833--MA0501.1.MAF::NFE2	chr10	80677337	80677351	+	0.000	0.000	Merged-chr10-80677293-45
NR6220--MA0501.1.MAF::NFE2	chr5	54045698	54045712	-	0.000	0.000	Merged-chr5-54045721-49
NR7830--MA0591.1.Bach1::Mafk	chr8	105852065	105852079	-	0.000	0.000	Merged-chr8-105851882-54
NR7415--MA0089.1.MAFG::NFE2L1	chr7	104446554	104446559	-	0.000	0.000	Merged-chr7-104446376-75
NR743--MA0089.1.MAFG::NFE2L1	chr10	59636946	59636951	-	0.000	0.000	Merged-chr10-59636988-40
NR5853--MA0591.1.Bach1::Mafk	chr4	115984479	115984493	+	0.000	0.000	Merged-chr4-115984376-24
NR4978--MA0495.2.MAFF	chr2	144343351	144343371	-	0.000	0.000	Merged-chr2-144343268-23
NR3086--MA0501.1.MAF::NFE2	chr15	78450271	78450285	+	0.000	0.000	Merged-chr15-78450295-54
NR3362--MA0591.1.Bach1::Mafk	chr16	49907578	49907592	+	0.000	0.000	Merged-chr16-49907534-19
NR454--MA0089.1.MAFG::NFE2L1	chr1	170863194	170863199	-	0.000	0.000	Merged-chr1-170863214-38
NR7502--MA0089.1.MAFG::NFE2L1	chr7	126862580	126862585	+	0.000	0.000	Merged-chr7-126862632-1
NR2644--MA0089.1.MAFG::NFE2L1	chr14	47298576	47298581	-	0.000	0.000	Merged-chr14-47298519-76
NR7692--MA0089.1.MAFG::NFE2L1	chr8	69920453	69920458	-	0.000	0.000	Merged-chr8-69920362-48
NR2771--MA0591.1.Bach1::Mafk	chr14	70798822	70798836	-	0.000	0.000	Merged-chr14-70798760-56
NR3883--MA0496.2.MAFK	chr17	83654980	83654998	-	0.000	0.000	Merged-chr17-83654883-58
NR281--MA0659.1.MAFG	chr1	120073870	120073890	-	0.000	0.000	Merged-chr1-120073802-51
NR6964--MA0501.1.MAF::NFE2	chr6	122758987	122759001	-	0.000	0.000	Merged-chr6-122758915-39
NR669--MA0089.1.MAFG::NFE2L1	chr10	26521339	26521344	+	0.000	0.000	Merged-chr10-26521176-55
NR8341--MA0659.1.MAFG	chr9	111271627	111271647	+	0.000	0.000	Merged-chr9-111271747-70
NR1049--MA0501.1.MAF::NFE2	chr10	119083893	119083907	-	0.000	0.000	Merged-chr10-119083697-27
NR2261--MA0495.2.MAFF	chr13	45872303	45872323	-	0.000	0.000	Merged-chr13-45872206-76
NR5934--MA0089.1.MAFG::NFE2L1	chr4	136033569	136033574	-	0.000	0.000	Merged-chr4-136033547-7
