#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR3036--MA0002.2.RUNX1	chr14	54653776	54653786	-	0.000	0.000	Merged-chr14-54653650-39
NR5173--MA0002.2.RUNX1	chr2	6444897	6444907	+	0.000	0.000	Merged-chr2-6444990-17
NR9631--MA0511.2.RUNX2	chr9	79810687	79810695	+	0.000	0.000	Merged-chr9-79810670-36
NR3165--MA0684.1.RUNX3	chr14	78914393	78914402	-	0.000	0.000	Merged-chr14-78914359-46
NR10085--MA0002.2.RUNX1	chrX	159909653	159909663	-	0.000	0.000	Merged-chrX-159909723-57
NR1879--MA0002.2.RUNX1	chr11	117136233	117136243	-	0.000	0.000	Merged-chr11-117136064-7
NR9261--MA0002.2.RUNX1	chr8	119812443	119812453	-	0.000	0.000	Merged-chr8-119812593-113
NR9056--MA0002.2.RUNX1	chr8	71205760	71205770	+	0.000	0.000	Merged-chr8-71205756-43
NR4985--MA0002.2.RUNX1	chr19	32575113	32575123	+	0.000	0.000	Merged-chr19-32574941-26
NR9327--MA0002.2.RUNX1	chr8	126551172	126551182	-	0.000	0.000	Merged-chr8-126551138-20
NR7376--MA0002.2.RUNX1	chr5	84417523	84417533	-	0.000	0.000	Merged-chr5-84417386-17
NR7918--MA0002.2.RUNX1	chr6	65590407	65590417	+	0.000	0.000	Merged-chr6-65590340-6
NR5696--MA0002.2.RUNX1	chr2	151944508	151944518	+	0.000	0.000	Merged-chr2-151944383-43
NR575--MA0002.2.RUNX1	chr1	173548629	173548639	+	0.000	0.000	Merged-chr1-173548778-45
NR7603--MA0511.2.RUNX2	chr5	125339640	125339648	+	0.000	0.000	Merged-chr5-125339591-35
NR5430--MA0684.1.RUNX3	chr2	73547456	73547465	-	0.000	0.000	Merged-chr2-73547425-29
NR9740--MA0511.2.RUNX2	chr9	105054083	105054091	-	0.000	0.000	Merged-chr9-105054154-2
NR9264--MA0511.2.RUNX2	chr8	119914363	119914371	-	0.000	0.000	Merged-chr8-119914410-20
NR3816--MA0684.1.RUNX3	chr16	37099540	37099549	-	0.000	0.000	Merged-chr16-37099650-10
NR5348--MA0002.2.RUNX1	chr2	52885288	52885298	-	0.000	0.000	Merged-chr2-52885299-16
NR9806--MA0511.2.RUNX2	chr9	116214507	116214515	-	0.000	0.000	Merged-chr9-116214567-36
NR3397--MA0002.2.RUNX1	chr15	38602935	38602945	-	0.000	0.000	Merged-chr15-38603137-3
NR3002--MA0002.2.RUNX1	chr14	43925223	43925233	-	0.000	0.000	Merged-chr14-43925389-59
NR4971--MA0684.1.RUNX3	chr19	29185720	29185729	-	0.000	0.000	Merged-chr19-29185697-46
NR5033--MA0511.2.RUNX2	chr19	42796385	42796393	+	0.000	0.000	Merged-chr19-42796440-5
NR1988--MA0002.2.RUNX1	chr12	32168902	32168912	+	0.000	0.000	Merged-chr12-32169009-55
NR7633--MA0684.1.RUNX3	chr5	134350926	134350935	+	0.000	0.000	Merged-chr5-134350841-34
NR83--MA0002.2.RUNX1	chr1	40790545	40790555	+	0.000	0.000	Merged-chr1-40790646-63
NR5477--MA0684.1.RUNX3	chr2	91042847	91042856	+	0.000	0.000	Merged-chr2-91042928-59
NR9992--MA0511.2.RUNX2	chrX	71492680	71492688	+	0.000	0.000	Merged-chrX-71492883-59
NR6188--MA0684.1.RUNX3	chr3	101884383	101884392	+	0.000	0.000	Merged-chr3-101884248-30
NR7441--MA0511.2.RUNX2	chr5	104508177	104508185	+	0.000	0.000	Merged-chr5-104508009-1
NR1369--MA0002.2.RUNX1	chr11	3703701	3703711	-	0.000	0.000	Merged-chr11-3703654-26
NR4680--MA0002.2.RUNX1	chr18	55050699	55050709	-	0.000	0.000	Merged-chr18-55050703-48
NR9022--MA0002.2.RUNX1	chr8	53639123	53639133	-	0.000	0.000	Merged-chr8-53639020-77
NR4951--MA0002.2.RUNX1	chr19	24301133	24301143	+	0.000	0.000	Merged-chr19-24301170-38
