#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR1131--MA1104.1.GATA6	chr11	95107142	95107154	-	0.000	0.000	Merged-chr11-95106934-17
NR3088--MA0766.1.GATA5	chr19	8019665	8019672	-	0.000	0.000	Merged-chr19-8019847-106
NR3155--MA0482.1.Gata4	chr19	33081729	33081739	+	0.000	0.000	Merged-chr19-33081699-35
NR585--MA0482.1.Gata4	chr10	26322624	26322634	+	0.000	0.000	Merged-chr10-26322631-48
NR3036--MA0035.3.Gata1	chr18	82692032	82692042	-	0.000	0.000	Merged-chr18-82691920-3
NR2710--MA0766.1.GATA5	chr17	18462930	18462937	-	0.000	0.000	Merged-chr17-18462916-14
NR388--MA0140.2.GATA1::TAL1	chr1	165763682	165763699	-	0.000	0.000	Merged-chr1-165763682-102
NR3172--MA1104.1.GATA6	chr19	40267567	40267579	-	0.000	0.000	Merged-chr19-40267576-38
NR3238--MA1104.1.GATA6	chr2	19579637	19579649	+	0.000	0.000	Merged-chr2-19579753-13
NR6182--MA0037.3.GATA3	chrX	17365319	17365326	-	0.000	0.000	Merged-chrX-17365333-21
NR1511--MA0037.3.GATA3	chr12	103129577	103129584	-	0.000	0.000	Merged-chr12-103129553-17
NR2442--MA0036.3.GATA2	chr16	13796674	13796684	-	0.000	0.000	Merged-chr16-13796850-44
NR336--MA0035.3.Gata1	chr1	144247721	144247731	-	0.000	0.000	Merged-chr1-144247641-22
NR6012--MA0035.3.Gata1	chr9	88722041	88722051	+	0.000	0.000	Merged-chr9-88721964-40
NR4502--MA0036.3.GATA2	chr5	30887491	30887501	-	0.000	0.000	Merged-chr5-30887642-12
NR2280--MA0036.3.GATA2	chr15	37932657	37932667	-	0.000	0.000	Merged-chr15-37932559-17
NR3158--MA0035.3.Gata1	chr19	33081728	33081738	+	0.000	0.000	Merged-chr19-33081699-35
NR1776--MA1104.1.GATA6	chr13	85430117	85430129	-	0.000	0.000	Merged-chr13-85430211-51
NR2033--MA0035.3.Gata1	chr14	62799051	62799061	+	0.000	0.000	Merged-chr14-62798973-44
NR1524--MA0037.3.GATA3	chr12	107139203	107139210	+	0.000	0.000	Merged-chr12-107139139-48
NR5659--MA1104.1.GATA6	chr8	57540411	57540423	+	0.000	0.000	Merged-chr8-57540400-20
NR3313--MA1104.1.GATA6	chr2	45103421	45103433	+	0.000	0.000	Merged-chr2-45103270-35
NR174--MA0035.3.Gata1	chr1	86344522	86344532	+	0.000	0.000	Merged-chr1-86344486-59
NR2235--MA0037.3.GATA3	chr15	6613086	6613093	+	0.000	0.000	Merged-chr15-6612978-36
NR2598--MA0036.3.GATA2	chr16	84864871	84864881	+	0.000	0.000	Merged-chr16-84864807-26
NR3932--MA0037.3.GATA3	chr3	126691146	126691153	+	0.000	0.000	Merged-chr3-126690917-48
NR3657--MA0482.1.Gata4	chr2	163131100	163131110	+	0.000	0.000	Merged-chr2-163131105-39
NR877--MA0766.1.GATA5	chr10	117377488	117377495	-	0.000	0.000	Merged-chr10-117377577-5
NR2142--MA0035.3.Gata1	chr14	100459449	100459459	-	0.000	0.000	Merged-chr14-100459597-88
NR3038--MA0482.1.Gata4	chr18	84355146	84355156	-	0.000	0.000	Merged-chr18-84355361-12
NR1629--MA0482.1.Gata4	chr13	20094995	20095005	+	0.000	0.000	Merged-chr13-20095026-36
NR2978--MA0036.3.GATA2	chr18	67249034	67249044	-	0.000	0.000	Merged-chr18-67248991-53
NR5369--MA0036.3.GATA2	chr7	89171937	89171947	-	0.000	0.000	Merged-chr7-89172043-28
NR5083--MA1104.1.GATA6	chr6	129210606	129210618	+	0.000	0.000	Merged-chr6-129210550-50
NR529--MA0766.1.GATA5	chr10	7630596	7630603	-	0.000	0.000	Merged-chr10-7630837-45
NR1148--MA0766.1.GATA5	chr11	97246705	97246712	-	0.000	0.000	Merged-chr11-97246717-13
NR4525--MA0766.1.GATA5	chr5	37147598	37147605	-	0.000	0.000	Merged-chr5-37147664-17
NR411--MA0035.3.Gata1	chr1	170167871	170167881	-	0.000	0.000	Merged-chr1-170167960-28
NR5303--MA0482.1.Gata4	chr7	58731046	58731056	+	0.000	0.000	Merged-chr7-58731125-46
NR4905--MA0766.1.GATA5	chr6	61225494	61225501	-	0.000	0.000	Merged-chr6-61225621-10
NR2523--MA0140.2.GATA1::TAL1	chr16	55754440	55754457	-	0.000	0.000	Merged-chr16-55754578-52
NR1646--MA0037.3.GATA3	chr13	30748316	30748323	+	0.000	0.000	Merged-chr13-30748527-182
NR3527--MA0482.1.Gata4	chr2	122244113	122244123	-	0.000	0.000	Merged-chr2-122243973-37
NR5463--MA0037.3.GATA3	chr7	113419587	113419594	+	0.000	0.000	Merged-chr7-113419557-35
NR5188--MA0482.1.Gata4	chr6	144927495	144927505	-	0.000	0.000	Merged-chr6-144927646-14
NR6142--MA0036.3.GATA2	chr9	120084500	120084510	-	0.000	0.000	Merged-chr9-120084612-20
NR4289--MA0037.3.GATA3	chr4	97855121	97855128	-	0.000	0.000	Merged-chr4-97855012-35
NR5069--MA0035.3.Gata1	chr6	126849235	126849245	-	0.000	0.000	Merged-chr6-126849069-62
NR4733--MA0036.3.GATA2	chr5	137747961	137747971	+	0.000	0.000	Merged-chr5-137747869-32
NR2562--MA1104.1.GATA6	chr16	76337178	76337190	+	0.000	0.000	Merged-chr16-76337291-62
NR5224--MA1104.1.GATA6	chr7	24451977	24451989	+	0.000	0.000	Merged-chr7-24452185-33
NR804--MA0035.3.Gata1	chr10	96015953	96015963	-	0.000	0.000	Merged-chr10-96015913-48
NR98--MA0482.1.Gata4	chr1	61203277	61203287	-	0.000	0.000	Merged-chr1-61203375-24
NR3269--MA0482.1.Gata4	chr2	31082841	31082851	-	0.000	0.000	Merged-chr2-31082849-41
NR1102--MA1104.1.GATA6	chr11	85518615	85518627	-	0.000	0.000	Merged-chr11-85518426-19
NR2348--MA0766.1.GATA5	chr15	78495178	78495185	+	0.000	0.000	Merged-chr15-78495177-43
NR4781--MA0035.3.Gata1	chr5	146897120	146897130	+	0.000	0.000	Merged-chr5-146897155-34
NR4680--MA0036.3.GATA2	chr5	105738877	105738887	+	0.000	0.000	Merged-chr5-105738785-9
NR940--MA1104.1.GATA6	chr11	3142680	3142692	+	0.000	0.000	Merged-chr11-3142857-101
NR3034--MA1104.1.GATA6	chr18	82692031	82692043	+	0.000	0.000	Merged-chr18-82691920-3
NR2482--MA0035.3.Gata1	chr16	43661708	43661718	-	0.000	0.000	Merged-chr16-43661789-37
NR413--MA0482.1.Gata4	chr1	170853677	170853687	-	0.000	0.000	Merged-chr1-170853758-47
NR1830--MA0037.3.GATA3	chr13	100201826	100201833	-	0.000	0.000	Merged-chr13-100202015-43
NR129--MA0037.3.GATA3	chr1	72244256	72244263	-	0.000	0.000	Merged-chr1-72244184-76
NR3139--MA0482.1.Gata4	chr19	32595538	32595548	-	0.000	0.000	Merged-chr19-32595781-33
NR1909--MA1104.1.GATA6	chr13	117216214	117216226	-	0.000	0.000	Merged-chr13-117216189-53
NR554--MA0036.3.GATA2	chr10	17550175	17550185	-	0.000	0.000	Merged-chr10-17550297-37
NR4560--MA0766.1.GATA5	chr5	64040709	64040716	-	0.000	0.000	Merged-chr5-64040859-39
NR6025--MA0036.3.GATA2	chr9	92217761	92217771	+	0.000	0.000	Merged-chr9-92217904-40
NR953--MA0037.3.GATA3	chr11	6568134	6568141	-	0.000	0.000	Merged-chr11-6568162-40
NR1821--MA0766.1.GATA5	chr13	95697072	95697079	-	0.000	0.000	Merged-chr13-95697036-46
NR3156--MA1104.1.GATA6	chr19	33081727	33081739	-	0.000	0.000	Merged-chr19-33081699-35
NR4029--MA0037.3.GATA3	chr3	138334462	138334469	+	0.000	0.000	Merged-chr3-138334424-50
NR3129--MA0035.3.Gata1	chr19	29367424	29367434	-	0.000	0.000	Merged-chr19-29367376-49
NR416--MA0035.3.Gata1	chr1	170853678	170853688	-	0.000	0.000	Merged-chr1-170853758-47
NR2298--MA0036.3.GATA2	chr15	59010877	59010887	+	0.000	0.000	Merged-chr15-59010782-34
NR3090--MA0037.3.GATA3	chr19	8518520	8518527	-	0.000	0.000	Merged-chr19-8518636-102
NR3086--MA0482.1.Gata4	chr19	8019665	8019675	+	0.000	0.000	Merged-chr19-8019847-106
NR787--MA0482.1.Gata4	chr10	93985593	93985603	+	0.000	0.000	Merged-chr10-93985650-27
NR4040--MA0036.3.GATA2	chr3	139024691	139024701	+	0.000	0.000	Merged-chr3-139024771-15
NR1062--MA0037.3.GATA3	chr11	70265525	70265532	-	0.000	0.000	Merged-chr11-70265494-15
NR1333--MA0037.3.GATA3	chr12	52504855	52504862	-	0.000	0.000	Merged-chr12-52504676-5
NR94--MA0037.3.GATA3	chr1	60990423	60990430	-	0.000	0.000	Merged-chr1-60990456-63
NR1237--MA1104.1.GATA6	chr11	121777184	121777196	-	0.000	0.000	Merged-chr11-121777303-26
