#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR15076--MA0740.1.KLF14	chr13	74522714	74522727	+	0.000	0.000	Merged-chr13-74522621-50
NR254--MA1107.1.KLF9	chr1	34479031	34479043	-	0.000	0.000	Merged-chr1-34479093-40
NR19838--MA0599.1.KLF5	chr15	75929912	75929921	-	0.000	0.000	Merged-chr15-75929724-50
NR23356--MA0599.1.KLF5	chr17	23592680	23592689	+	0.000	0.000	Merged-chr17-23592787-37
NR3506--MA0742.1.Klf12	chr1	180829980	180829994	+	0.000	0.000	Merged-chr1-180830009-39
NR34700--MA0599.1.KLF5	chr3	88831717	88831726	+	0.000	0.000	Merged-chr3-88831913-99
NR32865--MA0599.1.KLF5	chr2	166713838	166713847	-	0.000	0.000	Merged-chr2-166713802-88
NR56916--MA0742.1.Klf12	chr9	21033370	21033384	+	0.000	0.000	Merged-chr9-21033444-26
NR35575--MA0599.1.KLF5	chr3	116424064	116424073	+	0.000	0.000	Merged-chr3-116424067-206
NR14853--MA1107.1.KLF9	chr13	63238184	63238196	-	0.000	0.000	Merged-chr13-63238136-32
NR2720--MA0741.1.KLF16	chr1	156939647	156939657	-	0.000	0.000	Merged-chr1-156939534-147
NR34734--MA0741.1.KLF16	chr3	89349517	89349527	+	0.000	0.000	Merged-chr3-89349384-1
NR26733--MA0599.1.KLF5	chr18	70504203	70504212	-	0.000	0.000	Merged-chr18-70504272-31
NR45381--MA0741.1.KLF16	chr5	144190117	144190127	+	0.000	0.000	Merged-chr5-144190229-35
NR15850--MA0599.1.KLF5	chr13	107645825	107645834	+	0.000	0.000	Merged-chr13-107645790-84
NR53433--MA0493.1.Klf1	chr7	144915057	144915067	+	0.000	0.000	Merged-chr7-144915039-103
NR14396--MA0039.3.KLF4	chr13	49449522	49449532	-	0.000	0.000	Merged-chr13-49449603-25
NR12106--MA0599.1.KLF5	chr12	59012133	59012142	-	0.000	0.000	Merged-chr12-59012056-72
NR53353--MA0599.1.KLF5	chr7	143461036	143461045	+	0.000	0.000	Merged-chr7-143461111-46
NR53974--MA0741.1.KLF16	chr8	27174727	27174737	-	0.000	0.000	Merged-chr8-27174593-51
NR58884--MA0740.1.KLF14	chr9	99479395	99479408	+	0.000	0.000	Merged-chr9-99479335-46
NR58319--MA0599.1.KLF5	chr9	74905278	74905287	+	0.000	0.000	Merged-chr9-74905133-36
NR3226--MA0741.1.KLF16	chr1	171916125	171916135	+	0.000	0.000	Merged-chr1-171916002-44
NR56365--MA0741.1.KLF16	chr8	120532561	120532571	-	0.000	0.000	Merged-chr8-120532679-9
NR20025--MA0741.1.KLF16	chr15	78803044	78803054	+	0.000	0.000	Merged-chr15-78802818-50
NR27589--MA1107.1.KLF9	chr19	8252182	8252194	+	0.000	0.000	Merged-chr19-8252316-31
NR56269--MA0599.1.KLF5	chr8	119437080	119437089	+	0.000	0.000	Merged-chr8-119437136-21
NR15951--MA0741.1.KLF16	chr13	109809711	109809721	+	0.000	0.000	Merged-chr13-109809841-14
NR44850--MA1107.1.KLF9	chr5	136706904	136706916	+	0.000	0.000	Merged-chr5-136706981-22
NR45386--MA0599.1.KLF5	chr5	144254646	144254655	+	0.000	0.000	Merged-chr5-144254762-7
NR6484--MA0493.1.Klf1	chr10	95605269	95605279	-	0.000	0.000	Merged-chr10-95605167-17
NR48096--MA0599.1.KLF5	chr6	122486172	122486181	-	0.000	0.000	Merged-chr6-122486268-46
