#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR170--MA0508.2.PRDM1	chr10	53621701	53621710	+	0.000	0.000	Merged-chr10-53621711-12
NR1649--MA0508.2.PRDM1	chr9	53773766	53773775	+	0.000	0.000	Merged-chr9-53773717-9
NR15--MA0508.2.PRDM1	chr1	36296806	36296815	-	0.000	0.000	Merged-chr1-36296864-54
NR550--MA0508.2.PRDM1	chr14	101640577	101640586	-	0.000	0.000	Merged-chr14-101640435-68
NR821--MA0508.2.PRDM1	chr19	29372000	29372009	-	0.000	0.000	Merged-chr19-29372024-45
NR202--MA0508.2.PRDM1	chr10	96118272	96118281	-	0.000	0.000	Merged-chr10-96118246-10
NR1487--MA0508.2.PRDM1	chr7	110204289	110204298	+	0.000	0.000	Merged-chr7-110204373-3
NR454--MA0508.2.PRDM1	chr13	91484447	91484456	-	0.000	0.000	Merged-chr13-91484361-55
NR725--MA0508.2.PRDM1	chr17	50580594	50580603	-	0.000	0.000	Merged-chr17-50580565-35
NR311--MA0508.2.PRDM1	chr11	111792091	111792100	+	0.000	0.000	Merged-chr11-111792002-31
NR1201--MA0508.2.PRDM1	chr4	135203294	135203303	+	0.000	0.000	Merged-chr4-135203506-51
NR292--MA0508.2.PRDM1	chr11	100574826	100574835	+	0.000	0.000	Merged-chr11-100574858-115
NR563--MA0508.2.PRDM1	chr15	5250328	5250337	+	0.000	0.000	Merged-chr15-5250378-18
NR1182--MA0508.2.PRDM1	chr4	117202655	117202664	-	0.000	0.000	Merged-chr4-117202479-67
NR1453--MA0508.2.PRDM1	chr7	49088529	49088538	+	0.000	0.000	Merged-chr7-49088536-6
NR1105--MA0508.2.PRDM1	chr3	149410713	149410722	-	0.000	0.000	Merged-chr3-149410577-18
NR672--MA0508.2.PRDM1	chr16	78532151	78532160	-	0.000	0.000	Merged-chr16-78532286-51
NR1357--MA0508.2.PRDM1	chr6	87447332	87447341	+	0.000	0.000	Merged-chr6-87447444-55
NR781--MA0508.2.PRDM1	chr18	65395858	65395867	-	0.000	0.000	Merged-chr18-65395765-31
NR1195--MA0508.2.PRDM1	chr4	129525617	129525626	-	0.000	0.000	Merged-chr4-129525565-21
NR1466--MA0508.2.PRDM1	chr7	78724766	78724775	+	0.000	0.000	Merged-chr7-78724772-25
NR433--MA0508.2.PRDM1	chr13	55199709	55199718	-	0.000	0.000	Merged-chr13-55199787-10
NR956--MA0508.2.PRDM1	chr2	119477616	119477625	+	0.000	0.000	Merged-chr2-119477609-138
NR1099--MA0508.2.PRDM1	chr3	146156435	146156444	-	0.000	0.000	Merged-chr3-146156447-31
NR380--MA0508.2.PRDM1	chr12	112823444	112823453	-	0.000	0.000	Merged-chr12-112823453-38
NR412--MA0508.2.PRDM1	chr13	16341022	16341031	+	0.000	0.000	Merged-chr13-16341023-40
NR1349--MA0508.2.PRDM1	chr6	82775583	82775592	+	0.000	0.000	Merged-chr6-82775550-35
NR250--MA0508.2.PRDM1	chr11	23770265	23770274	+	0.000	0.000	Merged-chr11-23770301-1
NR1206--MA0508.2.PRDM1	chr4	139616926	139616935	+	0.000	0.000	Merged-chr4-139616773-45
NR1187--MA0508.2.PRDM1	chr4	127021123	127021132	+	0.000	0.000	Merged-chr4-127021266-22
NR882--MA0508.2.PRDM1	chr2	29054435	29054444	+	0.000	0.000	Merged-chr2-29054435-74
NR948--MA0508.2.PRDM1	chr2	113905030	113905039	-	0.000	0.000	Merged-chr2-113905137-3
NR534--MA0508.2.PRDM1	chr14	72778183	72778192	+	0.000	0.000	Merged-chr14-72778135-45
NR1219--MA0508.2.PRDM1	chr4	155095399	155095408	+	0.000	0.000	Merged-chr4-155095407-34
NR991--MA0508.2.PRDM1	chr2	157567337	157567346	-	0.000	0.000	Merged-chr2-157567456-9
