#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR38965--MA0741.1.KLF16	chr4	138464003	138464013	-	0.000	0.000	Merged-chr4-138464044-32
NR31529--MA0599.1.KLF5	chr2	146062539	146062548	+	0.000	0.000	Merged-chr2-146062523-26
NR20439--MA0741.1.KLF16	chr16	14159326	14159336	+	0.000	0.000	Merged-chr16-14159517-83
NR14186--MA1107.1.KLF9	chr13	55513542	55513554	+	0.000	0.000	Merged-chr13-55513377-73
NR54088--MA1107.1.KLF9	chr8	123041158	123041170	+	0.000	0.000	Merged-chr8-123041052-34
NR8892--MA0742.1.Klf12	chr11	75510738	75510752	-	0.000	0.000	Merged-chr11-75510662-56
NR31868--MA1107.1.KLF9	chr2	155538440	155538452	-	0.000	0.000	Merged-chr2-155538559-34
NR55155--MA0039.3.KLF4	chr9	53344748	53344758	+	0.000	0.000	Merged-chr9-53344730-22
NR10134--MA0740.1.KLF14	chr11	106536355	106536368	+	0.000	0.000	Merged-chr11-106536245-61
NR31086--MA0741.1.KLF16	chr2	129297422	129297432	-	0.000	0.000	Merged-chr2-129297355-75
NR40280--MA1107.1.KLF9	chr5	32863565	32863577	+	0.000	0.000	Merged-chr5-32863681-45
NR49883--MA0741.1.KLF16	chr7	101555584	101555594	+	0.000	0.000	Merged-chr7-101555691-65
NR12473--MA0599.1.KLF5	chr12	100890819	100890828	-	0.000	0.000	Merged-chr12-100890798-28
NR14729--MA0599.1.KLF5	chr13	89540584	89540593	+	0.000	0.000	Merged-chr13-89540544-3
NR18756--MA0741.1.KLF16	chr15	73716728	73716738	+	0.000	0.000	Merged-chr15-73716639-32
NR24772--MA0493.1.Klf1	chr17	88511411	88511421	-	0.000	0.000	Merged-chr17-88511397-31
NR38365--MA0493.1.Klf1	chr4	131696256	131696266	+	0.000	0.000	Merged-chr4-131696229-22
NR29738--MA0493.1.Klf1	chr2	69861571	69861581	+	0.000	0.000	Merged-chr2-69861596-109
NR9408--MA0741.1.KLF16	chr11	93995358	93995368	+	0.000	0.000	Merged-chr11-93995310-5
NR26190--MA1107.1.KLF9	chr18	77870170	77870182	-	0.000	0.000	Merged-chr18-77870219-23
NR24461--MA0741.1.KLF16	chr17	83646880	83646890	+	0.000	0.000	Merged-chr17-83646891-48
NR2097--MA0740.1.KLF14	chr1	135766474	135766487	-	0.000	0.000	Merged-chr1-135766283-55
NR48838--MA1107.1.KLF9	chr7	45771257	45771269	+	0.000	0.000	Merged-chr7-45771241-24
NR15850--MA0599.1.KLF5	chr14	25547514	25547523	+	0.000	0.000	Merged-chr14-25547381-29
NR40292--MA0740.1.KLF14	chr5	33652100	33652113	-	0.000	0.000	Merged-chr5-33652283-110
NR51598--MA0493.1.Klf1	chr8	14888961	14888971	-	0.000	0.000	Merged-chr8-14888762-80
NR590--MA0741.1.KLF16	chr1	52597912	52597922	-	0.000	0.000	Merged-chr1-52598024-25
NR37591--MA0742.1.Klf12	chr4	107223849	107223863	+	0.000	0.000	Merged-chr4-107223959-21
NR32307--MA0740.1.KLF14	chr2	166996325	166996338	+	0.000	0.000	Merged-chr2-166996120-88
NR53974--MA0741.1.KLF16	chr8	121898640	121898650	-	0.000	0.000	Merged-chr8-121898554-47
NR47099--MA1107.1.KLF9	chr6	142556308	142556320	+	0.000	0.000	Merged-chr6-142556330-1
NR2358--MA0599.1.KLF5	chr1	151500871	151500880	-	0.000	0.000	Merged-chr1-151500785-93
NR25238--MA0741.1.KLF16	chr18	36122293	36122303	-	0.000	0.000	Merged-chr18-36122395-19
NR37283--MA0039.3.KLF4	chr4	89486123	89486133	-	0.000	0.000	Merged-chr4-89486149-23
NR48109--MA0741.1.KLF16	chr7	27258728	27258738	-	0.000	0.000	Merged-chr7-27258672-61
NR41270--MA0657.1.KLF13	chr5	92137815	92137832	-	0.000	0.000	Merged-chr5-92137969-78
NR48229--MA0657.1.KLF13	chr7	28169669	28169686	-	0.000	0.000	Merged-chr7-28169858-100
NR5192--MA1107.1.KLF9	chr10	76468903	76468915	+	0.000	0.000	Merged-chr10-76468895-48
NR54895--MA0599.1.KLF5	chr9	44234213	44234222	-	0.000	0.000	Merged-chr9-44233913-107
NR31214--MA0741.1.KLF16	chr2	132512644	132512654	-	0.000	0.000	Merged-chr2-132512511-69
NR31063--MA0657.1.KLF13	chr2	128470702	128470719	-	0.000	0.000	Merged-chr2-128470524-44
NR21007--MA0741.1.KLF16	chr16	44139819	44139829	-	0.000	0.000	Merged-chr16-44139735-217
NR54551--MA0742.1.Klf12	chr9	21196259	21196273	-	0.000	0.000	Merged-chr9-21196368-25
NR2972--MA0741.1.KLF16	chr1	167339595	167339605	-	0.000	0.000	Merged-chr1-167339598-12
NR20891--MA1107.1.KLF9	chr16	36598412	36598424	+	0.000	0.000	Merged-chr16-36598490-46
NR48763--MA0599.1.KLF5	chr7	45134838	45134847	+	0.000	0.000	Merged-chr7-45134762-18
NR4718--MA0741.1.KLF16	chr10	57795593	57795603	+	0.000	0.000	Merged-chr10-57795499-52
NR48077--MA1107.1.KLF9	chr7	25780089	25780101	+	0.000	0.000	Merged-chr7-25780138-19
NR44717--MA0740.1.KLF14	chr6	51468981	51468994	+	0.000	0.000	Merged-chr6-51469181-7
NR22932--MA1107.1.KLF9	chr17	29193473	29193485	+	0.000	0.000	Merged-chr17-29193494-23
NR14777--MA0741.1.KLF16	chr13	92354667	92354677	+	0.000	0.000	Merged-chr13-92354723-122
NR55511--MA0741.1.KLF16	chr9	65435757	65435767	+	0.000	0.000	Merged-chr9-65435912-41
NR52209--MA0493.1.Klf1	chr8	54509317	54509327	-	0.000	0.000	Merged-chr8-54509417-49
NR28219--MA0599.1.KLF5	chr2	4559559	4559568	+	0.000	0.000	Merged-chr2-4559721-92
NR8740--MA0741.1.KLF16	chr11	70970138	70970148	-	0.000	0.000	Merged-chr11-70970318-94
NR242--MA0741.1.KLF16	chr1	35813740	35813750	+	0.000	0.000	Merged-chr1-35813885-25
NR12794--MA0740.1.KLF14	chr12	108179332	108179345	+	0.000	0.000	Merged-chr12-108179271-107
NR30443--MA0493.1.Klf1	chr2	103658762	103658772	-	0.000	0.000	Merged-chr2-103658723-12
NR19510--MA1107.1.KLF9	chr15	86067525	86067537	-	0.000	0.000	Merged-chr15-86067664-48
NR23449--MA1107.1.KLF9	chr17	45119802	45119814	+	0.000	0.000	Merged-chr17-45119999-67
NR40710--MA1107.1.KLF9	chr5	64651650	64651662	-	0.000	0.000	Merged-chr5-64651532-36
NR50825--MA0039.3.KLF4	chr7	132805234	132805244	+	0.000	0.000	Merged-chr7-132805097-15
NR38119--MA0493.1.Klf1	chr4	125123054	125123064	+	0.000	0.000	Merged-chr4-125123148-48
NR9762--MA1107.1.KLF9	chr11	98942402	98942414	-	0.000	0.000	Merged-chr11-98942196-71
NR8806--MA0741.1.KLF16	chr11	72963735	72963745	-	0.000	0.000	Merged-chr11-72963811-9
NR15332--MA0741.1.KLF16	chr13	111634786	111634796	+	0.000	0.000	Merged-chr13-111634662-22
NR54509--MA1107.1.KLF9	chr9	20765568	20765580	-	0.000	0.000	Merged-chr9-20765445-35
NR12487--MA0742.1.Klf12	chr12	101018070	101018084	+	0.000	0.000	Merged-chr12-101018139-51
NR47691--MA0599.1.KLF5	chr7	16400164	16400173	+	0.000	0.000	Merged-chr7-16400156-149
NR13563--MA0599.1.KLF5	chr13	24416091	24416100	+	0.000	0.000	Merged-chr13-24416141-118
NR31737--MA0741.1.KLF16	chr2	152414545	152414555	+	0.000	0.000	Merged-chr2-152414651-66
NR31910--MA0740.1.KLF14	chr2	156065654	156065667	-	0.000	0.000	Merged-chr2-156065530-64
NR1934--MA1107.1.KLF9	chr1	132342004	132342016	-	0.000	0.000	Merged-chr1-132341932-46
NR55506--MA0599.1.KLF5	chr9	65294245	65294254	-	0.000	0.000	Merged-chr9-65294356-65
NR38163--MA1107.1.KLF9	chr4	126753432	126753444	+	0.000	0.000	Merged-chr4-126753517-82
NR291--MA0599.1.KLF5	chr1	36760516	36760525	+	0.000	0.000	Merged-chr1-36760615-22
NR47333--MA0599.1.KLF5	chr6	146642477	146642486	+	0.000	0.000	Merged-chr6-146642604-68
NR57567--MA0740.1.KLF14	chrX	8132567	8132580	+	0.000	0.000	Merged-chrX-8132452-84
NR52928--MA0741.1.KLF16	chr8	84067371	84067381	-	0.000	0.000	Merged-chr8-84067412-4
NR23659--MA0039.3.KLF4	chr17	47683038	47683048	-	0.000	0.000	Merged-chr17-47682839-51
NR52523--MA0742.1.Klf12	chr8	70619130	70619144	+	0.000	0.000	Merged-chr8-70619084-21
NR22685--MA0741.1.KLF16	chr17	25913670	25913680	+	0.000	0.000	Merged-chr17-25913616-30
NR12478--MA0741.1.KLF16	chr12	100901171	100901181	+	0.000	0.000	Merged-chr12-100901378-37
NR34042--MA0599.1.KLF5	chr3	95223145	95223154	+	0.000	0.000	Merged-chr3-95223190-16
NR50638--MA0742.1.Klf12	chr7	127842619	127842633	-	0.000	0.000	Merged-chr7-127842472-24
NR9893--MA0599.1.KLF5	chr11	101984798	101984807	-	0.000	0.000	Merged-chr11-101984579-31
NR15855--MA0741.1.KLF16	chr14	25547514	25547524	+	0.000	0.000	Merged-chr14-25547381-29
NR4490--MA0741.1.KLF16	chr10	40171488	40171498	-	0.000	0.000	Merged-chr10-40171372-15
NR12419--MA0493.1.Klf1	chr12	99642764	99642774	+	0.000	0.000	Merged-chr12-99642640-25
NR9615--MA0493.1.Klf1	chr11	97362381	97362391	+	0.000	0.000	Merged-chr11-97362524-68
NR4761--MA0741.1.KLF16	chr10	59702495	59702505	+	0.000	0.000	Merged-chr10-59702548-66
NR44148--MA0493.1.Klf1	chr6	22424331	22424341	+	0.000	0.000	Merged-chr6-22424289-78
