#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR3036--MA0002.2.RUNX1	chr14	64487042	64487052	+	0.000	0.000	Merged-chr14-64487000-12
NR5272--MA0511.2.RUNX2	chr2	18524637	18524645	-	0.000	0.000	Merged-chr2-18524516-29
NR3863--MA0511.2.RUNX2	chr16	50632866	50632874	+	0.000	0.000	Merged-chr16-50633027-57
NR3436--MA0684.1.RUNX3	chr15	67235368	67235377	+	0.000	0.000	Merged-chr15-67235240-23
NR5239--MA0002.2.RUNX1	chr2	9607878	9607888	-	0.000	0.000	Merged-chr2-9607843-12
NR1879--MA0002.2.RUNX1	chr11	120139527	120139537	-	0.000	0.000	Merged-chr11-120139538-29
NR7524--MA0684.1.RUNX3	chr5	107525197	107525206	-	0.000	0.000	Merged-chr5-107525104-2
NR1835--MA0511.2.RUNX2	chr11	115589156	115589164	+	0.000	0.000	Merged-chr11-115589146-15
NR5696--MA0002.2.RUNX1	chr2	125122857	125122867	+	0.000	0.000	Merged-chr2-125123159-105
NR9678--MA0511.2.RUNX2	chr9	61225167	61225175	+	0.000	0.000	Merged-chr9-61225287-14
NR7332--MA0511.2.RUNX2	chr5	72212855	72212863	-	0.000	0.000	Merged-chr5-72212800-19
NR9390--MA0684.1.RUNX3	chr8	116638145	116638154	+	0.000	0.000	Merged-chr8-116638207-51
NR7998--MA0511.2.RUNX2	chr6	86850881	86850889	-	0.000	0.000	Merged-chr6-86850884-40
NR1194--MA0002.2.RUNX1	chr10	117293749	117293759	+	0.000	0.000	Merged-chr10-117293824-9
NR9932--MA0684.1.RUNX3	chr9	108154970	108154979	-	0.000	0.000	Merged-chr9-108154914-20
NR6522--MA0002.2.RUNX1	chr3	146758209	146758219	-	0.000	0.000	Merged-chr3-146758289-47
NR9784--MA0002.2.RUNX1	chr9	78641548	78641558	+	0.000	0.000	Merged-chr9-78641526-12
NR1150--MA0511.2.RUNX2	chr10	98776540	98776548	+	0.000	0.000	Merged-chr10-98776574-38
NR5077--MA0002.2.RUNX1	chr19	41330220	41330230	-	0.000	0.000	Merged-chr19-41330336-17
NR10071--MA0684.1.RUNX3	chr9	123498109	123498118	-	0.000	0.000	Merged-chr9-123498117-30
NR5348--MA0002.2.RUNX1	chr2	36220299	36220309	+	0.000	0.000	Merged-chr2-36220233-13
NR1594--MA0684.1.RUNX3	chr11	78780187	78780196	+	0.000	0.000	Merged-chr11-78780322-31
NR3002--MA0002.2.RUNX1	chr14	57772732	57772742	-	0.000	0.000	Merged-chr14-57772608-51
NR7362--MA0684.1.RUNX3	chr5	77252315	77252324	+	0.000	0.000	Merged-chr5-77252339-67
NR83--MA0002.2.RUNX1	chr1	39986364	39986374	-	0.000	0.000	Merged-chr1-39986417-3
NR5748--MA0684.1.RUNX3	chr2	130555013	130555022	-	0.000	0.000	Merged-chr2-130555023-33
NR6459--MA0684.1.RUNX3	chr3	137800415	137800424	+	0.000	0.000	Merged-chr3-137800561-20
NR3525--MA0002.2.RUNX1	chr15	85468851	85468861	+	0.000	0.000	Merged-chr15-85469002-5
NR4680--MA0002.2.RUNX1	chr18	39611785	39611795	+	0.000	0.000	Merged-chr18-39611882-25
NR8218--MA0511.2.RUNX2	chr6	127434327	127434335	-	0.000	0.000	Merged-chr6-127434285-47
NR1325--MA0511.2.RUNX2	chr11	11521959	11521967	-	0.000	0.000	Merged-chr11-11522120-49
NR5457--MA0002.2.RUNX1	chr2	66127275	66127285	-	0.000	0.000	Merged-chr2-66127129-8
NR1498--MA0684.1.RUNX3	chr11	57805278	57805287	+	0.000	0.000	Merged-chr11-57805317-26
NR7266--MA0684.1.RUNX3	chr5	38274154	38274163	+	0.000	0.000	Merged-chr5-38274062-24
NR7537--MA0684.1.RUNX3	chr5	110284119	110284128	+	0.000	0.000	Merged-chr5-110284039-11
NR7594--MA0002.2.RUNX1	chr5	118271940	118271950	+	0.000	0.000	Merged-chr5-118271976-24
NR5586--MA0684.1.RUNX3	chr2	91042847	91042856	+	0.000	0.000	Merged-chr2-91042928-59
NR5857--MA0684.1.RUNX3	chr2	155553338	155553347	+	0.000	0.000	Merged-chr2-155553198-41
NR941--MA0684.1.RUNX3	chr10	60370955	60370964	-	0.000	0.000	Merged-chr10-60370964-39
NR5043--MA0002.2.RUNX1	chr19	32988774	32988784	+	0.000	0.000	Merged-chr19-32988872-27
NR3306--MA0684.1.RUNX3	chr15	34389221	34389230	-	0.000	0.000	Merged-chr15-34389092-27
NR7821--MA0511.2.RUNX2	chr6	34277855	34277863	+	0.000	0.000	Merged-chr6-34277890-22
NR7345--MA0511.2.RUNX2	chr5	74285541	74285549	-	0.000	0.000	Merged-chr5-74285542-15
NR3429--MA0002.2.RUNX1	chr15	66755412	66755422	-	0.000	0.000	Merged-chr15-66755443-30
NR4017--MA0684.1.RUNX3	chr16	91793556	91793565	-	0.000	0.000	Merged-chr16-91793603-12
NR1749--MA0002.2.RUNX1	chr11	102930828	102930838	+	0.000	0.000	Merged-chr11-102930777-13
NR9797--MA0002.2.RUNX1	chr9	79919432	79919442	-	0.000	0.000	Merged-chr9-79919473-56
NR9482--MA0511.2.RUNX2	chr8	126420988	126420996	-	0.000	0.000	Merged-chr8-126420997-20
NR5295--MA0002.2.RUNX1	chr2	25620564	25620574	+	0.000	0.000	Merged-chr2-25620603-21
NR3829--MA0684.1.RUNX3	chr16	44727664	44727673	-	0.000	0.000	Merged-chr16-44727692-16
NR1212--MA0684.1.RUNX3	chr10	118407016	118407025	+	0.000	0.000	Merged-chr10-118407091-36
NR2860--MA0511.2.RUNX2	chr14	14088430	14088438	+	0.000	0.000	Merged-chr14-14088309-59
NR8943--MA0002.2.RUNX1	chr7	137476758	137476768	+	0.000	0.000	Merged-chr7-137476773-22
NR716--MA0002.2.RUNX1	chr1	193303653	193303663	+	0.000	0.000	Merged-chr1-193303652-18
NR1606--MA0002.2.RUNX1	chr11	79130083	79130093	-	0.000	0.000	Merged-chr11-79129992-68
NR9449--MA0002.2.RUNX1	chr8	123032959	123032969	-	0.000	0.000	Merged-chr8-123033029-47
NR3908--MA0511.2.RUNX2	chr16	58718951	58718959	-	0.000	0.000	Merged-chr16-58718786-22
NR1957--MA0511.2.RUNX2	chr12	33129764	33129772	-	0.000	0.000	Merged-chr12-33129599-30
NR5218--MA0002.2.RUNX1	chr2	3718084	3718094	-	0.000	0.000	Merged-chr2-3718014-59
NR697--MA0002.2.RUNX1	chr1	191119057	191119067	+	0.000	0.000	Merged-chr1-191119060-9
NR968--MA0002.2.RUNX1	chr10	67582048	67582058	-	0.000	0.000	Merged-chr10-67582122-21
NR9035--MA0002.2.RUNX1	chr8	22728940	22728950	-	0.000	0.000	Merged-chr8-22728865-15
NR9306--MA0002.2.RUNX1	chr8	106821447	106821457	+	0.000	0.000	Merged-chr8-106821433-20
NR5552--MA0684.1.RUNX3	chr2	80684883	80684892	+	0.000	0.000	Merged-chr2-80684823-58
NR5076--MA0684.1.RUNX3	chr19	40818922	40818931	+	0.000	0.000	Merged-chr19-40819012-30
NR9862--MA0511.2.RUNX2	chr9	94441585	94441593	+	0.000	0.000	Merged-chr9-94441414-62
NR1050--MA0684.1.RUNX3	chr10	85352753	85352762	-	0.000	0.000	Merged-chr10-85352707-44
NR1173--MA0002.2.RUNX1	chr10	111031628	111031638	-	0.000	0.000	Merged-chr10-111031729-43
NR9558--MA0002.2.RUNX1	chr9	27003959	27003969	+	0.000	0.000	Merged-chr9-27003840-22
NR2665--MA0002.2.RUNX1	chr13	89418967	89418977	-	0.000	0.000	Merged-chr13-89418895-21
NR2936--MA0002.2.RUNX1	chr14	36726319	36726329	+	0.000	0.000	Merged-chr14-36726349-9
NR5327--MA0002.2.RUNX1	chr2	31130809	31130819	+	0.000	0.000	Merged-chr2-31130782-4
NR7563--MA0511.2.RUNX2	chr5	114041829	114041837	+	0.000	0.000	Merged-chr5-114041714-24
NR411--MA0002.2.RUNX1	chr1	134473338	134473348	-	0.000	0.000	Merged-chr1-134473303-4
NR6901--MA0684.1.RUNX3	chr4	119897309	119897318	-	0.000	0.000	Merged-chr4-119897419-50
NR3647--MA0002.2.RUNX1	chr16	3988470	3988480	+	0.000	0.000	Merged-chr16-3988637-25
NR8704--MA0002.2.RUNX1	chr7	98090400	98090410	-	0.000	0.000	Merged-chr7-98090470-13
NR6482--MA0002.2.RUNX1	chr3	142674813	142674823	+	0.000	0.000	Merged-chr3-142674758-15
NR2079--MA0684.1.RUNX3	chr12	79558911	79558920	-	0.000	0.000	Merged-chr12-79559049-5
NR9144--MA0002.2.RUNX1	chr8	66497233	66497243	-	0.000	0.000	Merged-chr8-66497339-52
NR811--MA0684.1.RUNX3	chr10	22296027	22296036	+	0.000	0.000	Merged-chr10-22296009-12
NR4109--MA0511.2.RUNX2	chr17	6835226	6835234	-	0.000	0.000	Merged-chr17-6835385-15
NR7420--MA0511.2.RUNX2	chr5	97946435	97946443	+	0.000	0.000	Merged-chr5-97946420-40
NR3855--MA0511.2.RUNX2	chr16	49951991	49951999	+	0.000	0.000	Merged-chr16-49952137-20
NR2922--MA0684.1.RUNX3	chr14	30675111	30675120	+	0.000	0.000	Merged-chr14-30675172-26
NR3091--MA0684.1.RUNX3	chr14	75045425	75045434	+	0.000	0.000	Merged-chr14-75045381-29
NR3362--MA0684.1.RUNX3	chr15	41846725	41846734	-	0.000	0.000	Merged-chr15-41846585-48
NR8099--MA0684.1.RUNX3	chr6	108341015	108341024	-	0.000	0.000	Merged-chr6-108341032-57
NR9623--MA0511.2.RUNX2	chr9	48404003	48404011	+	0.000	0.000	Merged-chr9-48403880-28
NR3485--MA0002.2.RUNX1	chr15	78594879	78594889	+	0.000	0.000	Merged-chr15-78594936-43
NR7196--MA0511.2.RUNX2	chr5	20942630	20942638	-	0.000	0.000	Merged-chr5-20942646-25
NR1477--MA0684.1.RUNX3	chr11	54240074	54240083	+	0.000	0.000	Merged-chr11-54240142-13
NR9130--MA0684.1.RUNX3	chr8	61451114	61451123	-	0.000	0.000	Merged-chr8-61451013-86
NR315--MA0002.2.RUNX1	chr1	95655728	95655738	+	0.000	0.000	Merged-chr1-95655731-50
NR9796--MA0684.1.RUNX3	chr9	79810696	79810705	+	0.000	0.000	Merged-chr9-79810670-36
NR9401--MA0684.1.RUNX3	chr8	117855345	117855354	-	0.000	0.000	Merged-chr8-117855395-3
NR5121--MA0511.2.RUNX2	chr19	53318248	53318256	-	0.000	0.000	Merged-chr19-53318391-14
NR9875--MA0511.2.RUNX2	chr9	96754350	96754358	-	0.000	0.000	Merged-chr9-96754558-43
NR2982--MA0511.2.RUNX2	chr14	54138478	54138486	-	0.000	0.000	Merged-chr14-54138460-21
NR3408--MA0002.2.RUNX1	chr15	61983414	61983424	+	0.000	0.000	Merged-chr15-61983458-31
NR2760--MA0684.1.RUNX3	chr13	107897467	107897476	+	0.000	0.000	Merged-chr13-107897363-37
NR9110--MA0002.2.RUNX1	chr8	47690777	47690787	-	0.000	0.000	Merged-chr8-47690895-15
