#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR2801--MA0035.3.Gata1	chr19	8518519	8518529	+	0.000	0.000	Merged-chr19-8518636-102
NR2301--MA0482.1.Gata4	chr16	94236909	94236919	+	0.000	0.000	Merged-chr16-94237010-44
NR4433--MA0140.2.GATA1::TAL1	chr6	11907632	11907649	-	0.000	0.000	Merged-chr6-11907677-80
NR5239--MA0035.3.Gata1	chr8	34164659	34164669	+	0.000	0.000	Merged-chr8-34164566-26
NR965--MA0482.1.Gata4	chr11	76599251	76599261	-	0.000	0.000	Merged-chr11-76599172-10
NR2072--MA0766.1.GATA5	chr15	96543516	96543523	+	0.000	0.000	Merged-chr15-96543525-72
NR1829--MA1104.1.GATA6	chr14	71269515	71269527	-	0.000	0.000	Merged-chr14-71269621-12
NR1169--MA0766.1.GATA5	chr12	32183055	32183062	-	0.000	0.000	Merged-chr12-32183013-17
NR5247--MA0036.3.GATA2	chr8	36130498	36130508	-	0.000	0.000	Merged-chr8-36130475-35
NR4865--MA0482.1.Gata4	chr7	27933591	27933601	-	0.000	0.000	Merged-chr7-27933719-74
NR4974--MA0482.1.Gata4	chr7	89171936	89171946	-	0.000	0.000	Merged-chr7-89172043-28
NR3067--MA0766.1.GATA5	chr2	60328750	60328757	-	0.000	0.000	Merged-chr2-60328757-33
NR2304--MA0035.3.Gata1	chr16	94236908	94236918	+	0.000	0.000	Merged-chr16-94237010-44
NR472--MA1104.1.GATA6	chr10	40713351	40713363	+	0.000	0.000	Merged-chr10-40713251-44
NR2880--MA0482.1.Gata4	chr19	32465412	32465422	+	0.000	0.000	Merged-chr19-32465460-36
NR4170--MA0035.3.Gata1	chr5	28315805	28315815	-	0.000	0.000	Merged-chr5-28315754-44
NR3657--MA0482.1.Gata4	chr3	133332579	133332589	+	0.000	0.000	Merged-chr3-133332565-72
NR4416--MA0766.1.GATA5	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR19--MA0035.3.Gata1	chr1	13574274	13574284	-	0.000	0.000	Merged-chr1-13574247-18
NR1358--MA0482.1.Gata4	chr13	5769690	5769700	-	0.000	0.000	Merged-chr13-5769839-23
NR1537--MA1104.1.GATA6	chr13	101702249	101702261	+	0.000	0.000	Merged-chr13-101702260-81
NR2784--MA0482.1.Gata4	chr19	6015318	6015328	+	0.000	0.000	Merged-chr19-6015500-73
NR529--MA0766.1.GATA5	chr10	60305449	60305456	+	0.000	0.000	Merged-chr10-60305430-32
NR3822--MA0140.2.GATA1::TAL1	chr4	32425219	32425236	-	0.000	0.000	Merged-chr4-32425258-22
NR4500--MA1104.1.GATA6	chr6	41118792	41118804	+	0.000	0.000	Merged-chr6-41118606-52
NR4868--MA0035.3.Gata1	chr7	27933592	27933602	-	0.000	0.000	Merged-chr7-27933719-74
NR4111--MA0766.1.GATA5	chr4	156022069	156022076	-	0.000	0.000	Merged-chr4-156022073-120
NR4349--MA0140.2.GATA1::TAL1	chr5	124954989	124955006	-	0.000	0.000	Merged-chr5-124955042-61
NR4844--MA0482.1.Gata4	chr7	19940424	19940434	-	0.000	0.000	Merged-chr7-19940222-74
NR1994--MA0037.3.GATA3	chr15	59010878	59010885	-	0.000	0.000	Merged-chr15-59010782-34
NR5463--MA1104.1.GATA6	chr9	13195296	13195308	+	0.000	0.000	Merged-chr9-13195404-8
NR2749--MA0766.1.GATA5	chr18	79353031	79353038	+	0.000	0.000	Merged-chr18-79353064-26
NR4977--MA0035.3.Gata1	chr7	89171937	89171947	-	0.000	0.000	Merged-chr7-89172043-28
NR5586--MA0140.2.GATA1::TAL1	chr9	61666292	61666309	+	0.000	0.000	Merged-chr9-61666327-39
NR4563--MA0035.3.Gata1	chr6	71980504	71980514	-	0.000	0.000	Merged-chr6-71980569-75
NR5459--MA0482.1.Gata4	chr9	11397026	11397036	+	0.000	0.000	Merged-chr9-11397041-28
NR2012--MA0035.3.Gata1	chr15	62779102	62779112	+	0.000	0.000	Merged-chr15-62779143-25
NR2802--MA0140.2.GATA1::TAL1	chr19	8518521	8518538	+	0.000	0.000	Merged-chr19-8518636-102
NR4952--MA0140.2.GATA1::TAL1	chr7	74527818	74527835	+	0.000	0.000	Merged-chr7-74527841-31
NR4791--MA0482.1.Gata4	chr6	144927495	144927505	-	0.000	0.000	Merged-chr6-144927646-14
