#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR189--MA0731.1.BCL6B	chr10	68908444	68908460	-	0.000	0.000	Merged-chr10-68908384-20
NR806--MA0463.1.Bcl6	chr18	84355411	84355424	-	0.000	0.000	Merged-chr18-84355361-12
NR1380--MA0731.1.BCL6B	chr6	70103457	70103473	-	0.000	0.000	Merged-chr6-70103466-27
NR631--MA0731.1.BCL6B	chr16	10814859	10814875	+	0.000	0.000	Merged-chr16-10814720-1
NR860--MA0463.1.Bcl6	chr2	6322838	6322851	+	0.000	0.000	Merged-chr2-6322787-80
NR1506--MA0463.1.Bcl6	chr7	97696750	97696763	+	0.000	0.000	Merged-chr7-97696718-62
NR726--MA0463.1.Bcl6	chr17	52461996	52462009	-	0.000	0.000	Merged-chr17-52461953-32
NR990--MA0463.1.Bcl6	chr2	160397643	160397656	+	0.000	0.000	Merged-chr2-160397546-3
NR1500--MA0731.1.BCL6B	chr7	92165372	92165388	-	0.000	0.000	Merged-chr7-92165181-43
NR56--MA0731.1.BCL6B	chr1	130548084	130548100	+	0.000	0.000	Merged-chr1-130548205-41
NR591--MA0731.1.BCL6B	chr15	59541235	59541251	-	0.000	0.000	Merged-chr15-59541132-33
NR22--MA0731.1.BCL6B	chr1	75142361	75142377	+	0.000	0.000	Merged-chr1-75142250-107
NR1099--MA0463.1.Bcl6	chr3	137955595	137955608	+	0.000	0.000	Merged-chr3-137955835-60
NR1003--MA0731.1.BCL6B	chr2	170400877	170400893	-	0.000	0.000	Merged-chr2-170400933-1
NR664--MA0463.1.Bcl6	chr16	57398853	57398866	+	0.000	0.000	Merged-chr16-57398780-28
NR1565--MA0463.1.Bcl6	chr8	18936413	18936426	-	0.000	0.000	Merged-chr8-18936505-32
NR1330--MA0731.1.BCL6B	chr5	143567794	143567810	-	0.000	0.000	Merged-chr5-143567933-15
NR1462--MA0463.1.Bcl6	chr7	12880948	12880961	-	0.000	0.000	Merged-chr7-12881125-51
NR1104--MA0463.1.Bcl6	chr3	142443491	142443504	+	0.000	0.000	Merged-chr3-142443450-35
NR1010--MA0463.1.Bcl6	chr3	10682195	10682208	+	0.000	0.000	Merged-chr3-10682149-13
NR436--MA0463.1.Bcl6	chr13	12473909	12473922	+	0.000	0.000	Merged-chr13-12473940-30
NR1695--MA0463.1.Bcl6	chr9	88273565	88273578	-	0.000	0.000	Merged-chr9-88273504-34
NR1122--MA0463.1.Bcl6	chr4	32160903	32160916	-	0.000	0.000	Merged-chr4-32160945-10
NR562--MA0731.1.BCL6B	chr14	103550684	103550700	+	0.000	0.000	Merged-chr14-103550672-31
NR1118--MA0463.1.Bcl6	chr4	6817584	6817597	+	0.000	0.000	Merged-chr4-6817535-45
NR481--MA0463.1.Bcl6	chr13	91093828	91093841	+	0.000	0.000	Merged-chr13-91094050-92
NR1597--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR1172--MA0463.1.Bcl6	chr4	101998738	101998751	-	0.000	0.000	Merged-chr4-101998677-38
NR392--MA0463.1.Bcl6	chr12	99407123	99407136	+	0.000	0.000	Merged-chr12-99407209-65
NR598--MA0463.1.Bcl6	chr15	75862282	75862295	+	0.000	0.000	Merged-chr15-75862360-44
NR1314--MA0731.1.BCL6B	chr5	122288737	122288753	-	0.000	0.000	Merged-chr5-122288620-47
NR1714--MA0463.1.Bcl6	chr9	110458198	110458211	+	0.000	0.000	Merged-chr9-110458141-15
NR947--MA0731.1.BCL6B	chr2	125735759	125735775	-	0.000	0.000	Merged-chr2-125735684-57
NR1611--MA0463.1.Bcl6	chr8	104591472	104591485	-	0.000	0.000	Merged-chr8-104591477-51
NR961--MA0463.1.Bcl6	chr2	132022887	132022900	+	0.000	0.000	Merged-chr2-132022814-33
NR798--MA0731.1.BCL6B	chr18	79258159	79258175	+	0.000	0.000	Merged-chr18-79258074-1
NR403--MA0731.1.BCL6B	chr12	104236110	104236126	-	0.000	0.000	Merged-chr12-104236095-61
NR1688--MA0731.1.BCL6B	chr9	79795439	79795455	-	0.000	0.000	Merged-chr9-79795304-37
NR54--MA0731.1.BCL6B	chr1	128615523	128615539	+	0.000	0.000	Merged-chr1-128615599-2
NR241--MA0731.1.BCL6B	chr10	117677622	117677638	-	0.000	0.000	Merged-chr10-117677545-62
NR827--MA0463.1.Bcl6	chr19	31199619	31199632	+	0.000	0.000	Merged-chr19-31199719-19
NR621--MA0731.1.BCL6B	chr15	96598894	96598910	-	0.000	0.000	Merged-chr15-96599090-44
NR1079--MA0463.1.Bcl6	chr3	126403102	126403115	-	0.000	0.000	Merged-chr3-126402941-43
NR886--MA0731.1.BCL6B	chr2	49764785	49764801	-	0.000	0.000	Merged-chr2-49764736-24
NR1518--MA0463.1.Bcl6	chr7	112095204	112095217	+	0.000	0.000	Merged-chr7-112095114-21
NR1428--MA0731.1.BCL6B	chr6	127446799	127446815	+	0.000	0.000	Merged-chr6-127446764-51
NR881--MA0463.1.Bcl6	chr2	38739662	38739675	-	0.000	0.000	Merged-chr2-38739625-29
NR635--MA0463.1.Bcl6	chr16	17508851	17508864	+	0.000	0.000	Merged-chr16-17508961-62
NR541--MA0463.1.Bcl6	chr14	60634739	60634752	+	0.000	0.000	Merged-chr14-60634625-83
NR408--MA0731.1.BCL6B	chr12	108634253	108634269	+	0.000	0.000	Merged-chr12-108634224-17
NR1554--MA0463.1.Bcl6	chr7	143707007	143707020	-	0.000	0.000	Merged-chr7-143706917-33
NR1279--MA0731.1.BCL6B	chr5	77285928	77285944	+	0.000	0.000	Merged-chr5-77285904-24
NR1460--MA0463.1.Bcl6	chr7	4149615	4149628	-	0.000	0.000	Merged-chr7-4149714-135
NR1666--MA0463.1.Bcl6	chr9	62344858	62344871	-	0.000	0.000	Merged-chr9-62344675-54
NR498--MA0731.1.BCL6B	chr13	109440339	109440355	-	0.000	0.000	Merged-chr13-109440485-3
NR519--MA0463.1.Bcl6	chr14	27229731	27229744	+	0.000	0.000	Merged-chr14-27229706-56
