#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR1938--MA0591.1.Bach1::Mafk	chr12	84218907	84218921	+	0.000	0.000	Merged-chr12-84218783-53
NR79--MA0501.1.MAF::NFE2	chr1	40315683	40315697	-	0.000	0.000	Merged-chr1-40315664-11
NR5447--MA0089.1.MAFG::NFE2L1	chr2	166651843	166651848	-	0.000	0.000	Merged-chr2-166651674-28
NR6376--MA0089.1.MAFG::NFE2L1	chr4	118331886	118331891	+	0.000	0.000	Merged-chr4-118331878-7
NR8766--MA0501.1.MAF::NFE2	chr9	57968505	57968519	+	0.000	0.000	Merged-chr9-57968801-58
NR6185--MA0591.1.Bach1::Mafk	chr4	47314316	47314330	-	0.000	0.000	Merged-chr4-47314208-36
NR8602--MA0496.2.MAFK	chr8	127973400	127973418	-	0.000	0.000	Merged-chr8-127973425-20
NR1658--MA0496.2.MAFK	chr11	115158132	115158150	-	0.000	0.000	Merged-chr11-115158188-48
NR269--MA0089.1.MAFG::NFE2L1	chr1	94635334	94635339	-	0.000	0.000	Merged-chr1-94635267-23
NR1633--MA0501.1.MAF::NFE2	chr11	109193168	109193182	+	0.000	0.000	Merged-chr11-109193354-25
NR2459--MA0089.1.MAFG::NFE2L1	chr13	99148661	99148666	-	0.000	0.000	Merged-chr13-99148566-18
NR1940--MA0591.1.Bach1::Mafk	chr12	84417262	84417276	+	0.000	0.000	Merged-chr12-84417394-49
NR4820--MA0496.2.MAFK	chr2	31082798	31082816	-	0.000	0.000	Merged-chr2-31082849-41
NR3081--MA0496.2.MAFK	chr15	43280117	43280135	+	0.000	0.000	Merged-chr15-43280306-1
NR2060--MA0591.1.Bach1::Mafk	chr12	112860878	112860892	+	0.000	0.000	Merged-chr12-112860925-89
NR5749--MA0089.1.MAFG::NFE2L1	chr3	87846942	87846947	+	0.000	0.000	Merged-chr3-87846918-77
NR356--MA0089.1.MAFG::NFE2L1	chr1	135766448	135766453	+	0.000	0.000	Merged-chr1-135766283-55
NR8333--MA0089.1.MAFG::NFE2L1	chr8	68218573	68218578	+	0.000	0.000	Merged-chr8-68218689-19
NR1791--MA0591.1.Bach1::Mafk	chr12	26398794	26398808	-	0.000	0.000	Merged-chr12-26398856-20
NR6786--MA0591.1.Bach1::Mafk	chr5	92118036	92118050	-	0.000	0.000	Merged-chr5-92118046-23
NR150--MA0501.1.MAF::NFE2	chr1	58721176	58721190	-	0.000	0.000	Merged-chr1-58721053-40
NR2055--MA0089.1.MAFG::NFE2L1	chr12	111182102	111182107	-	0.000	0.000	Merged-chr12-111182112-59
NR8643--MA0495.2.MAFF	chr9	20961727	20961747	-	0.000	0.000	Merged-chr9-20961726-34
NR8655--MA0501.1.MAF::NFE2	chr9	22449343	22449357	+	0.000	0.000	Merged-chr9-22449402-2
NR2431--MA0089.1.MAFG::NFE2L1	chr13	90931390	90931395	+	0.000	0.000	Merged-chr13-90931322-30
NR548--MA0591.1.Bach1::Mafk	chr1	173491037	173491051	+	0.000	0.000	Merged-chr1-173491201-58
NR3360--MA0089.1.MAFG::NFE2L1	chr16	3988489	3988494	-	0.000	0.000	Merged-chr16-3988637-25
NR1126--MA0495.2.MAFF	chr10	121294114	121294134	+	0.000	0.000	Merged-chr10-121294097-50
NR3574--MA0591.1.Bach1::Mafk	chr16	55754669	55754683	-	0.000	0.000	Merged-chr16-55754578-52
NR8748--MA0659.1.MAFG	chr9	55003784	55003804	-	0.000	0.000	Merged-chr9-55003714-9
NR6568--MA0117.2.Mafb	chr5	3358909	3358920	+	0.000	0.000	Merged-chr5-3358967-15
NR2646--MA0089.1.MAFG::NFE2L1	chr14	27341583	27341588	-	0.000	0.000	Merged-chr14-27341524-59
NR5454--MA0501.1.MAF::NFE2	chr2	167363332	167363346	+	0.000	0.000	Merged-chr2-167363421-42
NR6274--MA0089.1.MAFG::NFE2L1	chr4	89178073	89178078	+	0.000	0.000	Merged-chr4-89178152-23
NR1911--MA0117.2.Mafb	chr12	77235909	77235920	+	0.000	0.000	Merged-chr12-77236087-1
NR337--MA0495.2.MAFF	chr1	130549478	130549498	-	0.000	0.000	Merged-chr1-130549409-15
NR2983--MA0591.1.Bach1::Mafk	chr14	123001625	123001639	-	0.000	0.000	Merged-chr14-123001594-21
NR3431--MA0495.2.MAFF	chr16	22794938	22794958	-	0.000	0.000	Merged-chr16-22794765-7
NR3981--MA0496.2.MAFK	chr17	51413905	51413923	-	0.000	0.000	Merged-chr17-51414037-2
NR7896--MA0089.1.MAFG::NFE2L1	chr7	67631085	67631090	-	0.000	0.000	Merged-chr7-67631020-23
NR6333--MA0496.2.MAFK	chr4	108350027	108350045	+	0.000	0.000	Merged-chr4-108350117-42
NR543--MA0089.1.MAFG::NFE2L1	chr1	172290409	172290414	-	0.000	0.000	Merged-chr1-172290126-34
NR7325--MA0495.2.MAFF	chr6	67184949	67184969	+	0.000	0.000	Merged-chr6-67184785-39
NR9175--MA0117.2.Mafb	chrX	164323922	164323933	+	0.000	0.000	Merged-chrX-164323836-11
NR6272--MA0591.1.Bach1::Mafk	chr4	89163740	89163754	+	0.000	0.000	Merged-chr4-89163754-32
NR6357--MA0591.1.Bach1::Mafk	chr4	116676210	116676224	-	0.000	0.000	Merged-chr4-116676285-17
NR3518--MA0117.2.Mafb	chr16	44546792	44546803	+	0.000	0.000	Merged-chr16-44546974-36
NR6358--MA0659.1.MAFG	chr4	116676207	116676227	+	0.000	0.000	Merged-chr4-116676285-17
NR4568--MA0501.1.MAF::NFE2	chr19	41366766	41366780	-	0.000	0.000	Merged-chr19-41366765-21
NR5504--MA0501.1.MAF::NFE2	chr2	174437971	174437985	+	0.000	0.000	Merged-chr2-174437863-15
NR8750--MA0496.2.MAFK	chr9	55003785	55003803	+	0.000	0.000	Merged-chr9-55003714-9
NR1615--MA0089.1.MAFG::NFE2L1	chr11	106165392	106165397	-	0.000	0.000	Merged-chr11-106165537-24
NR5243--MA0089.1.MAFG::NFE2L1	chr2	129183773	129183778	-	0.000	0.000	Merged-chr2-129183897-50
NR1124--MA0089.1.MAFG::NFE2L1	chr10	120270956	120270961	+	0.000	0.000	Merged-chr10-120271095-32
NR443--MA0591.1.Bach1::Mafk	chr1	156667645	156667659	-	0.000	0.000	Merged-chr1-156667693-16
NR944--MA0501.1.MAF::NFE2	chr10	78114942	78114956	-	0.000	0.000	Merged-chr10-78115092-14
NR1300--MA0501.1.MAF::NFE2	chr11	46054577	46054591	-	0.000	0.000	Merged-chr11-46054514-2
NR7228--MA0089.1.MAFG::NFE2L1	chr6	31080909	31080914	-	0.000	0.000	Merged-chr6-31081023-63
NR3561--MA0495.2.MAFF	chr16	52879649	52879669	+	0.000	0.000	Merged-chr16-52879758-28
NR4738--MA0659.1.MAFG	chr2	11645493	11645513	-	0.000	0.000	Merged-chr2-11645530-22
