#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR1800--MA0731.1.BCL6B	chr6	129233042	129233058	-	0.000	0.000	Merged-chr6-129233058-42
NR358--MA0463.1.Bcl6	chr11	82870886	82870899	+	0.000	0.000	Merged-chr11-82870965-86
NR1781--MA0731.1.BCL6B	chr6	115677874	115677890	-	0.000	0.000	Merged-chr6-115677836-38
NR1704--MA0731.1.BCL6B	chr6	31088367	31088383	-	0.000	0.000	Merged-chr6-31088452-52
NR376--MA0463.1.Bcl6	chr11	104630448	104630461	-	0.000	0.000	Merged-chr11-104630373-60
NR1071--MA0463.1.Bcl6	chr19	34290522	34290535	+	0.000	0.000	Merged-chr19-34290594-61
NR1542--MA0731.1.BCL6B	chr4	136031599	136031615	-	0.000	0.000	Merged-chr4-136031447-41
NR1707--MA0463.1.Bcl6	chr6	33929855	33929868	+	0.000	0.000	Merged-chr6-33929791-25
NR1922--MA0731.1.BCL6B	chr7	101310836	101310852	-	0.000	0.000	Merged-chr7-101310709-58
NR1971--MA0463.1.Bcl6	chr7	139156838	139156851	+	0.000	0.000	Merged-chr7-139156945-61
NR1067--MA0463.1.Bcl6	chr19	30924257	30924270	-	0.000	0.000	Merged-chr19-30924347-34
NR1734--MA0463.1.Bcl6	chr6	65573452	65573465	+	0.000	0.000	Merged-chr6-65573561-44
NR1609--MA0463.1.Bcl6	chr5	67418853	67418866	+	0.000	0.000	Merged-chr5-67418777-17
NR296--MA0463.1.Bcl6	chr10	121507398	121507411	-	0.000	0.000	Merged-chr10-121507364-82
NR1534--MA0731.1.BCL6B	chr4	132757308	132757324	+	0.000	0.000	Merged-chr4-132757307-47
NR42--MA0463.1.Bcl6	chr1	72255173	72255186	-	0.000	0.000	Merged-chr1-72255084-113
NR516--MA0463.1.Bcl6	chr13	34046548	34046561	+	0.000	0.000	Merged-chr13-34046570-24
NR534--MA0463.1.Bcl6	chr13	59675431	59675444	+	0.000	0.000	Merged-chr13-59675579-56
NR431--MA0463.1.Bcl6	chr12	55438940	55438953	-	0.000	0.000	Merged-chr12-55438958-24
NR1332--MA0463.1.Bcl6	chr3	108726571	108726584	-	0.000	0.000	Merged-chr3-108726514-23
NR56--MA0463.1.Bcl6	chr1	79439921	79439934	-	0.000	0.000	Merged-chr1-79440054-14
NR1221--MA0731.1.BCL6B	chr2	148857011	148857027	+	0.000	0.000	Merged-chr2-148856922-22
NR1659--MA0463.1.Bcl6	chr5	121103740	121103753	+	0.000	0.000	Merged-chr5-121103807-2
NR664--MA0463.1.Bcl6	chr14	68044927	68044940	+	0.000	0.000	Merged-chr14-68044800-35
NR1565--MA0463.1.Bcl6	chr4	150808694	150808707	-	0.000	0.000	Merged-chr4-150808794-106
NR1695--MA0463.1.Bcl6	chr6	21985600	21985613	+	0.000	0.000	Merged-chr6-21985651-62
NR1337--MA0463.1.Bcl6	chr3	109747809	109747822	+	0.000	0.000	Merged-chr3-109747952-27
NR1072--MA0731.1.BCL6B	chr19	34290519	34290535	-	0.000	0.000	Merged-chr19-34290594-61
NR976--MA0731.1.BCL6B	chr18	24052458	24052474	-	0.000	0.000	Merged-chr18-24052394-19
NR1200--MA0731.1.BCL6B	chr2	132613832	132613848	-	0.000	0.000	Merged-chr2-132613792-39
NR1879--MA0731.1.BCL6B	chr7	68127903	68127919	-	0.000	0.000	Merged-chr7-68127930-13
NR1597--MA0463.1.Bcl6	chr5	44181940	44181953	-	0.000	0.000	Merged-chr5-44181891-36
NR1906--MA0463.1.Bcl6	chr7	90039427	90039440	+	0.000	0.000	Merged-chr7-90039651-42
NR1042--MA0463.1.Bcl6	chr18	84091793	84091806	+	0.000	0.000	Merged-chr18-84092020-89
