#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR5248--MA0495.2.MAFF	chr3	21961368	21961388	-	0.000	0.000	Merged-chr3-21961340-12
NR5798--MA0496.2.MAFK	chr4	57954660	57954678	-	0.000	0.000	Merged-chr4-57954652-15
NR3198--MA0495.2.MAFF	chr15	83149651	83149671	+	0.000	0.000	Merged-chr15-83149470-115
NR8076--MA0117.2.Mafb	chr8	127655954	127655965	+	0.000	0.000	Merged-chr8-127655779-25
NR3992--MA0117.2.Mafb	chr18	24671028	24671039	+	0.000	0.000	Merged-chr18-24671113-54
NR422--MA0501.1.MAF::NFE2	chr1	153675757	153675771	+	0.000	0.000	Merged-chr1-153675831-16
NR1633--MA0501.1.MAF::NFE2	chr11	94275926	94275940	+	0.000	0.000	Merged-chr11-94275707-70
NR6664--MA0501.1.MAF::NFE2	chr6	24627862	24627876	+	0.000	0.000	Merged-chr6-24627877-28
NR1039--MA0089.1.MAFG::NFE2L1	chr10	94860820	94860825	+	0.000	0.000	Merged-chr10-94860976-37
NR6954--MA0089.1.MAFG::NFE2L1	chr6	121238304	121238309	+	0.000	0.000	Merged-chr6-121238480-29
NR645--MA0089.1.MAFG::NFE2L1	chr1	183052857	183052862	+	0.000	0.000	Merged-chr1-183052837-15
NR5478--MA0117.2.Mafb	chr3	108554055	108554066	-	0.000	0.000	Merged-chr3-108554127-1
NR5337--MA0496.2.MAFK	chr3	78889985	78890003	-	0.000	0.000	Merged-chr3-78890015-28
NR7443--MA0659.1.MAFG	chr7	104465137	104465157	+	0.000	0.000	Merged-chr7-104465292-53
NR576--MA0659.1.MAFG	chr1	173767027	173767047	-	0.000	0.000	Merged-chr1-173767204-76
