#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed MACS2_DKO_Tfh_peaks.Tcf7.sig.bed MACS2_DKO_Th1_peaks.Tcf7.sig.bed MACS2_Naive_peaks.Tcf7.sig.bed MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed MACS2_WT_Tfh_peaks.Tcf7.sig.bed MACS2_WT_Th1_peaks.Tcf7.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed	MACS2_DKO_Tfh_peaks.Tcf7.sig.bed	MACS2_DKO_Th1_peaks.Tcf7.sig.bed	MACS2_Naive_peaks.Tcf7.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed	MACS2_WT_Tfh_peaks.Tcf7.sig.bed	MACS2_WT_Th1_peaks.Tcf7.sig.bed
Merged-chr11-52249798-1	chr11	52249723	52249873	+	0.000000	MACS2_DKO_Tfh_peaks.Tcf7.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41494a					
Merged-chr11-52250594-1	chr11	52250519	52250669	+	0.000000	MACS2_DKO_Tfh_peaks.Tcf7.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41495					
Merged-chr11-52283548-10	chr11	52283464	52283637	+	0.000000	MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed	10		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41507a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41507b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41507c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41507d				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43835a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43835b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43835c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43835d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43835e,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43835f	
Merged-chr11-52224380-9	chr11	52224252	52224553	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	9	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49631	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41490b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41490a	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34418b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34418a	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61131	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57767	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43822	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41945
Merged-chr11-52232141-8	chr11	52231893	52232340	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	8	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49632	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41491a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41491b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34419	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61132	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57768a	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43823	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41946
Merged-chr11-52265936-7	chr11	52265809	52266042	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49635	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41502	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34427	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61143	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57774	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43831	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41950
Merged-chr11-52268546-7	chr11	52268411	52268662	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49636	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41503	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34428	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61144	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57775	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43832	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41951
Merged-chr11-52310965-7	chr11	52310848	52311109	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49644	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41512	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34438	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61154	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57780	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43839	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41959
Merged-chr11-52294362-8	chr11	52294186	52294554	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	8	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49641	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41508a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41508b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34434	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61151	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57778	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43836	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41957
Merged-chr11-52283157-15	chr11	52282980	52283366	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	15	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49639a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49639b		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34432a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34432b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34432c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61148a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61148b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61148c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61148d	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57777a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57777b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57777c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57777d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57777e		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41955
Merged-chr11-52281183-4	chr11	52281005	52281385	+	0.000000	MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	4		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41506	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34431	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61147			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41953
Merged-chr11-52261062-6	chr11	52260935	52261196	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49634	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41500	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34425		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57772	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43829	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41948
Merged-chr11-52299815-6	chr11	52299727	52299914	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49642	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41509	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34436		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57779	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43837	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41958
Merged-chr11-52253998-2	chr11	52253920	52254077	+	0.000000	MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed	2			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34423	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61138			
Merged-chr11-52255300-2	chr11	52255179	52255422	+	0.000000	MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed	2			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34424	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61139			
Merged-chr11-52284264-5	chr11	52284124	52284398	+	0.000000	MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	5			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34433	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61149a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61149b			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41956a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41956b
Merged-chr11-52275354-9	chr11	52275224	52275548	+	0.000000	MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed	9			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34430a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34430b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34430c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61146b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61146a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61146c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61146d	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57776a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57776c		
Merged-chr11-52305432-2	chr11	52305311	52305554	+	0.000000	MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed	2		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41510	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34437				
Merged-chr11-52262182-5	chr11	52262009	52262305	+	0.000000	MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	5		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41501	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34426		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57773	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43830	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41949
Merged-chr11-52274236-1	chr11	52274161	52274311	+	0.000000	MACS2_DKO_Th1_peaks.Tcf7.sig.bed	1			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34429				
Merged-chr11-52297587-1	chr11	52297512	52297662	+	0.000000	MACS2_DKO_Th1_peaks.Tcf7.sig.bed	1			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34435				
Merged-chr11-52250070-5	chr11	52249905	52250168	+	0.000000	MACS2_DKO_Th1_peaks.Tcf7.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tcf7.sig.bed	5			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_34421		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57770a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57770b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57770c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_57770d		
Merged-chr11-52309648-3	chr11	52309483	52309829	+	0.000000	MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_Naive_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed	3		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41511		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61153		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43838	
Merged-chr11-52275004-20	chr11	52274841	52275158	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	20	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49637a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49637b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49637c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49637d	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41504d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41504a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41504b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41504c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41504e,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41504f				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43833a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43833b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43833c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43833d	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41952c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41952a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41952b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41952d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41952e,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41952f
Merged-chr11-52254220-4	chr11	52254089	52254363	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tcf7.sig.bed|MACS2_DKO_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Tfh_peaks.Tcf7.sig.bed|MACS2_WT_Th1_peaks.Tcf7.sig.bed	4	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_49633	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_41498b				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_43827	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_41947
Merged-chr11-52248813-1	chr11	52248738	52248888	+	0.000000	MACS2_Naive_peaks.Tcf7.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_61134			
