chr,start,end,Bcl6KO_Th1,DKO_Tfh,DKO_Th1,Naive,Prdm1KO_Tfh,WT_Tfh,WT_Th1
chr11,52222864,52223131,x,,,,,,x
chr11,52224252,52224553,x,x,x,x,x,x,x
chr11,52231893,52232340,x,x,x,x,x,x,x
chr11,52241057,52241317,,,,x,x,x,
chr11,52248738,52248888,,,,x,,,
chr11,52249723,52250669,,x,x,x,x,x,
chr11,52251886,52252036,,,,x,,,
chr11,52253920,52254363,x,x,x,x,,x,x
chr11,52255179,52255422,,,x,x,,,
chr11,52260935,52261196,x,x,x,,x,x,x
chr11,52262009,52262305,,x,x,,x,x,x
chr11,52265809,52266042,x,x,x,x,x,x,x
chr11,52268411,52268662,x,x,x,x,x,x,x
chr11,52273909,52274311,x,x,x,x,,,x
chr11,52274841,52275548,x,x,x,x,x,x,x
chr11,52281005,52281385,,x,x,x,,,x
chr11,52281852,52282002,,,,,,,
chr11,52282980,52283637,x,x,x,x,x,x,x
chr11,52284124,52284398,,x,x,x,x,x,x
chr11,52294186,52294554,x,x,x,x,x,x,x
chr11,52297512,52297662,,,x,,,,
chr11,52299558,52299914,x,x,x,x,x,x,x
chr11,52305311,52305554,,x,x,,,,
chr11,52309483,52309829,,x,,x,,x,
chr11,52310848,52311109,x,x,x,x,x,x,x
