#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed MACS2_DKO_Tfh_peaks.Icos.sig.bed MACS2_DKO_Th1_peaks.Icos.sig.bed MACS2_Naive_peaks.Icos.sig.bed MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed MACS2_WT_Tfh_peaks.Icos.sig.bed MACS2_WT_Th1_peaks.Icos.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed	MACS2_DKO_Tfh_peaks.Icos.sig.bed	MACS2_DKO_Th1_peaks.Icos.sig.bed	MACS2_Naive_peaks.Icos.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed	MACS2_WT_Tfh_peaks.Icos.sig.bed	MACS2_WT_Th1_peaks.Icos.sig.bed
Merged-chr1-61001813-4	chr1	61001641	61001921	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed	4	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3920				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5674a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5674b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5674c		
Merged-chr1-60996636-3	chr1	60996508	60996752	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	3	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3919				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5671		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2998
Merged-chr1-60996363-1	chr1	60996288	60996438	+	0.000000	MACS2_DKO_Tfh_peaks.Icos.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2843					
Merged-chr1-61004174-1	chr1	61004099	61004249	+	0.000000	MACS2_DKO_Tfh_peaks.Icos.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2848					
Merged-chr1-61001488-9	chr1	61001412	61001567	+	0.000000	MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed	9		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2846a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2846b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2846c				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4272c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4272a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4272b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4272d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4272e,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4272f	
Merged-chr1-60999929-2	chr1	60999841	61000018	+	0.000000	MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed	2		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2845			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5672		
Merged-chr1-60974186-12	chr1	60974027	60974379	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	12	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3913	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2837	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2130a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2130b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7968a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7968b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5665a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5665b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5665c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4263	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2992a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2992b
Merged-chr1-60977888-7	chr1	60977754	60978001	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3914	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2838	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2131	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7969	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5667	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4264	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2994
Merged-chr1-61016907-8	chr1	61016669	61017128	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	8	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3922	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2849	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2143	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7973	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5676	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4274	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_3001a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_3001b
Merged-chr1-60990387-10	chr1	60990237	60990610	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	10	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3918a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3918b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2842	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2136	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7971	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5670	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4268a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4268b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2997a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2997b
