chr,start,end
chr1,60960529,60960679
chr1,60960836,60961273
chr1,60971059,60971209
chr1,60973038,60973188
chr1,60974027,60974379
chr1,60975962,60976112
chr1,60977754,60978001
chr1,60979228,60979721
chr1,60983101,60983261
chr1,60984966,60985337
chr1,60986153,60986400
chr1,60990237,60990610
chr1,60996288,60996752
chr1,60997467,60997621
chr1,60999841,61000227
chr1,61000623,61000773
chr1,61001229,61002311
chr1,61003129,61003791
chr1,61004099,61004249
chr1,61016669,61017128
chr1,61017400,61017550
chr1,61022571,61022812
