#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Yy1/DKO_Tfh_mpbs.ordered.bed /media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR615--MA0095.2.YY1	chr14	26924281	26924292	-	0.000	0.000	Merged-chr14-26924535-29
NR1434--MA0095.2.YY1	chr4	97861057	97861068	-	0.000	0.000	Merged-chr4-97861060-64
NR156--MA0095.2.YY1	chr1	173451832	173451843	-	0.000	0.000	Merged-chr1-173451815-42
NR393--MA0095.2.YY1	chr11	97133404	97133415	-	0.000	0.000	Merged-chr11-97133494-13
NR391--MA0095.2.YY1	chr11	95907958	95907969	-	0.000	0.000	Merged-chr11-95907988-15
NR1894--MA0095.2.YY1	chr7	125593222	125593233	-	0.000	0.000	Merged-chr7-125593204-10
NR1837--MA0095.2.YY1	chr7	68350329	68350340	-	0.000	0.000	Merged-chr7-68350249-38
NR43--MA0095.2.YY1	chr1	75213456	75213467	+	0.000	0.000	Merged-chr1-75213327-22
NR364--MA0095.2.YY1	chr11	74572637	74572648	+	0.000	0.000	Merged-chr11-74572687-46
NR1962--MA0095.2.YY1	chr8	72331274	72331285	+	0.000	0.000	Merged-chr8-72331186-66
NR807--MA0095.2.YY1	chr16	49768856	49768867	-	0.000	0.000	Merged-chr16-49768771-12
NR1212--MA0095.2.YY1	chr2	156179614	156179625	-	0.000	0.000	Merged-chr2-156179620-5
NR1082--MA0095.2.YY1	chr2	30966980	30966991	-	0.000	0.000	Merged-chr2-30967035-5
NR14--MA0095.2.YY1	chr1	37471668	37471679	-	0.000	0.000	Merged-chr1-37471561-5
NR1059--MA0095.2.YY1	chr2	3657999	3658010	+	0.000	0.000	Merged-chr2-3658087-77
NR1057--MA0095.2.YY1	chr19	61084430	61084441	+	0.000	0.000	Merged-chr19-61084505-65
NR1836--MA0095.2.YY1	chr7	68271912	68271923	-	0.000	0.000	Merged-chr7-68271999-9
NR2177--MA0095.2.YY1	chrX	113084334	113084345	-	0.000	0.000	Merged-chrX-113084391-25
NR550--MA0095.2.YY1	chr13	73725542	73725553	-	0.000	0.000	Merged-chr13-73725630-40
NR128--MA0095.2.YY1	chr1	161921983	161921994	-	0.000	0.000	Merged-chr1-161922111-15
NR1309--MA0095.2.YY1	chr3	101657396	101657407	+	0.000	0.000	Merged-chr3-101657438-15
NR543--MA0095.2.YY1	chr13	56507237	56507248	+	0.000	0.000	Merged-chr13-56507278-42
NR1028--MA0095.2.YY1	chr19	32935874	32935885	-	0.000	0.000	Merged-chr19-32935830-20
NR705--MA0095.2.YY1	chr15	34390178	34390189	-	0.000	0.000	Merged-chr15-34390161-14
NR1581--MA0095.2.YY1	chr5	96919209	96919220	-	0.000	0.000	Merged-chr5-96919308-24
NR152--MA0095.2.YY1	chr1	171643591	171643602	+	0.000	0.000	Merged-chr1-171643793-46
NR1288--MA0095.2.YY1	chr3	84630911	84630922	-	0.000	0.000	Merged-chr3-84630888-13
NR1052--MA0095.2.YY1	chr19	57131552	57131563	-	0.000	0.000	Merged-chr19-57131601-25
NR1099--MA0095.2.YY1	chr2	55082107	55082118	+	0.000	0.000	Merged-chr2-55082182-18
NR219--MA0095.2.YY1	chr10	43934903	43934914	-	0.000	0.000	Merged-chr10-43934871-13
NR1869--MA0095.2.YY1	chr7	105559217	105559228	-	0.000	0.000	Merged-chr7-105559290-12
NR1038--MA0095.2.YY1	chr19	41384069	41384080	+	0.000	0.000	Merged-chr19-41384173-6
NR2106--MA0095.2.YY1	chr9	118845276	118845287	-	0.000	0.000	Merged-chr9-118845184-15
NR1439--MA0095.2.YY1	chr4	106598612	106598623	+	0.000	0.000	Merged-chr4-106598618-21
NR351--MA0095.2.YY1	chr11	59425992	59426003	-	0.000	0.000	Merged-chr11-59425956-47
NR1674--MA0095.2.YY1	chr6	48801983	48801994	+	0.000	0.000	Merged-chr6-48802126-31
NR1066--MA0095.2.YY1	chr2	11617148	11617159	+	0.000	0.000	Merged-chr2-11617013-39
NR241--MA0095.2.YY1	chr10	77540722	77540733	+	0.000	0.000	Merged-chr10-77540801-10
NR828--MA0095.2.YY1	chr16	76323794	76323805	+	0.000	0.000	Merged-chr16-76323771-64
NR782--MA0095.2.YY1	chr16	20284034	20284045	+	0.000	0.000	Merged-chr16-20284215-11
NR1589--MA0095.2.YY1	chr5	99499823	99499834	-	0.000	0.000	Merged-chr5-99499835-48
