#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Yy1/WT_Tfh_mpbs.ordered.bed /media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR1105--MA0095.2.YY1	chr18	14494371	14494382	+	0.000	0.000	Merged-chr18-14494264-19
NR195--MA0095.2.YY1	chr1	173437670	173437681	-	0.000	0.000	Merged-chr1-173437499-84
NR2169--MA0095.2.YY1	chr7	49093831	49093842	+	0.000	0.000	Merged-chr7-49093959-29
NR321--MA0095.2.YY1	chr10	99393606	99393617	+	0.000	0.000	Merged-chr10-99393384-65
NR2579--MA0095.2.YY1	chrX	71474406	71474417	+	0.000	0.000	Merged-chrX-71474506-18
NR691--MA0095.2.YY1	chr13	107094993	107095004	-	0.000	0.000	Merged-chr13-107094955-84
NR1268--MA0095.2.YY1	chr2	30966980	30966991	-	0.000	0.000	Merged-chr2-30967035-5
NR623--MA0095.2.YY1	chr13	32868301	32868312	+	0.000	0.000	Merged-chr13-32868285-30
NR2138--MA0095.2.YY1	chr7	24450557	24450568	-	0.000	0.000	Merged-chr7-24450719-31
NR1237--MA0095.2.YY1	chr19	61084430	61084441	+	0.000	0.000	Merged-chr19-61084505-65
NR1886--MA0095.2.YY1	chr5	96919209	96919220	-	0.000	0.000	Merged-chr5-96919308-24
NR1408--MA0095.2.YY1	chr2	156179614	156179625	-	0.000	0.000	Merged-chr2-156179620-5
NR407--MA0095.2.YY1	chr11	70789641	70789652	+	0.000	0.000	Merged-chr11-70789509-26
NR2621--MA0095.2.YY1	chrX	113084334	113084345	-	0.000	0.000	Merged-chrX-113084391-25
NR1371--MA0095.2.YY1	chr2	122672951	122672962	+	0.000	0.000	Merged-chr2-122673136-39
NR1309--MA0095.2.YY1	chr2	66102077	66102088	-	0.000	0.000	Merged-chr2-66101928-1
NR1362--MA0095.2.YY1	chr2	117399652	117399663	+	0.000	0.000	Merged-chr2-117399695-40
NR207--MA0095.2.YY1	chr1	184013349	184013360	+	0.000	0.000	Merged-chr1-184013369-24
NR2508--MA0095.2.YY1	chr9	95833082	95833093	+	0.000	0.000	Merged-chr9-95832946-23
NR996--MA0095.2.YY1	chr16	89849013	89849024	-	0.000	0.000	Merged-chr16-89849155-62
NR2036--MA0095.2.YY1	chr6	94761090	94761101	+	0.000	0.000	Merged-chr6-94761021-48
NR2536--MA0095.2.YY1	chr9	113645699	113645710	-	0.000	0.000	Merged-chr9-113645916-42
NR647--MA0095.2.YY1	chr13	56507237	56507248	+	0.000	0.000	Merged-chr13-56507278-42
NR193--MA0095.2.YY1	chr1	171643591	171643602	+	0.000	0.000	Merged-chr1-171643793-46
NR1315--MA0095.2.YY1	chr2	72282895	72282906	+	0.000	0.000	Merged-chr2-72282934-17
NR2102--MA0095.2.YY1	chr6	142823209	142823220	-	0.000	0.000	Merged-chr6-142823375-40
NR355--MA0095.2.YY1	chr10	127231301	127231312	+	0.000	0.000	Merged-chr10-127231137-38
NR1536--MA0095.2.YY1	chr3	102755981	102755992	+	0.000	0.000	Merged-chr3-102756086-59
NR398--MA0095.2.YY1	chr11	59425992	59426003	-	0.000	0.000	Merged-chr11-59425956-47
NR1992--MA0095.2.YY1	chr6	58880925	58880936	-	0.000	0.000	Merged-chr6-58880983-47
NR1066--MA0095.2.YY1	chr17	56913673	56913684	+	0.000	0.000	Merged-chr17-56913567-28
NR245--MA0095.2.YY1	chr10	28518357	28518368	+	0.000	0.000	Merged-chr10-28518434-39
NR1149--MA0095.2.YY1	chr18	65107155	65107166	+	0.000	0.000	Merged-chr18-65107334-45
NR1231--MA0095.2.YY1	chr19	57131552	57131563	-	0.000	0.000	Merged-chr19-57131601-25
NR1366--MA0095.2.YY1	chr2	119594339	119594350	+	0.000	0.000	Merged-chr2-119594435-52
NR782--MA0095.2.YY1	chr14	60131733	60131744	-	0.000	0.000	Merged-chr14-60131750-51
NR363--MA0095.2.YY1	chr11	4823851	4823862	-	0.000	0.000	Merged-chr11-4823993-46
