#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Yy1/WT_Th1_mpbs.ordered.bed /media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR606--MA0095.2.YY1	chr13	99516480	99516491	-	0.000	0.000	Merged-chr13-99516254-79
NR931--MA0095.2.YY1	chr17	26752321	26752332	-	0.000	0.000	Merged-chr17-26752448-33
NR823--MA0095.2.YY1	chr16	13845321	13845332	-	0.000	0.000	Merged-chr16-13845150-21
NR41--MA0095.2.YY1	chr1	88587497	88587508	+	0.000	0.000	Merged-chr1-88587471-60
NR4--MA0095.2.YY1	chr1	20912738	20912749	-	0.000	0.000	Merged-chr1-20912686-65
NR618--MA0095.2.YY1	chr13	107059476	107059487	+	0.000	0.000	Merged-chr13-107059603-40
NR1989--MA0095.2.YY1	chr7	125501013	125501024	+	0.000	0.000	Merged-chr7-125501083-14
NR2314--MA0095.2.YY1	chrX	113298120	113298131	-	0.000	0.000	Merged-chrX-113298172-75
NR556--MA0095.2.YY1	chr13	33003936	33003947	-	0.000	0.000	Merged-chr13-33003757-27
NR1778--MA0095.2.YY1	chr6	94761090	94761101	+	0.000	0.000	Merged-chr6-94761021-48
NR1945--MA0095.2.YY1	chr7	97042046	97042057	-	0.000	0.000	Merged-chr7-97042218-26
NR1114--MA0095.2.YY1	chr2	30966980	30966991	-	0.000	0.000	Merged-chr2-30967035-5
NR849--MA0095.2.YY1	chr16	38742410	38742421	-	0.000	0.000	Merged-chr16-38742658-84
NR1389--MA0095.2.YY1	chr3	146765084	146765095	-	0.000	0.000	Merged-chr3-146765113-32
NR1155--MA0095.2.YY1	chr2	72282895	72282906	+	0.000	0.000	Merged-chr2-72282934-17
NR1842--MA0095.2.YY1	chr6	142823209	142823220	-	0.000	0.000	Merged-chr6-142823375-40
NR555--MA0095.2.YY1	chr13	30732989	30733000	-	0.000	0.000	Merged-chr13-30733063-17
NR8--MA0095.2.YY1	chr1	36960607	36960618	+	0.000	0.000	Merged-chr1-36960699-30
NR1775--MA0095.2.YY1	chr6	91489155	91489166	+	0.000	0.000	Merged-chr6-91488939-35
NR859--MA0095.2.YY1	chr16	48788805	48788816	+	0.000	0.000	Merged-chr16-48788871-49
NR1122--MA0095.2.YY1	chr2	45103078	45103089	-	0.000	0.000	Merged-chr2-45103270-35
NR1478--MA0095.2.YY1	chr4	89393582	89393593	+	0.000	0.000	Merged-chr4-89393499-15
NR2040--MA0095.2.YY1	chr8	68726204	68726215	-	0.000	0.000	Merged-chr8-68726108-23
NR563--MA0095.2.YY1	chr13	44507047	44507058	-	0.000	0.000	Merged-chr13-44507226-54
NR1827--MA0095.2.YY1	chr6	134048215	134048226	+	0.000	0.000	Merged-chr6-134048216-52
