#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Yy1/DKO_Th1_mpbs.ordered.bed /media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR108--MA0095.2.YY1	chr1	151894065	151894076	+	0.000	0.000	Merged-chr1-151894159-30
NR1659--MA0095.2.YY1	chr7	46832421	46832432	-	0.000	0.000	Merged-chr7-46832342-27
NR1065--MA0095.2.YY1	chr2	117399652	117399663	+	0.000	0.000	Merged-chr2-117399695-40
NR1477--MA0095.2.YY1	chr5	99499823	99499834	-	0.000	0.000	Merged-chr5-99499835-48
NR1142--MA0095.2.YY1	chr2	173449012	173449023	-	0.000	0.000	Merged-chr2-173448878-59
NR1407--MA0095.2.YY1	chr5	14515036	14515047	+	0.000	0.000	Merged-chr5-14515082-42
NR1962--MA0095.2.YY1	chrX	113298120	113298131	-	0.000	0.000	Merged-chrX-113298172-75
NR1268--MA0095.2.YY1	chr3	148465577	148465588	-	0.000	0.000	Merged-chr3-148465597-36
NR684--MA0095.2.YY1	chr15	51803033	51803044	-	0.000	0.000	Merged-chr15-51803142-36
NR1266--MA0095.2.YY1	chr3	146765084	146765095	-	0.000	0.000	Merged-chr3-146765113-32
NR118--MA0095.2.YY1	chr1	156107692	156107703	-	0.000	0.000	Merged-chr1-156107572-8
NR1714--MA0095.2.YY1	chr7	125501013	125501024	+	0.000	0.000	Merged-chr7-125501083-14
NR18--MA0095.2.YY1	chr1	34831541	34831552	-	0.000	0.000	Merged-chr1-34831505-37
NR1849--MA0095.2.YY1	chr9	66513459	66513470	-	0.000	0.000	Merged-chr9-66513524-4
NR254--MA0095.2.YY1	chr10	99599589	99599600	+	0.000	0.000	Merged-chr10-99599724-46
NR519--MA0095.2.YY1	chr13	13581968	13581979	-	0.000	0.000	Merged-chr13-13582107-29
NR1158--MA0095.2.YY1	chr3	10212034	10212045	+	0.000	0.000	Merged-chr3-10212114-17
NR374--MA0095.2.YY1	chr11	99307781	99307792	-	0.000	0.000	Merged-chr11-99307699-7
NR1458--MA0095.2.YY1	chr5	65904572	65904583	-	0.000	0.000	Merged-chr5-65904671-7
NR1456--MA0095.2.YY1	chr5	64919084	64919095	+	0.000	0.000	Merged-chr5-64918962-32
NR1906--MA0095.2.YY1	chr9	118361286	118361297	-	0.000	0.000	Merged-chr9-118361138-26
NR1809--MA0095.2.YY1	chr8	126848872	126848883	-	0.000	0.000	Merged-chr8-126848736-3
NR361--MA0095.2.YY1	chr11	90638759	90638770	-	0.000	0.000	Merged-chr11-90638688-1
NR1499--MA0095.2.YY1	chr5	122288557	122288568	-	0.000	0.000	Merged-chr5-122288620-47
NR541--MA0095.2.YY1	chr13	51598294	51598305	-	0.000	0.000	Merged-chr13-51598262-24
NR1265--MA0095.2.YY1	chr3	146196550	146196561	+	0.000	0.000	Merged-chr3-146196576-15
NR806--MA0095.2.YY1	chr16	89849292	89849303	+	0.000	0.000	Merged-chr16-89849155-62
NR1495--MA0095.2.YY1	chr5	118036650	118036661	-	0.000	0.000	Merged-chr5-118036805-2
