#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Yy1/DKO_Th1_mpbs.ordered.bed /media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR366--MA0095.2.YY1	chr11	95907958	95907969	-	0.000	0.000	Merged-chr11-95907988-15
NR93--MA0095.2.YY1	chr1	135124905	135124916	+	0.000	0.000	Merged-chr1-135124933-9
NR1152--MA0095.2.YY1	chr2	180438439	180438450	+	0.000	0.000	Merged-chr2-180438318-9
NR635--MA0095.2.YY1	chr14	61648779	61648790	+	0.000	0.000	Merged-chr14-61648687-125
NR1222--MA0095.2.YY1	chr3	107827918	107827929	+	0.000	0.000	Merged-chr3-107828043-26
NR593--MA0095.2.YY1	chr13	118269254	118269265	+	0.000	0.000	Merged-chr13-118269316-14
NR953--MA0095.2.YY1	chr19	21946699	21946710	+	0.000	0.000	Merged-chr19-21946684-18
NR523--MA0095.2.YY1	chr13	19518084	19518095	+	0.000	0.000	Merged-chr13-19518295-27
NR748--MA0095.2.YY1	chr15	99772372	99772383	-	0.000	0.000	Merged-chr15-99772240-94
NR287--MA0095.2.YY1	chr11	4096775	4096786	+	0.000	0.000	Merged-chr11-4096720-48
NR965--MA0095.2.YY1	chr19	41384069	41384080	+	0.000	0.000	Merged-chr19-41384173-6
NR896--MA0095.2.YY1	chr18	34855770	34855781	-	0.000	0.000	Merged-chr18-34855881-9
NR369--MA0095.2.YY1	chr11	97133404	97133415	-	0.000	0.000	Merged-chr11-97133494-13
NR1787--MA0095.2.YY1	chr8	106007440	106007451	+	0.000	0.000	Merged-chr8-106007407-44
NR964--MA0095.2.YY1	chr19	41339293	41339304	-	0.000	0.000	Merged-chr19-41339315-54
NR1177--MA0095.2.YY1	chr3	52297432	52297443	+	0.000	0.000	Merged-chr3-52297502-16
