#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Yy1/WT_Tfh_mpbs.ordered.bed /media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR985--MA0095.2.YY1	chr16	78546763	78546774	-	0.000	0.000	Merged-chr16-78546881-68
NR195--MA0095.2.YY1	chr1	173437670	173437681	-	0.000	0.000	Merged-chr1-173437499-84
NR1049--MA0095.2.YY1	chr17	35841704	35841715	-	0.000	0.000	Merged-chr17-35841564-66
NR2169--MA0095.2.YY1	chr7	49093831	49093842	+	0.000	0.000	Merged-chr7-49093959-29
NR697--MA0095.2.YY1	chr13	109239529	109239540	-	0.000	0.000	Merged-chr13-109239401-35
NR321--MA0095.2.YY1	chr10	99393606	99393617	+	0.000	0.000	Merged-chr10-99393384-65
NR2579--MA0095.2.YY1	chrX	71474406	71474417	+	0.000	0.000	Merged-chrX-71474506-18
NR1223--MA0095.2.YY1	chr19	41339293	41339304	-	0.000	0.000	Merged-chr19-41339315-54
NR2523--MA0095.2.YY1	chr9	108347914	108347925	+	0.000	0.000	Merged-chr9-108347879-58
NR623--MA0095.2.YY1	chr13	32868301	32868312	+	0.000	0.000	Merged-chr13-32868285-30
NR252--MA0095.2.YY1	chr10	39463024	39463035	-	0.000	0.000	Merged-chr10-39462886-19
NR1391--MA0095.2.YY1	chr2	144637585	144637596	-	0.000	0.000	Merged-chr2-144637414-14
NR1237--MA0095.2.YY1	chr19	61084430	61084441	+	0.000	0.000	Merged-chr19-61084505-65
NR1408--MA0095.2.YY1	chr2	156179614	156179625	-	0.000	0.000	Merged-chr2-156179620-5
NR407--MA0095.2.YY1	chr11	70789641	70789652	+	0.000	0.000	Merged-chr11-70789509-26
NR2204--MA0095.2.YY1	chr7	84173690	84173701	-	0.000	0.000	Merged-chr7-84173606-31
NR1309--MA0095.2.YY1	chr2	66102077	66102088	-	0.000	0.000	Merged-chr2-66101928-1
NR1085--MA0095.2.YY1	chr17	73804771	73804782	+	0.000	0.000	Merged-chr17-73804609-2
NR207--MA0095.2.YY1	chr1	184013349	184013360	+	0.000	0.000	Merged-chr1-184013369-24
NR2508--MA0095.2.YY1	chr9	95833082	95833093	+	0.000	0.000	Merged-chr9-95832946-23
NR1168--MA0095.2.YY1	chr18	80495874	80495885	+	0.000	0.000	Merged-chr18-80495918-16
NR2536--MA0095.2.YY1	chr9	113645699	113645710	-	0.000	0.000	Merged-chr9-113645916-42
NR789--MA0095.2.YY1	chr14	67951766	67951777	+	0.000	0.000	Merged-chr14-67951902-1
NR193--MA0095.2.YY1	chr1	171643591	171643602	+	0.000	0.000	Merged-chr1-171643793-46
NR911--MA0095.2.YY1	chr15	98534228	98534239	-	0.000	0.000	Merged-chr15-98534132-69
NR2102--MA0095.2.YY1	chr6	142823209	142823220	-	0.000	0.000	Merged-chr6-142823375-40
NR1536--MA0095.2.YY1	chr3	102755981	102755992	+	0.000	0.000	Merged-chr3-102756086-59
NR398--MA0095.2.YY1	chr11	59425992	59426003	-	0.000	0.000	Merged-chr11-59425956-47
NR1066--MA0095.2.YY1	chr17	56913673	56913684	+	0.000	0.000	Merged-chr17-56913567-28
NR245--MA0095.2.YY1	chr10	28518357	28518368	+	0.000	0.000	Merged-chr10-28518434-39
NR2404--MA0095.2.YY1	chr8	128353021	128353032	+	0.000	0.000	Merged-chr8-128352989-24
NR1149--MA0095.2.YY1	chr18	65107155	65107166	+	0.000	0.000	Merged-chr18-65107334-45
NR601--MA0095.2.YY1	chr13	8742847	8742858	-	0.000	0.000	Merged-chr13-8742974-25
NR1231--MA0095.2.YY1	chr19	57131552	57131563	-	0.000	0.000	Merged-chr19-57131601-25
NR869--MA0095.2.YY1	chr15	57921594	57921605	+	0.000	0.000	Merged-chr15-57921644-21
NR1366--MA0095.2.YY1	chr2	119594339	119594350	+	0.000	0.000	Merged-chr2-119594435-52
NR782--MA0095.2.YY1	chr14	60131733	60131744	-	0.000	0.000	Merged-chr14-60131750-51
NR363--MA0095.2.YY1	chr11	4823851	4823862	-	0.000	0.000	Merged-chr11-4823993-46
NR2058--MA0095.2.YY1	chr6	113673181	113673192	-	0.000	0.000	Merged-chr6-113673197-18
NR2475--MA0095.2.YY1	chr9	79970943	79970954	-	0.000	0.000	Merged-chr9-79970896-33
